  I     	  II     	  LV     	  LV'		  RA     	  RA'		
-27.16   	-58.90   	 11.25   	-111.90		 13.65   	 -40.69		
-27.47   	-59.81   	 10.80   	 -91.56		 13.49   	 -40.69		
-29.60   	-62.87   	 10.44   	 -76.30		 13.33   	 -35.61		
-31.74   	-67.14   	 10.13   	 -61.04		 13.18   	 -40.69		
-33.26   	-69.58   	  9.89   	 -45.78		 13.02   	 -35.61		
-33.57   	-67.75   	  9.70   	 -35.61		 12.88   	 -35.61		
-32.35   	-62.87   	  9.56   	 -20.35		 12.74   	 -35.61		
-31.43   	-58.59   	  9.48   	 -10.17		 12.59   	 -30.52		
-31.74   	-59.51   	  9.44   	  -5.09		 12.47   	 -30.52		
-32.35   	-65.31   	  9.42   	   5.09		 12.35   	 -20.35		
-32.65   	-72.63   	  9.44   	  10.17		 12.27   	 -20.35		
-32.35   	-77.21   	  9.48   	  20.35		 12.19   	  -5.09		
-32.35   	-77.82   	  9.56   	  20.35		 12.17   	  -5.09		
-33.26   	-76.60   	  9.64   	  25.43		 12.15   	   0.00		
-34.18   	-76.60   	  9.75   	  30.52		 12.15   	   5.09		
-33.57   	-78.13   	  9.87   	  35.61		 12.17   	   0.00		
-31.43   	-80.26   	 10.01   	  35.61		 12.17   	  10.17		
-29.60   	-81.79   	 10.15   	  35.61		 12.21   	   5.09		
-29.91   	-82.70   	 10.29   	  40.69		 12.23   	  10.17		
-32.96   	-83.62   	 10.46   	  40.69		 12.27   	  10.17		
-36.93   	-84.84   	 10.62   	  40.69		 12.31   	  10.17		
-39.37   	-85.45   	 10.78   	  45.78		 12.35   	  15.26		
-38.45   	-84.84   	 10.97   	  45.78		 12.41   	  15.26		
-35.10   	-82.40   	 11.15   	  50.86		 12.47   	  15.26		
-31.13   	-79.35   	 11.35   	  45.78		 12.53   	  15.26		
-28.69   	-77.21   	 11.54   	  45.78		 12.59   	  15.26		
-29.30   	-76.60   	 11.72   	  50.86		 12.66   	  15.26		
-31.74   	-76.90   	 11.92   	  45.78		 12.72   	  15.26		
-34.18   	-77.51   	 12.11   	  45.78		 12.78   	  15.26		
-34.48   	-76.90   	 12.29   	  50.86		 12.84   	  20.35		
-32.65   	-75.07   	 12.49   	  45.78		 12.92   	  15.26		
-30.21   	-73.55   	 12.68   	  50.86		 12.98   	  20.35		
-28.99   	-73.24   	 12.88   	  50.86		 13.06   	  20.35		
-30.21   	-74.16   	 13.08   	  50.86		 13.14   	  25.43		
-32.65   	-75.99   	 13.29   	  50.86		 13.25   	  25.43		
-34.18   	-77.51   	 13.49   	  55.95		 13.35   	  25.43		
-33.57   	-79.04   	 13.71   	  55.95		 13.45   	  25.43		
-31.43   	-80.26   	 13.94   	  50.86		 13.55   	  30.52		
-28.69   	-79.96   	 14.14   	  55.95		 13.67   	  30.52		
-27.16   	-77.82   	 14.36   	  55.95		 13.79   	  30.52		
-27.77   	-74.46   	 14.59   	  50.86		 13.92   	  35.61		
-30.21   	-70.50   	 14.79   	  50.86		 14.06   	  30.52		
-32.04   	-68.05   	 14.99   	  50.86		 14.18   	  35.61		
-32.96   	-67.14   	 15.20   	  40.69		 14.32   	  30.52		
-31.13   	-66.83   	 15.36   	  40.69		 14.45   	  35.61		
-27.77   	-66.53   	 15.52   	  35.61		 14.59   	  30.52		
-23.19   	-65.61   	 15.67   	  35.61		 14.71   	  30.52		
-19.53   	-63.78   	 15.81   	  25.43		 14.83   	  30.52		
-16.78   	-59.20   	 15.91   	  20.35		 14.95   	  25.43		
-15.56   	-50.96   	 15.99   	  20.35		 15.06   	  20.35		
-14.65   	-39.67   	 16.07   	  15.26		 15.14   	  20.35		
-13.43   	-27.47   	 16.13   	  15.26		 15.22   	  10.17		
-11.29   	-18.62   	 16.20   	  10.17		 15.26   	  10.17		
 -8.24   	-14.95   	 16.24   	  10.17		 15.30   	   5.09		
 -4.27   	-15.87   	 16.28   	   5.09		 15.32   	   0.00		
  0.00   	-17.40   	 16.30   	   5.09		 15.32   	   0.00		
  4.58   	-14.95   	 16.32   	   5.09		 15.32   	   0.00		
  9.16   	 -7.32   	 16.34   	   5.09		 15.32   	   5.09		
 13.43   	  4.27   	 16.36   	   0.00		 15.34   	   0.00		
 17.09   	 16.17   	 16.36   	   0.00		 15.34   	  10.17		
 20.14   	 23.19   	 16.36   	   0.00		 15.38   	  15.26		
 22.58   	 22.58   	 16.36   	  -5.09		 15.44   	  20.35		
 25.33   	 15.87   	 16.34   	  -5.09		 15.52   	  25.43		
 29.30   	  7.02   	 16.32   	  -5.09		 15.63   	  30.52		
 34.18   	  0.00   	 16.30   	  -5.09		 15.75   	  40.69		
 37.54   	 -3.66   	 16.28   	  -5.09		 15.91   	  45.78		
 36.62   	 -7.02   	 16.26   	   5.09		 16.09   	  50.86		
 29.30   	-12.51   	 16.28   	   5.09		 16.30   	  50.86		
 17.09   	-20.75   	 16.30   	  10.17		 16.50   	  45.78		
  2.75   	-28.08   	 16.34   	  10.17		 16.68   	  50.86		
-10.68   	-32.04   	 16.38   	  20.35		 16.89   	  45.78		
-21.36   	-34.18   	 16.46   	  20.35		 17.07   	  40.69		
-29.30   	-38.15   	 16.54   	  25.43		 17.23   	  35.61		
-35.10   	-46.39   	 16.64   	  25.43		 17.38   	  35.61		
-38.15   	-58.90   	 16.74   	  30.52		 17.52   	  30.52		
-38.76   	-71.41   	 16.87   	  30.52		 17.64   	  35.61		
-37.23   	-79.96   	 16.99   	  30.52		 17.78   	  35.61		
-35.40   	-82.70   	 17.11   	  30.52		 17.92   	  40.69		
-34.18   	-81.18   	 17.23   	  20.35		 18.09   	  35.61		
-34.48   	-78.43   	 17.31   	  20.35		 18.23   	  30.52		
-35.71   	-75.38   	 17.40   	  10.17		 18.35   	  20.35		
-37.54   	-72.63   	 17.44   	   5.09		 18.43   	   5.09		
-39.67   	-69.89   	 17.46   	  -5.09		 18.45(A)	 -10.17		
-39.98   	-66.53   	 17.44   	  -5.09		 18.41   	 -30.52		
-38.76   	-63.78   	 17.42   	 -10.17		 18.29   	 -45.78		
-36.32   	-62.56   	 17.38   	 -10.17		 18.11   	 -61.04		
-34.79   	-62.87   	 17.33   	 -10.17		 17.86   	 -76.30		
-34.79   	-63.48   	 17.29   	  -5.09		 17.56   	 -81.38		
-36.32   	-63.17   	 17.27   	  -5.09		 17.23   	 -86.47		
-36.93   	-61.65   	 17.25   	   0.00		 16.89   	 -86.47		
-36.01   	-60.42   	 17.25(E)	  10.17		 16.54   	 -76.30		
-34.79   	-60.73   	 17.29   	  15.26		 16.24   	 -81.38		
-35.40   	-62.26   	 17.35   	  20.35		 15.91   	 -76.30		
-37.23   	-63.78   	 17.44   	  30.52		 15.61   	 -76.30		
-36.62   	-61.95   	 17.56   	  35.61		 15.30   	 -76.30		
-26.86   	-54.63   	 17.70   	  40.69		 14.99   	 -76.30		
  0.00   	-39.98   	 17.86   	  45.78		 14.69   	 -55.95		
 49.13   	-14.04   	 18.05   	  50.86		 14.47   	 -35.61		
118.10   	 28.08   	 18.25   	  55.95		 14.32   	  10.17		
200.20   	 94.30   	 18.47   	  55.95		 14.36   	  61.04		
284.42   	188.60   	 18.70   	  61.04		 14.61   	 101.73		
356.75   	296.63   	 18.94   	  66.12		 15.02   	 142.42		
398.86   	382.08   	 19.21   	  81.38		 15.58   	 162.77		
391.54   	404.97(R)	 19.53   	  96.64		 16.24   	 147.51		
322.27   	346.07   	 19.92   	 122.07		 16.83   	 116.99		
198.06   	222.17   	 20.41   	 147.51		 17.29   	  71.21		
 50.05   	 80.87   	 21.00   	 183.11		 17.58   	  10.17		
-77.82   	-31.74   	 21.73   	 223.80		 17.62   	 -45.78		
-150.45   	-94.60   	 22.62   	 274.67		 17.44   	 -86.47		
-160.52   	-113.83   	 23.72   	 340.79		 17.09   	-111.90		
-129.09   	-105.90   	 25.09   	 417.09		 16.64   	-122.07		
-86.98   	-84.84   	 26.75   	 498.47		 16.15   	-111.90		
-57.07   	-58.90   	 28.75   	 584.94		 15.71   	 -96.64		
-44.25   	-36.32   	 31.09   	 666.32		 15.32   	 -66.12		
-42.42   	-23.19   	 33.75   	 752.79		 15.06   	 -35.61		
-43.33   	-21.67   	 36.76   	 839.26		 14.91   	 -15.26		
-43.33   	-26.25   	 40.12   	 915.56		 14.85   	  -5.09		
-42.72   	-30.52   	 43.78   	1007.12		 14.83   	   5.09		
-42.72   	-31.43   	 47.81   	1088.50		 14.85   	   0.00		
-43.03   	-31.13   	 52.17   	1144.45		 14.85   	  -5.09		
-42.42   	-31.43   	 56.74   	1169.88		 14.83   	 -15.26		
-40.89   	-30.82   	 61.42   	1154.62		 14.77   	 -15.26		
-38.45   	-28.69   	 66.04   	1124.11		 14.71   	 -20.35		
-36.62   	-24.41   	 70.54   	1057.98		 14.63   	 -20.35		
-36.32   	-21.36   	 74.77   	 976.60		 14.55   	 -10.17		
-37.23   	-21.06   	 78.68   	 879.96		 14.51   	 -10.17		
-37.84   	-21.67   	 82.20   	 808.75		 14.47   	  -5.09		
-36.01   	-21.97   	 85.43   	 732.45		 14.45   	   0.00		
-32.65   	-21.67   	 88.36   	 661.24		 14.45   	   0.00		
-29.60   	-21.06   	 91.01   	 579.86		 14.45   	   0.00		
-28.38   	-20.75   	 93.33   	 513.73		 14.45   	 -10.17		
-29.30   	-20.14   	 95.38   	 457.78		 14.40   	 -10.17		
-30.52   	-18.31   	 97.21   	 427.26		 14.36   	 -20.35		
-30.52   	-15.26   	 98.92   	 401.83		 14.28   	 -25.43		
-28.99   	-11.60   	100.53   	 386.57		 14.18   	 -35.61		
-26.25   	 -7.63   	102.07   	 371.31		 14.04   	 -35.61		
-23.80   	 -4.27   	103.56   	 366.22		 13.90   	 -40.69		
-21.67   	 -1.22   	105.03   	 350.97		 13.73   	 -35.61		
-19.23   	  0.61   	106.43   	 340.79		 13.59   	 -40.69		
-16.78   	  2.14   	107.79   	 320.45		 13.43   	 -40.69		
-14.04   	  3.36   	109.07   	 305.19		 13.27   	 -40.69		
-11.60   	  5.80   	110.29   	 289.93		 13.10   	 -45.78		
 -9.16   	 10.38   	111.45   	 284.84		 12.92   	 -61.04		
 -6.71   	 15.87   	112.59   	 274.67		 12.68   	 -76.30		
 -3.66   	 21.36   	113.69   	 264.50		 12.37   	 -86.47		
  0.31   	 25.33   	114.75   	 254.32		 12.02   	 -96.64		
  4.58   	 27.16   	115.77   	 239.06		 11.64   	 -91.56		
  8.24   	 28.08   	116.72   	 233.98		 11.27   	 -76.30		
 10.99   	 30.21   	117.66   	 218.72		 10.97   	 -61.04		
 13.43   	 34.48   	118.53   	 213.63		 10.72   	 -35.61		
 15.56   	 40.28   	119.39   	 198.37		 10.58   	 -10.17		
 18.62   	 46.39   	120.18   	 193.29		 10.54   	  10.17		
 23.19   	 53.41   	120.96   	 188.20		 10.58   	  30.52		
 29.60   	 60.42   	121.71   	 178.03		 10.70   	  35.61		
 36.93   	 68.05   	122.42   	 178.03		 10.84   	  40.69		
 44.86   	 75.68   	123.13   	 167.85		 11.01   	  35.61		
 51.88   	 83.31   	123.80   	 167.85		 11.15   	  25.43		
 57.68   	 89.72   	124.48   	 157.68		 11.25   	  20.35		
 62.87   	 95.21   	125.11   	 152.59		 11.33   	  10.17		
 67.75   	100.71   	125.72   	 142.42		 11.37   	   0.00		
 72.33   	105.90   	126.29   	 137.33		 11.37   	 -10.17		
 76.90   	111.08   	126.84   	 132.25		 11.33   	 -15.26		
 80.26   	115.97   	127.36   	 122.07		 11.27   	 -25.43		
 83.62   	120.24   	127.85   	 111.90		 11.17   	 -30.52		
 87.59   	125.43   	128.30   	 106.82		 11.05   	 -35.61		
 92.16   	130.92   	128.73   	 101.73		 10.91   	 -35.61		
 95.83   	136.11   	129.13   	  96.64		 10.76   	 -25.43		
 97.96   	139.16   	129.52   	  86.47		 10.66   	 -15.26		
 97.66   	138.24   	129.87   	  81.38		 10.60   	  -5.09		
 95.21   	133.97   	130.19   	  81.38		 10.58   	   5.09		
 92.16   	127.56   	130.52   	  76.30		 10.60   	  20.35		
 88.50   	121.15   	130.82   	  66.12		 10.68   	  30.52		
 84.23   	116.58   	131.09   	  61.04		 10.80   	  40.69		
 79.04   	112.92   	131.33   	  55.95		 10.97   	  35.61		
 73.24   	108.03   	131.56   	  50.86		 11.11   	  40.69		
 66.53   	100.40   	131.76   	  45.78		 11.27   	  40.69		
 59.20   	 90.33   	131.94   	  35.61		 11.43   	  30.52		
 50.66   	 78.74   	132.08   	  25.43		 11.56   	  35.61		
 41.81   	 67.75   	132.19   	  20.35		 11.70   	  25.43		
 32.65   	 56.76   	132.27   	  10.17		 11.80   	  30.52		
 24.41   	 45.17   	132.31(S)	   0.00		 11.92   	  30.52		
 16.48   	 32.04   	132.31   	 -10.17		 12.04   	  35.61		
  8.24   	 18.62   	132.27   	 -25.43		 12.19   	  30.52		
  0.31   	  6.41   	132.17   	 -45.78		 12.31   	  35.61		
 -7.32   	 -3.36   	131.98   	 -71.21		 12.45   	  35.61		
-13.12   	-10.99   	131.70   	-106.82		 12.59   	  30.52		
-16.48   	-17.40   	131.27   	-147.51		 12.72   	  30.52		
-17.40   	-23.19   	130.68   	-193.29		 12.84   	  30.52		
-16.17   	-28.38   	129.91   	-254.32		 12.96   	  30.52		
-16.17   	-33.57   	128.89   	-320.45		 13.08   	  35.61		
-18.31   	-37.84   	127.61   	-391.66		 13.22   	  30.52		
-23.19   	-40.59   	126.04   	-457.78		 13.35   	  35.61		
-28.99   	-41.81   	124.21   	-539.16		 13.49   	  35.61		
-32.65   	-40.89   	122.05   	-635.81		 13.63   	  35.61		
-32.96   	-38.45   	119.51   	-757.88		 13.77   	  35.61		
-30.52   	-36.93   	116.48   	-895.22		 13.92   	  30.52		
-28.08   	-36.93   	112.90   	-1032.55		 14.04   	  35.61		
-26.86   	-39.67   	108.77   	-1164.80		 14.18   	  25.43		
-27.47   	-43.64   	104.11   	-1271.61		 14.28   	  30.52		
-28.99   	-47.00   	 99.02   	-1363.17		 14.40   	  25.43		
-30.21   	-48.22   	 93.57   	-1424.21		 14.51   	  25.43		
-31.13   	-47.61   	 87.87   	-1444.55		 14.61   	  25.43		
-31.43   	-46.08   	 82.10   	-1429.29		 14.71   	  25.43		
-32.04   	-44.56   	 76.38   	-1388.60		 14.81   	  25.43		
-32.35   	-42.42   	 70.82   	-1322.48		 14.91   	  30.52		
-32.96   	-39.67   	 65.53   	-1256.35		 15.04   	  40.69		
-33.26   	-36.62   	 60.51   	-1169.88		 15.20   	  40.69		
-33.87   	-34.79   	 55.83   	-1078.33		 15.36   	  45.78		
-34.18   	-35.10   	 51.52   	-991.86		 15.54   	  45.78		
-34.18   	-36.93   	 47.55   	-900.30		 15.73   	  40.69		
-33.26   	-38.45   	 43.95   	-829.09		 15.89   	  35.61		
-31.43   	-37.84   	 40.63   	-752.79		 16.03   	  20.35		
-29.30   	-35.40   	 37.62   	-681.58		 16.11   	  10.17		
-27.77   	-33.26   	 34.89   	-625.63		 16.15(V)	   0.00		
-28.08   	-32.65   	 32.39   	-564.60		 16.15   	  -5.09		
-28.99   	-32.96   	 30.13   	-518.82		 16.13   	 -10.17		
-29.30   	-33.26   	 28.06   	-467.95		 16.09   	  -5.09		
-28.08   	-31.43   	 26.19   	-422.18		 16.07   	 -10.17		
-25.94   	-27.47   	 24.50   	-376.40		 16.03   	 -10.17		
-23.80   	-22.58   	 22.99   	-335.71		 15.99   	 -15.26		
-22.89   	-18.62   	 21.65   	-300.10		 15.93   	 -15.26		
-23.50   	-16.78   	 20.45   	-269.58		 15.87   	 -20.35		
-24.72   	-16.48   	 19.37   	-233.98		 15.79   	 -15.26		
-25.94   	-17.09   	 18.43   	-208.54		 15.73   	 -20.35		
-26.55   	-18.01   	 17.60   	-183.11		 15.65   	 -15.26		
-26.55   	-18.92   	 16.87   	-157.68		 15.58   	 -15.26		
-25.63   	-20.14   	 16.24   	-142.42		 15.52   	  -5.09		
-23.80   	-21.36   	 15.67   	-122.07		 15.50   	  -5.09		
-21.97   	-21.97   	 15.18   	-101.73		 15.48   	  -5.09		
-20.45   	-21.67   	 14.77   	 -86.47		 15.46   	  -5.09		
-19.84   	-21.97   	 14.43   	 -66.12		 15.44   	 -10.17		
-19.53   	-23.50   	 14.16   	 -50.86		 15.40   	 -15.26		
-19.53   	-26.25   	 13.96   	 -35.61		 15.34   	 -20.35		
-20.45   	-28.69   	 13.81   	 -25.43		 15.26   	 -20.35		
-22.58   	-29.30   	 13.71   	 -15.26		 15.18   	 -20.35		
-24.72   	-27.77   	 13.65   	 -10.17		 15.10   	 -15.26		
-26.25   	-25.63   	 13.61(D)	   0.00		 15.04   	 -20.35		
-25.63   	-24.11   	 13.61   	   5.09		 14.95   	 -15.26		
-23.19   	-24.11   	 13.63   	   5.09		 14.89   	 -10.17		
-20.75   	-25.33   	 13.65   	  15.26		 14.85   	 -10.17		
-20.14   	-27.77   	 13.71   	  15.26		 14.81   	 -10.17		
-21.97   	-30.82   	 13.77   	  15.26		 14.77   	  -5.09		
-25.02   	-34.48   	 13.84   	  25.43		 14.75   	  -5.09		
-26.86   	-38.15   	 13.94   	  20.35		 14.73   	 -10.17		
-26.25   	-40.59   	 14.02   	  30.52		 14.69   	   0.00		
-23.50   	-41.50   	 14.14   	  30.52		 14.69   	  -5.09		
-20.45   	-40.28   	 14.26   	  35.61		 14.67   	   0.00		
-18.92   	-38.76   	 14.40   	  35.61		 14.67   	   0.00		
-19.53   	-38.76   	 14.55   	  40.69		 14.67   	   0.00		
-22.28   	-41.50   	 14.71   	  40.69		 14.67   	   5.09		
-25.94   	-45.78   	 14.87   	  40.69		 14.69   	   5.09		
-28.69   	-48.83   	 15.04   	  45.78		 14.71   	   5.09		
-29.91   	-49.13   	 15.22   	  40.69		 14.73   	   5.09		
-28.38   	-46.08   	 15.38   	  45.78		 14.75   	   5.09		
-26.25   	-43.03   	 15.56   	  45.78		 14.77   	   0.00		
-25.02   	-42.11   	 15.75   	  45.78		 14.77   	   0.00		
-25.63   	-44.86   	 15.93   	  45.78		 14.77   	   0.00		
-27.16   	-49.13   	 16.11   	  45.78		 14.77   	   0.00		
-27.77   	-51.88   	 16.30   	  45.78		 14.77   	  -5.09		
-26.55   	-50.96   	 16.48   	  40.69		 14.75   	   0.00		
-24.41   	-47.61   	 16.64   	  35.61		 14.75   	   5.09		
-23.50   	-44.56   	 16.79   	  35.61		 14.77   	   5.09		
-24.72   	-44.56   	 16.93   	  35.61		 14.79   	   5.09		
-26.25   	-47.00   	 17.07   	  30.52		 14.81   	  10.17		
-26.25   	-50.35   	 17.19   	  25.43		 14.85   	  15.26		
-23.50   	-52.80   	 17.29   	  20.35		 14.91   	  15.26		
-19.84   	-53.41   	 17.38   	  15.26		 14.97   	  15.26		
-17.70   	-52.80   	 17.44   	  15.26		 15.04   	  15.26		
-18.31   	-51.57   	 17.50   	  10.17		 15.10   	  15.26		
-21.06   	-49.74   	 17.54   	   5.09		 15.16   	  10.17		
-23.50   	-47.61   	 17.56   	   5.09		 15.20   	  15.26		
-24.11   	-45.78   	 17.58   	   5.09		 15.26   	  10.17		
-21.97   	-44.56   	 17.60   	  -5.09		 15.30   	   5.09		
-18.62   	-44.25   	 17.58   	   0.00		 15.32   	   0.00		
-15.87   	-45.17   	 17.58   	  -5.09		 15.32   	   0.00		
-15.26   	-46.39   	 17.56   	   0.00		 15.32   	   0.00		
-16.17   	-46.69   	 17.56   	  -5.09		 15.32   	  -5.09		
-17.09   	-44.56   	 17.54   	  -5.09		 15.30   	  -5.09		
-15.56   	-37.54   	 17.52   	   0.00		 15.28   	   0.00		
-10.68   	-25.94   	 17.52   	   0.00		 15.28   	   0.00		
 -3.36   	-11.60   	 17.52   	   0.00		 15.28   	   5.09		
  3.66   	  1.83   	 17.52   	   5.09		 15.30   	   0.00		
  8.24   	 10.68   	 17.54   	   5.09		 15.30   	   5.09		
  9.77   	 12.82   	 17.56   	   5.09		 15.32   	   0.00		
 10.38   	 10.07   	 17.58   	   5.09		 15.32   	   5.09		
 12.51   	  7.32   	 17.60   	  10.17		 15.34   	   5.09		
 16.78   	  7.93   	 17.64   	   5.09		 15.36   	   0.00		
 21.97   	 14.04   	 17.66   	  10.17		 15.36   	   5.09		
 26.25   	 23.80   	 17.70   	   5.09		 15.38   	   0.00		
 27.77   	 33.57   	 17.72   	   5.09		 15.38   	   5.09		
 27.47   	 40.28   	 17.74   	   5.09		 15.40   	   5.09		
 27.16   	 41.50   	 17.76   	  -5.09		 15.42   	   0.00		
 28.38   	 38.76   	 17.74   	   0.00		 15.42   	   5.09		
 31.43   	 33.87   	 17.74   	 -10.17		 15.44   	   5.09		
 35.40   	 29.60   	 17.70   	  -5.09		 15.46   	  10.17		
 39.67   	 26.55   	 17.68   	  -5.09		 15.50   	  15.26		
 41.50   	 24.41   	 17.66   	   0.00		 15.56   	  15.26		
 39.06   	 20.45   	 17.66   	   5.09		 15.63   	  20.35		
 31.74   	 14.34   	 17.68   	  10.17		 15.71   	  20.35		
 19.84   	  7.32   	 17.72   	  15.26		 15.79   	  25.43		
  5.49   	  1.22   	 17.78   	  25.43		 15.89   	  25.43		
 -9.46   	 -4.88   	 17.88   	  25.43		 15.99   	  30.52		
-22.89   	-12.82   	 17.99   	  30.52		 16.11   	  25.43		
-33.26   	-22.89   	 18.11   	  35.61		 16.22   	  35.61		
-39.37   	-33.26   	 18.25   	  30.52		 16.36   	  40.69		
-40.59   	-40.89   	 18.37   	  35.61		 16.52   	  55.95		
-39.06   	-45.17   	 18.51   	  30.52		 16.74   	  66.12		
-36.93   	-46.39   	 18.64   	  30.52		 17.01   	  81.38		
-35.71   	-46.69   	 18.76   	  30.52		 17.33   	  86.47		
-35.40   	-44.86   	 18.88   	  30.52		 17.68   	  86.47		
-34.79   	-42.11   	 19.00   	  25.43		 18.03   	  71.21		
-33.87   	-39.67   	 19.10   	  25.43		 18.31   	  40.69		
-32.96   	-38.76   	 19.21   	  25.43		 18.47   	  15.26		
-32.35   	-40.59   	 19.31   	  25.43		 18.54(A)	 -20.35		
-32.35   	-43.64   	 19.41   	  25.43		 18.45   	 -50.86		
-32.96   	-45.17   	 19.51   	  30.52		 18.25   	 -66.12		
-33.57   	-45.17   	 19.63   	  25.43		 17.99   	 -76.30		
-34.48   	-44.56   	 19.74   	  30.52		 17.68   	 -81.38		
-35.40   	-44.25   	 19.86   	  35.61		 17.35   	 -76.30		
-35.40   	-43.64   	 20.00   	  40.69		 17.05   	 -66.12		
-34.18   	-41.20   	 20.16   	  50.86		 16.79   	 -61.04		
-32.35   	-37.23   	 20.37   	  55.95		 16.54   	 -55.95		
-32.65   	-33.87   	 20.59   	  66.12		 16.32   	 -45.78		
-36.01   	-31.74   	 20.85   	  76.30		 16.13   	 -50.86		
-39.67   	-29.30   	 21.16   	  81.38		 15.93   	 -50.86		
-36.93   	-21.97   	 21.49   	  81.38		 15.73   	 -50.86		
-19.23   	 -6.71   	 21.81   	  76.30		 15.52   	 -50.86		
 21.36   	 19.84   	 22.12   	  71.21		 15.32   	 -45.78		
 86.06   	 59.81   	 22.40   	  61.04		 15.14   	 -50.86		
169.37   	118.41   	 22.64   	  50.86		 14.93   	 -40.69		
262.45   	200.81   	 22.85   	  45.78		 14.77   	 -35.61		
353.09   	300.90   	 23.03   	  45.78		 14.63   	 -35.61		
425.11   	391.54   	 23.21   	  50.86		 14.49   	 -30.52		
458.37   	431.82(R)	 23.42(E)	  61.04		 14.36   	 -25.43		
434.27   	389.40   	 23.66   	  76.30		 14.26   	 -20.35		
345.76   	267.33   	 23.97   	 106.82		 14.18   	 -20.35		
210.27   	109.25   	 24.39   	 137.33		 14.10   	 -15.26		
 65.92   	-25.63   	 24.94   	 188.20		 14.04   	 -10.17		
-47.30   	-98.27   	 25.70   	 244.15		 14.00   	  -5.09		
-104.68   	-107.42   	 26.67   	 315.36		 13.98   	   5.09		
