  I     	  II     	  LV     	  LV'		  PW     	  PW'		
-19.53   	-20.14   	 59.96   	-895.22		 10.07   	  96.64		
-20.45   	-19.23   	 56.38   	-874.87		 10.46   	 116.99		
-21.36   	-18.62   	 52.88   	-849.44		 10.93   	 122.07		
-21.67   	-18.01   	 49.48   	-824.00		 11.41   	 132.25		
-21.97   	-17.09   	 46.18   	-793.49		 11.94   	 127.16		
-22.28   	-15.87   	 43.01   	-757.88		 12.45   	 116.99		
-22.89   	-14.65   	 39.98   	-722.28		 12.92   	 106.82		
-23.19   	-13.12   	 37.09   	-681.58		 13.35   	  86.47		
-22.89   	-10.68   	 34.36   	-630.72		 13.69   	  71.21		
-21.97   	 -7.63   	 31.84   	-579.86		 13.98   	  55.95		
-20.75   	 -5.19   	 29.52   	-534.08		 14.20   	  40.69		
-20.14   	 -4.58   	 27.39   	-488.30		 14.36   	  35.61		
-20.45   	 -6.71   	 25.43   	-452.69		 14.51   	  25.43		
-21.06   	-10.68   	 23.62   	-417.09		 14.61   	  25.43		
-21.06   	-14.95   	 21.95   	-391.66		 14.71   	  25.43		
-20.75   	-17.70   	 20.39   	-361.14		 14.81   	  30.52		
-20.14   	-19.23   	 18.94   	-330.62		 14.93   	  35.61		
-20.14   	-19.84   	 17.62   	-310.27		 15.08   	  35.61		
-20.45   	-20.45   	 16.38   	-274.67		 15.22   	  35.61		
-21.06   	-21.06   	 15.28   	-249.24		 15.36   	  30.52		
-21.06   	-21.36   	 14.28   	-218.72		 15.48   	  20.35		
-20.45   	-20.45   	 13.41   	-193.29		 15.56   	  20.35		
-18.92   	-18.31   	 12.63   	-178.03		 15.65   	   5.09		
-17.09   	-16.17   	 11.92   	-157.68		 15.67   	  -5.09		
-15.87   	-15.26   	 11.29   	-147.51		 15.65   	 -15.26		
-15.87   	-16.78   	 10.70   	-142.42		 15.58   	 -20.35		
-16.78   	-19.84   	 10.13   	-137.33		 15.50   	 -30.52		
-18.31   	-23.80   	  9.58   	-127.16		 15.38   	 -35.61		
-19.23   	-26.86   	  9.07   	-116.99		 15.24   	 -40.69		
-20.14   	-28.99   	  8.61   	-106.82		 15.08   	 -45.78		
-20.75   	-30.52   	  8.18   	 -91.56		 14.89   	 -45.78		
-21.36   	-32.04   	  7.81   	 -71.21		 14.71   	 -45.78		
-22.58   	-34.18   	  7.53   	 -50.86		 14.53   	 -40.69		
-23.19   	-35.10   	  7.32   	 -30.52		 14.36   	 -45.78		
-23.19   	-34.18   	  7.20   	 -10.17		 14.18   	 -40.69		
-22.28   	-31.13   	  7.16   	   0.00		 14.02   	 -40.69		
-20.75   	-27.77   	  7.16   	  10.17		 13.86   	 -45.78		
-19.84   	-26.25   	  7.20   	  10.17		 13.67   	 -45.78		
-19.84   	-26.55   	  7.24   	   0.00		 13.49   	 -45.78		
-20.14   	-27.77   	  7.24   	 -10.17		 13.31   	 -50.86		
-20.14   	-28.38   	  7.20   	 -20.35		 13.10   	 -50.86		
-19.53   	-27.47   	  7.12   	 -30.52		 12.90   	 -55.95		
-18.92   	-25.94   	  7.00   	 -30.52		 12.68   	 -50.86		
-18.62   	-25.33   	  6.88   	 -25.43		 12.47   	 -55.95		
-18.92   	-25.33   	  6.78   	 -20.35		 12.25   	 -50.86		
-19.53   	-25.94   	  6.69   	   0.00		 12.04   	 -50.86		
-20.45   	-26.25   	  6.69   	  15.26		 11.84   	 -45.78		
-21.36   	-25.63   	  6.75   	  25.43		 11.66   	 -40.69		
-22.28   	-24.41   	  6.86   	  40.69		 11.50   	 -40.69		
-22.58   	-22.89   	  7.02   	  40.69		 11.33   	 -35.61		
-22.58   	-21.36   	  7.18   	  45.78		 11.19   	 -30.52		
-21.97   	-20.45   	  7.37   	  35.61		 11.07   	 -30.52		
-21.36   	-20.14   	  7.51   	  30.52		 10.95   	 -35.61		
-21.06   	-21.06   	  7.63   	  25.43		 10.80   	 -30.52		
-21.67   	-22.28   	  7.73   	  15.26		 10.68   	 -35.61		
-22.28   	-23.19   	  7.79   	  15.26		 10.54   	 -35.61		
-22.58   	-23.50   	  7.85   	  10.17		 10.40   	 -35.61		
-22.89   	-22.89   	  7.89   	  20.35		 10.25   	 -40.69		
-22.89   	-22.28   	  7.98   	  15.26		 10.09   	 -40.69		
-23.19   	-22.28   	  8.04   	  20.35		  9.93   	 -40.69		
-24.11   	-22.28   	  8.12   	  25.43		  9.77   	 -40.69		
-25.63   	-22.28   	  8.22   	  15.26		  9.60   	 -35.61		
-27.16   	-21.97   	  8.28   	  15.26		  9.46   	 -35.61		
-28.08   	-20.75   	  8.34   	  10.17		  9.32   	 -30.52		
-28.08   	-19.23   	  8.38   	   5.09		  9.20   	 -25.43		
-27.16   	-17.40   	  8.40   	   0.00		  9.09   	 -25.43		
-25.94   	-16.78   	  8.40   	 -10.17		  8.99   	 -20.35		
-24.72   	-17.40   	  8.36   	  -5.09		  8.91   	 -20.35		
-24.41   	-18.62   	  8.34   	 -10.17		  8.83   	 -20.35		
-25.02   	-19.53   	  8.30   	 -10.17		  8.75   	 -20.35		
-26.25   	-20.14   	  8.26   	 -10.17		  8.67   	 -20.35		
-27.47   	-20.14   	  8.22   	 -10.17		  8.59   	 -15.26		
-28.38   	-19.53   	  8.18   	  -5.09		  8.52   	 -20.35		
-28.38   	-18.92   	  8.16   	  -5.09		  8.44   	 -15.26		
-27.77   	-18.62   	  8.14   	  -5.09		  8.38   	 -20.35		
-27.16   	-18.01   	  8.12   	   5.09		  8.30   	 -15.26		
-27.47   	-17.70   	  8.14   	   5.09		  8.24   	 -15.26		
-28.38   	-17.40   	  8.16   	  10.17		  8.18   	 -15.26		
-28.99   	-17.09   	  8.20   	  10.17		  8.12   	 -15.26		
-28.69   	-16.48   	  8.24   	  20.35		  8.06   	 -10.17		
-27.47   	-15.56   	  8.32   	  15.26		  8.02   	 -10.17		
-26.25   	-14.04   	  8.38   	  20.35		  7.98   	  -5.09		
-25.63   	-12.82   	  8.46   	  20.35		  7.96   	 -10.17		
-26.25   	-12.51   	  8.55   	  20.35		  7.91   	  -5.09		
-28.38   	-13.43   	  8.63   	  20.35		  7.89   	  -5.09		
-31.13   	-15.26   	  8.71   	  15.26		  7.87   	  -5.09		
-32.96   	-17.40   	  8.77   	  15.26		  7.85   	 -10.17		
-33.26   	-18.31   	  8.83   	  15.26		  7.81   	  -5.09		
-31.74   	-17.70   	  8.89   	  15.26		  7.79   	  -5.09		
-28.69   	-16.17   	  8.95   	  15.26		  7.77   	  -5.09		
-25.94   	-14.65   	  9.01   	  15.26		  7.75   	  -5.09		
-24.72   	-13.43   	  9.07   	  15.26		  7.73   	 -10.17		
-24.72   	-12.51   	  9.14   	  15.26		  7.69   	  -5.09		
-25.63   	-10.38   	  9.20   	  10.17		  7.67   	  -5.09		
-25.33   	 -7.02   	  9.24   	  15.26		  7.65   	  -5.09		
-23.19   	 -1.83   	  9.30   	  15.26		  7.63   	   0.00		
-18.92   	  4.58   	  9.36   	  10.17		  7.63   	  -5.09		
-13.43   	 10.07   	  9.40   	  15.26		  7.61   	  -5.09		
 -7.63   	 12.82   	  9.46   	  10.17		  7.59   	   0.00		
 -1.83   	 12.21   	  9.50   	  10.17		  7.59   	  -5.09		
  3.36   	  9.16   	  9.54   	  10.17		  7.57   	  -5.09		
  8.85   	  6.71   	  9.58   	  10.17		  7.55   	   0.00		
 15.26   	  7.93   	  9.62   	  10.17		  7.55   	  -5.09		
 21.97   	 14.95   	  9.66   	  10.17		  7.53   	  -5.09		
 28.08   	 24.41   	  9.70   	  15.26		  7.51   	  -5.09		
 31.43   	 31.13   	  9.77   	  10.17		  7.49   	  -5.09		
 30.82   	 29.91   	  9.81   	  10.17		  7.47   	   0.00		
 26.55   	 19.53   	  9.85   	   5.09		  7.47   	  -5.09		
 21.36   	  2.75   	  9.87   	  10.17		  7.45   	   0.00		
 18.92   	-14.65   	  9.91   	  10.17		  7.45   	  -5.09		
 21.36   	-28.38   	  9.95   	   5.09		  7.43   	   0.00		
 29.60   	-36.62   	  9.97   	   5.09		  7.43   	   0.00		
 39.67   	-41.50   	  9.99   	   0.00		  7.43   	   5.09		
 47.00   	-45.47   	  9.99   	   0.00		  7.45   	   0.00		
 49.74   	-49.44   	  9.99   	   0.00		  7.45   	   5.09		
 48.22   	-50.96   	  9.99   	   0.00		  7.47   	   5.09		
 45.78   	-48.22   	  9.99   	  -5.09		  7.49   	   0.00		
 45.47   	-41.20   	  9.97   	   0.00		  7.49   	   5.09		
 47.00   	-31.43   	  9.97   	   0.00		  7.51   	   0.00		
 49.74   	-23.80   	  9.97   	   0.00		  7.51   	   0.00		
 52.19   	-19.84   	  9.97   	   0.00		  7.51   	   0.00		
 54.02   	-18.92   	  9.97   	   5.09		  7.51   	   0.00		
 53.71   	-17.09   	  9.99   	  10.17		  7.51   	   0.00		
 50.05   	-12.21   	 10.03   	   5.09		  7.51   	   0.00		
 40.89   	 -5.19   	 10.05   	  15.26		  7.51   	  -5.09		
 26.86   	 -0.61   	 10.11   	  10.17		  7.49   	  -5.09		
 11.29   	 -3.36   	 10.15   	  15.26		  7.47   	  -5.09		
 -1.53   	-14.34   	 10.21   	  10.17		  7.45   	  -5.09		
-10.07   	-27.47   	 10.25   	  15.26		  7.43   	  -5.09		
-14.04   	-35.40   	 10.32   	  10.17		  7.41   	  -5.09		
-15.87   	-33.87   	 10.36   	   5.09		  7.39   	   0.00		
-17.40   	-24.41   	 10.38   	  10.17		  7.39   	   5.09		
-18.92   	-14.04   	 10.42   	   5.09		  7.41   	  10.17		
-20.14   	 -8.54   	 10.44   	   5.09		  7.45   	  10.17		
-20.45   	 -9.77   	 10.46   	  10.17		  7.49   	  20.35		
-20.14   	-13.73   	 10.50   	   5.09		  7.57   	  25.43		
-19.53   	-16.48   	 10.52   	  10.17		  7.67   	  25.43		
-19.23   	-16.48   	 10.56   	  15.26		  7.77   	  30.52		
-19.23   	-14.04   	 10.62   	  20.35		  7.89   	  30.52		
-19.53   	-10.38   	 10.70   	  25.43		  8.02   	  35.61		
-19.84   	 -7.02   	 10.80   	  30.52		  8.16   	  35.61		
-20.14   	 -3.66   	 10.93   	  35.61		  8.30   	  30.52		
-21.06   	 -0.31   	 11.07   	  50.86		  8.42   	  35.61		
-27.47   	  6.10   	 11.27   	  55.95		  8.57   	  30.52		
-45.47   	 18.92   	 11.50   	  71.21		  8.69   	  30.52		
-80.26   	 38.76   	 11.78   	  76.30		  8.81   	  30.52		
-128.78   	 62.26   	 12.09   	  86.47		  8.93   	  30.52		
-172.73   	 84.23   	 12.43   	  96.64		  9.05   	  25.43		
-182.80   	103.15   	 12.82   	  96.64		  9.16   	  30.52		
-127.56   	129.39   	 13.20   	 101.73		  9.28   	  25.43		
 10.99   	181.58   	 13.61   	 101.73		  9.38   	  30.52		
231.32   	276.49   	 14.02   	  91.56		  9.50   	  30.52		
510.25   	411.68   	 14.38   	  91.56		  9.62   	  30.52		
803.83   	542.60   	 14.75   	  86.47		  9.75   	  35.61		
1047.67   	590.82(R)	 15.10(E)	  81.38		  9.89   	  35.61		
1174.01   	487.67   	 15.42   	  76.30		 10.03   	  40.69		
1143.80   	230.41   	 15.73   	  71.21		 10.19   	  35.61		
973.21   	-95.52   	 16.01   	  71.21		 10.34   	  35.61		
730.90   	-353.39   	 16.30   	  66.12		 10.48   	  35.61		
501.40   	-443.42   	 16.56   	  71.21		 10.62   	  30.52		
336.30   	-368.65   	 16.85   	  71.21		 10.74   	  25.43		
230.10   	-220.34   	 17.13   	  86.47		 10.84   	  20.35		
150.45   	-98.88   	 17.48   	  96.64		 10.93   	  20.35		
 74.77   	-46.69   	 17.86   	 127.16		 11.01   	  20.35		
  7.32   	-41.81   	 18.37   	 167.85		 11.09   	  20.35		
-35.10   	-40.89   	 19.04   	 223.80		 11.17   	  15.26		
-47.61   	-24.72   	 19.94   	 284.84		 11.23   	  20.35		
-43.33   	 -3.36   	 21.08   	 356.05		 11.31   	  25.43		
-42.11   	  6.71   	 22.50   	 432.35		 11.41   	  25.43		
-51.27   	  3.05   	 24.23   	 518.82		 11.52   	  30.52		
-65.31   	 -3.66   	 26.31   	 595.11		 11.64   	  25.43		
-75.68   	 -4.88   	 28.69   	 676.50		 11.74   	  30.52		
-79.35   	 -0.31   	 31.39   	 747.71		 11.86   	  20.35		
-78.43   	  6.41   	 34.38   	 818.92		 11.94   	  20.35		
-77.21   	 11.60   	 37.66   	 874.87		 12.02   	  10.17		
-77.51   	 15.26   	 41.16   	 920.65		 12.07   	   0.00		
-79.96   	 16.78   	 44.84   	 951.17		 12.07   	   0.00		
-83.01   	 17.40   	 48.65   	 956.25		 12.07   	  -5.09		
-84.84   	 18.01   	 52.47   	 956.25		 12.04   	  -5.09		
-85.45   	 18.92   	 56.30   	 946.08		 12.02   	   0.00		
-84.84   	 20.45   	 60.08   	 935.91		 12.02   	  10.17		
-84.84   	 21.06   	 63.82   	 925.73		 12.07   	  15.26		
-85.75   	 20.14   	 67.53   	 925.73		 12.13   	  30.52		
-87.89   	 18.31   	 71.23   	 930.82		 12.25   	  30.52		
-90.33   	 16.17   	 74.95   	 930.82		 12.37   	  35.61		
-92.77   	 15.26   	 78.68   	 935.91		 12.51   	  35.61		
-94.30   	 15.26   	 82.42   	 920.65		 12.66   	  30.52		
-95.52   	 15.87   	 86.10   	 895.22		 12.78   	  15.26		
-96.44   	 15.87   	 89.68   	 854.52		 12.84   	  10.17		
-97.35   	 15.26   	 93.10   	 808.75		 12.88(A)	 -15.26		
-98.27   	 14.34   	 96.34   	 752.79		 12.82   	 -25.43		
-99.18   	 13.73   	 99.35   	 701.93		 12.72   	 -40.69		
-100.10   	 14.04   	102.16   	 645.98		 12.55   	 -55.95		
-101.01   	 15.26   	104.74   	 600.20		 12.33   	 -71.21		
-101.62   	 16.48   	107.14   	 559.51		 12.04   	 -71.21		
-102.54   	 17.09   	109.38   	 518.82		 11.76   	 -76.30		
-103.15   	 16.78   	111.45   	 483.21		 11.45   	 -76.30		
-103.76   	 15.56   	113.39   	 452.69		 11.15   	 -76.30		
-104.68   	 14.04   	115.20   	 427.26		 10.84   	 -76.30		
-105.90   	 12.51   	116.91   	 396.74		 10.54   	 -66.12		
-107.12   	 11.60   	118.49   	 371.31		 10.27   	 -61.04		
-108.34   	 12.21   	119.98   	 350.97		 10.03   	 -55.95		
-109.25   	 13.43   	121.38   	 335.71		  9.81   	 -50.86		
-109.86   	 14.95   	122.73   	 315.36		  9.60   	 -45.78		
-109.86   	 16.17   	123.99   	 300.10		  9.42   	 -40.69		
-109.86   	 16.78   	125.19   	 289.93		  9.26   	 -40.69		
-109.86   	 18.31   	126.35   	 274.67		  9.09   	 -40.69		
-110.47   	 21.06   	127.45   	 259.41		  8.93   	 -45.78		
-111.08   	 25.02   	128.48   	 249.24		  8.75   	 -40.69		
-112.30   	 29.30   	129.48   	 228.89		  8.59   	 -50.86		
-113.53   	 32.96   	130.40   	 208.54		  8.38   	 -45.78		
-115.05   	 36.01   	131.23   	 188.20		  8.20   	 -55.95		
-117.19   	 38.15   	131.98   	 167.85		  7.98   	 -55.95		
-119.32   	 40.28   	132.65   	 147.51		  7.75   	 -50.86		
-122.07   	 42.72   	133.24   	 137.33		  7.55   	 -55.95		
-125.43   	 46.08   	133.79   	 127.16		  7.32   	 -45.78		
-129.09   	 49.44   	134.30   	 122.07		  7.14   	 -45.78		
-133.06   	 52.49   	134.79   	 111.90		  6.96   	 -35.61		
-137.02   	 54.02   	135.24   	 122.07		  6.82   	 -30.52		
-140.99   	 54.32   	135.73   	 116.99		  6.69   	 -25.43		
-144.96   	 54.32   	136.19   	 122.07		  6.59   	 -20.35		
-148.93   	 54.02   	136.68   	 122.07		  6.51   	 -15.26		
-153.20   	 54.02   	137.17   	 116.99		  6.45   	 -15.26		
-157.47   	 53.71   	137.64   	 106.82		  6.39   	 -10.17		
-160.22   	 52.80   	138.07   	  96.64		  6.35   	  -5.09		
-161.44   	 51.27   	138.45   	  81.38		  6.33   	 -10.17		
-160.83   	 49.74   	138.78   	  66.12		  6.29   	 -10.17		
-159.30   	 48.22   	139.04   	  55.95		  6.25   	  -5.09		
-157.17   	 46.69   	139.27   	  35.61		  6.23   	  -5.09		
-154.11   	 45.47   	139.41   	  15.26		  6.21   	  -5.09		
-148.93   	 44.25   	139.47(S)	 -10.17		  6.19   	  -5.09		
-140.69   	 42.72   	139.43   	 -40.69		  6.16   	   0.00		
-129.09   	 41.20   	139.27   	 -66.12		  6.16   	   0.00		
-114.75   	 38.76   	139.00   	 -86.47		  6.16   	   0.00		
-99.49   	 34.79   	138.66   	 -96.64		  6.16   	   5.09		
-84.23   	 29.60   	138.27   	-111.90		  6.19   	  10.17		
-70.50   	 23.80   	137.82   	-116.99		  6.23   	   5.09		
-58.29   	 17.70   	137.35   	-116.99		  6.25   	   5.09		
-48.22   	 11.29   	136.89   	-116.99		  6.27   	  10.17		
-40.28   	  5.19   	136.42   	-116.99		  6.31   	   5.09		
-33.87   	 -0.92   	135.95   	-122.07		  6.33   	  10.17		
-28.99   	 -6.71   	135.46   	-127.16		  6.37   	   5.09		
-24.72   	-11.60   	134.95   	-142.42		  6.39   	  10.17		
-20.45   	-15.26   	134.38   	-152.59		  6.43   	  15.26		
-17.09   	-18.31   	133.77   	-172.94		  6.49   	  10.17		
-14.65   	-21.36   	133.08   	-193.29		  6.53   	  20.35		
-14.34   	-24.72   	132.31   	-228.89		  6.61   	  20.35		
-14.95   	-28.38   	131.39   	-254.32		  6.69   	  30.52		
-15.87   	-31.43   	130.38   	-289.93		  6.82   	  30.52		
-15.87   	-33.26   	129.22   	-335.71		  6.94   	  40.69		
-15.26   	-34.48   	127.87   	-371.31		  7.10   	  40.69		
-14.34   	-35.71   	126.39   	-422.18		  7.26   	  50.86		
-14.34   	-37.84   	124.70   	-473.04		  7.47   	  50.86		
-15.26   	-40.59   	122.81   	-513.73		  7.67   	  55.95		
-16.48   	-43.33   	120.75   	-554.42		  7.89   	  55.95		
-16.78   	-45.17   	118.53   	-600.20		  8.12   	  55.95		
-16.78   	-46.39   	116.13   	-635.81		  8.34   	  50.86		
-16.17   	-47.00   	113.59   	-666.32		  8.55   	  55.95		
-15.87   	-47.30   	110.93   	-696.84		  8.77   	  45.78		
-15.56   	-47.91   	108.14   	-732.45		  8.95   	  40.69		
-15.87   	-49.44   	105.21   	-768.05		  9.11   	  30.52		
-16.78   	-50.96   	102.14   	-808.75		  9.24   	  25.43		
-18.01   	-52.49   	 98.90   	-849.44		  9.34   	  15.26		
-18.92   	-53.10   	 95.50   	-890.13		  9.40   	   0.00		
-19.84   	-52.80   	 91.94   	-930.82		  9.40   	  -5.09		
-20.14   	-51.27   	 88.22   	-966.43		  9.38   	 -15.26		
-20.14   	-49.13   	 84.35   	-981.68		  9.32   	 -10.17		
-19.84   	-46.69   	 80.43   	-996.94		  9.28   	 -10.17		
-20.14   	-44.56   	 76.44   	-991.86		  9.24   	   5.09		
-20.14   	-42.11   	 72.47   	-986.77		  9.26   	  25.43		
-20.14   	-39.67   	 68.52   	-966.43		  9.36   	  45.78		
-19.53   	-37.23   	 64.66   	-940.99		  9.54   	  71.21		
-18.92   	-35.40   	 60.89   	-920.65		  9.83   	  96.64		
-18.92   	-34.48   	 57.21   	-895.22		 10.21   	 116.99		
-19.53   	-33.87   	 53.63   	-869.78		 10.68   	 137.33		
-20.75   	-33.57   	 50.15   	-839.26		 11.23   	 137.33		
-21.67   	-32.35   	 46.80   	-808.75		 11.78   	 142.42		
-21.67   	-30.82   	 43.56   	-768.05		 12.35   	 132.25		
-20.75   	-28.69   	 40.49   	-727.36		 12.88   	 122.07		
-19.53   	-26.55   	 37.58   	-681.58		 13.37   	 101.73		
-18.92   	-24.72   	 34.85   	-635.81		 13.77   	  81.38		
-18.92   	-22.89   	 32.31   	-584.94		 14.10   	  66.12		
-18.92   	-21.36   	 29.97   	-534.08		 14.36   	  45.78		
-18.31   	-20.14   	 27.83   	-493.39		 14.55   	  35.61		
-16.48   	-19.53   	 25.86   	-452.69		 14.69   	  25.43		
-14.04   	-19.84   	 24.05   	-412.00		 14.79   	  25.43		
-12.51   	-20.75   	 22.40   	-381.48		 14.89   	  20.35		
-11.90   	-21.97   	 20.87   	-350.97		 14.97   	  25.43		
-12.21   	-22.58   	 19.47   	-315.36		 15.08   	  25.43		
-13.12   	-22.28   	 18.21   	-284.84		 15.18   	  30.52		
-14.04   	-21.67   	 17.07   	-259.41		 15.30   	  35.61		
-14.04   	-21.67   	 16.03   	-233.98		 15.44   	  30.52		
-14.04   	-21.97   	 15.10   	-203.46		 15.56   	  30.52		
-13.73   	-22.89   	 14.28   	-183.11		 15.69   	  20.35		
-14.04   	-23.80   	 13.55   	-167.85		 15.77   	  15.26		
-14.34   	-23.80   	 12.88   	-157.68		 15.83(V)	   0.00		
-15.56   	-23.80   	 12.25   	-142.42		 15.83   	  -5.09		
-16.48   	-24.11   	 11.68   	-137.33		 15.81   	 -20.35		
-17.40   	-25.33   	 11.13   	-127.16		 15.73   	 -25.43		
-17.40   	-27.16   	 10.62   	-116.99		 15.63   	 -35.61		
-16.78   	-28.69   	 10.15   	-116.99		 15.48   	 -35.61		
-15.87   	-29.30   	  9.68   	-101.73		 15.34   	 -35.61		
-14.95   	-28.99   	  9.28   	 -86.47		 15.20   	 -40.69		
-14.34   	-28.99   	  8.93   	 -76.30		 15.04   	 -35.61		
-14.34   	-28.99   	  8.63   	 -66.12		 14.89   	 -35.61		
-14.34   	-29.30   	  8.36   	 -45.78		 14.75   	 -35.61		
-14.34   	-29.91   	  8.18   	 -45.78		 14.61   	 -30.52		
