  I     	  II     	  LV     	  LV'		  PA     	  PA'		
 -1.53   	 50.05   	  7.45   	  -5.09		 11.66   	   5.09		
  0.61   	 50.35   	  7.43   	   0.00		 11.68   	   0.00		
  2.14   	 51.27   	  7.43   	   0.00		 11.68   	 -10.17		
  4.88   	 52.19   	  7.43   	   0.00		 11.64   	 -10.17		
  7.63   	 47.30   	  7.43   	   5.09		 11.60   	 -10.17		
  9.46   	 33.26   	  7.45   	   0.00		 11.56   	 -15.26		
 11.90   	 12.21   	  7.45   	   5.09		 11.50   	 -15.26		
 19.84   	 -5.49   	  7.47   	   5.09		 11.43   	 -15.26		
 33.87   	-10.07   	  7.49   	   5.09		 11.37   	  -5.09		
 52.19   	  0.00   	  7.51   	   0.00		 11.35   	 -10.17		
 67.14   	 16.78   	  7.51   	   5.09		 11.31   	   0.00		
 68.66   	 26.55   	  7.53   	   5.09		 11.31   	   0.00		
 51.88   	 20.45   	  7.55   	  10.17		 11.31   	   5.09		
 20.75   	 -1.22   	  7.59   	   5.09		 11.33   	   5.09		
-11.60   	-29.30   	  7.61   	   5.09		 11.35   	   5.09		
-30.82   	-52.80   	  7.63   	   5.09		 11.37   	   5.09		
-30.82   	-66.22   	  7.65   	  10.17		 11.39   	   5.09		
-18.31   	-71.11   	  7.69   	   5.09		 11.41   	   5.09		
 -8.54   	-73.24   	  7.71   	  10.17		 11.43   	   5.09		
-10.38   	-76.60   	  7.75   	  10.17		 11.45   	   0.00		
-20.75   	-81.18   	  7.79   	  10.17		 11.45   	 -10.17		
-28.69   	-85.14   	  7.83   	  15.26		 11.41   	 -10.17		
-28.08   	-86.36   	  7.89   	  10.17		 11.37   	 -20.35		
-22.28   	-85.45   	  7.93   	  15.26		 11.29   	 -20.35		
-20.45   	-84.23   	  8.00   	  20.35		 11.21   	 -20.35		
-28.08   	-84.53   	  8.08   	  15.26		 11.13   	 -25.43		
-41.20   	-85.75   	  8.14   	  20.35		 11.03   	 -20.35		
-51.27   	-86.67   	  8.22   	  25.43		 10.95   	 -20.35		
-52.49   	-85.75   	  8.32   	  20.35		 10.86   	 -15.26		
-45.78   	-82.40   	  8.40   	  20.35		 10.80   	 -10.17		
-37.84   	-78.74   	  8.48   	  20.35		 10.76   	  -5.09		
-33.57   	-77.21   	  8.57   	  20.35		 10.74   	   0.00		
-33.57   	-79.04   	  8.65   	  20.35		 10.74   	   5.09		
-35.10   	-83.92   	  8.73   	  10.17		 10.76   	  10.17		
-34.18   	-87.89   	  8.77   	  15.26		 10.80   	  10.17		
-30.21   	-87.89   	  8.83   	   5.09		 10.84   	  20.35		
-27.47   	-81.48   	  8.85   	   5.09		 10.93   	  20.35		
-32.65   	-67.44   	  8.87   	   5.09		 11.01   	  30.52		
-50.35   	-45.78   	  8.89   	   0.00		 11.13   	  25.43		
-76.60   	-17.40   	  8.89   	   0.00		 11.23   	  25.43		
-98.88   	 16.17   	  8.89   	   0.00		 11.33   	  20.35		
-97.35   	 53.71   	  8.89   	   0.00		 11.41   	  15.26		
-52.80   	 94.30   	  8.89   	   0.00		 11.48   	   5.09		
 42.42   	135.80   	  8.89   	  -5.09		 11.50   	   5.09		
177.61   	176.09   	  8.87   	   0.00		 11.52   	 -10.17		
322.88   	196.53   	  8.87(E)	   5.09		 11.48   	 -15.26		
439.76   	161.13   	  8.89   	   0.00		 11.41   	 -20.35		
500.49   	 38.76   	  8.89   	   5.09		 11.33   	 -20.35		
502.62   	-162.05   	  8.91   	  10.17		 11.25   	 -20.35		
460.21   	-385.44   	  8.95   	  10.17		 11.17   	 -15.26		
393.37   	-554.50   	  8.99   	  15.26		 11.11   	 -10.17		
316.16   	-628.36   	  9.05   	  20.35		 11.07   	 -10.17		
237.43   	-634.77   	  9.14   	  25.43		 11.03   	   0.00		
168.76   	-642.09   	  9.24   	  30.52		 11.03   	   0.00		
126.34   	-690.31   	  9.36   	  40.69		 11.03   	   5.09		
117.80   	-753.78   	  9.52   	  40.69		 11.05   	  15.26		
132.75   	-766.60(R)	  9.68   	  50.86		 11.11   	  15.26		
146.79   	-685.73   	  9.89   	  55.95		 11.17   	  20.35		
138.55   	-528.56   	 10.11   	  66.12		 11.25   	  20.35		
103.15   	-356.14   	 10.38   	  76.30		 11.33   	  15.26		
 54.63   	-225.52   	 10.68   	  91.56		 11.39   	   5.09		
 13.12   	-155.94   	 11.05   	 106.82		 11.41   	   0.00		
 -8.85   	-130.31   	 11.48   	 132.25		 11.41   	 -10.17		
-12.51   	-120.85   	 12.00   	 147.51		 11.37   	 -20.35		
 -8.24   	-109.86   	 12.59   	 183.11		 11.29   	 -15.26		
 -6.10   	-93.99   	 13.33   	 208.54		 11.23   	 -10.17		
-10.38   	-79.35   	 14.16   	 239.06		 11.19   	   5.09		
-19.53   	-70.19   	 15.12   	 279.75		 11.21   	  30.52		
-29.30   	-68.97   	 16.24   	 315.36		 11.33   	  50.86		
-35.71   	-71.72   	 17.50   	 356.05		 11.54   	  66.12		
-37.84   	-73.55   	 18.92   	 391.66		 11.80   	  61.04		
-37.54   	-71.11   	 20.49   	 437.43		 12.04   	  45.78		
-37.84   	-64.09   	 22.24   	 473.04		 12.23   	  25.43		
-39.98   	-54.93   	 24.13   	 508.65		 12.33   	  -5.09		
-43.95   	-47.30   	 26.16   	 544.25		 12.31   	 -15.26		
-45.78   	-43.64   	 28.34   	 564.60		 12.25   	 -15.26		
-43.95   	-44.86   	 30.60   	 590.03		 12.19   	  -5.09		
-38.45   	-50.35   	 32.96   	 600.20		 12.17   	  20.35		
-32.96   	-55.85   	 35.36   	 615.46		 12.25   	  45.78		
-29.60   	-58.29   	 37.82   	 625.63		 12.43   	  66.12		
-29.30   	-56.46   	 40.33   	 625.63		 12.70   	  81.38		
-29.91   	-52.49   	 42.83   	 625.63		 13.02   	  81.38		
-29.60   	-49.13   	 45.33   	 620.55		 13.35   	  81.38		
-27.47   	-47.30   	 47.81   	 610.37		 13.67   	  71.21		
-24.72   	-46.39   	 50.25   	 610.37		 13.96   	  66.12		
-22.28   	-46.39   	 52.70   	 595.11		 14.22   	  61.04		
-21.06   	-46.69   	 55.08   	 579.86		 14.47   	  55.95		
-21.36   	-48.52   	 57.40   	 569.68		 14.69   	  50.86		
-22.28   	-50.66   	 59.67   	 549.34		 14.89   	  45.78		
-22.58   	-52.19   	 61.87   	 534.08		 15.08   	  40.69		
-21.36   	-51.27   	 64.01   	 508.65		 15.24   	  35.61		
-19.23   	-47.30   	 66.04   	 493.39		 15.38   	  35.61		
-17.70   	-42.72   	 68.02   	 467.95		 15.52   	  30.52		
-16.48   	-39.67   	 69.89   	 447.61		 15.65   	  25.43		
-16.17   	-38.76   	 71.68   	 427.26		 15.75   	  30.52		
-16.78   	-39.67   	 73.39   	 401.83		 15.87   	  30.52		
-18.31   	-40.89   	 74.99   	 386.57		 15.99   	  25.43		
-20.14   	-41.20   	 76.54   	 366.22		 16.09   	  25.43		
-20.75   	-39.37   	 78.01   	 350.97		 16.20   	  20.35		
-17.70   	-35.71   	 79.41   	 330.62		 16.28   	  20.35		
-10.99   	-31.74   	 80.73   	 315.36		 16.36   	  15.26		
 -4.88   	-29.30   	 81.99   	 300.10		 16.42   	  15.26		
 -2.75   	-29.30   	 83.19   	 284.84		 16.48   	  20.35		
 -5.19   	-30.52   	 84.33   	 274.67		 16.56   	  15.26		
 -8.24   	-31.43   	 85.43   	 254.32		 16.62   	  20.35		
 -6.41   	-30.21   	 86.45   	 244.15		 16.70   	  20.35		
  1.53   	-26.86   	 87.43   	 228.89		 16.79   	  15.26		
 10.99   	-24.11   	 88.34   	 218.72		 16.85   	  20.35		
 14.65   	-23.50   	 89.22   	 208.54		 16.93   	  15.26		
  9.16   	-24.72   	 90.05   	 198.37		 16.99   	  20.35		
 -2.75   	-25.33   	 90.84   	 188.20		 17.07   	  25.43		
-13.12   	-22.28   	 91.60   	 172.94		 17.17   	  20.35		
-14.65   	-15.87   	 92.29   	 162.77		 17.25   	  25.43		
 -6.71   	 -7.93   	 92.94   	 152.59		 17.35   	  20.35		
  5.80   	 -0.92   	 93.55   	 142.42		 17.44   	  20.35		
 15.56   	  3.66   	 94.12   	 137.33		 17.52   	  15.26		
 20.14   	  6.71   	 94.67   	 127.16		 17.58   	  15.26		
 21.97   	 10.07   	 95.18   	 122.07		 17.64   	  10.17		
 25.94   	 15.26   	 95.67   	 111.90		 17.68   	   5.09		
 34.48   	 21.67   	 96.11   	 111.90		 17.70   	   5.09		
 44.86   	 27.47   	 96.56   	 101.73		 17.72   	   5.09		
 52.49   	 32.04   	 96.97   	  91.56		 17.74   	   0.00		
 53.10   	 35.40   	 97.33   	  86.47		 17.74   	  -5.09		
 48.22   	 38.15   	 97.68   	  81.38		 17.72   	   0.00		
 42.72   	 40.89   	 98.01   	  76.30		 17.72   	   5.09		
 41.20   	 43.64   	 98.31   	  61.04		 17.74   	   5.09		
 47.00   	 44.86   	 98.56   	  61.04		 17.76   	   5.09		
 57.07   	 44.86   	 98.80   	  50.86		 17.78   	  10.17		
 66.53   	 45.17   	 99.00   	  40.69		 17.82   	  10.17		
 72.33   	 46.08   	 99.17   	  35.61		 17.86   	  15.26		
 75.38   	 46.69   	 99.31   	  30.52		 17.92   	  15.26		
 79.04   	 45.78   	 99.43   	  25.43		 17.99   	  10.17		
 86.67   	 42.42   	 99.53   	  20.35		 18.03   	  15.26		
 97.66   	 39.06   	 99.61   	  15.26		 18.09   	   5.09		
107.73   	 37.23   	 99.67   	   5.09		 18.11   	   5.09		
114.44   	 37.84   	 99.69   	   5.09		 18.13(S)	   0.00		
118.10   	 39.67   	 99.71(S)	   0.00		 18.13   	   0.00		
119.63   	 39.37   	 99.71   	  -5.09		 18.13   	  -5.09		
122.07   	 35.40   	 99.69   	  -5.09		 18.11   	 -10.17		
125.12   	 27.47   	 99.67   	 -15.26		 18.07   	  -5.09		
126.95   	 18.31   	 99.61   	 -20.35		 18.05   	 -15.26		
126.04   	  9.46   	 99.53   	 -25.43		 17.99   	 -10.17		
123.90   	  3.36   	 99.43   	 -25.43		 17.94   	 -10.17		
122.07   	 -0.31   	 99.33   	 -35.61		 17.90   	 -10.17		
120.24   	 -2.44   	 99.19   	 -40.69		 17.86   	 -15.26		
116.58   	 -5.49   	 99.02   	 -45.78		 17.80   	  -5.09		
108.64   	-10.99   	 98.84   	 -55.95		 17.78   	 -10.17		
 94.60   	-19.23   	 98.62   	 -61.04		 17.74   	  -5.09		
 76.90   	-28.69   	 98.37   	 -71.21		 17.72   	   0.00		
 60.12   	-37.54   	 98.09   	 -76.30		 17.72   	   0.00		
 48.22   	-43.64   	 97.78   	 -86.47		 17.72   	   5.09		
 41.81   	-47.30   	 97.44   	 -96.64		 17.74   	  10.17		
 38.15   	-49.74   	 97.05   	-106.82		 17.78   	   5.09		
 33.26   	-52.19   	 96.62   	-116.99		 17.80   	   0.00		
 25.63   	-55.85   	 96.15   	-132.25		 17.80   	   0.00		
 15.56   	-60.73   	 95.63   	-142.42		 17.80   	  -5.09		
  5.80   	-65.92   	 95.06   	-157.68		 17.78   	 -10.17		
 -0.31   	-70.19   	 94.42   	-172.94		 17.74   	 -10.17		
 -1.22   	-72.33   	 93.73   	-188.20		 17.70   	 -15.26		
  1.53   	-72.63   	 92.98   	-208.54		 17.64   	 -15.26		
  6.10   	-71.41   	 92.15   	-233.98		 17.58   	 -15.26		
  9.46   	-70.19   	 91.21   	-259.41		 17.52   	 -20.35		
  8.54   	-70.50   	 90.17   	-279.75		 17.44   	 -25.43		
  0.31   	-73.85   	 89.05   	-310.27		 17.33   	 -30.52		
-14.34   	-79.35   	 87.81   	-330.62		 17.21   	 -35.61		
-30.52   	-84.53   	 86.49   	-356.05		 17.07   	 -40.69		
-42.42   	-88.50   	 85.07   	-381.48		 16.91   	 -45.78		
-45.78   	-90.94   	 83.54   	-401.83		 16.72   	 -50.86		
-41.81   	-92.77   	 81.93   	-422.18		 16.52   	 -45.78		
-34.79   	-93.38   	 80.24   	-437.43		 16.34   	 -40.69		
-28.99   	-90.94   	 78.49   	-452.69		 16.17   	 -30.52		
-24.72   	-85.75   	 76.68   	-467.95		 16.05   	 -15.26		
-21.97   	-79.35   	 74.81   	-473.04		 15.99   	 -10.17		
-20.75   	-76.29   	 72.92   	-483.21		 15.95   	   0.00		
-21.06   	-78.43   	 70.99   	-488.30		 15.95   	  10.17		
-22.28   	-83.31   	 69.03   	-493.39		 15.99   	  10.17		
-22.28   	-86.67   	 67.06   	-498.47		 16.03   	  15.26		
-18.92   	-86.98   	 65.07   	-498.47		 16.09   	  15.26		
-12.82   	-85.14   	 63.07   	-503.56		 16.15   	  10.17		
 -8.24   	-83.62   	 61.06   	-498.47		 16.20   	   5.09		
 -9.16   	-83.62   	 59.06   	-498.47		 16.22   	  -5.09		
-15.87   	-84.23   	 57.07   	-498.47		 16.20   	 -10.17		
-24.72   	-84.53   	 55.08   	-498.47		 16.15   	 -20.35		
-29.60   	-84.23   	 53.08   	-493.39		 16.07   	 -25.43		
-28.38   	-84.53   	 51.11   	-488.30		 15.97   	 -30.52		
-22.58   	-85.14   	 49.16   	-488.30		 15.85   	 -30.52		
-16.78   	-84.84   	 47.20   	-478.13		 15.73   	 -35.61		
-14.65   	-83.01   	 45.29   	-478.13		 15.58   	 -30.52		
-15.56   	-80.57   	 43.38   	-473.04		 15.46   	 -30.52		
-15.87   	-77.51   	 41.49   	-457.78		 15.34   	 -25.43		
-14.65   	-75.07   	 39.65   	-457.78		 15.24   	 -15.26		
-12.21   	-72.63   	 37.82   	-442.52		 15.18   	 -15.26		
-10.68   	-70.19   	 36.05   	-427.26		 15.12   	 -10.17		
-12.51   	-68.36   	 34.34   	-417.09		 15.08   	   0.00		
-17.40   	-69.27   	 32.68   	-401.83		 15.08   	   0.00		
-23.50   	-72.63   	 31.07   	-386.57		 15.08   	   0.00		
-27.77   	-76.90   	 29.52   	-371.31		 15.08   	  10.17		
-28.08   	-78.43   	 28.04   	-356.05		 15.12   	   5.09		
-23.50   	-74.46   	 26.61   	-335.71		 15.14   	   5.09		
-16.78   	-66.22   	 25.27   	-320.45		 15.16   	   0.00		
-13.43   	-56.76   	 23.99   	-300.10		 15.16   	  -5.09		
-16.78   	-50.05   	 22.79   	-284.84		 15.14   	 -10.17		
-25.33   	-47.61   	 21.65   	-269.58		 15.10   	 -15.26		
-32.96   	-48.22   	 20.57   	-249.24		 15.04   	 -20.35		
-34.18   	-48.52   	 19.57   	-239.06		 14.95   	 -25.43		
-29.30   	-46.69   	 18.62   	-223.80		 14.85   	 -25.43		
-23.50   	-42.72   	 17.72   	-208.54		 14.75   	 -30.52		
-22.89   	-38.45   	 16.89   	-193.29		 14.63   	 -25.43		
-27.77   	-35.10   	 16.11   	-183.11		 14.53   	 -30.52		
-33.57   	-32.65   	 15.38   	-172.94		 14.40   	 -25.43		
-34.48   	-29.91   	 14.69   	-157.68		 14.30   	 -30.52		
-29.60   	-26.86   	 14.06   	-147.51		 14.18   	 -25.43		
-23.50   	-23.50   	 13.47   	-142.42		 14.08   	 -20.35		
-21.97   	-19.23   	 12.90   	-127.16		 14.00   	 -15.26		
-27.47   	-11.90   	 12.39   	-122.07		 13.94   	 -10.17		
-36.01   	 -0.92   	 11.90   	-106.82		 13.90   	 -10.17		
-40.59   	 15.26   	 11.48   	-101.73		 13.86   	   0.00		
-36.62   	 36.01   	 11.07   	 -96.64		 13.86   	   0.00		
-25.02   	 58.29   	 10.68   	 -81.38		 13.86   	  -5.09		
-11.90   	 79.04   	 10.36   	 -81.38		 13.84   	   0.00		
 -5.19   	 94.91   	 10.03   	 -66.12		 13.84   	   0.00		
 -8.24   	103.45   	  9.77   	 -61.04		 13.84   	  -5.09		
-18.31   	105.29   	  9.52   	 -50.86		 13.81   	 -10.17		
-29.30   	103.45   	  9.32   	 -50.86		 13.77   	   0.00		
-33.57   	103.76   	  9.11   	 -40.69		 13.77   	  -5.09		
-26.86   	110.17   	  8.95   	 -35.61		 13.75   	   0.00		
-13.12   	123.29   	  8.81   	 -30.52		 13.75   	   0.00		
 -1.53   	139.16   	  8.69   	 -30.52		 13.75   	   0.00		
  0.00   	152.28   	  8.57   	 -25.43		 13.75   	   5.09		
 -9.77   	158.69   	  8.46   	 -25.43		 13.77   	  -5.09		
-23.50   	158.08   	  8.36   	 -25.43		 13.75   	  -5.09		
-31.43   	152.89   	  8.26   	 -20.35		 13.73   	 -10.17		
-29.91   	145.87   	  8.18   	 -20.35		 13.69   	 -10.17		
-23.80   	136.72   	  8.10   	 -25.43		 13.65   	 -15.26		
-20.45   	123.60   	  8.00   	 -20.35		 13.59   	 -10.17		
-22.58   	106.20   	  7.91   	 -20.35		 13.55   	  -5.09		
-24.72   	 88.81   	  7.83   	 -25.43		 13.53   	  -5.09		
-20.14   	 79.04   	  7.73   	 -20.35		 13.51   	   5.09		
 -7.32   	 82.40   	  7.65   	 -25.43		 13.53   	   5.09		
  8.54   	 97.35   	  7.55   	 -20.35		 13.55   	  15.26		
 20.14   	115.97   	  7.47   	 -25.43		 13.61   	  10.17		
 22.89   	128.17   	  7.37   	 -20.35		 13.65   	   5.09		
 15.87   	126.95   	  7.28   	 -25.43		 13.67   	   5.09		
  1.22   	111.08   	  7.18   	 -20.35		 13.69   	  -5.09		
-17.40   	 85.45   	  7.10   	 -25.43		 13.67   	  -5.09		
-37.23   	 57.98   	  7.00   	 -20.35		 13.65   	 -20.35		
-54.32   	 36.93   	  6.92   	 -15.26		 13.57   	 -15.26		
-65.92   	 26.25   	  6.86   	 -15.26		 13.51   	 -20.35		
-69.89   	 24.11   	  6.80   	 -15.26		 13.43   	 -25.43		
-68.05   	 25.63   	  6.73   	  -5.09		 13.33   	 -20.35		
-65.31   	 25.63   	  6.71   	  -5.09		 13.25   	 -20.35		
-64.39   	 22.58   	  6.69   	  -5.09		 13.16   	 -25.43		
-65.00   	 18.31   	  6.67(D)	   5.09		 13.06   	 -20.35		
-66.22   	 15.26   	  6.69   	   5.09		 12.98   	 -15.26		
-66.53   	 13.73   	  6.71   	  10.17		 12.92   	 -15.26		
-64.70   	 12.51   	  6.75   	  20.35		 12.86   	  -5.09		
-60.42   	 10.38   	  6.84   	  15.26		 12.84   	   0.00		
-55.54   	  6.71   	  6.90   	  25.43		 12.84   	   5.09		
-52.80   	  3.05   	  7.00   	  20.35		 12.86   	  10.17		
-55.54   	  1.53   	  7.08   	  25.43		 12.90   	  15.26		
-65.00   	  3.05   	  7.18   	  25.43		 12.96   	  10.17		
-77.51   	  6.41   	  7.28   	  25.43		 13.00   	  10.17		
-86.06   	  8.54   	  7.39   	  20.35		 13.04   	   5.09		
-85.45   	  7.32   	  7.47   	  20.35		 13.06   	   0.00		
-77.51   	  3.36   	  7.55   	  15.26		 13.06   	   0.00		
-67.44   	 -1.83   	  7.61   	  10.17		 13.06   	   0.00		
-59.81   	 -4.58   	  7.65   	  10.17		 13.06   	   0.00		
-56.76   	 -4.58   	  7.69   	  10.17		 13.06   	  -5.09		
-56.46   	 -3.05   	  7.73   	   5.09		 13.04   	  -5.09		
-57.98   	  0.61   	  7.75   	   0.00		 13.02   	   0.00		
-61.34   	  8.85   	  7.75   	   0.00		 13.02   	 -10.17		
-68.05   	 25.33   	  7.75   	   0.00		 12.98   	  -5.09		
-80.26   	 52.49   	  7.75   	  -5.09		 12.96   	 -10.17		
-92.77   	 88.50   	  7.73   	 -10.17		 12.92   	 -15.26		
-90.94   	128.17   	  7.69   	 -10.17		 12.86   	 -10.17		
-54.32   	164.18   	  7.65   	 -10.17		 12.82   	 -20.35		
 34.48   	192.57   	  7.61   	 -15.26		 12.74   	 -20.35		
170.59   	209.05   	  7.55   	 -15.26		 12.66   	 -20.35		
320.13   	196.23   	  7.49   	 -15.26		 12.57   	 -25.43		
430.91   	120.54   	  7.43   	 -15.26		 12.47   	 -25.43		
467.22   	-37.84   	  7.37   	 -15.26		 12.37   	 -25.43		
431.21   	-257.87   	  7.30   	 -10.17		 12.27   	 -25.43		
354.92   	-474.85   	  7.26   	 -10.17		 12.17   	 -20.35		
276.79   	-617.37   	  7.22   	  -5.09		 12.09   	 -15.26		
216.06   	-660.71   	  7.20   	  -5.09		 12.02   	 -10.17		
169.07   	-651.25   	  7.18   	   0.00		 11.98   	 -10.17		
126.34   	-658.57   	  7.18(E)	  10.17		 11.94   	  -5.09		
 90.94   	-706.79   	  7.22   	  15.26		 11.92   	  -5.09		
 72.94   	-755.62(R)	  7.28   	  20.35		 11.90   	  -5.09		
 74.77   	-737.92   	  7.37   	  30.52		 11.88   	  -5.09		
 84.84   	-623.78   	  7.49   	  35.61		 11.86   	   0.00		
 85.14   	-445.25   	  7.63   	  50.86		 11.86   	  -5.09		
 65.92   	-269.17   	  7.83   	  55.95		 11.84   	  -5.09		
 32.96   	-146.18   	  8.06   	  71.21		 11.82   	   0.00		
  1.22   	-87.28   	  8.34   	  81.38		 11.82   	  -5.09		
-18.31   	-72.33   	  8.67   	 101.73		 11.80   	   0.00		
-23.50   	-72.94   	  9.07   	 111.90		 11.80   	   0.00		
-22.28   	-69.89   	  9.52   	 137.33		 11.80   	   5.09		
-22.89   	-59.81   	 10.07   	 152.59		 11.82   	  10.17		
-28.38   	-47.61   	 10.68   	 178.03		 11.86   	  20.35		
-34.48   	-39.98   	 11.39   	 203.46		 11.94   	  30.52		
-35.10   	-38.45   	 12.21   	 228.89		 12.07   	  40.69		
-28.08   	-38.76   	 13.12   	 259.41		 12.23   	  50.86		
-18.01   	-36.01   	 14.16   	 289.93		 12.43   	  55.95		
-12.21   	-29.91   	 15.32   	 330.62		 12.66   	  55.95		
-15.26   	-25.02   	 16.64   	 356.05		 12.88   	  40.69		
-25.02   	-24.11   	 18.07   	 396.74		 13.04   	  30.52		
-34.18   	-26.55   	 19.65   	 432.35		 13.16   	  10.17		
-37.23   	-29.30   	 21.38   	 462.87		 13.20   	   0.00		
-34.18   	-30.82   	 23.23   	 498.47		 13.20   	  -5.09		
-29.30   	-31.43   	 25.23   	 523.90		 13.18   	  -5.09		
-25.02   	-31.13   	 27.32   	 554.42		 13.16   	   5.09		
-22.89   	-30.21   	 29.54   	 569.68		 13.18   	  15.26		
-22.28   	-29.60   	 31.82   	 590.03		 13.25   	  20.35		
-21.67   	-29.91   	 34.18   	 605.29		 13.33   	  30.52		
-19.84   	-31.43   	 36.60   	 605.29		 13.45   	  40.69		
-14.65   	-34.18   	 39.02   	 610.37		 13.61   	  45.78		
 -7.02   	-36.62   	 41.46   	 615.46		 13.79   	  40.69		
 -1.22   	-37.23   	 43.93   	 605.29		 13.96   	  50.86		
 -3.66   	-35.71   	 46.35   	 595.11		 14.16   	  45.78		
-16.48   	-32.96   	 48.73   	 590.03		 14.34   	  40.69		
-34.18   	-30.82   	 51.09   	 574.77		 14.51   	  45.78		
-45.47   	-30.52   	 53.39   	 559.51		 14.69   	  35.61		
-43.03   	-32.35   	 55.63   	 544.25		 14.83   	  35.61		
-28.38   	-33.87   	 57.80   	 528.99		 14.97   	  30.52		
-10.07   	-33.87   	 59.92   	 508.65		 15.10   	  25.43		
  2.44   	-31.43   	 61.95   	 493.39		 15.20   	  20.35		
  6.71   	-28.08   	 63.93   	 473.04		 15.28   	  20.35		
  5.49   	-25.63   	 65.82   	 452.69		 15.36   	  15.26		
  1.22   	-26.25   	 67.63   	 437.43		 15.42   	  15.26		
 -4.88   	-29.91   	 69.38   	 422.18		 15.48   	  15.26		
-11.60   	-33.87   	 71.07   	 396.74		 15.54   	  15.26		
-15.87   	-35.10   	 72.65   	 381.48		 15.61   	  10.17		
-14.34   	-32.65   	 74.18   	 366.22		 15.65   	  15.26		
 -5.49   	-27.16   	 75.65   	 345.88		 15.71   	  10.17		
  6.41   	-21.67   	 77.03   	 330.62		 15.75   	  10.17		
 14.34   	-17.40   	 78.35   	 315.36		 15.79   	  10.17		
 14.65   	-15.26   	 79.61   	 295.01		 15.83   	   5.09		
 10.38   	-14.65   	 80.79   	 279.75		 15.85   	  10.17		
