  I     	  II     	  LV     	  LV'		  RV     	  RV'		
 -8.85   	 21.97   	 15.06   	  55.95		 13.75   	  71.21		
 -9.77   	 20.14   	 15.28   	  66.12		 14.04   	  81.38		
 -9.16   	 19.53   	 15.54   	  81.38		 14.36   	  81.38		
 -7.32   	 19.53   	 15.87   	  91.56		 14.69   	  81.38		
 -6.41   	 18.92   	 16.24   	 111.90		 15.02   	  81.38		
 -7.32   	 16.17   	 16.68   	 111.90		 15.34   	  76.30		
 -8.85   	 13.12   	 17.13   	 127.16		 15.65   	  66.12		
 -9.77   	 12.21   	 17.64   	 122.07		 15.91   	  45.78		
 -9.46   	 15.56   	 18.13   	 116.99		 16.09   	  35.61		
 -8.85   	 22.58   	 18.60   	 106.82		 16.24   	  10.17		
 -9.77   	 30.82   	 19.02   	  96.64		 16.28   	   0.00		
-12.21   	 37.23   	 19.41   	  86.47		 16.28   	 -20.35		
-15.56   	 39.98   	 19.76   	  71.21		 16.20   	 -25.43		
-18.01   	 39.67   	 20.04   	  55.95		 16.09   	 -25.43		
-18.92   	 38.15   	 20.26   	  50.86		 15.99   	 -25.43		
-17.70   	 36.62   	 20.47   	  40.69		 15.89   	 -10.17		
-14.95   	 35.40   	 20.63   	  35.61		 15.85   	   5.09		
-11.90   	 31.74   	 20.77   	  35.61		 15.87   	  20.35		
 -9.46   	 24.11   	 20.92   	  30.52		 15.95   	  35.61		
 -8.85   	 12.21   	 21.04   	  30.52		 16.09   	  50.86		
 -9.77   	 -0.92   	 21.16   	  25.43		 16.30   	  55.95		
-11.29   	-12.21   	 21.26   	  25.43		 16.52   	  55.95		
-12.82   	-18.62   	 21.36   	  20.35		 16.74   	  55.95		
-14.65   	-20.75   	 21.44   	  20.35		 16.97   	  45.78		
-17.40   	-19.23   	 21.53   	  15.26		 17.15   	  35.61		
-20.45   	-16.17   	 21.59   	  20.35		 17.29   	  25.43		
-22.89   	-11.29   	 21.67   	  20.35		 17.40   	  10.17		
-24.41   	 -5.49   	 21.75   	  20.35		 17.44   	   5.09		
-24.11   	  0.61   	 21.83   	  20.35		 17.46   	  -5.09		
-22.89   	  6.10   	 21.91   	  15.26		 17.44   	  -5.09		
-21.67   	  9.16   	 21.97   	  20.35		 17.42   	 -15.26		
-21.06   	 10.07   	 22.05   	  10.17		 17.35   	  -5.09		
-19.53   	 10.07   	 22.10   	   5.09		 17.33   	 -10.17		
-17.70   	 10.68   	 22.12   	   5.09		 17.29   	  -5.09		
-15.56   	 12.21   	 22.14   	   0.00		 17.27   	   0.00		
-14.95   	 14.34   	 22.14   	  -5.09		 17.27   	   0.00		
-15.87   	 17.09   	 22.12   	  -5.09		 17.27   	   5.09		
-17.70   	 19.84   	 22.10   	  -5.09		 17.29   	   5.09		
-18.92   	 22.58   	 22.08   	  -5.09		 17.31   	  10.17		
-18.62   	 25.02   	 22.05   	  -5.09		 17.35   	  10.17		
-16.78   	 25.33   	 22.03   	  -5.09		 17.40   	  10.17		
-14.65   	 23.19   	 22.01   	  -5.09		 17.44   	  15.26		
-13.73   	 19.23   	 21.99   	  -5.09		 17.50   	  15.26		
-13.73   	 14.04   	 21.97   	  -5.09		 17.56   	  15.26		
-13.73   	  9.46   	 21.95   	  -5.09		 17.62   	  20.35		
-12.82   	  6.71   	 21.93   	   0.00		 17.70   	  20.35		
-10.68   	  5.19   	 21.93   	 -10.17		 17.78   	  15.26		
 -7.93   	  3.97   	 21.89   	  -5.09		 17.84   	  20.35		
 -6.41   	  2.14   	 21.87   	  -5.09		 17.92   	  15.26		
 -7.02   	  0.31   	 21.85   	  -5.09		 17.99   	  15.26		
 -8.54   	 -0.31   	 21.83   	  -5.09		 18.05   	  10.17		
-10.38   	  1.53   	 21.81   	  -5.09		 18.09   	   5.09		
-11.90   	  5.49   	 21.79   	   0.00		 18.11   	   0.00		
-13.43   	  8.85   	 21.79   	   0.00		 18.11   	   5.09		
-14.95   	  9.77   	 21.79   	   0.00		 18.13   	  -5.09		
-16.48   	  9.46   	 21.79   	   0.00		 18.11   	   0.00		
-16.78   	  9.46   	 21.79   	   5.09		 18.11   	  -5.09		
-16.17   	 10.99   	 21.81   	   5.09		 18.09   	  -5.09		
-16.17   	 11.90   	 21.83   	   5.09		 18.07   	 -10.17		
-17.09   	 10.38   	 21.85   	   5.09		 18.03   	  -5.09		
-18.01   	  4.88   	 21.87   	   0.00		 18.01   	   0.00		
-18.01   	 -2.44   	 21.87   	   5.09		 18.01   	  -5.09		
-16.48   	 -8.24   	 21.89   	   5.09		 17.99   	  -5.09		
-15.87   	-11.90   	 21.91   	   0.00		 17.97   	  -5.09		
-18.62   	-18.01   	 21.91   	   5.09		 17.94   	   0.00		
-24.11   	-32.04   	 21.93   	   0.00		 17.94   	  -5.09		
-28.69   	-52.49   	 21.93   	  -5.09		 17.92   	   0.00		
-26.86   	-61.04   	 21.91   	   0.00		 17.92   	  -5.09		
-15.56   	-22.58   	 21.91   	   0.00		 17.90   	  -5.09		
  3.97   	101.93   	 21.91   	   0.00		 17.88   	  -5.09		
 27.77   	330.81   	 21.91(E)	   5.09		 17.86   	  -5.09		
 50.05   	643.01   	 21.93   	   5.09		 17.84   	  -5.09		
 65.31   	969.54   	 21.95   	  30.52		 17.82   	 -10.17		
 53.41   	1314.09(R)	 22.08   	  20.35		 17.78   	  -5.09		
 23.50   	1228.64   	 22.16   	  35.61		 17.76   	   0.00		
-12.51   	998.84   	 22.30   	  45.78		 17.76(E)	  -5.09		
-41.81   	706.18   	 22.48   	  55.95		 17.74   	   5.09		
-53.10   	434.57   	 22.71   	  71.21		 17.76   	  10.17		
-45.78   	234.99   	 22.99   	  96.64		 17.80   	  10.17		
-28.69   	113.83   	 23.38   	 111.90		 17.84   	  20.35		
-14.34   	 48.83   	 23.82   	 147.51		 17.92   	  30.52		
 -9.16   	 12.51   	 24.41   	 178.03		 18.05   	  40.69		
-11.60   	-12.51   	 25.13   	 213.63		 18.21   	  55.95		
-15.87   	-31.43   	 25.98   	 254.32		 18.43   	  66.12		
-17.09   	-44.86   	 27.00   	 310.27		 18.70   	  86.47		
-14.95   	-55.24   	 28.24   	 361.14		 19.04   	  96.64		
-11.29   	-64.70   	 29.68   	 417.09		 19.43   	 122.07		
 -8.54   	-74.46   	 31.35   	 478.13		 19.92   	 132.25		
 -7.02   	-82.70   	 33.27   	 539.16		 20.45   	 147.51		
 -7.02   	-88.50   	 35.42   	 595.11		 21.04   	 157.68		
 -8.54   	-92.16   	 37.80   	 640.89		 21.67   	 167.85		
-10.68   	-93.38   	 40.37   	 681.58		 22.34   	 172.94		
-12.82   	-93.38   	 43.09   	 696.84		 23.03   	 183.11		
-14.04   	-92.16   	 45.88   	 701.93		 23.76   	 178.03		
-13.43   	-90.94   	 48.69   	 701.93		 24.48   	 178.03		
-12.21   	-90.33   	 51.50   	 681.58		 25.19   	 172.94		
-11.90   	-90.64   	 54.22   	 651.07		 25.88   	 167.85		
-14.04   	-91.86   	 56.83   	 620.55		 26.55   	 152.59		
-17.70   	-92.77   	 59.31   	 574.77		 27.16   	 147.51		
-21.06   	-93.08   	 61.61   	 534.08		 27.75   	 137.33		
-22.58   	-93.38   	 63.74   	 498.47		 28.30   	 127.16		
-21.97   	-94.30   	 65.74   	 467.95		 28.81   	 111.90		
-19.53   	-95.83   	 67.61   	 432.35		 29.26   	 101.73		
-16.78   	-97.05   	 69.34   	 406.92		 29.66   	  91.56		
-15.56   	-96.13   	 70.97   	 391.66		 30.03   	  71.21		
-15.87   	-93.69   	 72.53   	 366.22		 30.32   	  61.04		
-16.78   	-90.03   	 74.00   	 350.97		 30.56   	  45.78		
-17.70   	-86.06   	 75.40   	 335.71		 30.74   	  25.43		
-18.62   	-82.40   	 76.74   	 315.36		 30.84   	  15.26		
-19.53   	-79.65   	 78.01   	 289.93		 30.91   	   5.09		
-21.36   	-78.13   	 79.17   	 269.58		 30.93   	  -5.09		
-23.19   	-76.90   	 80.24   	 239.06		 30.91   	   0.00		
-23.80   	-75.38   	 81.20   	 218.72		 30.91   	  10.17		
-23.50   	-74.16   	 82.07   	 193.29		 30.95   	  25.43		
-23.19   	-74.46   	 82.85   	 178.03		 31.05   	  45.78		
-24.11   	-76.60   	 83.56   	 172.94		 31.23   	  71.21		
-25.33   	-79.35   	 84.25   	 162.77		 31.52   	  86.47		
-25.33   	-81.48   	 84.90   	 162.77		 31.86   	 106.82		
-22.89   	-80.87   	 85.55   	 167.85		 32.29   	 106.82		
-18.92   	-79.35   	 86.23   	 162.77		 32.72   	 106.82		
-14.34   	-79.04   	 86.88   	 157.68		 33.14   	  96.64		
-11.29   	-81.79   	 87.51   	 157.68		 33.53   	  76.30		
 -9.16   	-87.28   	 88.14   	 157.68		 33.84   	  55.95		
 -8.24   	-93.69   	 88.77   	 147.51		 34.06   	  25.43		
 -8.24   	-100.10   	 89.36   	 147.51		 34.16   	  10.17		
 -9.77   	-106.81   	 89.95   	 147.51		 34.20   	 -10.17		
-11.60   	-114.14   	 90.54   	 152.59		 34.16   	 -20.35		
-12.51   	-121.15   	 91.15   	 157.68		 34.08   	 -20.35		
-10.68   	-126.04   	 91.78   	 157.68		 34.00   	 -15.26		
 -7.02   	-127.87   	 92.41   	 162.77		 33.94   	  -5.09		
 -3.66   	-127.56   	 93.06   	 157.68		 33.92   	   0.00		
 -2.44   	-127.56   	 93.69   	 157.68		 33.92   	  15.26		
 -3.36   	-129.39   	 94.32   	 147.51		 33.98   	  20.35		
 -4.88   	-133.06   	 94.91   	 142.42		 34.06   	  25.43		
 -4.88   	-136.41   	 95.48   	 137.33		 34.16   	  30.52		
 -2.14   	-137.63   	 96.03   	 132.25		 34.28   	  30.52		
  3.36   	-135.19   	 96.56   	 122.07		 34.40   	  25.43		
 10.68   	-129.39   	 97.05   	 122.07		 34.51   	  20.35		
 18.01   	-121.77   	 97.54   	 116.99		 34.59   	  20.35		
 23.50   	-115.36   	 98.01   	 111.90		 34.67   	  15.26		
 26.25   	-111.08   	 98.45   	 106.82		 34.73   	  15.26		
 26.55   	-108.64   	 98.88   	 101.73		 34.79   	  10.17		
 25.63   	-105.59   	 99.29   	  96.64		 34.83   	  15.26		
 24.11   	-100.10   	 99.67   	  91.56		 34.89   	  10.17		
 21.97   	-91.25   	100.04   	  86.47		 34.93   	  10.17		
 18.62   	-80.57   	100.39   	  81.38		 34.97   	  15.26		
 14.04   	-69.27   	100.71   	  76.30		 35.04   	   5.09		
  8.54   	-57.68   	101.02   	  66.12		 35.06   	   5.09		
  3.05   	-44.56   	101.28   	  66.12		 35.08   	   5.09		
 -1.22   	-28.69   	101.55   	  61.04		 35.10(S)	  -5.09		
 -3.66   	-11.29   	101.79   	  55.95		 35.08   	  -5.09		
 -5.80   	  3.66   	102.01   	  50.86		 35.06   	 -15.26		
 -7.93   	 13.73   	102.22   	  40.69		 34.99   	 -15.26		
-10.68   	 18.62   	102.38   	  35.61		 34.93   	 -20.35		
-13.73   	 20.45   	102.52   	  20.35		 34.85   	 -25.43		
-14.65   	 23.19   	102.60   	  15.26		 34.75   	 -25.43		
-13.12   	 28.38   	102.66   	   5.09		 34.65   	 -30.52		
-10.99   	 34.18   	102.69(S)	 -10.17		 34.53   	 -35.61		
-10.68   	 37.23   	102.64   	 -15.26		 34.38   	 -40.69		
-12.21   	 37.84   	102.58   	 -25.43		 34.22   	 -45.78		
-13.73   	 36.62   	102.48   	 -35.61		 34.04   	 -55.95		
-12.51   	 35.71   	102.34   	 -50.86		 33.81   	 -55.95		
 -8.54   	 35.10   	102.14   	 -71.21		 33.59   	 -61.04		
 -5.19   	 33.26   	101.85   	 -86.47		 33.35   	 -66.12		
 -4.88   	 30.21   	101.51   	-106.82		 33.08   	 -76.30		
 -9.16   	 25.94   	101.08   	-132.25		 32.78   	 -81.38		
-15.26   	 21.06   	100.55   	-157.68		 32.45   	 -86.47		
-19.84   	 15.56   	 99.92   	-188.20		 32.11   	 -96.64		
-21.36   	 10.07   	 99.17   	-213.63		 31.72   	-106.82		
-20.14   	  5.80   	 98.31   	-249.24		 31.29   	-111.90		
-17.40   	  4.58   	 97.31   	-289.93		 30.84   	-127.16		
-15.56   	  5.19   	 96.15   	-330.62		 30.34   	-132.25		
-16.17   	  6.10   	 94.83   	-376.40		 29.81   	-142.42		
-18.92   	  5.19   	 93.33   	-437.43		 29.24   	-152.59		
-22.28   	  2.14   	 91.58   	-498.47		 28.63   	-157.68		
-23.50   	 -0.61   	 89.58   	-564.60		 28.00   	-167.85		
-21.06   	 -0.92   	 87.32   	-625.63		 27.32   	-172.94		
-14.95   	  1.83   	 84.82   	-676.50		 26.63   	-183.11		
-10.07   	  6.71   	 82.12   	-727.36		 25.90   	-188.20		
-10.99   	 12.21   	 79.21   	-757.88		 25.15   	-198.37		
-18.92   	 17.09   	 76.17   	-773.14		 24.35   	-198.37		
-29.30   	 20.75   	 73.08   	-778.23		 23.56   	-208.54		
-33.87   	 22.28   	 69.97   	-773.14		 22.73   	-213.63		
-27.77   	 22.28   	 66.88   	-762.97		 21.87   	-213.63		
-13.43   	 21.06   	 63.82   	-742.62		 21.02   	-208.54		
  0.00   	 19.53   	 60.85   	-727.36		 20.18   	-203.46		
  4.58   	 19.53   	 57.94   	-701.93		 19.37   	-198.37		
 -1.22   	 21.06   	 55.14   	-681.58		 18.58   	-188.20		
-11.60   	 24.11   	 52.41   	-656.15		 17.82   	-172.94		
-18.92   	 26.86   	 49.79   	-635.81		 17.13   	-162.77		
-19.23   	 28.38   	 47.24   	-610.37		 16.48   	-147.51		
-14.65   	 27.77   	 44.80   	-579.86		 15.89   	-137.33		
 -9.46   	 25.02   	 42.48   	-549.34		 15.34   	-127.16		
 -6.41   	 21.06   	 40.28   	-523.90		 14.83   	-122.07		
 -6.10   	 17.40   	 38.19   	-488.30		 14.34   	-106.82		
 -7.02   	 15.56   	 36.24   	-462.87		 13.92   	-101.73		
 -9.16   	 15.56   	 34.38   	-437.43		 13.51   	 -91.56		
-11.90   	 17.40   	 32.63   	-417.09		 13.14   	 -86.47		
-14.34   	 20.45   	 30.97   	-391.66		 12.80   	 -81.38		
-16.17   	 24.11   	 29.40   	-376.40		 12.47   	 -66.12		
-17.09   	 27.77   	 27.89   	-350.97		 12.21   	 -66.12		
-16.78   	 30.82   	 26.49   	-335.71		 11.94   	 -55.95		
-16.48   	 32.96   	 25.15   	-310.27		 11.72   	 -50.86		
-17.09   	 33.26   	 23.91   	-289.93		 11.52   	 -45.78		
-18.31   	 30.82   	 22.75   	-269.58		 11.33   	 -35.61		
-19.23   	 25.33   	 21.67   	-249.24		 11.19   	 -30.52		
-19.23   	 16.48   	 20.67   	-223.80		 11.07   	 -30.52		
-17.40   	  4.58   	 19.78   	-198.37		 10.95   	 -20.35		
-14.65   	 -8.54   	 18.98   	-183.11		 10.86   	 -10.17		
-11.90   	-20.45   	 18.25   	-162.77		 10.82   	 -10.17		
-10.38   	-28.08   	 17.60   	-147.51		 10.78(D)	   5.09		
-10.38   	-29.91   	 17.01   	-132.25		 10.80   	  10.17		
-11.90   	-26.86   	 16.48   	-122.07		 10.84   	  20.35		
-14.04   	-21.36   	 15.99   	-106.82		 10.93   	  30.52		
-16.17   	-17.09   	 15.56   	 -86.47		 11.05   	  40.69		
-17.40   	-14.95   	 15.22   	 -76.30		 11.21   	  45.78		
-17.70   	-14.65   	 14.91   	 -50.86		 11.39   	  61.04		
-16.78   	-13.73   	 14.71   	 -40.69		 11.64   	  61.04		
-15.56   	-10.07   	 14.55   	 -20.35		 11.88   	  71.21		
-14.34   	 -3.05   	 14.47   	  -5.09		 12.17   	  76.30		
-13.43   	  4.88   	 14.45(D)	  10.17		 12.47   	  76.30		
-12.82   	 11.90   	 14.49   	  15.26		 12.78   	  81.38		
-13.12   	 16.78   	 14.55   	  25.43		 13.10   	  81.38		
-13.73   	 19.23   	 14.65   	  30.52		 13.43   	  76.30		
-14.95   	 19.84   	 14.77   	  35.61		 13.73   	  66.12		
-15.56   	 20.14   	 14.91   	  40.69		 14.00   	  66.12		
-16.17   	 19.53   	 15.08   	  45.78		 14.26   	  50.86		
-16.17   	 18.92   	 15.26   	  45.78		 14.47   	  40.69		
-15.87   	 20.14   	 15.44   	  61.04		 14.63   	  30.52		
-14.95   	 22.58   	 15.69   	  61.04		 14.75   	  20.35		
-14.04   	 25.33   	 15.93   	  66.12		 14.83   	  15.26		
-13.43   	 26.86   	 16.20   	  76.30		 14.89   	  10.17		
-14.34   	 25.63   	 16.50   	  76.30		 14.93   	  15.26		
-15.56   	 22.89   	 16.81   	  86.47		 14.99   	  20.35		
-16.48   	 20.45   	 17.15   	  86.47		 15.08   	  30.52		
-16.78   	 19.23   	 17.50   	  91.56		 15.20   	  35.61		
-15.87   	 18.92   	 17.86   	  86.47		 15.34   	  45.78		
-14.34   	 17.09   	 18.21   	  91.56		 15.52   	  55.95		
-12.82   	 13.43   	 18.58   	  81.38		 15.75   	  55.95		
-12.21   	  8.85   	 18.90   	  76.30		 15.97   	  55.95		
-12.21   	  4.27   	 19.21   	  66.12		 16.20   	  50.86		
-13.43   	  0.61   	 19.47   	  55.95		 16.40   	  40.69		
-15.26   	 -2.14   	 19.69   	  50.86		 16.56   	  35.61		
-17.70   	 -3.66   	 19.90   	  40.69		 16.70   	  20.35		
-19.23   	 -4.88   	 20.06   	  30.52		 16.79   	   5.09		
-19.84   	 -6.71   	 20.18   	  20.35		 16.81   	   5.09		
-20.45   	-10.68   	 20.26   	  20.35		 16.83   	  -5.09		
-21.06   	-18.62   	 20.35   	  15.26		 16.81   	  -5.09		
-21.97   	-29.60   	 20.41   	  15.26		 16.79   	 -10.17		
-21.97   	-40.89   	 20.47   	  10.17		 16.74   	  -5.09		
-20.45   	-50.05   	 20.51   	   5.09		 16.72   	   0.00		
-17.09   	-56.15   	 20.53   	  10.17		 16.72   	   5.09		
-13.73   	-59.51   	 20.57   	   0.00		 16.74   	   5.09		
-10.99   	-61.04   	 20.57   	   0.00		 16.76   	  10.17		
 -8.85   	-58.90   	 20.57   	   0.00		 16.81   	  15.26		
 -7.93   	-52.80   	 20.57   	   0.00		 16.87   	  10.17		
 -7.63   	-43.03   	 20.57   	  -5.09		 16.91   	  15.26		
 -7.63   	-32.65   	 20.55   	   0.00		 16.97   	  15.26		
 -8.85   	-23.50   	 20.55   	  -5.09		 17.03   	  15.26		
-10.38   	-17.09   	 20.53   	   0.00		 17.09   	  15.26		
-11.60   	-11.60   	 20.53   	   5.09		 17.15   	  10.17		
-10.99   	 -5.49   	 20.55   	   0.00		 17.19   	  15.26		
 -8.24   	  1.53   	 20.55   	   0.00		 17.25   	  10.17		
 -4.58   	  7.93   	 20.55   	   5.09		 17.29   	   5.09		
 -2.44   	 12.21   	 20.57   	   0.00		 17.31   	  10.17		
 -3.05   	 14.34   	 20.57   	   0.00		 17.35   	   0.00		
 -5.49   	 14.95   	 20.57   	  -5.09		 17.35   	   0.00		
 -8.54   	 16.17   	 20.55   	   0.00		 17.35   	   0.00		
-10.38   	 18.01   	 20.55   	  -5.09		 17.35   	 -10.17		
-10.68   	 19.84   	 20.53   	 -10.17		 17.31   	  -5.09		
-10.07   	 21.36   	 20.49   	  -5.09		 17.29   	 -10.17		
 -8.85   	 22.28   	 20.47   	  -5.09		 17.25   	  -5.09		
 -7.93   	 23.19   	 20.45   	  -5.09		 17.23   	  -5.09		
 -6.71   	 23.80   	 20.43   	  -5.09		 17.21   	 -10.17		
 -5.80   	 24.11   	 20.41   	  -5.09		 17.17   	   0.00		
 -4.58   	 23.50   	 20.39   	  -5.09		 17.17   	   0.00		
 -3.66   	 21.36   	 20.37   	  -5.09		 17.17   	   0.00		
 -4.27   	 17.70   	 20.35   	  -5.09		 17.17   	   0.00		
 -6.10   	 13.43   	 20.33   	 -10.17		 17.17   	   5.09		
 -7.93   	  9.46   	 20.28   	  -5.09		 17.19   	   0.00		
 -8.85   	  7.32   	 20.26   	  -5.09		 17.19   	   5.09		
 -7.32   	  7.32   	 20.24   	   0.00		 17.21   	   0.00		
 -4.58   	  8.54   	 20.24   	  -5.09		 17.21   	  -5.09		
 -2.14   	  8.54   	 20.22   	  -5.09		 17.19   	   0.00		
 -1.83   	  5.49   	 20.20   	 -10.17		 17.19   	  -5.09		
 -3.05   	  0.00   	 20.16   	  -5.09		 17.17   	  -5.09		
 -4.88   	 -6.10   	 20.14   	  -5.09		 17.15   	 -10.17		
 -6.71   	-10.68   	 20.12   	  -5.09		 17.11   	  -5.09		
 -7.93   	-14.65   	 20.10   	  -5.09		 17.09   	  -5.09		
 -9.77   	-19.53   	 20.08   	  -5.09		 17.07   	 -10.17		
-11.60   	-25.94   	 20.06   	  -5.09		 17.03   	   0.00		
-13.43   	-33.57   	 20.04   	   0.00		 17.03   	  -5.09		
-15.26   	-40.89   	 20.04   	   0.00		 17.01   	  -5.09		
-16.78   	-47.61   	 20.04   	  -5.09		 16.99   	   0.00		
-19.23   	-55.54   	 20.02   	   0.00		 16.99   	   0.00		
-21.97   	-65.31   	 20.02   	   5.09		 16.99   	  -5.09		
-23.50   	-74.16   	 20.04   	   0.00		 16.97   	   0.00		
-22.58   	-77.82   	 20.04   	   0.00		 16.97   	   5.09		
-18.92   	-73.85   	 20.04   	   0.00		 16.99   	   0.00		
-14.04   	-61.95   	 20.04   	   5.09		 16.99   	   0.00		
-10.68   	-46.69   	 20.06   	   0.00		 16.99   	   5.09		
 -9.46   	-32.65   	 20.06   	   5.09		 17.01   	   0.00		
-10.38   	-22.58   	 20.08   	   5.09		 17.01   	  10.17		
-11.60   	-16.17   	 20.10   	   0.00		 17.05   	   5.09		
-11.90   	-12.21   	 20.10   	   5.09		 17.07   	   5.09		
-11.60   	 -9.16   	 20.12   	   5.09		 17.09   	   5.09		
-11.29   	 -6.71   	 20.14   	   5.09		 17.11   	  10.17		
-11.60   	 -4.27   	 20.16   	   5.09		 17.15   	   0.00		
-11.90   	 -0.61   	 20.18   	   5.09		 17.15   	   5.09		
-11.60   	  3.66   	 20.20   	   5.09		 17.17   	   0.00		
-11.29   	  7.93   	 20.22   	   5.09		 17.17   	   0.00		
-10.99   	 11.29   	 20.24   	   0.00		 17.17   	   0.00		
-10.99   	 13.12   	 20.24   	   5.09		 17.17   	  -5.09		
-11.29   	 14.04   	 20.26   	   0.00		 17.15   	 -10.17		
-11.60   	 14.65   	 20.26   	   5.09		 17.11   	  -5.09		
-11.29   	 15.26   	 20.28   	   5.09		 17.09   	 -10.17		
 -9.77   	 16.48   	 20.31   	  10.17		 17.05   	 -10.17		
 -7.93   	 18.01   	 20.35   	   5.09		 17.01   	  -5.09		
 -6.71   	 19.84   	 20.37   	   5.09		 16.99   	 -10.17		
 -6.41   	 21.67   	 20.39   	   5.09		 16.95   	  -5.09		
 -6.71   	 24.11   	 20.41   	   5.09		 16.93   	 -10.17		
 -7.02   	 26.25   	 20.43   	   5.09		 16.89   	  -5.09		
 -6.71   	 27.77   	 20.45   	   5.09		 16.87   	   0.00		
 -5.19   	 28.38   	 20.47   	   0.00		 16.87   	  -5.09		
 -3.66   	 26.55   	 20.47   	   5.09		 16.85   	   0.00		
 -2.14   	 23.19   	 20.49   	   0.00		 16.85   	  -5.09		
 -1.83   	 18.31   	 20.49   	   0.00		 16.83   	   5.09		
 -2.75   	 12.21   	 20.49   	   0.00		 16.85   	   0.00		
 -4.58   	  5.19   	 20.49   	   0.00		 16.85   	   5.09		
 -6.41   	 -2.75   	 20.49   	   0.00		 16.87   	   5.09		
 -7.93   	-10.99   	 20.49   	   0.00		 16.89   	   5.09		
 -8.54   	-18.62   	 20.49   	   0.00		 16.91   	   5.09		
 -9.46   	-23.80   	 20.49   	   5.09		 16.93   	  10.17		
-10.99   	-25.63   	 20.51   	   0.00		 16.97   	   5.09		
-13.12   	-25.02   	 20.51   	   0.00		 16.99   	  10.17		
-15.26   	-24.41   	 20.51   	   0.00		 17.03   	  10.17		
-17.09   	-26.25   	 20.51   	   5.09		 17.07   	   5.09		
-18.01   	-31.13   	 20.53   	   0.00		 17.09   	  10.17		
-18.01   	-37.54   	 20.53   	   0.00		 17.13   	   5.09		
-17.09   	-43.33   	 20.53   	   0.00		 17.15   	  10.17		
-14.95   	-46.08   	 20.53   	   0.00		 17.19   	   5.09		
-12.21   	-45.47   	 20.53   	   0.00		 17.21   	   0.00		
 -8.85   	-42.42   	 20.53   	   0.00		 17.21   	   5.09		
 -6.41   	-37.54   	 20.53   	   0.00		 17.23   	   0.00		
 -5.80   	-31.43   	 20.53   	   0.00		 17.23   	   5.09		
 -6.10   	-24.72   	 20.53   	   0.00		 17.25   	  -5.09		
