  I     	  II     	  LVp     	  LVp'		  FA     	  FA'		
-23.19   	-36.93   	  9.99   	  45.78		 57.42   	 -15.26		
-23.80   	-29.60   	 10.17   	  40.69		 57.35   	 -15.26		
-17.70   	-31.13   	 10.34   	  45.78		 57.29   	 -45.78		
 -8.85   	-39.06   	 10.52   	  40.69		 57.11   	 -45.78		
 -3.66   	-52.49   	 10.68   	  35.61		 56.93   	 -35.61		
 -7.93   	-71.11   	 10.82   	  35.61		 56.79   	 -15.26		
-20.14   	-90.33   	 10.97   	  30.52		 56.72   	 -10.17		
-32.04   	-95.21   	 11.09   	  20.35		 56.68   	 -15.26		
-29.30   	-58.90   	 11.17   	  20.35		 56.62   	 -30.52		
  2.75   	 50.96   	 11.25   	  15.26		 56.50   	 -55.95		
 70.19   	257.57   	 11.31   	  10.17		 56.28   	 -71.21		
168.46   	563.96   	 11.35   	  10.17		 55.99   	 -50.86		
281.37   	937.81   	 11.39   	  15.26		 55.79   	  25.43		
380.55   	1293.64   	 11.45   	  35.61		 55.89   	 -76.30		
428.47   	1489.26(R)	 11.60(E)	  35.61		 55.58   	-106.82		
362.55   	1217.65   	 11.74   	  40.69		 55.16   	 -66.12		
266.42   	785.22   	 11.90   	  61.04		 54.89   	 -20.35		
179.14   	351.26   	 12.15   	  76.30		 54.81   	   5.09		
125.12   	 52.80   	 12.45   	  91.56		 54.83   	   0.00		
102.23   	-69.27   	 12.82   	 111.90		 54.83   	 -25.43		
 90.03   	-66.22   	 13.27   	 132.25		 54.73   	 -50.86		
 69.58   	-22.28   	 13.79   	 157.68		 54.53   	 -55.95		
 36.01   	 -0.61   	 14.43   	 178.03		 54.30   	 -35.61		
 -2.14   	-19.84   	 15.14   	 208.54		 54.16   	 -10.17		
-31.13   	-65.61   	 15.97   	 239.06		 54.12   	  10.17		
-43.95   	-112.30   	 16.93   	 274.67		 54.16   	 -15.26		
-42.72   	-142.52   	 18.03   	 320.45		 54.10   	 -35.61		
-34.18   	-149.54   	 19.31   	 376.40		 53.96   	 -25.43		
-25.63   	-137.33   	 20.81   	 432.35		 53.86   	 -15.26		
-23.80   	-120.24   	 22.54   	 498.47		 53.79   	 -25.43		
-28.69   	-114.75   	 24.54   	 564.60		 53.69   	 -20.35		
-36.01   	-130.00   	 26.80   	 640.89		 53.61   	 -15.26		
-41.81   	-161.44   	 29.36   	 717.19		 53.55   	 -25.43		
-43.33   	-194.40   	 32.23   	 778.23		 53.45   	 -25.43		
-41.81   	-213.62   	 35.34   	 849.44		 53.35   	 -30.52		
-40.28   	-207.82   	 38.74   	 910.47		 53.22   	 -45.78		
-39.98   	-177.92   	 42.38   	 966.43		 53.04   	 -45.78		
-39.67   	-137.33   	 46.25   	1012.20		 52.86   	 -35.61		
-37.54   	-107.73   	 50.29   	1063.07		 52.72   	 -25.43		
-34.48   	-106.51   	 54.55   	1098.67		 52.61   	 -25.43		
-32.04   	-134.89   	 58.94   	1129.19		 52.51   	 -25.43		
-30.82   	-174.56   	 63.46   	1154.62		 52.41   	 -20.35		
-30.52   	-200.81   	 68.08   	1169.88		 52.33   	  -5.09		
-29.30   	-198.97   	 72.76   	1174.97		 52.31(D)	  10.17		
-26.55   	-173.03   	 77.46   	1174.97		 52.35   	  25.43		
-24.41   	-141.91   	 82.16   	1164.80		 52.45   	  50.86		
-23.80   	-126.04   	 86.82   	1139.36		 52.65   	  71.21		
-25.63   	-132.75   	 91.37   	1108.85		 52.94   	  86.47		
-30.52   	-153.81   	 95.81   	1063.07		 53.29   	 142.42		
-37.54   	-176.09   	100.06   	1002.03		 53.86   	 233.98		
-44.56   	-189.82   	104.07   	 940.99		 54.79   	 345.88		
-48.83   	-194.40   	107.83   	 864.70		 56.17   	 462.87		
-46.69   	-194.70   	111.29   	 798.57		 58.03   	 554.42		
-39.37   	-193.48   	114.49   	 722.28		 60.24   	 590.03		
-31.43   	-189.51   	117.37   	 661.24		 62.60   	 569.68		
-28.08   	-179.75   	120.02   	 605.29		 64.88   	 539.16		
-30.82   	-164.49   	122.44   	 554.42		 67.04   	 518.82		
-35.71   	-148.62   	124.66   	 513.73		 69.11   	 498.47		
-38.45   	-139.77   	126.71   	 488.30		 71.11   	 493.39		
-37.54   	-142.82   	128.67   	 467.95		 73.08   	 493.39		
-35.71   	-155.33   	130.54   	 452.69		 75.06   	 478.13		
-36.32   	-168.15   	132.35   	 437.43		 76.97   	 483.21		
-38.45   	-170.90   	134.10   	 417.09		 78.90   	 508.65		
-39.06   	-158.39   	135.77   	 406.92		 80.94   	 528.99		
-36.62   	-136.11   	137.40   	 381.48		 83.05   	 534.08		
-32.35   	-115.97   	138.92   	 361.14		 85.19   	 539.16		
-30.21   	-107.12   	140.37   	 330.62		 87.34   	 534.08		
-32.35   	-110.78   	141.69   	 300.10		 89.48   	 539.16		
-37.84   	-122.07   	142.89   	 264.50		 91.64   	 523.90		
-43.03   	-134.89   	143.95   	 228.89		 93.73   	 513.73		
-45.47   	-145.26   	144.86   	 188.20		 95.79   	 493.39		
-44.56   	-151.37   	145.61   	 157.68		 97.76   	 493.39		
-41.50   	-148.32   	146.25   	 127.16		 99.74   	 473.04		
-38.15   	-131.53   	146.75   	 101.73		101.63   	 452.69		
-35.71   	-104.68   	147.16   	  76.30		103.44   	 427.26		
-34.79   	-76.90   	147.47   	  50.86		105.15   	 396.74		
-35.71   	-60.42   	147.67   	  30.52		106.73   	 345.88		
-39.06   	-62.56   	147.79   	  15.26		108.12   	 315.36		
-45.17   	-80.26   	147.85   	   5.09		109.38   	 315.36		
-52.19   	-101.62   	147.87(S)	 -15.26		110.64   	 289.93		
-57.37   	-112.92   	147.81   	 -30.52		111.80   	 249.24		
-57.68   	-104.68   	147.69   	 -40.69		112.80   	 228.89		
-52.19   	-78.43   	147.53   	 -55.95		113.71   	 208.54		
-43.03   	-45.78   	147.30   	 -76.30		114.55   	 198.37		
-34.48   	-24.41   	147.00   	 -91.56		115.34   	 172.94		
-31.13   	-23.50   	146.63   	-106.82		116.03   	 137.33		
-34.79   	-38.15   	146.20   	-132.25		116.58   	 106.82		
-44.25   	-54.02   	145.68   	-147.51		117.01   	  81.38		
-54.63   	-60.73   	145.09   	-172.94		117.33   	  76.30		
-59.20   	-58.29   	144.39   	-198.37		117.64   	  91.56		
-54.02   	-55.85   	143.60   	-213.63		118.01   	  81.38		
-39.98   	-59.20   	142.75   	-239.06		118.33   	  35.61		
-21.36   	-63.48   	141.79   	-259.41		118.47(S)	 -20.35		
 -5.49   	-58.59   	140.75   	-279.75		118.39   	 -55.95		
  3.05   	-40.59   	139.63   	-300.10		118.17   	 -55.95		
  3.97   	-15.56   	138.43   	-330.62		117.94   	 -25.43		
  1.53   	  4.58   	137.11   	-345.88		117.84   	 -25.43		
 -1.83   	 10.99   	135.73   	-376.40		117.74   	 -50.86		
 -3.36   	  4.58   	134.22   	-401.83		117.54   	 -81.38		
 -2.44   	-10.99   	132.61   	-422.18		117.21   	-116.99		
  0.31   	-28.99   	130.93   	-447.61		116.74   	-122.07		
  3.66   	-40.59   	129.13   	-467.95		116.26   	-122.07		
  6.10   	-36.32   	127.26   	-498.47		115.77   	-122.07		
  7.32   	-11.29   	125.27   	-513.73		115.28   	-147.51		
  8.24   	 26.55   	123.21   	-534.08		114.69   	-183.11		
  9.16   	 58.59   	121.08   	-559.51		113.96   	-203.46		
 10.68   	 66.22   	118.84   	-579.86		113.14   	-213.63		
 10.99   	 46.39   	116.52   	-600.20		112.29   	-223.80		
  7.63   	 15.26   	114.12   	-625.63		111.39   	-244.15		
  0.61   	 -8.24   	111.62   	-656.15		110.42   	-249.24		
 -7.32   	-15.26   	108.99   	-691.76		109.42   	-259.41		
-13.12   	 -9.46   	106.23   	-727.36		108.38   	-269.58		
-15.26   	 -0.92   	103.32   	-762.97		107.30   	-295.01		
-14.04   	  5.80   	100.26   	-808.75		106.12   	-325.53		
-10.07   	 11.29   	 97.03   	-844.35		104.82   	-330.62		
 -3.05   	 15.87   	 93.65   	-879.96		103.50   	-345.88		
  6.71   	 14.04   	 90.13   	-915.56		102.12   	-350.97		
 14.95   	  0.00   	 86.47   	-946.08		100.71   	-340.79		
 17.40   	-25.94   	 82.69   	-971.51		 99.35   	-325.53		
 11.90   	-50.66   	 78.80   	-986.77		 98.05   	-335.71		
  0.92   	-57.68   	 74.85   	-996.94		 96.70   	-350.97		
 -9.16   	-39.37   	 70.86   	-996.94		 95.30   	-371.31		
-12.21   	 -5.19   	 66.88   	-986.77		 93.81   	-305.19		
 -7.93   	 23.19   	 62.93   	-976.60		 92.59   	-152.59		
 -1.22   	 28.08   	 59.02   	-956.25		 91.98   	-178.03		
  2.75   	  9.46   	 55.20   	-925.73		 91.27   	-274.67		
  2.14   	-15.26   	 51.50   	-895.22		 90.17   	-269.58		
 -2.75   	-28.08   	 47.91   	-854.52		 89.09   	-233.98		
 -7.93   	-23.19   	 44.50   	-818.92		 88.16   	-218.72		
-10.68   	-10.68   	 41.22   	-783.31		 87.28   	-198.37		
-11.60   	 -3.36   	 38.09   	-737.54		 86.49   	-208.54		
-12.21   	 -6.71   	 35.14   	-701.93		 85.66   	-233.98		
-12.51   	-15.87   	 32.33   	-661.24		 84.72   	-223.80		
-11.29   	-21.36   	 29.68   	-625.63		 83.82   	-193.29		
 -8.24   	-19.23   	 27.18   	-590.03		 83.05   	-167.85		
 -4.27   	-11.90   	 24.82   	-549.34		 82.38   	-157.68		
 -1.53   	 -5.80   	 22.62   	-518.82		 81.75   	-157.68		
 -0.92   	 -6.10   	 20.55   	-478.13		 81.12   	-162.77		
 -2.75   	-16.17   	 18.64   	-452.69		 80.47   	-162.77		
 -5.19   	-35.71   	 16.83   	-412.00		 79.82   	-157.68		
 -6.10   	-57.37   	 15.18   	-381.48		 79.19   	-137.33		
 -5.49   	-65.00   	 13.65   	-350.97		 78.64   	-132.25		
 -4.27   	-43.33   	 12.25   	-310.27		 78.11   	-132.25		
 -2.75   	 11.60   	 11.01   	-284.84		 77.58   	-127.16		
 -1.83   	 82.70   	  9.87   	-249.24		 77.07   	-111.90		
 -2.75   	140.69   	  8.87   	-223.80		 76.62   	-111.90		
 -3.36   	161.13   	  7.98   	-193.29		 76.17   	-106.82		
 -3.05   	144.04   	  7.20   	-162.77		 75.75   	 -96.64		
 -1.22   	109.86   	  6.55   	-147.51		 75.36   	 -91.56		
  0.31   	 83.92   	  5.96   	-127.16		 74.99   	 -96.64		
  0.61   	 78.74   	  5.45   	-111.90		 74.61   	-101.73		
  0.92   	 87.89   	  5.01   	 -96.64		 74.20   	-111.90		
  4.88   	 97.96   	  4.62   	 -86.47		 73.75   	-106.82		
 15.87   	100.10   	  4.27   	 -81.38		 73.33   	 -81.38		
 31.74   	 97.96   	  3.95   	 -71.21		 73.00   	 -66.12		
 45.17   	103.15   	  3.66   	 -61.04		 72.74   	 -71.21		
 48.83   	124.82   	  3.42   	 -61.04		 72.45   	 -66.12		
 41.20   	160.22   	  3.17   	 -50.86		 72.19   	 -81.38		
 28.69   	197.14   	  2.97   	 -45.78		 71.86   	 -86.47		
 20.45   	218.20   	  2.79   	 -40.69		 71.52   	 -76.30		
 21.67   	214.23   	  2.62   	 -30.52		 71.21   	 -71.21		
 28.99   	189.82   	  2.50   	 -25.43		 70.93   	 -66.12		
 36.32   	159.61   	  2.40   	 -20.35		 70.66   	 -50.86		
 37.84   	134.58   	  2.32   	 -10.17		 70.46   	 -50.86		
 32.96   	113.53   	  2.28   	  -5.09		 70.25   	 -55.95		
 25.02   	 87.59   	  2.26(D)	   0.00		 70.03   	 -61.04		
 16.17   	 49.74   	  2.26   	   5.09		 69.79   	 -55.95		
  7.93   	  6.10   	  2.28   	  15.26		 69.56   	 -45.78		
  0.31   	-27.77   	  2.34   	  20.35		 69.38   	 -40.69		
 -6.71   	-39.67   	  2.42   	  20.35		 69.22   	 -40.69		
-12.51   	-33.87   	  2.50   	  30.52		 69.05   	 -50.86		
-15.26   	-25.63   	  2.62   	  35.61		 68.85   	 -55.95		
-14.95   	-27.16   	  2.77   	  35.61		 68.63   	 -45.78		
-13.12   	-39.98   	  2.91   	  40.69		 68.44   	 -35.61		
-11.60   	-54.63   	  3.07   	  40.69		 68.30   	 -45.78		
-11.60   	-61.95   	  3.23   	  45.78		 68.12   	 -50.86		
-14.34   	-61.65   	  3.42   	  50.86		 67.91   	 -61.04		
-18.62   	-60.12   	  3.62   	  45.78		 67.67   	 -50.86		
-21.67   	-63.48   	  3.80   	  50.86		 67.47   	 -40.69		
-21.97   	-70.50   	  4.01   	  50.86		 67.30   	 -35.61		
-19.84   	-76.29   	  4.21   	  55.95		 67.16   	 -35.61		
