  I     	  II     	  LVp     	  LVp'		  AO     	  AO'		
-16.48   	-17.70   	118.76   	-467.95		124.98   	  40.69		
-14.95   	-13.43   	116.89   	-513.73		125.15   	  20.35		
-14.95   	-11.60   	114.83   	-544.25		125.23   	   0.00		
-16.17   	-15.26   	112.65   	-584.94		125.23   	 -10.17		
-17.70   	-24.11   	110.31   	-615.46		125.19   	 -30.52		
-19.53   	-35.10   	107.85   	-651.07		125.07   	 -45.78		
-20.45   	-43.64   	105.25   	-676.50		124.88   	 -66.12		
-20.14   	-46.39   	102.54   	-707.02		124.62   	 -86.47		
-18.31   	-42.42   	 99.71   	-737.54		124.27   	-106.82		
-15.87   	-35.10   	 96.76   	-757.88		123.84   	-122.07		
-14.95   	-29.30   	 93.73   	-793.49		123.36   	-147.51		
-15.87   	-27.16   	 90.56   	-813.83		122.77   	-162.77		
-18.31   	-28.38   	 87.30   	-849.44		122.12   	-188.20		
-20.45   	-31.43   	 83.91   	-869.78		121.36   	-208.54		
-21.36   	-33.26   	 80.43   	-890.13		120.53   	-228.89		
-21.06   	-33.57   	 76.87   	-905.39		119.61   	-244.15		
-20.14   	-31.74   	 73.24   	-920.65		118.64   	-264.50		
-20.14   	-29.30   	 69.56   	-925.73		117.58   	-279.75		
-20.75   	-26.55   	 65.86   	-925.73		116.46   	-300.10		
-21.36   	-24.11   	 62.16   	-920.65		115.26   	-310.27		
-21.06   	-21.67   	 58.47   	-910.47		114.02   	-315.36		
-20.14   	-19.23   	 54.83   	-895.22		112.76   	-330.62		
-18.92   	-16.48   	 51.25   	-879.96		111.43   	-335.71		
-18.62   	-14.04   	 47.73   	-859.61		110.09   	-335.71		
-19.84   	-12.82   	 44.29   	-834.18		108.75   	-340.79		
-21.97   	-11.90   	 40.96   	-798.57		107.39   	-340.79		
-23.80   	-10.99   	 37.76   	-768.05		106.02   	-340.79		
-24.41   	 -9.46   	 34.69   	-722.28		104.66   	-335.71		
-24.72   	 -7.02   	 31.80   	-676.50		103.32   	-335.71		
-24.72   	 -3.97   	 29.09   	-635.81		101.97   	-325.53		
-25.02   	 -1.22   	 26.55   	-584.94		100.67   	-325.53		
-24.72   	  0.00   	 24.21   	-539.16		 99.37   	-315.36		
-23.80   	 -0.92   	 22.05   	-498.47		 98.11   	-310.27		
-22.89   	 -4.27   	 20.06   	-457.78		 96.87   	-305.19		
-22.28   	 -8.24   	 18.23   	-417.09		 95.65   	-300.10		
-21.97   	-11.90   	 16.56   	-381.48		 94.45   	-289.93		
-21.36   	-13.12   	 15.04   	-356.05		 93.29   	-284.84		
-20.14   	-12.21   	 13.61   	-320.45		 92.15   	-279.75		
-18.62   	-10.99   	 12.33   	-295.01		 91.03   	-269.58		
-18.01   	-10.99   	 11.15   	-274.67		 89.95   	-264.50		
-19.23   	-13.12   	 10.05   	-249.24		 88.89   	-259.41		
-21.36   	-16.78   	  9.05   	-228.89		 87.85   	-244.15		
-23.19   	-20.14   	  8.14   	-203.46		 86.88   	-244.15		
-23.50   	-21.97   	  7.32   	-188.20		 85.90   	-233.98		
-21.97   	-21.06   	  6.57   	-162.77		 84.96   	-228.89		
-19.23   	-18.01   	  5.92   	-147.51		 84.05   	-223.80		
-17.09   	-14.04   	  5.33   	-127.16		 83.15   	-213.63		
-16.17   	-10.38   	  4.82   	-106.82		 82.30   	-208.54		
-16.17   	 -9.16   	  4.39   	 -91.56		 81.46   	-203.46		
-17.09   	-10.68   	  4.03   	 -81.38		 80.65   	-198.37		
-18.62   	-14.34   	  3.70   	 -71.21		 79.86   	-193.29		
-20.45   	-18.62   	  3.42   	 -66.12		 79.08   	-183.11		
-21.67   	-21.97   	  3.15   	 -55.95		 78.35   	-178.03		
-21.06   	-23.50   	  2.93   	 -55.95		 77.64   	-172.94		
-18.92   	-23.80   	  2.71   	 -50.86		 76.95   	-162.77		
-15.87   	-23.50   	  2.50   	 -50.86		 76.30   	-162.77		
-14.04   	-22.89   	  2.30   	 -45.78		 75.65   	-152.59		
-14.34   	-21.36   	  2.12   	 -40.69		 75.04   	-152.59		
-16.48   	-19.23   	  1.95   	 -30.52		 74.42   	-142.42		
-19.23   	-17.09   	  1.83   	 -25.43		 73.86   	-137.33		
-20.75   	-16.17   	  1.73   	 -20.35		 73.31   	-132.25		
-20.45   	-16.78   	  1.65   	 -10.17		 72.78   	-127.16		
-18.92   	-18.62   	  1.61   	  -5.09		 72.27   	-122.07		
-17.70   	-21.97   	  1.59   	   5.09		 71.78   	-116.99		
-18.01   	-25.63   	  1.61   	   0.00		 71.31   	-111.90		
-19.23   	-28.99   	  1.61   	   5.09		 70.86   	-106.82		
-20.75   	-30.21   	  1.63   	   5.09		 70.44   	-106.82		
-21.36   	-29.30   	  1.65   	   5.09		 70.01   	-101.73		
-21.36   	-26.55   	  1.67   	   5.09		 69.60   	 -96.64		
-21.67   	-24.11   	  1.69   	   5.09		 69.22   	 -91.56		
-21.97   	-23.80   	  1.71   	   0.00		 68.85   	 -91.56		
-21.97   	-25.33   	  1.71   	   5.09		 68.48   	 -86.47		
-20.45   	-27.77   	  1.73   	   5.09		 68.14   	 -86.47		Beg---------
-17.70   	-28.69   	  1.75   	   5.09		 67.79   	 -86.47		
-15.26   	-27.77   	  1.77   	  10.17		 67.45   	 -81.38		
-14.95   	-25.33   	  1.81   	  10.17		 67.12   	 -76.30		
-17.09   	-22.89   	  1.85   	  10.17		 66.82   	 -76.30		
-20.14   	-21.67   	  1.89   	  10.17		 66.51   	 -76.30		
-22.58   	-22.58   	  1.93   	  10.17		 66.21   	 -71.21		
-23.50   	-25.02   	  1.97   	  10.17		 65.92   	 -71.21		
-23.50   	-27.77   	  2.01   	   5.09		 65.64   	 -71.21		
-23.19   	-28.38   	  2.03   	  10.17		 65.35   	 -66.12		
-23.19   	-26.55   	  2.08   	   5.09		 65.09   	 -61.04		
-22.89   	-24.11   	  2.10   	   0.00		 64.84   	 -66.12		
-21.97   	-22.58   	  2.10   	   5.09		 64.58   	 -61.04		
-20.75   	-22.58   	  2.12   	   0.00		 64.33   	 -61.04		
-18.92   	-22.89   	  2.12   	   0.00		 64.09   	 -55.95		
-17.70   	-21.67   	  2.12   	   0.00		 63.87   	 -55.95		
-17.09   	-19.23   	  2.12   	  -5.09		 63.64   	 -55.95		
-17.70   	-17.09   	  2.10   	   0.00		 63.42   	 -55.95		
-18.62   	-17.70   	  2.10   	 -10.17		 63.19   	 -55.95		
-19.53   	-21.67   	  2.05   	  -5.09		 62.97   	 -50.86		
-20.14   	-26.25   	  2.03   	   0.00		 62.77   	 -50.86		
-19.84   	-28.69   	  2.03   	  -5.09		 62.56   	 -50.86		
-18.62   	-27.16   	  2.01   	   0.00		 62.36   	 -50.86		
-17.09   	-23.50   	  2.01   	   5.09		 62.16   	 -50.86		
-15.87   	-20.14   	  2.03   	   5.09		 61.95   	 -45.78		
-15.56   	-19.84   	  2.05   	  10.17		 61.77   	 -50.86		
-16.48   	-21.67   	  2.10   	  10.17		 61.57   	 -45.78		
-18.92   	-23.50   	  2.14   	  15.26		 61.38   	 -50.86		
-21.06   	-23.80   	  2.20   	  15.26		 61.18   	 -45.78		
-22.58   	-23.19   	  2.26   	  15.26		 61.00   	 -45.78		
-22.58   	-23.19   	  2.32   	  20.35		 60.81   	 -40.69		
-21.06   	-24.11   	  2.40   	  15.26		 60.65   	 -45.78		
-18.62   	-24.72   	  2.46   	  20.35		 60.47   	 -45.78		
-17.09   	-23.50   	  2.54   	  15.26		 60.28   	 -45.78		
-16.78   	-20.45   	  2.60   	  15.26		 60.10   	 -45.78		
-17.09   	-16.48   	  2.67   	  15.26		 59.92   	 -40.69		
-17.09   	-11.60   	  2.73   	  10.17		 59.76   	 -45.78		
-14.95   	 -4.88   	  2.77   	  10.17		 59.57   	 -40.69		
-10.99   	  5.49   	  2.81   	  10.17		 59.41   	 -45.78		
 -6.10   	 19.23   	  2.85   	   5.09		 59.23   	 -40.69		
 -2.44   	 32.96   	  2.87   	  10.17		 59.06   	 -40.69		
 -1.22   	 43.64   	  2.91   	  10.17		 58.90   	 -45.78		
 -2.14   	 50.05   	  2.95   	   5.09		 58.72   	 -40.69		
 -3.36   	 52.80   	  2.97   	  10.17		 58.56   	 -40.69		
 -3.66   	 54.93   	  3.01   	   5.09		 58.39   	 -35.61		
 -0.92   	 58.29   	  3.03   	  10.17		 58.25   	 -40.69		
  4.58   	 63.48   	  3.07   	   5.09		 58.09   	 -35.61		
 11.90   	 68.97   	  3.09   	   5.09		 57.94   	 -35.61		
 19.23   	 72.02   	  3.11   	   5.09		 57.80   	 -35.61		
 25.63   	 72.02   	  3.13   	   5.09		 57.66   	 -35.61		
 30.82   	 67.44   	  3.15   	   0.00		 57.52   	 -35.61		
 35.71   	 58.90   	  3.15   	   0.00		 57.38   	 -35.61		
 39.37   	 47.91   	  3.15   	  -5.09		 57.23   	 -35.61		
 41.50   	 38.45   	  3.13   	   0.00		 57.09   	 -35.61		
 43.03   	 34.18   	  3.13   	 -10.17		 56.95   	 -35.61		
 44.86   	 36.93   	  3.09   	  -5.09		 56.81   	 -35.61		
 47.91   	 41.81   	  3.07   	 -10.17		 56.66   	 -40.69		
 53.71   	 42.11   	  3.03   	  -5.09		 56.50   	 -35.61		
 62.56   	 33.57   	  3.01   	  -5.09		 56.36   	 -35.61		
 72.33   	 20.75   	  2.99   	  -5.09		 56.22   	 -35.61		
 79.35   	 11.90   	  2.97   	   0.00		 56.07   	 -40.69		
 80.26   	 13.12   	  2.97   	   0.00		 55.91   	 -35.61		
 72.02   	 18.92   	  2.97   	  10.17		 55.77   	 -40.69		
 55.24   	 18.62   	  3.01   	   5.09		 55.61   	 -35.61		
 34.48   	  4.88   	  3.03   	  15.26		 55.46   	 -40.69		
 14.95   	-19.23   	  3.09   	  20.35		 55.30   	 -35.61		
  1.22   	-42.42   	  3.17   	  15.26		 55.16   	 -40.69		
 -6.41   	-53.10   	  3.23   	  25.43		 54.99   	 -40.69		
 -8.85   	-50.05   	  3.34   	  20.35		 54.83   	 -35.61		
 -8.54   	-39.98   	  3.42   	  25.43		 54.69   	 -40.69		
 -7.63   	-32.65   	  3.52   	  25.43		 54.53   	 -35.61		
 -7.32   	-32.96   	  3.62   	  25.43		 54.38   	 -35.61		
 -9.16   	-39.67   	  3.72   	  20.35		 54.24   	 -40.69		
-12.51   	-46.69   	  3.80   	  15.26		 54.08   	 -35.61		
-16.48   	-48.83   	  3.87   	  15.26		 53.94   	 -35.61		
-19.84   	-45.47   	  3.93   	  10.17		 53.79   	 -40.69		
-21.67   	-40.28   	  3.97   	   5.09		 53.63   	 -35.61		
-21.67   	-36.93   	  3.99   	   0.00		 53.49   	 -35.61		
-20.14   	-37.84   	  3.99   	   0.00		 53.35   	 -40.69		
-18.31   	-41.20   	  3.99   	  -5.09		 53.18   	 -35.61		
-16.48   	-43.64   	  3.97   	   0.00		 53.04   	 -40.69		
-15.87   	-41.81   	  3.97(E)	   5.09		 52.88   	 -35.61		
-17.40   	-35.10   	  3.99   	   5.09		 52.74   	 -40.69		
-23.50   	-23.80   	  4.01   	  20.35		 52.57   	 -35.61		
-39.67   	 -7.93   	  4.09   	  25.43		 52.43   	 -35.61		
-70.80   	 11.29   	  4.19   	  35.61		 52.29   	 -40.69		
-116.27   	 31.43   	  4.33   	  45.78		 52.13   	 -35.61		
-162.66   	 50.66   	  4.52   	  61.04		 51.98   	 -40.69		
-183.41   	 70.50   	  4.76   	  71.21		 51.82   	 -35.61		
-148.93   	100.10   	  5.05   	  76.30		 51.68   	 -40.69		
-36.93   	156.86   	  5.35   	  81.38		 51.52   	 -35.61		
155.64   	258.48   	  5.68   	  81.38		 51.37   	 -40.69		
414.43   	407.71   	  6.00   	  81.38		 51.21   	 -35.61		
707.09   	573.73   	  6.33   	  81.38		 51.07   	 -40.69		
981.45   	682.68(R)	  6.65   	  76.30		 50.91   	 -40.69		
1169.43   	650.02   	  6.96   	  71.21		 50.74   	 -40.69		
1212.46   	438.23   	  7.24   	  66.12		 50.58   	 -40.69		
1098.33   	 98.88   	  7.51   	  66.12		 50.42   	 -40.69		
874.33   	-235.29   	  7.77   	  66.12		 50.25   	 -40.69		
626.22   	-426.03   	  8.04   	  66.12		 50.09   	 -40.69		
427.86   	-423.58   	  8.30   	  66.12		 49.93   	 -35.61		
299.07   	-290.22   	  8.57   	  66.12		 49.79   	 -40.69		
212.40   	-141.60   	  8.83   	  81.38		 49.62   	 -40.69		
133.97   	-58.90   	  9.16   	  96.64		 49.46   	 -40.69		
 56.76   	-47.30   	  9.54   	 116.99		 49.30   	 -35.61		
 -3.66   	-62.56   	 10.01   	 157.68		 49.16   	 -35.61		
-32.35   	-65.61   	 10.64   	 198.37		 49.01   	 -40.69		
-35.71   	-51.57   	 11.43   	 259.41		 48.85   	 -35.61		
-32.96   	-36.62   	 12.47   	 330.62		 48.71   	 -35.61		
-39.06   	-31.74   	 13.79   	 412.00		 48.57   	 -35.61		
-53.41   	-32.35   	 15.44   	 503.56		 48.42   	 -30.52		
-66.83   	-30.82   	 17.46   	 600.20		 48.30   	 -35.61		
-73.55   	-25.33   	 19.86   	 691.76		 48.16   	 -35.61		
-74.46   	-20.45   	 22.62   	 783.31		 48.02   	 -30.52		
-74.16   	-19.84   	 25.76   	 864.70		 47.89   	 -35.61		
-75.07   	-21.67   	 29.22   	 930.82		 47.75   	 -30.52		
-76.60   	-22.89   	 32.94   	 976.60		 47.63   	 -35.61		
-77.21   	-20.75   	 36.85   	1012.20		 47.49   	 -30.52		
-76.29   	-14.95   	 40.90   	1022.38		 47.37   	 -30.52		
-74.46   	 -7.63   	 44.98   	1032.55		 47.24   	 -35.61		
-73.24   	 -1.22   	 49.11   	1032.55		 47.10   	 -30.52		
-73.55   	  2.44   	 53.24   	1027.46		 46.98   	 -30.52		
-75.38   	  1.83   	 57.35   	1032.55		 46.86   	 -30.52		
-78.13   	 -3.05   	 61.49   	1032.55		 46.73   	 -30.52		
-80.26   	 -9.16   	 65.62   	1032.55		 46.61   	 -25.43		
-81.18   	-14.04   	 69.75   	1032.55		 46.51   	 -25.43		
-80.87   	-14.65   	 73.88   	1017.29		 46.41   	 -20.35		
-80.57   	-10.38   	 77.94   	 996.94		 46.33   	 -20.35		
-80.87   	 -3.36   	 81.93   	 966.43		 46.25   	  -5.09		
-81.79   	  3.36   	 85.80   	 925.73		 46.23   	   0.00		
-83.01   	  6.41   	 89.50   	 874.87		 46.23   	  15.26		
-83.92   	  4.58   	 93.00   	 818.92		 46.29   	  35.61		
-84.84   	  0.61   	 96.28   	 747.71		 46.43   	  66.12		
-86.67   	 -2.14   	 99.27   	 686.67		 46.69   	  91.56		
-89.42   	 -0.92   	102.01   	 615.46		 47.06   	 127.16		
-91.55   	  4.27   	104.48   	 559.51		 47.57   	 157.68		
-92.77   	 10.68   	106.71   	 498.47		 48.20   	 198.37		
-92.47   	 14.34   	108.71   	 452.69		 48.99   	 228.89		
-91.55   	 13.12   	110.52   	 406.92		 49.91   	 264.50		
-90.64   	  8.54   	112.15   	 376.40		 50.97   	 289.93		
-90.64   	  3.97   	113.65   	 345.88		 52.13   	 320.45		
-90.94   	  3.05   	115.04   	 320.45		 53.41   	 340.79		
-91.25   	  6.41   	116.32   	 295.01		 54.77   	 361.14		
-90.94   	 10.99   	117.50   	 279.75		 56.22   	 381.48		
-90.94   	 14.65   	118.62   	 264.50		 57.74   	 401.83		
-91.25   	 16.17   	119.67   	 249.24		 59.35   	 412.00		
-92.16   	 17.09   	120.67   	 244.15		 61.00   	 427.26		
-93.08   	 19.84   	121.65   	 233.98		 62.71   	 437.43		
-93.99   	 25.63   	122.58   	 218.72		 64.46   	 452.69		
-94.91   	 32.35   	123.46   	 198.37		 66.27   	 457.78		
-96.44   	 36.62   	124.25   	 183.11		 68.10   	 473.04		
-98.88   	 36.32   	124.98   	 162.77		 69.99   	 473.04		
-102.84   	 32.04   	125.64   	 132.25		 71.88   	 483.21		
-107.73   	 27.47   	126.16   	 116.99		 73.81   	 488.30		
-112.92   	 25.94   	126.63   	 101.73		 75.77   	 488.30		
-117.49   	 29.60   	127.04   	  86.47		 77.72   	 488.30		
-121.15   	 36.62   	127.39   	  76.30		 79.67   	 483.21		
-124.21   	 42.72   	127.69   	  71.21		 81.61   	 483.21		
-126.34   	 45.17   	127.98   	  66.12		 83.54   	 473.04		
-128.48   	 43.03   	128.24   	  66.12		 85.43   	 467.95		
-130.92   	 38.76   	128.50   	  55.95		 87.30   	 457.78		
-133.06   	 35.71   	128.73   	  55.95		 89.13   	 452.69		
-135.50   	 35.40   	128.95   	  40.69		 90.95   	 442.52		
-137.63   	 37.84   	129.11   	  30.52		 92.72   	 437.43		
-139.16   	 42.11   	129.24   	  10.17		 94.47   	 422.18		
-140.69   	 45.47   	129.28(S)	  -5.09		 96.15   	 417.09		
-142.21   	 45.17   	129.26   	 -30.52		 97.82   	 406.92		
-144.04   	 39.67   	129.13   	 -50.86		 99.45   	 396.74		
-145.57   	 30.52   	128.93   	 -66.12		101.04   	 386.57		
-144.96   	 21.67   	128.67   	 -76.30		102.58   	 376.40		
-140.08   	 17.40   	128.36   	 -81.38		104.09   	 361.14		
-130.00   	 18.62   	128.04   	 -86.47		105.53   	 345.88		
-116.58   	 22.89   	127.69   	 -81.38		106.92   	 325.53		
-102.23   	 25.33   	127.36   	 -91.56		108.22   	 310.27		
-88.50   	 23.80   	127.00   	 -96.64		109.46   	 295.01		
-75.99   	 18.92   	126.61   	-106.82		110.64   	 274.67		
-63.78   	 14.04   	126.18   	-122.07		111.74   	 259.41		
-51.57   	 12.21   	125.70   	-142.42		112.78   	 239.06		
-39.98   	 12.82   	125.13   	-167.85		113.73   	 223.80		
-29.91   	 13.12   	124.46   	-188.20		114.63   	 208.54		
-21.36   	 10.07   	123.70   	-213.63		115.46   	 198.37		
-14.34   	  3.36   	122.85   	-239.06		116.26   	 178.03		
 -8.85   	 -4.88   	121.89   	-264.50		116.97   	 162.77		
 -4.88   	-10.38   	120.83   	-289.93		117.62   	 152.59		
 -2.14   	-10.99   	119.67   	-320.45		118.23   	 132.25		
 -0.92   	 -7.93   	118.39   	-345.88		118.76   	 116.99		
  0.31   	 -4.27   	117.01   	-386.57		119.23   	 106.82		
  1.22   	 -2.75   	115.46   	-417.09		119.65   	  91.56		
  2.44   	 -5.19   	113.79   	-462.87		120.02   	  71.21		
  2.44   	-10.99   	111.94   	-498.47		120.30   	  61.04		
  1.22   	-19.23   	109.95   	-534.08		120.55   	  40.69		
 -1.22   	-27.47   	107.81   	-579.86		120.71   	  20.35		
 -3.36   	-32.96   	105.49   	-615.46		120.79   	   5.09		
 -4.27   	-34.48   	103.03   	-656.15		120.81   	 -15.26		
 -2.75   	-31.74   	100.41   	-686.67		120.75   	 -30.52		
 -0.31   	-27.47   	 97.66   	-717.19		120.63   	 -55.95		
  0.92   	-24.72   	 94.79   	-747.71		120.41   	 -76.30		
  0.31   	-25.33   	 91.80   	-778.23		120.10   	 -96.64		
 -2.14   	-28.08   	 88.69   	-808.75		119.71   	-122.07		
 -4.27   	-30.82   	 85.45   	-839.26		119.23   	-142.42		
 -5.49   	-31.74   	 82.10   	-869.78		118.66   	-162.77		
 -4.88   	-30.21   	 78.62   	-900.30		118.01   	-188.20		
 -4.27   	-28.38   	 75.01   	-920.65		117.25   	-208.54		
 -4.58   	-26.55   	 71.33   	-935.91		116.42   	-223.80		
 -6.71   	-26.25   	 67.59   	-946.08		115.52   	-249.24		
 -9.77   	-26.55   	 63.80   	-946.08		114.53   	-264.50		
-12.51   	-27.16   	 60.02   	-946.08		113.47   	-279.75		
-13.73   	-26.25   	 56.24   	-935.91		112.35   	-295.01		
-12.82   	-22.89   	 52.49   	-920.65		111.17   	-300.10		
-10.68   	-17.70   	 48.81   	-905.39		109.97   	-310.27		
-10.07   	-12.51   	 45.19   	-885.04		108.73   	-315.36		
-11.90   	 -9.16   	 41.65   	-864.70		107.47   	-320.45		
-15.87   	 -8.54   	 38.19   	-829.09		106.18   	-320.45		
-19.84   	 -9.16   	 34.87   	-798.57		104.90   	-320.45		
-21.06   	 -9.77   	 31.68   	-757.88		103.62   	-315.36		
-20.14   	 -9.16   	 28.65   	-727.36		102.36   	-315.36		
-19.23   	 -8.24   	 25.74   	-676.50		101.10   	-315.36		
-19.84   	 -7.63   	 23.03   	-640.89		 99.84   	-305.19		
-22.58   	 -7.93   	 20.47   	-590.03		 98.62   	-305.19		
-25.02   	 -7.93   	 18.11   	-544.25		 97.40   	-300.10		
-25.63   	 -7.93   	 15.93   	-503.56		 96.19   	-295.01		
-24.11   	 -7.32   	 13.92   	-452.69		 95.01   	-289.93		
-21.36   	 -6.71   	 12.11   	-412.00		 93.86   	-284.84		
-19.53   	 -6.10   	 10.46   	-371.31		 92.72   	-274.67		
-18.01   	 -5.80   	  8.97   	-330.62		 91.62   	-274.67		
-16.78   	 -5.80   	  7.65   	-295.01		 90.52   	-269.58		
-15.87   	 -6.41   	  6.47   	-269.58		 89.44   	-259.41		
-15.26   	 -7.63   	  5.39   	-244.15		 88.40   	-259.41		
-15.87   	 -9.16   	  4.42   	-218.72		 87.36   	-249.24		
-17.09   	 -9.77   	  3.54   	-198.37		 86.37   	-244.15		
-18.92   	-10.38   	  2.75   	-183.11		 85.39   	-239.06		
-19.53   	-10.99   	  2.01   	-167.85		 84.44   	-233.98		
-18.92   	-12.51   	  1.34   	-152.59		 83.50   	-223.80		
-17.70   	-14.34   	  0.73   	-147.51		 82.60   	-223.80		
-15.56   	-15.87   	  0.14   	-137.33		 81.71   	-213.63		
-14.04   	-15.87   	 -0.41   	-127.16		 80.85   	-208.54		
-13.12   	-14.65   	 -0.92   	-116.99		 80.02   	-198.37		
-12.82   	-13.43   	 -1.38   	-106.82		 79.23   	-193.29		
-12.51   	-14.04   	 -1.81   	 -91.56		 78.45   	-188.20		
-12.51   	-17.40   	 -2.18   	 -86.47		 77.70   	-183.11		
-13.43   	-22.58   	 -2.52   	 -71.21		 76.97   	-172.94		
-14.65   	-26.55   	 -2.81   	 -55.95		 76.28   	-172.94		
-15.87   	-26.86   	 -3.03   	 -55.95		 75.58   	-162.77		
-16.17   	-22.28   	 -3.26   	 -40.69		 74.93   	-157.68		
-15.26   	-15.26   	 -3.42   	 -40.69		 74.30   	-147.51		
-13.73   	-10.07   	 -3.58   	 -40.69		 73.71   	-147.51		
-12.82   	-10.38   	 -3.74   	 -40.69		 73.12   	-142.42		
-13.12   	-15.56   	 -3.91   	 -35.61		 72.55   	-132.25		
-14.65   	-22.28   	 -4.05   	 -40.69		 72.02   	-132.25		
-16.78   	-27.47   	 -4.21   	 -40.69		 71.50   	-122.07		
-18.62   	-28.99   	 -4.37   	 -30.52		 71.01   	-116.99		
-19.53   	-27.47   	 -4.50   	 -25.43		 70.54   	-116.99		
-19.23   	-24.72   	 -4.60   	 -20.35		 70.07   	-106.82		
-18.31   	-21.67   	 -4.68   	  -5.09		 69.64   	-106.82		
-18.01   	-20.14   	 -4.70(D)	   5.09		 69.22   	-101.73		
-18.92   	-21.06   	 -4.68   	  15.26		 68.81   	 -96.64		
-20.75   	-24.11   	 -4.62   	  25.43		 68.42   	 -91.56		
-22.89   	-28.99   	 -4.52   	  35.61		 68.06   	 -91.56		
-24.11   	-33.57   	 -4.37   	  40.69		 67.69   	 -86.47		
-23.19   	-36.01   	 -4.21   	  45.78		 67.34   	 -81.38		
-21.36   	-35.40   	 -4.03   	  45.78		 67.02   	 -81.38		
-19.23   	-32.04   	 -3.85   	  40.69		 66.69   	 -76.30		
-17.40   	-27.16   	 -3.68   	  45.78		 66.39   	 -71.21		
-16.78   	-22.89   	 -3.50   	  40.69		 66.10   	 -71.21		
-17.40   	-21.97   	 -3.34   	  35.61		 65.82   	 -71.21		
-18.31   	-24.72   	 -3.19   	  30.52		 65.53   	 -66.12		
-19.53   	-29.91   	 -3.07   	  30.52		 65.27   	 -66.12		
-19.84   	-34.18   	 -2.95   	  25.43		 65.00   	 -61.04		
-20.14   	-35.71   	 -2.85   	  25.43		 64.76   	 -61.04		
-20.45   	-33.57   	 -2.75   	  20.35		 64.52   	 -61.04		
-21.36   	-29.60   	 -2.67   	  20.35		 64.27   	 -55.95		
-21.97   	-26.86   	 -2.58   	  20.35		 64.05   	 -55.95		
-21.67   	-26.55   	 -2.50   	  15.26		 63.82   	 -55.95		
-20.14   	-28.38   	 -2.44   	  15.26		 63.60   	 -50.86		
-17.70   	-31.13   	 -2.38   	  10.17		 63.40   	 -55.95		
-16.48   	-33.57   	 -2.34   	   5.09		 63.17   	 -50.86		
-17.40   	-34.79   	 -2.32   	   5.09		 62.97   	 -55.95		
-19.84   	-34.48   	 -2.30   	   0.00		 62.75   	 -50.86		
-22.28   	-32.35   	 -2.30   	  -5.09		 62.54   	 -50.86		
-23.19   	-28.69   	 -2.32   	  -5.09		 62.34   	 -50.86		
