  I     	  II     	  AOp     	  AOp'		  CH2     	  CH2'		
-11.60   	 15.26   	 51.05   	  50.86		 66.21   	 -30.52		
-11.60   	 12.82   	 51.25   	 147.51		 66.08   	 -25.43		
-11.90   	  8.54   	 51.84   	 239.06		 65.98   	 -30.52		
-12.51   	  2.75   	 52.80   	 305.19		 65.86   	 -25.43		
-12.82   	 -2.14   	 54.02   	 366.22		 65.76   	 -30.52		
-12.82   	 -4.58   	 55.48   	 401.83		 65.64   	 -25.43		
-12.82   	 -5.19   	 57.09   	 422.18		 65.53   	 -30.52		
-13.12   	 -4.58   	 58.78   	 422.18		 65.41   	 -25.43		
-14.34   	 -5.19   	 60.47   	 406.92		 65.31   	 -30.52		
-16.17   	 -7.63   	 62.10   	 381.48		 65.19   	 -25.43		
-18.92   	-13.43   	 63.62   	 350.97		 65.09   	 -25.43		
-21.06   	-25.63   	 65.03   	 310.27		 64.98   	 -30.52		
-20.75   	-48.22   	 66.27   	 269.58		 64.86   	 -25.43		
-15.56   	-76.90   	 67.34   	 223.80		 64.76   	 -25.43		
 -3.36   	-92.47   	 68.24   	 183.11		 64.66   	 -25.43		
 15.87   	-59.51   	 68.97   	 137.33		 64.56   	 -25.43		
 40.28   	 60.42   	 69.52   	 101.73		 64.46   	 -25.43		
 65.31   	286.25   	 69.93   	  55.95		 64.35   	 -25.43		
 87.59   	601.50   	 70.15   	  25.43		 64.25   	 -25.43		
104.37   	943.91   	 70.25   	 -45.78		 64.15   	 -50.86		
105.90   	1355.59(R)	 70.07   	 -61.04		 63.95   	 -25.43		
 80.26   	1303.41   	 69.83   	 -86.47		 63.85   	 -25.43		
 39.37   	1089.78   	 69.48   	-101.73		 63.74   	 -25.43		
 -4.58   	792.85   	 69.07   	-116.99		 63.64   	 -25.43		
-34.79   	503.23   	 68.61   	-127.16		 63.54   	 -25.43		
-41.20   	281.98   	 68.10   	-127.16		 63.44   	 -20.35		
-28.38   	143.43   	 67.59   	-127.16		 63.36   	 -20.35		
-11.60   	 65.31   	 67.08   	-127.16		 63.28   	 -20.35		
 -3.66   	 17.70   	 66.57   	-116.99		 63.19   	 -20.35		
 -7.63   	-17.40   	 66.10   	-111.90		 63.11   	 -20.35		
-16.78   	-43.03   	 65.66   	 -96.64		 63.03   	 -20.35		
-23.50   	-57.37   	 65.27   	 -81.38		 62.95   	 -20.35		
-25.02   	-62.87   	 64.94   	 -61.04		 62.87   	 -15.26		
-23.50   	-65.31   	 64.70   	 -50.86		 62.81   	 -20.35		
-21.97   	-69.58   	 64.50   	 -40.69		 62.73   	 -20.35		
-21.67   	-76.60   	 64.33   	 -20.35		 62.64   	 -15.26		
-21.36   	-83.92   	 64.25   	 -20.35		 62.58   	 -20.35		
-20.75   	-90.64   	 64.17   	 -10.17		 62.50   	 -20.35		
-19.84   	-95.52   	 64.13   	 -10.17		 62.42   	 -20.35		
-19.53   	-99.49   	 64.09   	 -10.17		 62.34   	 -15.26		
-20.45   	-103.45   	 64.05   	 -20.35		 62.28   	 -20.35		
-21.97   	-106.81   	 63.97   	 -25.43		 62.20   	 -20.35		
-23.19   	-109.25   	 63.87   	 -35.61		 62.12   	 -20.35		
-23.80   	-109.86   	 63.72   	 -45.78		 62.03   	 -20.35		
-24.41   	-108.64   	 63.54   	 -50.86		 61.95   	 -15.26		
-25.02   	-106.20   	 63.34   	 -61.04		 61.89   	 -20.35		
-25.63   	-102.84   	 63.09   	 -66.12		 61.81   	 -20.35		
-26.25   	-99.79   	 62.83   	 -66.12		 61.73   	 -20.35		
-25.94   	-98.57   	 62.56   	 -66.12		 61.65   	 -15.26		
-25.33   	-100.40   	 62.30   	 -50.86		 61.59   	 -20.35		
-23.80   	-105.29   	 62.10   	 -40.69		 61.51   	 -15.26		
-22.58   	-112.92   	 61.93   	 -20.35		 61.44   	 -15.26		
-21.97   	-120.85   	 61.85   	   5.09		 61.38   	 -10.17		
-21.67   	-128.17   	 61.87   	  30.52		 61.34   	 -10.17		
-21.67   	-132.75   	 61.99   	  61.04		 61.30   	   0.00		
-21.67   	-135.19   	 62.24   	  96.64		 61.30   	   5.09		
-21.06   	-136.11   	 62.62   	 127.16		 61.32   	  25.43		
-20.75   	-136.72   	 63.13   	 167.85		 61.42   	  35.61		
-21.67   	-137.33   	 63.80   	 203.46		 61.57   	  66.12		
-23.19   	-136.41   	 64.62   	 244.15		 61.83   	  96.64		
-25.33   	-133.67   	 65.59   	 274.67		 62.22   	 127.16		
-26.86   	-129.39   	 66.69   	 305.19		 62.73   	 167.85		
-27.77   	-126.04   	 67.91   	 340.79		 63.40   	 208.54		
-28.08   	-125.73   	 69.28   	 371.31		 64.23   	 244.15		
-27.16   	-127.56   	 70.76   	 396.74		 65.21   	 279.75		
-24.72   	-129.70   	 72.35   	 427.26		 66.33   	 310.27		
-20.45   	-129.70   	 74.06   	 442.52		 67.57   	 345.88		
-15.56   	-126.95   	 75.83   	 462.87		 68.95   	 371.31		
-12.51   	-123.90   	 77.68   	 473.04		 70.44   	 391.66		
-12.51   	-123.60   	 79.57   	 478.13		 72.00   	 417.09		
-15.26   	-126.34   	 81.48   	 473.04		 73.67   	 432.35		
-18.31   	-129.70   	 83.38   	 462.87		 75.40   	 447.61		
-20.45   	-130.92   	 85.23   	 452.69		 77.19   	 462.87		
-20.45   	-128.78   	 87.04   	 437.43		 79.04   	 473.04		
-19.84   	-125.73   	 88.79   	 412.00		 80.94   	 478.13		
-18.62   	-125.12   	 90.44   	 391.66		 82.85   	 483.21		
-17.70   	-129.09   	 92.00   	 366.22		 84.78   	 488.30		
-15.87   	-137.02   	 93.47   	 340.79		 86.73   	 488.30		
-13.43   	-146.48   	 94.83   	 310.27		 88.69   	 483.21		
-10.38   	-154.72   	 96.07   	 289.93		 90.62   	 478.13		
 -7.32   	-159.91   	 97.23   	 269.58		 92.53   	 473.04		
 -4.88   	-160.83   	 98.31   	 244.15		 94.42   	 462.87		
 -3.66   	-158.69   	 99.29   	 223.80		 96.28   	 447.61		
 -2.44   	-154.72   	100.18   	 208.54		 98.07   	 432.35		
  0.00   	-149.84   	101.02   	 193.29		 99.80   	 417.09		
  4.27   	-144.96   	101.79   	 183.11		101.46   	 396.74		
 10.38   	-139.47   	102.52   	 172.94		103.05   	 381.48		
 17.40   	-133.36   	103.21   	 157.68		104.58   	 356.05		
 23.80   	-126.04   	103.84   	 157.68		106.00   	 335.71		
 28.08   	-117.80   	104.48   	 147.51		107.34   	 310.27		
 30.52   	-108.95   	105.07   	 147.51		108.59   	 289.93		
 32.35   	-100.10   	105.66   	 147.51		109.75   	 269.58		
 34.18   	-90.94   	106.25   	 137.33		110.82   	 239.06		
 36.32   	-82.09   	106.80   	 142.42		111.78   	 218.72		
 37.54   	-74.16   	107.36   	 137.33		112.65   	 198.37		
 36.62   	-67.75   	107.91   	 137.33		113.45   	 172.94		
 34.18   	-62.87   	108.46   	 137.33		114.14   	 157.68		
 30.52   	-57.37   	109.01   	 132.25		114.77   	 132.25		
 27.16   	-49.74   	109.54   	 132.25		115.30   	 111.90		
 24.11   	-39.98   	110.07   	 122.07		115.75   	  96.64		
 21.36   	-30.21   	110.56   	 116.99		116.13   	  81.38		
 18.31   	-24.11   	111.03   	 101.73		116.46   	  61.04		
 14.04   	-23.50   	111.43   	  96.64		116.70   	  50.86		
  9.46   	-26.55   	111.82   	  76.30		116.91   	  35.61		
  4.58   	-29.60   	112.13   	  55.95		117.05   	  25.43		
  0.61   	-29.60   	112.35   	  45.78		117.15   	  10.17		
 -2.14   	-26.25   	112.53   	  15.26		117.19   	   0.00		
 -3.05   	-21.67   	112.59   	   0.00		117.19   	 -10.17		
 -3.36   	-18.62   	112.59   	 -25.43		117.15   	 -15.26		
 -4.58   	-19.23   	112.49   	 -45.78		117.09   	 -25.43		
 -6.71   	-22.58   	112.31   	 -71.21		116.99   	 -30.52		
 -8.54   	-26.86   	112.02   	 -96.64		116.87   	 -35.61		
 -8.54   	-30.82   	111.64   	-116.99		116.72   	 -45.78		
 -5.49   	-33.26   	111.17   	-137.33		116.54   	 -50.86		
 -0.61   	-35.40   	110.62   	-162.77		116.34   	 -55.95		
  3.66   	-37.23   	109.97   	-188.20		116.11   	 -61.04		
  4.88   	-38.45   	109.22   	-203.46		115.87   	 -66.12		
  3.05   	-38.76   	108.40   	-218.72		115.60   	 -71.21		
 -1.22   	-36.93   	107.53   	-239.06		115.32   	 -81.38		
 -5.49   	-34.18   	106.57   	-249.24		114.99   	 -81.38		
 -7.93   	-31.74   	105.57   	-259.41		114.67   	 -91.56		
 -8.54   	-31.43   	104.54   	-274.67		114.30   	-101.73		
 -8.24   	-34.18   	103.44   	-279.75		113.90   	-106.82		
 -8.24   	-37.84   	102.32   	-284.84		113.47   	-116.99		
 -8.24   	-40.28   	101.18   	-284.84		113.00   	-127.16		
 -7.32   	-39.06   	100.04   	-284.84		112.49   	-137.33		
 -4.58   	-34.48   	 98.90   	-284.84		111.94   	-147.51		
 -1.22   	-28.69   	 97.76   	-274.67		111.35   	-162.77		
  0.00   	-24.72   	 96.66   	-264.50		110.70   	-172.94		
 -1.83   	-25.02   	 95.60   	-249.24		110.01   	-188.20		
 -5.80   	-27.77   	 94.61   	-223.80		109.26   	-198.37		
 -9.16   	-30.82   	 93.71   	-208.54		108.46   	-213.63		
-10.07   	-31.74   	 92.88   	-178.03		107.61   	-223.80		
 -8.24   	-29.60   	 92.17   	-157.68		106.71   	-233.98		
 -4.88   	-25.33   	 91.54   	-127.16		105.78   	-244.15		
 -2.14   	-21.06   	 91.03   	-111.90		104.80   	-254.32		
 -1.22   	-18.92   	 90.58   	 -96.64		103.78   	-249.24		
 -1.22   	-19.53   	 90.19   	 -76.30		102.79   	-259.41		
 -2.75   	-22.58   	 89.89   	 -66.12		101.75   	-254.32		
 -4.58   	-27.77   	 89.62   	 -61.04		100.73   	-249.24		
 -6.10   	-33.26   	 89.38   	 -61.04		 99.74   	-249.24		
 -7.02   	-37.84   	 89.13   	 -50.86		 98.74   	-244.15		
 -6.71   	-39.37   	 88.93   	 -55.95		 97.76   	-239.06		
 -5.80   	-37.54   	 88.71   	 -55.95		 96.81   	-228.89		
 -3.97   	-32.35   	 88.48   	 -61.04		 95.89   	-228.89		
 -2.44   	-26.86   	 88.24   	 -66.12		 94.97   	-213.63		
 -2.44   	-23.19   	 87.98   	 -66.12		 94.12   	-213.63		
 -3.36   	-22.89   	 87.71   	 -66.12		 93.27   	-203.46		
 -4.58   	-24.41   	 87.45   	 -76.30		 92.45   	-193.29		
 -4.58   	-26.86   	 87.14   	 -71.21		 91.68   	-193.29		
 -2.44   	-28.38   	 86.86   	 -76.30		 90.91   	-178.03		
  0.92   	-29.91   	 86.55   	 -76.30		 90.19   	-178.03		
  4.88   	-32.35   	 86.25   	 -76.30		 89.48   	-167.85		
  7.63   	-37.23   	 85.94   	 -71.21		 88.81   	-162.77		
  8.85   	-45.47   	 85.66   	 -61.04		 88.16   	-152.59		
  8.85   	-56.46   	 85.41   	 -61.04		 87.55   	-147.51		
  7.93   	-68.66   	 85.17   	 -55.95		 86.96   	-137.33		
  7.02   	-80.87   	 84.94   	 -40.69		 86.41   	-137.33		
  6.41   	-88.81   	 84.78   	 -40.69		 85.86   	-127.16		
  6.71   	-88.20   	 84.62   	 -30.52		 85.35   	-122.07		
  7.02   	-78.43   	 84.50   	 -20.35		 84.86   	-111.90		
  6.10   	-60.12   	 84.41   	 -20.35		 84.41   	-106.82		
  4.27   	-39.06   	 84.33   	 -10.17		 83.99   	-101.73		
  1.83   	-22.58   	 84.29   	  -5.09		 83.58   	 -96.64		
 -0.61   	-15.56   	 84.27   	  -5.09		 83.19   	 -91.56		
 -1.83   	-18.62   	 84.25   	  -5.09		 82.83   	 -81.38		
 -2.75   	-28.38   	 84.23   	  -5.09		 82.50   	 -76.30		
 -4.27   	-40.28   	 84.21   	  -5.09		 82.20   	 -76.30		
 -6.10   	-49.44   	 84.19   	 -10.17		 81.89   	 -66.12		
 -7.93   	-53.10   	 84.15   	 -10.17		 81.63   	 -61.04		
 -8.24   	-50.05   	 84.11   	 -20.35		 81.38   	 -55.95		
 -7.32   	-40.59   	 84.03   	 -30.52		 81.16   	 -50.86		
 -5.80   	-27.77   	 83.91   	 -35.61		 80.96   	 -45.78		
 -5.19   	-15.87   	 83.76   	 -45.78		 80.77   	 -35.61		
 -5.49   	 -9.46   	 83.58   	 -55.95		 80.63   	 -35.61		
 -6.10   	-10.38   	 83.36   	 -71.21		 80.49   	 -30.52		
 -5.49   	-16.78   	 83.07   	 -76.30		 80.37   	 -30.52		
 -3.66   	-24.72   	 82.77   	 -91.56		 80.24   	 -20.35		
 -1.53   	-31.13   	 82.40   	 -96.64		 80.16   	 -20.35		
 -1.53   	-36.93   	 82.01   	-101.73		 80.08   	 -20.35		
 -4.27   	-44.56   	 81.61   	-111.90		 80.00   	 -15.26		
 -8.54   	-54.32   	 81.16   	-111.90		 79.94   	 -15.26		
-12.51   	-61.95   	 80.71   	-111.90		 79.88   	 -20.35		
-14.04   	-62.26   	 80.26   	-116.99		 79.80   	 -15.26		
-12.82   	-54.32   	 79.80   	-116.99		 79.74   	 -20.35		
-10.68   	-43.03   	 79.33   	-122.07		 79.65   	 -20.35		
 -9.16   	-36.93   	 78.84   	-116.99		 79.57   	 -25.43		
 -9.77   	-40.28   	 78.37   	-122.07		 79.47   	 -25.43		
-11.90   	-50.66   	 77.88   	-122.07		 79.37   	 -25.43		
-14.95   	-61.95   	 77.40   	-122.07		 79.27   	 -30.52		
-17.40   	-68.36   	 76.91   	-122.07		 79.15   	 -35.61		
-18.31   	-68.36   	 76.42   	-116.99		 79.00   	 -35.61		
-17.09   	-65.31   	 75.95   	-116.99		 78.86   	 -40.69		
-14.95   	-63.17   	 75.48   	-111.90		 78.70   	 -40.69		
-12.51   	-63.78   	 75.04   	-106.82		 78.53   	 -45.78		
-10.38   	-67.44   	 74.61   	 -96.64		 78.35   	 -50.86		
 -8.24   	-71.72   	 74.22   	 -96.64		 78.15   	 -50.86		
 -5.80   	-75.68   	 73.83   	 -81.38		 77.94   	 -55.95		
 -3.97   	-78.74   	 73.51   	 -76.30		 77.72   	 -55.95		
 -3.05   	-82.09   	 73.20   	 -71.21		 77.50   	 -61.04		
 -4.88   	-86.36   	 72.92   	 -55.95		 77.25   	 -55.95		
 -7.32   	-89.11   	 72.70   	 -55.95		 77.03   	 -61.04		
 -7.32   	-86.36   	 72.47   	 -45.78		 76.79   	 -61.04		
 -3.97   	-77.21   	 72.29   	 -45.78		 76.54   	 -66.12		
  0.92   	-64.39   	 72.11   	 -40.69		 76.28   	 -61.04		
  3.97   	-53.41   	 71.94   	 -35.61		 76.03   	 -61.04		
  3.05   	-48.52   	 71.80   	 -40.69		 75.79   	 -66.12		
 -0.92   	-50.35   	 71.64   	 -40.69		 75.52   	 -61.04		
 -4.58   	-56.46   	 71.47   	 -40.69		 75.28   	 -61.04		
 -6.71   	-63.78   	 71.31   	 -45.78		 75.04   	 -55.95		
 -7.63   	-68.97   	 71.13   	 -35.61		 74.81   	 -61.04		
 -7.93   	-68.36   	 70.99   	 -40.69		 74.57   	 -55.95		
 -8.24   	-58.59   	 70.82   	 -35.61		 74.34   	 -55.95		
 -7.93   	-39.98   	 70.68   	 -35.61		 74.12   	 -55.95		
 -7.02   	-18.01   	 70.54   	 -30.52		 73.90   	 -50.86		
 -6.71   	 -4.88   	 70.42   	 -35.61		 73.69   	 -55.95		
 -9.77   	-11.90   	 70.27   	 -30.52		 73.47   	 -55.95		
-16.48   	-46.08   	 70.15   	 -35.61		 73.24   	 -55.95		
-24.41   	-100.40   	 70.01   	 -30.52		 73.02   	 -55.95		
-26.55   	-151.98   	 69.89   	 -30.52		 72.80   	 -55.95		
-15.87   	-161.44   	 69.77   	 -30.52		 72.57   	 -50.86		
 10.99   	-86.67   	 69.64   	 -30.52		 72.37   	 -55.95		
 52.49   	 98.88   	 69.52   	 -20.35		 72.15   	 -50.86		
100.40   	386.66   	 69.44   	 -25.43		 71.94   	 -50.86		
141.91   	724.49   	 69.34   	 -15.26		 71.74   	 -50.86		
162.35   	1027.83   	 69.28   	 -25.43		 71.54   	-101.73		
101.93   	1244.51(R)	 69.18   	 -10.17		 71.13   	 -45.78		
 30.21   	1114.50   	 69.14   	 -10.17		 70.95   	 -45.78		
-37.84   	873.72   	 69.09   	 -15.26		 70.76   	 -50.86		
-75.68   	591.43   	 69.03   	 -15.26		 70.56   	 -40.69		
-72.63   	329.90   	 68.97   	 -20.35		 70.40   	 -45.78		
-39.67   	129.70   	 68.89   	 -20.35		 70.21   	 -45.78		
 -2.75   	  3.66   	 68.81   	 -30.52		 70.03   	 -45.78		
 16.17   	-58.29   	 68.69   	 -35.61		 69.85   	 -40.69		
 12.51   	-82.09   	 68.55   	 -35.61		 69.68   	 -45.78		
 -2.44   	-91.86   	 68.40   	 -45.78		 69.50   	 -40.69		
-15.26   	-102.23   	 68.22   	 -50.86		 69.34   	 -40.69		
-18.62   	-114.44   	 68.02   	 -55.95		 69.18   	 -45.78		
-14.65   	-124.51   	 67.79   	 -66.12		 68.99   	 -40.69		
 -9.46   	-130.00   	 67.53   	 -66.12		 68.83   	 -40.69		
 -7.02   	-133.36   	 67.26   	 -76.30		 68.67   	 -40.69		
 -6.71   	-137.33   	 66.96   	 -76.30		 68.50   	 -40.69		
 -6.71   	-141.60   	 66.65   	 -86.47		 68.34   	 -35.61		
 -5.49   	-143.13   	 66.31   	 -86.47		 68.20   	 -40.69		
 -3.66   	-139.77   	 65.96   	 -86.47		 68.04   	 -40.69		
 -2.44   	-135.19   	 65.62   	 -91.56		 67.87   	 -40.69		
 -2.44   	-135.19   	 65.25   	 -86.47		 67.71   	 -40.69		
 -4.27   	-142.82   	 64.90   	 -91.56		 67.55   	 -40.69		
 -6.71   	-155.94   	 64.54   	 -81.38		 67.39   	 -40.69		
 -9.77   	-167.54   	 64.21   	 -81.38		 67.22   	 -45.78		
-13.12   	-172.12   	 63.89   	 -76.30		 67.04   	 -45.78		
-15.26   	-166.93   	 63.58   	 -71.21		 66.86   	 -50.86		
-15.26   	-153.20   	 63.30   	 -66.12		 66.65   	 -50.86		
-13.73   	-135.50   	 63.03   	 -61.04		 66.45   	 -50.86		
-11.90   	-120.85   	 62.79   	 -55.95		 66.25   	 -55.95		
-11.29   	-114.44   	 62.56   	 -45.78		 66.02   	 -55.95		
-12.21   	-119.32   	 62.38   	 -45.78		 65.80   	 -55.95		
-13.73   	-133.36   	 62.20   	 -30.52		 65.57   	 -55.95		
-14.04   	-151.06   	 62.08   	 -25.43		 65.35   	 -61.04		
-12.82   	-165.71   	 61.97   	 -15.26		 65.11   	 -55.95		
-10.99   	-172.73   	 61.91   	   0.00		 64.88   	 -55.95		
-10.07   	-171.20   	 61.91   	  20.35		 64.66   	 -55.95		
 -8.85   	-162.66   	 61.99   	  40.69		 64.44   	 -55.95		
 -7.63   	-150.45   	 62.16   	  66.12		 64.21   	 -50.86		
 -5.80   	-138.85   	 62.42   	  86.47		 64.01   	 -50.86		
 -3.36   	-133.06   	 62.77   	 111.90		 63.80   	 -45.78		
 -0.92   	-136.11   	 63.21   	 142.42		 63.62   	 -45.78		
  1.22   	-148.01   	 63.78   	 167.85		 63.44   	 -35.61		
  2.75   	-165.10   	 64.46   	 188.20		 63.30   	 -30.52		
  3.66   	-182.19   	 65.21   	 208.54		 63.17   	 -20.35		
  3.66   	-195.01   	 66.04   	 223.80		 63.09   	 -10.17		
  2.75   	-201.11   	 66.94   	 239.06		 63.05   	   5.09		
  2.14   	-201.11   	 67.89   	 244.15		 63.07   	  25.43		
  2.75   	-196.53   	 68.87   	 244.15		 63.17   	  45.78		
  3.97   	-187.38   	 69.85   	 244.15		 63.36   	  71.21		
  6.41   	-175.17   	 70.82   	 244.15		 63.64   	  91.56		
  8.85   	-161.74   	 71.80   	 239.06		 64.01   	 122.07		
 11.60   	-151.98   	 72.76   	 233.98		 64.50   	 147.51		
 13.73   	-149.23   	 73.69   	 233.98		 65.09   	 167.85		
 15.26   	-155.33   	 74.63   	 223.80		 65.76   	 198.37		
 15.87   	-166.32   	 75.52   	 223.80		 66.55   	 213.63		
 15.56   	-177.00   	 76.42   	 223.80		 67.41   	 233.98		
 16.17   	-181.88   	 77.31   	 223.80		 68.34   	 249.24		
 17.70   	-180.66   	 78.21   	 218.72		 69.34   	 264.50		
 21.36   	-174.87   	 79.08   	 218.72		 70.40   	 279.75		
 25.94   	-166.93   	 79.96   	 213.63		 71.52   	 289.93		
 30.21   	-158.69   	 80.81   	 208.54		 72.68   	 300.10		
 34.18   	-150.15   	 81.65   	 208.54		 73.88   	 310.27		
 36.93   	-142.21   	 82.48   	 198.37		 75.12   	 315.36		
 39.37   	-134.89   	 83.28   	 193.29		 76.38   	 320.45		
 41.50   	-129.09   	 84.05   	 183.11		 77.66   	 325.53		
 44.25   	-124.21   	 84.78   	 172.94		 78.96   	 325.53		
 47.30   	-119.02   	 85.47   	 167.85		 80.26   	 325.53		
 51.57   	-113.22   	 86.14   	 162.77		 81.57   	 325.53		
 55.54   	-106.20   	 86.80   	 152.59		 82.87   	 320.45		
 58.59   	-98.88   	 87.41   	 147.51		 84.15   	 320.45		
 58.59   	-92.16   	 88.00   	 137.33		 85.43   	 310.27		
 55.85   	-85.75   	 88.54   	 132.25		 86.67   	 305.19		
 50.96   	-78.43   	 89.07   	 127.16		 87.89   	 295.01		
 44.86   	-70.19   	 89.58   	 122.07		 89.07   	 284.84		
 38.76   	-62.26   	 90.07   	 111.90		 90.21   	 269.58		
 33.57   	-55.54   	 90.52   	 101.73		 91.29   	 259.41		
 28.99   	-50.66   	 90.93   	  96.64		 92.33   	 249.24		
 24.72   	-47.91   	 91.31   	  91.56		 93.33   	 228.89		
 20.75   	-45.78   	 91.68   	  86.47		 94.24   	 218.72		
 16.78   	-43.64   	 92.02   	  76.30		 95.12   	 203.46		
 12.82   	-41.20   	 92.33   	  76.30		 95.93   	 188.20		
  9.46   	-38.15   	 92.63   	  71.21		 96.68   	 172.94		
  6.71   	-33.87   	 92.92   	  66.12		 97.37   	 157.68		
  4.58   	-29.30   	 93.18   	  61.04		 98.01   	 142.42		
  3.36   	-24.72   	 93.43   	  55.95		 98.58   	 122.07		
  2.14   	-21.67   	 93.65   	  50.86		 99.06   	 111.90		
  0.92   	-20.45   	 93.86   	  40.69		 99.51   	  91.56		
 -0.31   	-21.06   	 94.02   	  30.52		 99.88   	  81.38		
 -1.22   	-21.97   	 94.14   	  20.35		100.20   	  61.04		
 -1.53   	-21.67   	 94.22   	   5.09		100.45   	  50.86		
 -2.14   	-18.92   	 94.24   	  -5.09		100.65   	  40.69		
 -3.05   	-14.65   	 94.22   	 -20.35		100.81   	  25.43		
 -4.58   	 -9.16   	 94.14   	 -30.52		100.92   	  10.17		
 -6.71   	 -3.97   	 94.02   	 -45.78		100.96   	   0.00		
 -7.93   	  0.92   	 93.83   	 -61.04		100.96   	 -10.17		
 -7.93   	  5.49   	 93.59   	 -71.21		100.92   	 -20.35		
 -7.63   	 10.07   	 93.31   	 -86.47		100.83   	 -30.52		
 -7.93   	 14.65   	 92.96   	-101.73		100.71   	 -40.69		
 -9.46   	 18.62   	 92.55   	-111.90		100.55   	 -50.86		
-12.51   	 21.36   	 92.11   	-132.25		100.35   	 -61.04		
-14.95   	 22.28   	 91.58   	-137.33		100.10   	 -71.21		
-16.48   	 21.97   	 91.03   	-147.51		 99.82   	 -81.38		
-16.17   	 20.14   	 90.44   	-157.68		 99.49   	 -86.47		
-14.95   	 18.62   	 89.81   	-162.77		 99.15   	-101.73		
-13.73   	 17.70   	 89.16   	-162.77		 98.74   	-111.90		
-13.12   	 17.70   	 88.50   	-152.59		 98.29   	-116.99		
-13.12   	 18.62   	 87.89   	-147.51		 97.82   	-132.25		
-13.12   	 19.84   	 87.30   	-132.25		 97.29   	-137.33		
-13.12   	 19.84   	 86.77   	-122.07		 96.74   	-147.51		
-13.12   	 18.92   	 86.29   	-106.82		 96.15   	-157.68		
-13.12   	 15.87   	 85.86   	 -96.64		 95.52   	-157.68		
