  I     	  II     	  LV     	  LV'		  PW     	  PW'		
-421.75   	143.13   	 77.88   	 295.01		 32.51   	 -30.52		
-418.40   	148.32   	 79.06   	 142.42		 32.39   	  10.17		
-423.58   	148.93   	 79.63   	   5.09		 32.43   	  66.12		
-427.86   	154.72   	 79.65   	-111.90		 32.70   	 101.73		
-433.65   	164.18   	 79.21   	-188.20		 33.10   	 106.82		
-434.88   	176.09   	 78.45   	-208.54		 33.53   	  96.64		
-428.47   	191.35   	 77.62   	-198.37		 33.92   	  71.21		
-415.34   	203.25   	 76.83   	-152.59		 34.20   	  35.61		
-393.07   	211.49   	 76.22   	 -96.64		 34.34   	   0.00		
-380.25   	216.98   	 75.83   	 -55.95		 34.34   	 -35.61		
-386.66   	220.95   	 75.60   	 -20.35		 34.20   	 -50.86		
-405.58   	223.08   	 75.52   	 -15.26		 34.00   	 -50.86		
-422.97   	234.07   	 75.46   	 -40.69		 33.79   	 -40.69		
-437.93   	251.16   	 75.30   	 -71.21		 33.63   	 -25.43		
-424.50   	275.27   	 75.01   	-127.16		 33.53   	 -10.17		
-406.49   	305.48   	 74.51   	-178.03		 33.49   	   5.09		
-412.29   	325.62   	 73.79   	-228.89		 33.51   	   5.09		
-411.68   	341.19   	 72.88   	-264.50		 33.53   	   0.00		
-420.53   	351.26   	 71.82   	-279.75		 33.53   	 -10.17		
-436.10   	364.38   	 70.70   	-284.84		 33.49   	 -20.35		
-439.45   	388.49   	 69.56   	-269.58		 33.41   	 -35.61		
-456.54   	403.75   	 68.48   	-254.32		 33.27   	 -40.69		
-487.37   	398.86   	 67.47   	-233.98		 33.10   	 -40.69		
-516.97   	388.18   	 66.53   	-218.72		 32.94   	 -40.69		
-544.74   	374.76   	 65.66   	-223.80		 32.78   	 -35.61		
-563.35   	374.45   	 64.76   	-233.98		 32.63   	 -20.35		
-571.29   	393.37   	 63.82   	-259.41		 32.55   	 -15.26		
-568.85   	415.04   	 62.79   	-305.19		 32.49   	   0.00		
-563.05   	426.64   	 61.57   	-366.22		 32.49   	   5.09		
-557.25   	427.25   	 60.10   	-437.43		 32.51   	  10.17		
-548.10   	432.13   	 58.35   	-503.56		 32.55   	  15.26		
-542.30   	438.23   	 56.34   	-544.25		 32.61   	  15.26		
-538.02   	438.84   	 54.16   	-569.68		 32.68   	  15.26		
-531.01   	435.49   	 51.88   	-559.51		 32.74   	  30.52		
-522.16   	425.42   	 49.64   	-539.16		 32.86   	  35.61		
-518.19   	408.63   	 47.49   	-493.39		 33.00   	  66.12		
-506.29   	392.46   	 45.51   	-442.52		 33.27   	  86.47		
-495.61   	377.81   	 43.74   	-386.57		 33.61   	 106.82		
-487.37   	357.67   	 42.20   	-320.45		 34.04   	 122.07		
-474.55   	339.97   	 40.92   	-254.32		 34.53   	 122.07		
-466.31   	320.13   	 39.90   	-208.54		 35.02   	 111.90		
-457.46   	299.68   	 39.06   	-172.94		 35.46   	  96.64		
-448.61   	285.34   	 38.37   	-157.68		 35.85   	  71.21		
-438.54   	268.25   	 37.74   	-147.51		 36.13   	  45.78		
-430.60   	250.85   	 37.15   	-142.42		 36.32   	  25.43		
-423.89   	239.87   	 36.58   	-127.16		 36.42   	  20.35		
-416.87   	227.97   	 36.07   	-111.90		 36.50   	  25.43		
-413.21   	214.23   	 35.63   	 -81.38		 36.60   	  45.78		
-408.63   	209.05   	 35.30   	 -61.04		 36.79   	  71.21		
-404.05   	206.91   	 35.06   	 -35.61		 37.07   	 116.99		
-402.53   	209.66   	 34.91   	 -35.61		 37.54   	 152.59		
-394.29   	232.85   	 34.77   	 -45.78		 38.15   	 178.03		
-375.06   	275.27   	 34.59   	 -66.12		 38.86   	 188.20		
-344.85   	327.15   	 34.32   	-101.73		 39.61   	 172.94		
-290.83   	386.96   	 33.92   	-137.33		 40.31   	 142.42		
-228.88   	443.73   	 33.37   	-183.11		 40.87   	  96.64		
-177.31   	491.94   	 32.63   	-223.80		 41.26   	  40.69		
-123.90   	547.18   	 31.74   	-254.32		 41.42(A)	 -15.26		
-63.17   	605.77   	 30.72   	-289.93		 41.36   	 -66.12		
 16.17   	677.19   	 29.56   	-295.01		 41.10   	 -91.56		
130.62   	757.75   	 28.38   	-289.93		 40.73   	-101.73		
278.02   	830.69   	 27.22   	-249.24		 40.33   	-101.73		
430.91   	898.74   	 26.23   	-198.37		 39.92   	 -86.47		
585.02   	899.96   	 25.43   	-127.16		 39.57   	 -61.04		
696.41   	771.79   	 24.92   	 -50.86		 39.33   	 -40.69		
698.55(R)	411.68   	 24.72(E)	  20.35		 39.17   	 -25.43		
560.61   	-219.12   	 24.80   	  71.21		 39.06   	 -20.35		
304.26   	-913.39   	 25.09   	 106.82		 38.98   	 -20.35		
-28.38   	-1505.13   	 25.51   	 116.99		 38.90   	 -35.61		
-358.58   	-1896.06   	 25.98   	 111.90		 38.76   	 -50.86		
-622.86   	-1983.03   	 26.43   	  86.47		 38.56   	 -71.21		
-808.41   	-1941.22   	 26.78   	  66.12		 38.27   	 -96.64		
-894.78   	-1910.10   	 27.04   	  40.69		 37.88   	-122.07		
-896.00   	-1831.05   	 27.20   	  35.61		 37.40   	-137.33		
-850.22   	-1737.98   	 27.34   	  61.04		 36.85   	-147.51		
-794.37   	-1622.31   	 27.59   	  96.64		 36.26   	-157.68		
-789.18   	-1481.02   	 27.98   	 157.68		 35.63   	-147.51		
-830.38   	-1346.13   	 28.61   	 228.89		 35.04   	-147.51		
-892.64   	-1202.09   	 29.52   	 305.19		 34.45   	-127.16		
-956.12   	-1026.61   	 30.74   	 391.66		 33.94   	-116.99		
-986.63   	-866.09   	 32.31   	 483.21		 33.47   	 -86.47		
-993.65   	-734.86   	 34.24   	 600.20		 33.12   	 -66.12		
-961.00   	-625.92   	 36.64   	 727.36		 32.86   	 -35.61		
-882.87   	-529.79   	 39.55   	 879.96		 32.72   	  -5.09		
-812.07   	-424.19   	 43.07   	1057.98		 32.70   	  35.61		
-734.25   	-294.49   	 47.30   	1225.83		 32.84   	  55.95		
-676.88   	-195.62   	 52.21   	1347.91		 33.06   	  61.04		
-635.68   	-144.35   	 57.60   	1388.60		 33.31   	  25.43		
-578.31   	-120.24   	 63.15   	1307.22		 33.41   	 -50.86		
-506.59   	-105.90   	 68.38   	1134.28		 33.20   	-147.51		
-430.30   	-68.66   	 72.92   	 915.56		 32.61   	-228.89		
-387.57   	-29.60   	 76.58   	 681.58		 31.70   	-279.75		
-377.20   	 13.73   	 79.31   	 493.39		 30.58   	-289.93		
-391.85   	 61.34   	 81.28   	 366.22		 29.42   	-244.15		
-419.62   	 96.74   	 82.75   	 305.19		 28.44   	-178.03		
-438.84   	134.89   	 83.97   	 305.19		 27.73   	 -86.47		
-462.34   	179.75   	 85.19   	 356.05		 27.39   	  10.17		
-495.00   	224.91   	 86.61   	 417.09		 27.43   	  86.47		
-520.32   	255.13   	 88.28   	 462.87		 27.77   	 127.16		
-541.08   	274.35   	 90.13   	 462.87		 28.28   	 132.25		
-551.76   	279.85   	 91.98   	 422.18		 28.81   	 116.99		
-545.65   	278.32   	 93.67   	 330.62		 29.28   	  66.12		
-544.43   	281.37   	 94.99   	 228.89		 29.54   	  15.26		
-552.06   	285.34   	 95.91   	 122.07		 29.60   	 -30.52		
-559.08   	285.95   	 96.40   	  20.35		 29.48   	 -71.21		
-566.71   	288.70   	 96.48   	 -45.78		 29.20   	 -86.47		
-573.73   	289.31   	 96.30   	 -50.86		 28.85   	 -71.21		
-580.75   	289.61   	 96.09   	   5.09		 28.57   	 -35.61		
-587.46   	292.36   	 96.11   	  91.56		 28.42   	  10.17		
-594.18   	294.19   	 96.48   	 183.11		 28.46   	  55.95		
-594.48   	298.46   	 97.21   	 239.06		 28.69   	  55.95		
-599.06   	298.77   	 98.17   	 244.15		 28.91   	  15.26		
-602.72   	302.43   	 99.15   	 183.11		 28.97   	 -45.78		
-603.03   	307.92   	 99.88   	  71.21		 28.79   	-116.99		
-614.93   	308.23   	100.16   	 -40.69		 28.32   	-152.59		
-619.20   	316.77   	100.00   	-147.51		 27.71   	-152.59		
-622.56   	326.23   	 99.41   	-198.37		 27.10   	-142.42		
-631.10   	330.20   	 98.62   	-203.46		 26.53   	-116.99		
-634.77   	338.44   	 97.80   	-152.59		 26.06   	-101.73		
-641.48   	343.63   	 97.19   	 -61.04		 25.66   	-111.90		
-649.11   	348.51   	 96.95   	  40.69		 25.21   	-122.07		
-653.08   	358.58   	 97.11   	 116.99		 24.72   	-142.42		
-651.86   	373.54   	 97.58   	 127.16		 24.15   	-142.42		
-650.63   	392.15   	 98.09   	  40.69		 23.58   	-122.07		
-649.41   	407.10   	 98.25   	-116.99		 23.09   	 -86.47		
-648.80   	425.72   	 97.78   	-315.36		 22.75   	 -30.52		
-645.14   	445.86   	 96.52   	-483.21		 22.62   	  15.26		
-642.40   	461.73   	 94.59   	-584.94		 22.69   	  61.04		
-632.63   	484.62   	 92.25   	-635.81		 22.93   	  81.38		
-620.42   	509.03   	 89.70   	-656.15		 23.26   	  81.38		
-614.32   	527.65   	 87.08   	-666.32		 23.58   	  61.04		
-602.42   	553.28   	 84.41   	-686.67		 23.82   	  30.52		
-592.04   	574.95   	 81.67   	-712.10		 23.95   	  -5.09		
-581.36   	600.89   	 78.82   	-742.62		 23.93   	 -35.61		
-573.12   	627.44   	 75.85   	-768.05		 23.78   	 -55.95		
-564.27   	648.80   	 72.78   	-768.05		 23.56   	 -71.21		
-554.20   	673.83   	 69.70   	-737.54		 23.28   	 -76.30		
-544.74   	687.87   	 66.75   	-661.24		 22.97   	 -76.30		
-527.34   	705.57   	 64.11   	-554.42		 22.67   	 -66.12		
-514.53   	718.99   	 61.89   	-412.00		 22.40   	 -55.95		
-507.81   	721.74   	 60.24   	-233.98		 22.18   	 -35.61		
-504.46   	725.10   	 59.31   	 -10.17		 22.03   	 -25.43		
-503.85   	716.86   	 59.27   	 233.98		 21.93   	  -5.09		
-503.23   	707.70   	 60.20   	 412.00		 21.91   	  10.17		
-500.49   	697.02   	 61.85   	 432.35		 21.95   	  20.35		
-493.16   	681.15   	 63.58   	 208.54		 22.03   	  25.43		
-494.08   	658.26   	 64.41   	-223.80		 22.14   	   5.09		
-492.86   	631.41   	 63.52   	-788.40		 22.16   	 -15.26		
-491.94   	604.86   	 60.37   	-1363.17		 22.10   	 -45.78		
-495.61   	574.65   	 54.91   	-1831.12		 21.91   	 -81.38		
-491.94   	545.04   	 47.59   	-2100.70		 21.59   	 -96.64		
-491.33   	517.27   	 39.19   	-2131.22		 21.20   	 -91.56		
-491.03   	484.92   	 30.66   	-1932.85		 20.83   	 -61.04		
-486.76   	453.19   	 22.93   	-1546.28		 20.59   	  -5.09		
-484.62   	425.11   	 16.74   	-1037.64		 20.57   	  40.69		
-481.87   	400.39   	 12.59   	-503.56		 20.73   	  81.38		
-485.23   	374.15   	 10.58   	  -5.09		 21.06   	  96.64		
-491.64   	352.48   	 10.56   	 376.40		 21.44   	  86.47		
-495.61   	332.95   	 12.07   	 595.11		 21.79   	  61.04		
-500.79   	309.14   	 14.45   	 645.98		 22.03   	  20.35		
-500.18   	291.44   	 17.03   	 539.16		 22.12   	 -10.17		
-493.16   	283.20   	 19.19   	 325.53		 22.08   	 -35.61		
-493.47   	270.39   	 20.49   	  66.12		 21.93   	 -50.86		
-492.25   	262.45   	 20.75   	-188.20		 21.73   	 -50.86		
-491.33   	260.31   	 20.00   	-381.48		 21.53   	 -40.69		
-496.52   	249.33   	 18.47   	-488.30		 21.36   	 -10.17		
-501.40   	245.97   	 16.52   	-498.47		 21.32   	  25.43		
-503.85   	246.89   	 14.53   	-422.18		 21.42   	  71.21		
-505.98   	239.26   	 12.84   	-279.75		 21.71   	 101.73		
-508.73   	233.46   	 11.72   	-111.90		 22.12   	 111.90		
-506.90   	231.93   	 11.27   	  35.61		 22.56   	 101.73		
-508.12   	227.66   	 11.41   	 147.51		 22.97   	  71.21		
-515.75   	225.52   	 12.00   	 193.29		 23.26   	  30.52		
-516.05   	228.88   	 12.78   	 178.03		 23.38(V)	 -20.35		
-520.02   	227.36   	 13.49   	 101.73		 23.30   	 -61.04		
-528.56   	222.78   	 13.90   	 -10.17		 23.05   	 -91.56		
-525.82   	230.41   	 13.86   	-122.07		 22.69   	-106.82		
-534.97   	228.58   	 13.37   	-223.80		 22.26   	-116.99		
-537.11   	227.66   	 12.47   	-284.84		 21.79   	-111.90		
-533.45   	230.41   	 11.33   	-300.10		 21.34   	-111.90		
-539.25   	226.14   	 10.13   	-254.32		 20.90   	-101.73		
-536.50   	224.30   	  9.11   	-178.03		 20.49   	 -91.56		
-539.25   	223.69   	  8.40   	 -71.21		 20.12   	 -86.47		
-538.02   	225.83   	  8.12(D)	  35.61		 19.78   	 -76.30		
-542.30   	223.08   	  8.26   	 127.16		 19.47   	 -61.04		
-549.93   	223.39   	  8.77   	 193.29		 19.23   	 -55.95		
-550.84   	228.27   	  9.54   	 208.54		 19.00   	 -45.78		
-557.86   	226.44   	 10.38   	 183.11		 18.82   	 -50.86		
-552.98   	229.49   	 11.11   	 122.07		 18.62   	 -61.04		
-549.93   	232.54   	 11.60   	  40.69		 18.37   	 -81.38		
-549.62   	236.82   	 11.76   	 -40.69		 18.05   	-101.73		
-549.93   	244.45   	 11.60   	-106.82		 17.64   	-122.07		
-559.08   	257.26   	 11.17   	-142.42		 17.15   	-142.42		
-560.00   	271.91   	 10.60   	-147.51		 16.58   	-147.51		
-541.69   	270.69   	 10.01   	-116.99		 15.99   	-142.42		
-522.16   	252.69   	  9.54   	 -66.12		 15.42   	-127.16		
-482.18   	231.63   	  9.28   	  -5.09		 14.91   	-106.82		
-423.58   	209.05   	  9.26   	  50.86		 14.49   	 -71.21		
-348.82   	225.52   	  9.46   	 106.82		 14.20   	 -30.52		
-256.96   	269.47   	  9.89   	 132.25		 14.08   	  15.26		
-117.80   	311.89   	 10.42   	 152.59		 14.14   	  55.95		
 28.38   	362.24   	 11.03   	 147.51		 14.36   	  96.64		
108.64   	403.75   	 11.62   	 127.16		 14.75   	 116.99		
153.81   	425.72   	 12.13   	  91.56		 15.22   	 127.16		
133.97   	459.90   	 12.49   	  55.95		 15.73   	 116.99		
108.34   	485.23   	 12.72   	  20.35		 16.20   	  81.38		
 97.96   	520.63   	 12.80   	 -10.17		 16.52   	  30.52		
104.68   	574.65   	 12.76   	 -25.43		 16.64   	 -20.35		
191.35   	651.55   	 12.66   	 -35.61		 16.56   	 -76.30		
272.83   	729.98   	 12.51   	 -30.52		 16.26   	-122.07		
380.55   	780.64   	 12.39   	  -5.09		 15.77   	-157.68		
500.79   	799.56   	 12.37   	  25.43		 15.14   	-172.94		
526.12   	798.34   	 12.47   	  55.95		 14.45   	-167.85		
477.29   	806.27   	 12.70   	  91.56		 13.77   	-147.51		
432.13   	812.99   	 13.06   	 122.07		 13.18   	-106.82		
379.03   	853.27   	 13.55   	 147.51		 12.76   	 -55.95		
340.88   	892.94   	 14.14   	 157.68		 12.53   	   0.00		
307.62   	914.00   	 14.77   	 162.77		 12.53   	  45.78		
241.70   	936.58   	 15.42   	 162.77		 12.72   	  66.12		
182.19   	918.27   	 16.07   	 152.59		 12.98   	  71.21		
146.18   	897.22   	 16.68   	 142.42		 13.27   	  50.86		
150.45   	885.01   	 17.25   	 132.25		 13.47   	  25.43		
171.20   	877.08   	 17.78   	 116.99		 13.57   	  -5.09		
201.42   	888.67   	 18.25   	 111.90		 13.55   	 -25.43		
221.86   	899.66   	 18.70   	 127.16		 13.45   	 -66.12		
248.41   	876.16   	 19.21   	 152.59		 13.18   	-111.90		
265.20   	847.78   	 19.82   	 193.29		 12.74   	-157.68		
248.11   	801.09   	 20.59   	 274.67		 12.11   	-162.77		
189.21   	720.52   	 21.69   	 391.66		 11.45   	-142.42		
 75.99   	631.71   	 23.26   	 549.34		 10.89   	 -81.38		
-12.51   	533.14   	 25.45   	 732.45		 10.56   	  -5.09		
-97.66   	450.44   	 28.38   	 905.39		 10.54   	  71.21		
-183.11   	383.91   	 32.00   	1063.07		 10.82   	 122.07		
-227.36   	335.08   	 36.26   	1159.71		 11.31   	 147.51		
-307.31   	284.42   	 40.90   	1205.49		 11.90   	 142.42		
-401.61   	215.45   	 45.72   	1200.40		 12.47   	 127.16		
-483.40   	169.37   	 50.52   	1159.71		 12.98   	 111.90		
-571.29   	140.08   	 55.16   	1119.02		 13.43   	 101.73		
-641.17   	126.65   	 59.63   	1098.67		 13.84   	  96.64		
-695.19   	128.48   	 64.03   	1098.67		 14.22   	  66.12		
-731.51   	 99.49   	 68.42   	1119.02		 14.49   	  10.17		
-759.58   	 59.51   	 72.90   	1129.19		 14.53   	 -86.47		
-785.83   	 22.89   	 77.42   	1113.93		 14.18   	-198.37		
-810.85   	 -6.41   	 81.87   	1063.07		 13.39   	-300.10		
-838.32   	-13.73   	 86.12   	 956.25		 12.19   	-366.22		
-859.38   	-22.58   	 89.95   	 813.83		 10.72   	-376.40		
-874.33   	-26.86   	 93.20   	 661.24		  9.22   	-305.19		
-886.23   	-41.81   	 95.85   	 544.25		  8.00   	-178.03		
-895.39   	-49.44   	 98.03   	 452.69		  7.28   	   0.00		
-913.39   	-48.22   	 99.84   	 401.83		  7.28   	 167.85		
-921.33   	-54.32   	101.44   	 366.22		  7.96   	 310.27		
-933.23   	-59.51   	102.91   	 350.97		  9.20   	 396.74		
-942.69   	-61.95   	104.31   	 345.88		 10.78   	 406.92		
-956.42   	-72.94   	105.70   	 376.40		 12.41   	 350.97		
-968.32   	-90.33   	107.20   	 452.69		 13.81   	 249.24		
-972.90   	-89.42   	109.01   	 569.68		 14.81   	 111.90		
-988.77   	-103.15   	111.29   	 701.93		 15.26   	   0.00		
-995.79   	-112.30   	114.10   	 793.49		 15.26   	 -86.47		
-1005.55   	-112.92   	117.27   	 793.49		 14.91   	-132.25		
-1022.64   	-122.99   	120.45   	 707.02		 14.38   	-127.16		
-1027.83   	-133.67   	123.28   	 605.29		 13.88   	 -91.56		
-1044.31   	-153.81   	125.70   	 518.82		 13.51   	 -30.52		
-1054.99   	-159.61   	127.77   	 488.30		 13.39   	  25.43		
-1069.64   	-173.03   	129.72   	 513.73		 13.49   	  81.38		
-1087.34   	-195.01   	131.78   	 584.94		 13.81   	 111.90		
-1101.38   	-207.82   	134.12   	 661.24		 14.26   	 122.07		
-1114.50   	-221.86   	136.76   	 712.10		 14.75   	  96.64		
-1139.53   	-249.63   	139.61   	 732.45		 15.14   	  35.61		
-1150.21   	-259.09   	142.54   	 691.76		 15.28   	 -50.86		
-1158.75   	-266.42   	145.31   	 590.03		 15.08   	-137.33		
-1163.33   	-285.34   	147.67   	 432.35		 14.53   	-203.46		
-1164.86   	-295.41   	149.40   	 254.32		 13.71   	-203.46		
-1173.10   	-304.87   	150.42   	 101.73		 12.90   	-132.25		
-1186.52   	-318.60   	150.82(S)	 -20.35		 12.37   	  10.17		
-1200.87   	-330.20   	150.74   	-111.90		 12.41   	 178.03		
-1205.75   	-344.24   	150.29   	-167.85		 13.12   	 345.88		
-1202.09   	-351.26   	149.62   	-193.29		 14.51   	 457.78		
-1195.37   	-364.69   	148.85   	-183.11		 16.34   	 483.21		
-1185.00   	-365.91   	148.12   	-152.59		 18.27   	 412.00		
-1188.05   	-365.60   	147.51   	-127.16		 19.92   	 264.50		
-1190.80   	-370.48   	147.00   	-132.25		 20.98   	  86.47		
-1179.50   	-360.72   	146.47   	-178.03		 21.32   	 -91.56		
-1176.45   	-363.77   	145.76   	-259.41		 20.96   	-218.72		
-1145.02   	-353.09   	144.72   	-381.48		 20.08   	-269.58		
-1112.67   	-341.19   	143.19   	-513.73		 19.00   	-239.06		
-1100.46   	-339.66   	141.14   	-645.98		 18.05   	-132.25		
-1072.08   	-319.82   	138.55   	-752.79		 17.52   	   5.09		
-1057.13   	-307.01   	135.54   	-834.18		 17.54   	 142.42		
-1055.30   	-295.10   	132.21   	-869.78		 18.11   	 249.24		
-1030.58   	-274.96   	128.73   	-874.87		 19.10   	 320.45		
-1002.81   	-252.99   	125.23   	-849.44		 20.39   	 340.79		
-978.39   	-234.68   	121.83   	-808.75		 21.75   	 305.19		
-943.60   	-212.40   	118.60   	-773.14		 22.97   	 218.72		
-897.22   	-179.75   	115.50   	-747.71		 23.85   	 116.99		
-861.82   	-151.37   	112.51   	-747.71		 24.31   	   0.00		
-818.48   	-112.30   	109.52   	-783.31		 24.31   	-111.90		
-762.94   	-52.80   	106.39   	-834.18		 23.87   	-208.54		
-725.71   	 -0.31   	103.05   	-900.30		 23.03   	-289.93		
-678.71   	 74.77   	 99.45   	-966.43		 21.87   	-325.53		
-621.95   	149.54   	 95.58   	-1032.55		 20.57   	-325.53		
-597.23   	214.54   	 91.45   	-1103.76		 19.27   	-284.84		
-616.46   	304.26   	 87.04   	-1164.80		 18.13   	-213.63		
-723.27   	390.93   	 82.38   	-1205.49		 17.27   	-137.33		
-861.21   	482.79   	 77.56   	-1205.49		 16.72   	 -50.86		
-994.57   	569.46   	 72.74   	-1149.54		 16.52   	  25.43		
-1065.06   	640.56   	 68.14   	-1042.72		 16.62   	  91.56		
-1051.94   	706.18   	 63.97   	-885.04		 16.99   	 127.16		
-1011.35   	796.81   	 60.43   	-686.67		 17.50   	 137.33		
-976.56   	930.18   	 57.68   	-447.61		 18.05   	 111.90		
-938.42   	1084.59   	 55.89   	-208.54		 18.49   	  55.95		
-905.46   	1206.36   	 55.06   	 -10.17		 18.72   	 -15.26		
-866.09   	1278.38   	 55.02   	  45.78		 18.66   	 -71.21		
-832.82   	1323.24   	 55.20   	 -40.69		 18.37   	-111.90		
-819.40   	1362.92   	 55.04   	-259.41		 17.92   	-116.99		
-857.24   	1405.33   	 54.00   	-523.90		 17.46   	 -96.64		
-906.07   	1442.87   	 51.90   	-788.40		 17.07   	 -81.38		
-965.27   	1440.73   	 48.75   	-976.60		 16.74   	 -61.04		
-1039.43   	1377.56   	 44.84   	-1063.07		 16.50   	 -45.78		
-1092.22   	1326.29   	 40.59   	-1042.72		 16.32   	 -30.52		
-1127.93   	1307.68   	 36.42   	-930.82		 16.20   	 -10.17		
-1178.59   	1291.20   	 32.70   	-757.88		 16.15   	   5.09		
-1205.44   	1277.16   	 29.66   	-544.25		 16.17   	  -5.09		
-1224.06   	1213.99   	 27.49   	-325.53		 16.15   	 -20.35		
-1222.53   	1127.62   	 26.19   	-142.42		 16.07   	 -45.78		
-1188.66   	1037.29   	 25.62   	  10.17		 15.89   	 -66.12		
-1106.26   	960.08   	 25.66   	  81.38		 15.63   	 -71.21		
-1036.68   	917.05   	 25.98   	  96.64		 15.34   	 -76.30		
-979.92   	856.93   	 26.37   	  35.61		 15.04   	-106.82		
-920.41   	778.81   	 26.51   	 -61.04		 14.61   	-188.20		
-878.30   	696.11   	 26.27   	-183.11		 13.86   	-300.10		
-845.64   	589.60   	 25.53   	-300.10		 12.66   	-396.74		
-785.22   	476.99   	 24.33   	-381.48		 11.07   	-427.26		
-739.14   	379.94   	 22.81   	-422.18		  9.36   	-350.97		
-717.77   	292.97   	 21.12   	-401.83		  7.96   	-162.77		
-673.83   	208.44   	 19.51   	-325.53		  7.30   	  86.47		
-643.92   	128.78   	 18.21   	-208.54		  7.65   	 350.97		
-652.47   	 62.26   	 17.38   	 -61.04		  9.05   	 564.60		
-650.63   	  9.16   	 17.13   	 111.90		 11.31   	 681.58		
-661.62   	-18.92   	 17.58   	 269.58		 14.04   	 671.41		
-675.35   	-19.23   	 18.66   	 417.09		 16.72   	 544.25		
-668.64   	-16.48   	 20.33   	 513.73		 18.90   	 310.27		
