  I     	  LV     	  LV'		  PA     	  PA'		
-84.23   	 40.08   	-1052.90		 43.38   	 -35.61		
-84.53   	 35.87   	-920.65		 43.23   	 -30.52		
-84.23   	 32.19   	-773.14		 43.11   	 -30.52		
-83.31   	 29.09   	-630.72		 42.99   	 -25.43		
-82.40   	 26.57   	-508.65		 42.89   	 -30.52		
-81.79   	 24.54   	-406.92		 42.77   	 -30.52		
-82.09   	 22.91   	-335.71		 42.64   	 -40.69		
-82.40   	 21.57   	-289.93		 42.48   	 -45.78		
-81.48   	 20.41   	-269.58		 42.30   	 -61.04		
-79.65   	 19.33   	-264.50		 42.05   	 -66.12		
-76.90   	 18.27   	-269.58		 41.79   	 -76.30		
-75.07   	 17.19   	-274.67		 41.49   	 -76.30		
-73.85   	 16.09   	-274.67		 41.18   	 -76.30		
-73.85   	 14.99   	-264.50		 40.87   	 -71.21		
-74.16   	 13.94   	-239.06		 40.59   	 -66.12		
-73.85   	 12.98   	-203.46		 40.33   	 -61.04		
-73.55   	 12.17   	-157.68		 40.08   	 -50.86		
-73.24   	 11.54   	-111.90		 39.88   	 -50.86		
-73.24   	 11.09   	 -55.95		 39.67   	 -45.78		
-73.85   	 10.86   	 -10.17		 39.49   	 -50.86		
-74.46   	 10.82(D)	  25.43		 39.29   	 -50.86		
-75.68   	 10.93   	  50.86		 39.08   	 -50.86		
-77.21   	 11.13   	  61.04		 38.88   	 -61.04		
-78.13   	 11.37   	  66.12		 38.64   	 -61.04		
-78.43   	 11.64   	  50.86		 38.39   	 -66.12		
-77.82   	 11.84   	  35.61		 38.13   	 -71.21		
-76.60   	 11.98   	  15.26		 37.84   	 -71.21		
-74.46   	 12.04   	   0.00		 37.56   	 -71.21		
-72.63   	 12.04   	 -10.17		 37.27   	 -71.21		
-71.41   	 12.00   	 -10.17		 36.99   	 -66.12		
-71.41   	 11.96   	   0.00		 36.72   	 -66.12		
-72.02   	 11.96   	  15.26		 36.46   	 -66.12		
-72.63   	 12.02   	  35.61		 36.20   	 -61.04		
-72.94   	 12.17   	  55.95		 35.95   	 -55.95		
-72.94   	 12.39   	  81.38		 35.73   	 -50.86		
-72.94   	 12.72   	  96.64		 35.52   	 -45.78		
-72.33   	 13.10   	 106.82		 35.34   	 -40.69		
-71.72   	 13.53   	 111.90		 35.18   	 -40.69		
-70.80   	 13.98   	 106.82		 35.02   	 -35.61		
-70.50   	 14.40   	  96.64		 34.87   	 -35.61		
-71.11   	 14.79   	  76.30		 34.73   	 -30.52		
-72.63   	 15.10   	  66.12		 34.61   	 -30.52		
-73.55   	 15.36   	  45.78		 34.49   	 -30.52		
-73.24   	 15.54   	  30.52		 34.36   	 -35.61		
-70.80   	 15.67   	  15.26		 34.22   	 -35.61		
-68.05   	 15.73   	  15.26		 34.08   	 -45.78		
-65.31   	 15.79   	  10.17		 33.90   	 -50.86		
-62.87   	 15.83   	  10.17		 33.69   	 -55.95		
-60.12   	 15.87   	  20.35		 33.47   	 -61.04		
-55.85   	 15.95   	  30.52		 33.22   	 -71.21		
-49.74   	 16.07   	  35.61		 32.94   	 -71.21		
-43.03   	 16.22   	  45.78		 32.66   	 -76.30		
-37.84   	 16.40   	  50.86		 32.35   	 -76.30		
-34.48   	 16.60   	  55.95		 32.04   	 -81.38		
-32.35   	 16.83   	  50.86		 31.72   	 -71.21		
-28.69   	 17.03   	  50.86		 31.43   	 -66.12		
-20.45   	 17.23   	  45.78		 31.17   	 -61.04		
 -7.32   	 17.42   	  40.69		 30.93   	 -45.78		
  8.85   	 17.58   	  30.52		 30.74   	 -35.61		
 24.41   	 17.70   	  25.43		 30.60   	 -20.35		
 34.18   	 17.80   	  20.35		 30.52   	   0.00		
 35.71   	 17.88   	  20.35		 30.52   	   0.00		
 29.60   	 17.97   	  20.35		 30.52   	  10.17		
 20.14   	 18.05   	  20.35		 30.56   	   5.09		
 11.60   	 18.13   	  20.35		 30.58   	 -10.17		
  7.02   	 18.21   	  20.35		 30.54   	 -30.52		
  4.58   	 18.29   	  15.26		 30.42   	 -45.78		
  0.61   	 18.35   	  20.35		 30.23   	 -71.21		
 -8.24   	 18.43   	  15.26		 29.95   	 -86.47		
-23.19   	 18.49   	  10.17		 29.60   	 -96.64		
-42.42   	 18.54   	  10.17		 29.22   	-106.82		
-62.56   	 18.58   	  10.17		 28.79   	-106.82		
-79.35   	 18.62   	   5.09		 28.36   	 -96.64		
-89.42   	 18.64   	   0.00		 27.98   	 -91.56		
-92.47   	 18.64   	   5.09		 27.61   	 -76.30		
-90.64   	 18.66   	  10.17		 27.30   	 -66.12		
-86.67   	 18.70   	  10.17		 27.04   	 -50.86		
-83.62   	 18.74   	  15.26		 26.84   	 -35.61		
-82.09   	 18.80   	  20.35		 26.69   	 -20.35		
-81.79   	 18.88   	  25.43		 26.61   	 -10.17		
-81.79   	 18.98   	  35.61		 26.57   	  10.17		
-80.57   	 19.13   	  35.61		 26.61   	  15.26		
-78.74   	 19.27   	  40.69		 26.67   	  30.52		
-75.99   	 19.43   	  50.86		 26.80   	  35.61		
-73.55   	 19.63   	  45.78		 26.94   	  30.52		
-71.72   	 19.82   	  50.86		 27.06   	  30.52		
-71.11   	 20.02   	  55.95		 27.18   	  15.26		
-72.02   	 20.24   	  55.95		 27.24   	   5.09		
-75.68   	 20.47   	  55.95		 27.26   	 -10.17		
-84.53   	 20.69   	  55.95		 27.22   	 -25.43		
-99.79   	 20.92   	  55.95		 27.12   	 -45.78		
-120.24   	 21.14   	  55.95		 26.94   	 -50.86		
-143.13   	 21.36   	  55.95		 26.73   	 -61.04		
-163.27   	 21.59   	  55.95		 26.49   	 -61.04		
-172.42   	 21.81   	  55.95		 26.25   	 -45.78		
-160.52   	 22.03   	  45.78		 26.06   	 -35.61		
-113.53   	 22.22   	  45.78		 25.92   	 -10.17		
-16.78   	 22.40   	  35.61		 25.88   	  10.17		
137.94   	 22.54   	  30.52		 25.92   	  30.52		
343.02   	 22.67   	  20.35		 26.04   	  45.78		
566.71   	 22.75   	  15.26		 26.23   	  50.86		
749.51   	 22.81   	   5.09		 26.43   	  50.86		
826.42(R)	 22.83(E)	   5.09		 26.63   	  40.69		
766.91   	 22.85   	   5.09		 26.80   	  30.52		
598.45   	 22.87   	  20.35		 26.92   	  10.17		
403.14   	 22.95   	  35.61		 26.96   	  -5.09		
268.25   	 23.09   	  66.12		 26.94   	 -25.43		
229.80   	 23.36   	 101.73		 26.84   	 -40.69		
255.74   	 23.76   	 157.68		 26.67   	 -45.78		
280.46   	 24.39   	 223.80		 26.49   	 -50.86		
256.96   	 25.29   	 295.01		 26.29   	 -40.69		
181.27   	 26.47   	 386.57		 26.12   	 -35.61		
 83.31   	 28.02   	 483.21		 25.98   	 -25.43		
 -3.66   	 29.95   	 584.94		 25.88   	 -10.17		
-60.12   	 32.29   	 686.67		 25.84(D)	   0.00		
-83.01   	 35.04   	 798.57		 25.84   	   5.09		
-79.04   	 38.23   	 900.30		 25.86   	  15.26		
-61.65   	 41.83   	1012.20		 25.92   	  10.17		
-46.08   	 45.88   	1119.02		 25.96   	  15.26		
-42.11   	 50.36   	1220.75		 26.02   	  10.17		
-47.91   	 55.24   	1307.22		 26.06   	  10.17		
-54.63   	 60.47   	1363.17		 26.10   	  10.17		
-55.24   	 65.92   	1388.60		 26.14   	  10.17		
-50.05   	 71.47   	1378.43		 26.19   	  10.17		
-44.25   	 76.99   	1332.65		 26.23   	  15.26		
-41.20   	 82.32   	1246.18		 26.29   	  20.35		
-39.98   	 87.30   	1144.45		 26.37   	  30.52		
-37.84   	 91.88   	1027.46		 26.49   	  35.61		
-35.10   	 95.99   	 910.47		 26.63   	  50.86		
-32.04   	 99.63   	 803.66		 26.84   	  61.04		
-30.21   	102.85   	 722.28		 27.08   	  71.21		
-28.69   	105.74   	 661.24		 27.37   	  81.38		
-25.63   	108.38   	 625.63		 27.69   	  86.47		
-20.45   	110.88   	 615.46		 28.04   	  91.56		
-13.73   	113.35   	 615.46		 28.40   	  91.56		
 -6.71   	115.81   	 625.63		 28.77   	  96.64		
 -0.61   	118.31   	 630.72		 29.16   	  91.56		
  4.88   	120.83   	 635.81		 29.52   	  96.64		
 10.38   	123.38   	 620.55		 29.91   	  96.64		
 16.78   	125.86   	 600.20		 30.29   	  96.64		
 23.80   	128.26   	 564.60		 30.68   	 101.73		
 31.43   	130.52   	 508.65		 31.09   	 111.90		
 39.37   	132.55   	 452.69		 31.54   	 116.99		
 48.22   	134.36   	 391.66		 32.00   	 132.25		
 57.68   	135.93   	 330.62		 32.53   	 152.59		
 66.83   	137.25   	 289.93		 33.14   	 172.94		
 75.68   	138.41   	 264.50		 33.84   	 193.29		
 85.14   	139.47   	 259.41		 34.61   	 213.63		
 95.83   	140.51   	 269.58		 35.46   	 228.89		
108.34   	141.59   	 295.01		 36.38   	 239.06		
122.07   	142.77   	 320.45		 37.33   	 244.15		
135.50   	144.05   	 345.88		 38.31   	 233.98		
148.01   	145.43   	 350.97		 39.25   	 223.80		
159.30   	146.84   	 345.88		 40.14   	 203.46		
169.37   	148.22   	 320.45		 40.96   	 188.20		
177.92   	149.50   	 259.41		 41.71   	 162.77		
183.72   	150.54   	 183.11		 42.36   	 142.42		
185.55   	151.27   	  81.38		 42.93   	 127.16		
182.19   	151.60(S)	 -25.43		 43.44   	 116.99		
173.95   	151.49   	-127.16		 43.91   	 101.73		
161.74   	150.99   	-218.72		 44.31   	 101.73		
146.48   	150.11   	-284.84		 44.72   	  91.56		
130.00   	148.97   	-330.62		 45.09   	  91.56		
112.92   	147.65   	-340.79		 45.45   	  81.38		
 94.91   	146.29   	-335.71		 45.78   	  76.30		
 76.60   	144.94   	-300.10		 46.08   	  61.04		
 57.68   	143.74   	-259.41		 46.33   	  45.78		
 39.06   	142.71   	-218.72		 46.51   	  30.52		
 21.06   	141.83   	-172.94		 46.63   	  20.35		
  3.97   	141.14   	-137.33		 46.71   	  10.17		
-11.60   	140.59   	-111.90		 46.75(S)	  -5.09		
-25.94   	140.14   	-106.82		 46.73   	  -5.09		
-39.06   	139.71   	-116.99		 46.71   	 -10.17		
-50.66   	139.25   	-152.59		 46.67   	 -10.17		
-60.42   	138.64   	-198.37		 46.63   	 -10.17		
-68.36   	137.84   	-249.24		 46.59   	 -10.17		
-74.46   	136.85   	-300.10		 46.55   	 -10.17		
-79.65   	135.65   	-340.79		 46.51   	 -15.26		
-83.62   	134.28   	-381.48		 46.45   	 -20.35		
-87.28   	132.76   	-406.92		 46.37   	 -25.43		
-90.33   	131.13   	-417.09		 46.27   	 -35.61		
-92.77   	129.46   	-412.00		 46.12   	 -35.61		
-94.60   	127.81   	-401.83		 45.98   	 -40.69		
-95.83   	126.20   	-386.57		 45.82   	 -45.78		
-96.44   	124.66   	-366.22		 45.64   	 -35.61		
-96.44   	123.19   	-350.97		 45.49   	 -30.52		
-96.44   	121.79   	-345.88		 45.37   	 -25.43		
-96.74   	120.41   	-361.14		 45.27   	 -15.26		
-96.44   	118.96   	-386.57		 45.21   	  -5.09		
-96.13   	117.42   	-437.43		 45.19   	   0.00		
-95.21   	115.67   	-503.56		 45.19   	   0.00		
-94.30   	113.65   	-584.94		 45.19   	   0.00		
-93.69   	111.31   	-671.41		 45.19   	 -10.17		
-93.38   	108.63   	-768.05		 45.15   	 -20.35		
-92.16   	105.55   	-849.44		 45.07   	 -40.69		
-90.03   	102.16   	-915.56		 44.90   	 -61.04		
-86.98   	 98.49   	-961.34		 44.66   	 -76.30		
-83.92   	 94.65   	-1007.12		 44.35   	 -91.56		
-81.79   	 90.62   	-1047.81		 43.99   	-111.90		
-80.87   	 86.43   	-1088.50		 43.54   	-122.07		
-80.57   	 82.07   	-1129.19		 43.05   	-137.33		
-80.57   	 77.56   	-1164.80		 42.50   	-137.33		
-80.26   	 72.90   	-1190.23		 41.95   	-137.33		
-79.96   	 68.14   	-1210.58		 41.40   	-142.42		
-79.65   	 63.30   	-1205.49		 40.83   	-127.16		
-79.35   	 58.47   	-1180.06		 40.33   	-122.07		
-78.43   	 53.75   	-1144.45		 39.84   	-101.73		
-76.90   	 49.18   	-1088.50		 39.43   	 -91.56		
-75.68   	 44.82   	-1017.29		 39.06   	 -71.21		
-75.07   	 40.75   	-935.91		 38.78   	 -55.95		
-75.07   	 37.01   	-859.61		 38.56   	 -35.61		
-76.29   	 33.57   	-783.31		 38.41   	 -25.43		
-77.82   	 30.44   	-707.02		 38.31   	 -20.35		
-79.04   	 27.61   	-635.81		 38.23   	 -10.17		
-79.96   	 25.07   	-569.68		 38.19   	 -10.17		
-80.57   	 22.79   	-498.47		 38.15   	 -10.17		
-80.87   	 20.79   	-437.43		 38.11   	 -15.26		
-80.87   	 19.04   	-376.40		 38.05   	 -25.43		
-80.87   	 17.54   	-320.45		 37.94   	 -25.43		
-80.87   	 16.26   	-254.32		 37.84   	 -30.52		
-80.57   	 15.24   	-208.54		 37.72   	 -30.52		
-80.26   	 14.40   	-152.59		 37.60   	 -35.61		
-79.96   	 13.79   	-111.90		 37.46   	 -25.43		
-79.35   	 13.35   	 -66.12		 37.35   	 -25.43		
-78.74   	 13.08   	 -40.69		 37.25   	 -20.35		
-78.13   	 12.92   	 -10.17		 37.17   	 -10.17		
-77.51   	 12.88   	   0.00		 37.13   	   0.00		
-76.90   	 12.88   	  10.17		 37.13   	   0.00		
-76.29   	 12.92   	  10.17		 37.13   	   0.00		
-75.99   	 12.96   	   5.09		 37.13   	   0.00		
-75.07   	 12.98   	   0.00		 37.13   	  -5.09		
-74.46   	 12.98   	 -15.26		 37.11   	 -10.17		
-74.16   	 12.92   	 -15.26		 37.07   	 -25.43		
-74.16   	 12.86   	 -25.43		 36.97   	 -25.43		
-74.46   	 12.76   	 -20.35		 36.87   	 -35.61		
-75.07   	 12.68   	 -20.35		 36.72   	 -45.78		
-75.38   	 12.59   	 -15.26		 36.54   	 -45.78		
-75.07   	 12.53(D)	   0.00		 36.36   	 -50.86		
-73.85   	 12.53   	  10.17		 36.15   	 -50.86		
-72.33   	 12.57   	  20.35		 35.95   	 -45.78		
-71.41   	 12.66   	  40.69		 35.77   	 -50.86		
-71.41   	 12.82   	  55.95		 35.56   	 -55.95		
-72.02   	 13.04   	  66.12		 35.34   	 -50.86		
-72.33   	 13.31   	  76.30		 35.14   	 -55.95		
-71.41   	 13.61   	  81.38		 34.91   	 -55.95		
-69.27   	 13.94   	  86.47		 34.69   	 -61.04		
-67.14   	 14.28   	  86.47		 34.45   	 -61.04		
-65.61   	 14.63   	  81.38		 34.20   	 -61.04		
-65.61   	 14.95   	  81.38		 33.96   	 -55.95		
-66.83   	 15.28   	  76.30		 33.73   	 -61.04		
-67.75   	 15.58   	  66.12		 33.49   	 -50.86		
-68.36   	 15.85   	  61.04		 33.29   	 -50.86		
-68.36   	 16.09   	  50.86		 33.08   	 -40.69		
-68.36   	 16.30   	  40.69		 32.92   	 -45.78		
-68.97   	 16.46   	  35.61		 32.74   	 -40.69		
-69.27   	 16.60   	  20.35		 32.57   	 -35.61		
-69.27   	 16.68   	  20.35		 32.43   	 -35.61		
-68.36   	 16.76   	  10.17		 32.29   	 -40.69		
-65.92   	 16.81   	   5.09		 32.13   	 -35.61		
-62.26   	 16.83   	   5.09		 31.98   	 -35.61		
-57.98   	 16.85   	   5.09		 31.84   	 -40.69		
-52.80   	 16.87   	  10.17		 31.68   	 -35.61		
-46.69   	 16.91   	  15.26		 31.54   	 -40.69		
-39.67   	 16.97   	  25.43		 31.37   	 -35.61		
-33.26   	 17.07   	  35.61		 31.23   	 -40.69		
-27.77   	 17.21   	  40.69		 31.07   	 -30.52		
-23.50   	 17.38   	  50.86		 30.95   	 -35.61		
-18.92   	 17.58   	  55.95		 30.80   	 -30.52		
-10.99   	 17.80   	  55.95		 30.68   	 -25.43		
  1.53   	 18.03   	  50.86		 30.58   	 -25.43		
 17.70   	 18.23   	  45.78		 30.48   	 -25.43		
 32.04   	 18.41   	  35.61		 30.38   	 -20.35		
 40.28   	 18.56   	  20.35		 30.29   	 -20.35		
 39.37   	 18.64   	   5.09		 30.21   	 -25.43		
 31.43   	 18.66   	  -5.09		 30.11   	 -25.43		
 21.67   	 18.64   	 -20.35		 30.01   	 -30.52		
 14.04   	 18.56   	 -30.52		 29.89   	 -30.52		
  9.77   	 18.43   	 -35.61		 29.77   	 -40.69		
  7.02   	 18.29   	 -40.69		 29.60   	 -40.69		
  2.14   	 18.13   	 -30.52		 29.44   	 -45.78		
 -7.63   	 18.01   	 -25.43		 29.26   	 -45.78		
-22.89   	 17.90   	 -15.26		 29.07   	 -45.78		
-41.20   	 17.84   	   0.00		 28.89   	 -50.86		
-59.51   	 17.84   	  15.26		 28.69   	 -45.78		
-74.16   	 17.90   	  30.52		 28.50   	 -45.78		
-82.40   	 18.03   	  45.78		 28.32   	 -40.69		
-84.53   	 18.21   	  50.86		 28.16   	 -35.61		
-83.01   	 18.41   	  61.04		 28.02   	 -30.52		
-80.87   	 18.66   	  61.04		 27.89   	 -30.52		
-79.96   	 18.90   	  55.95		 27.77   	 -20.35		
-79.96   	 19.13   	  55.95		 27.69   	 -15.26		
-79.65   	 19.35   	  45.78		 27.63   	 -10.17		
-78.13   	 19.53   	  35.61		 27.59   	 -10.17		
-76.29   	 19.67   	  25.43		 27.55   	 -10.17		
-74.46   	 19.78   	  25.43		 27.51   	 -10.17		
-73.24   	 19.88   	  15.26		 27.47   	 -10.17		
-72.94   	 19.94   	  20.35		 27.43   	 -15.26		
-72.63   	 20.02   	  20.35		 27.37   	 -20.35		
-72.02   	 20.10   	  25.43		 27.28   	 -30.52		
-71.72   	 20.20   	  40.69		 27.16   	 -25.43		
-72.94   	 20.37   	  45.78		 27.06   	 -35.61		
-78.74   	 20.55   	  66.12		 26.92   	 -35.61		
-90.64   	 20.81   	  71.21		 26.78   	 -35.61		
-108.34   	 21.10   	  86.47		 26.63   	 -30.52		
