  I     	  II     	  RV     	  RV'		  LV     	  LV'		
  7.93   	 -5.80   	 15.24   	   5.09		 17.25   	   5.09		
  8.24   	  2.75   	 15.26   	   5.09		 17.27   	   5.09		
  8.54   	  3.97   	 15.28   	   5.09		 17.29   	  10.17		
 10.07   	 -0.61   	 15.30   	   5.09		 17.33   	   5.09		
 12.51   	 -6.10   	 15.32   	   5.09		 17.35   	   5.09		
 16.78   	 -6.71   	 15.34   	   5.09		 17.38   	   5.09		
 22.28   	 -0.31   	 15.36   	   0.00		 17.40   	   5.09		
 28.38   	 10.68   	 15.36   	   5.09		 17.42   	   0.00		
 35.10   	 20.45   	 15.38   	   0.00		 17.42   	   0.00		
 41.50   	 23.80   	 15.38   	   5.09		 17.42   	  -5.09		
 46.08   	 18.92   	 15.40   	   0.00		 17.40   	  -5.09		
 48.83   	  8.85   	 15.40   	  -5.09		 17.38   	  -5.09		
 50.35   	 -1.83   	 15.38   	   0.00		 17.35   	   0.00		
 50.35   	-11.29   	 15.38   	  -5.09		 17.35   	   5.09		
 48.52   	-18.62   	 15.36   	  -5.09		 17.38   	  10.17		
 44.25   	-24.72   	 15.34   	  -5.09		 17.42   	  10.17		
 36.93   	-30.21   	 15.32   	 -10.17		 17.46   	  15.26		
 27.16   	-33.87   	 15.28   	 -10.17		 17.52   	  15.26		
 15.56   	-35.10   	 15.24   	 -10.17		 17.58   	  25.43		
  3.36   	-36.62   	 15.20   	  -5.09		 17.68   	  25.43		
 -9.46   	-42.42   	 15.18   	 -10.17		 17.78   	  30.52		
-21.36   	-53.71   	 15.14   	  -5.09		 17.90   	  35.61		
-29.30   	-68.36   	 15.12   	  -5.09		 18.05   	  40.69		
-32.35   	-80.87   	 15.10   	   5.09		 18.21   	  45.78		
-30.52   	-87.28   	 15.12   	   5.09		 18.39   	  45.78		
-27.16   	-88.20   	 15.14   	  15.26		 18.58   	  45.78		
-24.72   	-87.28   	 15.20   	  10.17		 18.76   	  40.69		
-24.41   	-87.28   	 15.24   	  15.26		 18.92   	  35.61		
-25.33   	-87.59   	 15.30   	  15.26		 19.06   	  25.43		
-25.63   	-86.06   	 15.36   	  10.17		 19.17   	  20.35		
-24.41   	-82.40   	 15.40   	  10.17		 19.25   	  15.26		
-22.89   	-77.51   	 15.44   	  10.17		 19.31   	  10.17		
-22.28   	-74.46   	 15.48   	   0.00		 19.35   	  15.26		
-22.58   	-75.07   	 15.48   	   0.00		 19.41   	  15.26		
-22.89   	-78.13   	 15.48   	  -5.09		 19.47   	  15.26		
-21.67   	-81.18   	 15.46   	  -5.09		 19.53   	  30.52		
-18.92   	-82.40   	 15.44   	 -10.17		 19.65   	  30.52		
-17.09   	-81.79   	 15.40   	  -5.09		 19.78   	  45.78		
-18.31   	-80.26   	 15.38   	   0.00		 19.96   	  50.86		
-22.89   	-79.35   	 15.38   	  -5.09		 20.16   	  55.95		
-28.38   	-78.43   	 15.36   	   0.00		 20.39   	  66.12		
-32.04   	-75.38   	 15.36   	   5.09		 20.65   	  71.21		
-31.43   	-68.36   	 15.38   	  10.17		 20.94   	  76.30		
-24.72   	-56.46   	 15.42   	  10.17		 21.24   	  71.21		
 -9.16   	-40.59   	 15.46   	  15.26		 21.53   	  71.21		
 22.28   	-18.62   	 15.52   	  15.26		 21.81   	  61.04		
 75.68   	 14.95   	 15.58   	  25.43		 22.05   	  55.95		
152.28   	 69.89   	 15.69   	  20.35		 22.28   	  45.78		
244.45   	152.28   	 15.77   	  25.43		 22.46   	  35.61		
338.44   	256.96   	 15.87   	  25.43		 22.60   	  30.52		
415.65   	357.36   	 15.97   	  20.35		 22.73   	  35.61		
455.93   	409.24(R)	 16.05   	  20.35		 22.87(E)	  40.69		
441.89   	378.42   	 16.13   	  10.17		 23.03   	  66.12		
367.74   	263.37   	 16.17   	   0.00		 23.30   	  91.56		
245.97   	102.84   	 16.17   	  -5.09		 23.66   	 132.25		
108.03   	-42.42   	 16.15   	  -5.09		 24.19   	 167.85		
 -8.85   	-127.56   	 16.13   	 -15.26		 24.86   	 218.72		
-79.04   	-144.96   	 16.07   	  -5.09		 25.74   	 284.84		
-98.88   	-119.63   	 16.05(E)	  -5.09		 26.88   	 356.05		
-85.75   	-83.92   	 16.03   	   5.09		 28.30   	 437.43		
-61.04   	-57.07   	 16.05   	  15.26		 30.05   	 539.16		
-41.50   	-44.25   	 16.11   	  30.52		 32.21   	 640.89		
-32.65   	-42.42   	 16.24   	  45.78		 34.77   	 747.71		
-32.65   	-47.30   	 16.42   	  71.21		 37.76   	 854.52		
-35.40   	-54.32   	 16.70   	  86.47		 41.18   	 956.25		
-36.32   	-58.90   	 17.05   	 106.82		 45.00   	1047.81		
-33.57   	-57.98   	 17.48   	 127.16		 49.20   	1113.93		
-28.99   	-52.49   	 17.99   	 137.33		 53.65   	1154.62		
-25.63   	-45.47   	 18.54   	 142.42		 58.27   	1180.06		
-25.33   	-40.89   	 19.10   	 152.59		 62.99   	1174.97		
-28.38   	-39.67   	 19.72   	 157.68		 67.69   	1164.80		
-32.35   	-40.59   	 20.35   	 157.68		 72.35   	1134.28		
-34.48   	-41.20   	 20.98   	 157.68		 76.89   	1078.33		
-33.26   	-39.98   	 21.61   	 157.68		 81.20   	 986.77		
-29.60   	-35.71   	 22.24   	 157.68		 85.15   	 869.78		
-24.41   	-28.69   	 22.87   	 152.59		 88.63   	 732.45		
-19.53   	-21.36   	 23.48   	 157.68		 91.56   	 595.11		
-17.09   	-17.40   	 24.11   	 157.68		 93.94   	 483.21		
-18.01   	-17.70   	 24.74   	 157.68		 95.87   	 417.09		
-21.97   	-21.06   	 25.37   	 167.85		 97.54   	 396.74		
-26.55   	-24.11   	 26.04   	 162.77		 99.12   	 406.92		
-29.30   	-24.11   	 26.69   	 167.85		100.75   	 422.18		
-28.38   	-20.14   	 27.37   	 167.85		102.44   	 432.35		
-24.11   	-14.04   	 28.04   	 162.77		104.17   	 417.09		
-18.62   	 -8.54   	 28.69   	 157.68		105.84   	 376.40		
-13.73   	 -4.88   	 29.32   	 157.68		107.34   	 330.62		
-10.68   	 -4.27   	 29.95   	 152.59		108.67   	 289.93		
 -9.16   	 -5.49   	 30.56   	 142.42		109.83   	 259.41		
 -7.93   	 -5.19   	 31.13   	 137.33		110.86   	 249.24		
 -7.32   	 -1.22   	 31.68   	 122.07		111.86   	 244.15		
 -6.71   	  6.71   	 32.17   	 106.82		112.84   	 244.15		
 -5.49   	 16.78   	 32.59   	  91.56		113.81   	 239.06		
 -3.36   	 25.63   	 32.96   	  76.30		114.77   	 223.80		
  0.00   	 30.82   	 33.27   	  55.95		115.67   	 213.63		
  3.36   	 31.43   	 33.49   	  45.78		116.52   	 198.37		
  6.41   	 29.60   	 33.67   	  30.52		117.31   	 183.11		
  9.16   	 28.08   	 33.79   	  30.52		118.05   	 172.94		
 12.82   	 30.82   	 33.92   	  20.35		118.74   	 172.94		
 17.70   	 39.67   	 34.00   	  15.26		119.43   	 172.94		
 23.19   	 52.80   	 34.06   	  20.35		120.12   	 167.85		
 28.69   	 65.92   	 34.14   	  15.26		120.79   	 172.94		
 33.26   	 75.68   	 34.20   	  15.26		121.48   	 162.77		
 37.84   	 81.79   	 34.26   	  15.26		122.14   	 167.85		
 42.42   	 86.67   	 34.32   	  20.35		122.81   	 167.85		
 47.91   	 93.08   	 34.40   	  20.35		123.48   	 178.03		
 54.02   	101.01   	 34.49   	  25.43		124.19   	 178.03		
 60.42   	108.34   	 34.59   	  25.43		124.90   	 188.20		
 66.22   	114.14   	 34.69   	  25.43		125.66   	 172.94		
 71.72   	118.10   	 34.79   	  25.43		126.35   	 157.68		
 76.60   	122.07   	 34.89   	  20.35		126.98   	 116.99		
 81.48   	126.95   	 34.97   	  20.35		127.45   	  91.56		
 86.98   	133.06   	 35.06   	  15.26		127.81   	  61.04		
 92.77   	139.47   	 35.12   	  10.17		128.06   	  55.95		
 97.96   	144.65   	 35.16   	  15.26		128.28   	  66.12		
101.32   	148.01   	 35.22   	   5.09		128.54   	  71.21		
102.54   	148.93   	 35.24   	  10.17		128.83   	  86.47		
102.23   	147.71   	 35.28   	   5.09		129.18   	  91.56		
101.01   	145.26   	 35.30   	  10.17		129.54   	  81.38		
100.40   	144.65   	 35.34   	   5.09		129.87   	  71.21		
100.40   	145.57   	 35.36   	  10.17		130.15   	  55.95		
100.71   	146.18   	 35.40   	   5.09		130.38   	  50.86		
 99.49   	143.74   	 35.42   	  10.17		130.58   	  50.86		
 96.44   	136.41   	 35.46   	  10.17		130.78   	  50.86		
 90.94   	124.82   	 35.50   	   5.09		130.99   	  50.86		
 83.01   	112.00   	 35.52   	   5.09		131.19   	  55.95		
 73.55   	 99.79   	 35.54   	   5.09		131.41   	  40.69		
 63.48   	 88.50   	 35.56   	   5.09		131.58   	  30.52		
 54.32   	 76.60   	 35.58(S)	   0.00		131.70   	  15.26		
 46.39   	 62.56   	 35.58   	  -5.09		131.76(S)	   0.00		
 40.89   	 47.30   	 35.56   	 -10.17		131.76   	 -10.17		
 36.93   	 33.26   	 35.52   	 -15.26		131.72   	 -25.43		
 31.43   	 21.97   	 35.46   	 -30.52		131.62   	 -30.52		
 23.50   	 13.43   	 35.34   	 -35.61		131.49   	 -40.69		
 13.73   	  6.41   	 35.20   	 -50.86		131.33   	 -55.95		
  3.66   	 -0.92   	 34.99   	 -66.12		131.11   	 -81.38		
 -3.66   	 -7.93   	 34.73   	 -81.38		130.78   	-106.82		
 -6.71   	-14.04   	 34.40   	-101.73		130.36   	-137.33		
 -7.02   	-19.53   	 34.00   	-116.99		129.81   	-183.11		
 -7.02   	-24.72   	 33.53   	-132.25		129.07   	-233.98		
 -8.54   	-30.52   	 33.00   	-147.51		128.14   	-295.01		
-11.60   	-35.71   	 32.41   	-157.68		126.96   	-366.22		
-15.26   	-39.06   	 31.78   	-172.94		125.49   	-452.69		
-18.01   	-39.06   	 31.09   	-183.11		123.68   	-528.99		
-19.23   	-37.54   	 30.36   	-188.20		121.57   	-600.20		
-19.84   	-36.93   	 29.60   	-188.20		119.17   	-666.32		
-21.36   	-39.37   	 28.85   	-198.37		116.50   	-742.62		
-22.89   	-43.95   	 28.06   	-203.46		113.53   	-849.44		
-23.50   	-47.91   	 27.24   	-203.46		110.13   	-981.68		
-21.36   	-48.52   	 26.43   	-203.46		106.21   	-1129.19		
-17.09   	-45.78   	 25.62   	-198.37		101.69   	-1276.70		
-13.43   	-42.72   	 24.82   	-198.37		 96.58   	-1383.51		
-12.21   	-42.42   	 24.03   	-193.29		 91.05   	-1444.55		
-13.73   	-45.17   	 23.26   	-183.11		 85.27   	-1449.64		
-16.17   	-48.83   	 22.52   	-178.03		 79.47   	-1403.86		
-18.31   	-50.05   	 21.81   	-172.94		 73.86   	-1322.48		
-20.14   	-47.61   	 21.12   	-162.77		 68.57   	-1230.92		
-21.36   	-42.72   	 20.47   	-157.68		 63.64   	-1139.36		
-22.28   	-37.84   	 19.84   	-152.59		 59.08   	-1073.24		
-21.67   	-34.48   	 19.23   	-142.42		 54.79   	-1017.29		
-19.23   	-33.26   	 18.66   	-132.25		 50.72   	-971.51		
-15.87   	-32.96   	 18.13   	-127.16		 46.84   	-915.56		
-14.04   	-31.74   	 17.62   	-116.99		 43.17   	-854.52		
-14.65   	-28.08   	 17.15   	-106.82		 39.76   	-788.40		
-17.40   	-22.28   	 16.72   	-101.73		 36.60   	-707.02		
-19.53   	-16.48   	 16.32   	 -91.56		 33.77   	-630.72		
-19.53   	-12.51   	 15.95   	 -86.47		 31.25   	-559.51		
-18.01   	-11.60   	 15.61   	 -81.38		 29.01   	-503.56		
-15.87   	-11.90   	 15.28   	 -76.30		 27.00   	-457.78		
-15.56   	-13.12   	 14.97   	 -66.12		 25.17   	-427.26		
-17.09   	-14.65   	 14.71   	 -66.12		 23.46   	-386.57		
-19.84   	-16.78   	 14.45   	 -66.12		 21.91   	-361.14		
-23.19   	-20.14   	 14.18   	 -55.95		 20.47   	-315.36		
-25.94   	-24.41   	 13.96   	 -55.95		 19.21   	-274.67		
-27.77   	-29.30   	 13.73   	 -55.95		 18.11   	-233.98		
-28.08   	-32.35   	 13.51   	 -45.78		 17.17   	-188.20		
-27.47   	-32.35   	 13.33   	 -45.78		 16.42   	-157.68		
-25.94   	-29.30   	 13.14   	 -45.78		 15.79   	-137.33		
-24.41   	-25.33   	 12.96   	 -35.61		 15.24   	-116.99		
-23.80   	-23.19   	 12.82   	 -35.61		 14.77   	-111.90		
-23.50   	-23.50   	 12.68   	 -30.52		 14.32   	-101.73		
-24.11   	-26.55   	 12.55   	 -25.43		 13.92   	-101.73		
-24.41   	-29.30   	 12.45   	 -30.52		 13.51   	 -91.56		
-24.41   	-30.52   	 12.33   	 -20.35		 13.14   	 -81.38		
-23.80   	-31.13   	 12.25   	 -25.43		 12.82   	 -66.12		
-22.89   	-31.13   	 12.15   	 -20.35		 12.55   	 -55.95		
-21.97   	-31.43   	 12.07   	 -20.35		 12.33   	 -45.78		
-20.75   	-32.04   	 11.98   	 -15.26		 12.15   	 -35.61		
-19.23   	-32.35   	 11.92   	 -15.26		 12.00   	 -30.52		
-18.01   	-32.65   	 11.86   	  -5.09		 11.88   	 -25.43		
-17.40   	-33.26   	 11.84   	 -10.17		 11.78   	 -25.43		
-17.70   	-32.96   	 11.80   	   0.00		 11.68   	 -20.35		
-18.92   	-32.04   	 11.80   	  -5.09		 11.60   	 -20.35		
-19.84   	-32.04   	 11.78(D)	   5.09		 11.52   	 -10.17		
-21.36   	-34.48   	 11.80   	   5.09		 11.48   	 -10.17		
-22.89   	-39.37   	 11.82   	  10.17		 11.43   	  -5.09		
-24.72   	-45.17   	 11.86   	   5.09		 11.41   	  -5.09		
-26.25   	-49.44   	 11.88   	  10.17		 11.39(D)	   0.00		
-26.55   	-49.13   	 11.92   	  15.26		 11.39   	   5.09		
-24.11   	-44.56   	 11.98   	  10.17		 11.41   	   5.09		
-19.84   	-36.93   	 12.02   	  10.17		 11.43   	  10.17		
-15.87   	-29.30   	 12.07   	  10.17		 11.48   	  15.26		
-13.43   	-25.33   	 12.11   	  10.17		 11.54   	  20.35		
-13.43   	-27.16   	 12.15   	  10.17		 11.62   	  25.43		
-15.87   	-34.18   	 12.19   	  10.17		 11.72   	  30.52		
-19.53   	-43.03   	 12.23   	   5.09		 11.84   	  25.43		
-22.89   	-49.74   	 12.25   	   5.09		 11.94   	  30.52		
-25.02   	-51.88   	 12.27   	   5.09		 12.07   	  30.52		
-25.02   	-48.52   	 12.29   	  10.17		 12.19   	  25.43		
-23.19   	-41.50   	 12.33   	   5.09		 12.29   	  30.52		
-20.75   	-33.26   	 12.35   	   5.09		 12.41   	  20.35		
-19.23   	-27.16   	 12.37   	   5.09		 12.49   	  25.43		
-19.84   	-25.94   	 12.39   	   5.09		 12.59   	  25.43		
-22.89   	-31.13   	 12.41   	   5.09		 12.70   	  25.43		
-25.63   	-39.98   	 12.43   	  10.17		 12.80   	  25.43		
-26.25   	-48.83   	 12.47   	   5.09		 12.90   	  25.43		
-23.80   	-53.71   	 12.49   	  10.17		 13.00   	  25.43		
-18.92   	-53.10   	 12.53   	   5.09		 13.10   	  25.43		
-14.34   	-47.61   	 12.55   	  10.17		 13.20   	  20.35		
-13.12   	-40.89   	 12.59   	   5.09		 13.29   	  20.35		
-14.95   	-33.87   	 12.61   	  10.17		 13.37   	  20.35		
-18.01   	-28.38   	 12.66   	   5.09		 13.45   	  20.35		
-20.45   	-26.25   	 12.68   	  10.17		 13.53   	  20.35		
-21.06   	-27.77   	 12.72   	   5.09		 13.61   	  15.26		
-19.53   	-32.35   	 12.74   	  10.17		 13.67   	  15.26		
-16.48   	-37.23   	 12.78   	  10.17		 13.73   	  10.17		
-12.82   	-39.37   	 12.82   	   5.09		 13.77   	  15.26		
-10.07   	-37.84   	 12.84   	  10.17		 13.84   	   5.09		
 -9.77   	-34.79   	 12.88   	  10.17		 13.86   	  10.17		
-11.90   	-32.04   	 12.92   	   5.09		 13.90   	   5.09		
-14.04   	-29.30   	 12.94   	  10.17		 13.92   	   5.09		
-13.12   	-24.41   	 12.98   	  10.17		 13.94   	   5.09		
 -7.32   	-16.78   	 13.02   	   5.09		 13.96   	   0.00		
  0.31   	 -8.54   	 13.04   	  10.17		 13.96   	   0.00		
  5.49   	 -3.66   	 13.08   	   5.09		 13.96   	   0.00		
  6.41   	 -3.66   	 13.10   	  10.17		 13.96   	  -5.09		
  3.36   	 -5.80   	 13.14   	   5.09		 13.94   	   0.00		
  0.61   	 -5.19   	 13.16   	   5.09		 13.94   	  -5.09		
  1.53   	  1.53   	 13.18   	   5.09		 13.92   	   0.00		
  7.93   	 12.21   	 13.20   	   0.00		 13.92   	  -5.09		
 17.40   	 24.11   	 13.20   	   5.09		 13.90   	  -5.09		
 27.47   	 33.57   	 13.22   	   0.00		 13.88   	   0.00		
 34.18   	 40.28   	 13.22   	   0.00		 13.88   	  -5.09		
 36.62   	 44.86   	 13.22   	   0.00		 13.86   	  -5.09		
 35.71   	 46.69   	 13.22   	   0.00		 13.84   	 -10.17		
 33.87   	 44.86   	 13.22   	  -5.09		 13.79   	 -10.17		
 34.79   	 39.37   	 13.20   	  -5.09		 13.75   	 -10.17		
 39.06   	 33.26   	 13.18   	  -5.09		 13.71   	 -15.26		
 45.17   	 27.77   	 13.16   	  -5.09		 13.65   	 -15.26		
 50.05   	 22.89   	 13.14   	 -10.17		 13.59   	 -15.26		
 49.13   	 16.48   	 13.10   	 -10.17		 13.53   	 -15.26		
 41.50   	  7.93   	 13.06   	 -10.17		 13.47   	 -10.17		
 28.38   	 -0.61   	 13.02   	 -10.17		 13.43   	  -5.09		
 13.43   	 -6.10   	 12.98   	 -10.17		 13.41   	   5.09		
  0.61   	 -8.54   	 12.94   	  -5.09		 13.43   	  15.26		
 -9.16   	-11.90   	 12.92   	  -5.09		 13.49   	  25.43		
-17.70   	-20.45   	 12.90   	   0.00		 13.59   	  35.61		
-25.02   	-33.57   	 12.90   	   0.00		 13.73   	  35.61		
-30.52   	-46.08   	 12.90   	  10.17		 13.88   	  40.69		
-32.35   	-52.49   	 12.94   	  15.26		 14.04   	  35.61		
-30.82   	-53.10   	 13.00   	  15.26		 14.18   	  30.52		
-27.77   	-50.35   	 13.06   	  20.35		 14.30   	  25.43		
-26.55   	-48.83   	 13.14   	  20.35		 14.40   	  20.35		
-27.47   	-50.05   	 13.22   	  15.26		 14.49   	  15.26		
-28.69   	-53.10   	 13.29   	  20.35		 14.55   	  15.26		
-28.69   	-55.24   	 13.37   	  10.17		 14.61   	  10.17		
-27.77   	-56.46   	 13.41   	   0.00		 14.65   	   0.00		
-27.47   	-57.37   	 13.41   	  -5.09		 14.65   	  -5.09		
-28.69   	-58.29   	 13.39   	 -10.17		 14.63   	 -15.26		
-30.21   	-59.81   	 13.35   	 -15.26		 14.57   	 -20.35		
-30.52   	-60.73   	 13.29   	 -20.35		 14.49   	 -35.61		
-28.69   	-60.42   	 13.20   	 -15.26		 14.34   	 -35.61		
-26.55   	-59.51   	 13.14   	 -10.17		 14.20   	 -40.69		
-26.55   	-58.29   	 13.10   	  -5.09		 14.04   	 -30.52		
-28.69   	-58.29   	 13.08   	   5.09		 13.92   	 -25.43		
-32.04   	-58.90   	 13.10   	  10.17		 13.81   	 -15.26		
-34.48   	-58.90   	 13.14   	  25.43		 13.75   	  -5.09		
-34.18   	-56.15   	 13.25   	  30.52		 13.73   	   5.09		
-31.13   	-49.44   	 13.37   	  45.78		 13.75(E)	  10.17		
-22.89   	-39.37   	 13.55   	  55.95		 13.79   	  20.35		
 -3.36   	-28.08   	 13.77   	  61.04		 13.88   	  25.43		
 35.71   	-15.26   	 14.02   	  66.12		 13.98   	  30.52		
 98.57   	  6.10   	 14.28   	  71.21		 14.10   	  35.61		
183.41   	 48.83   	 14.57   	  61.04		 14.24   	  35.61		
281.37   	125.43   	 14.81   	  55.95		 14.38   	  35.61		
374.15   	230.71   	 15.04   	  50.86		 14.53   	  40.69		
440.67   	333.56   	 15.24   	  30.52		 14.69   	  40.69		
457.46   	387.57(R)	 15.36   	  20.35		 14.85   	  50.86		
406.49   	357.67   	 15.44   	  15.26		 15.06   	  71.21		
288.39   	247.80   	 15.50   	   0.00		 15.34   	  96.64		
130.92   	100.71   	 15.50   	  -5.09		 15.73   	 142.42		
-20.14   	-27.16   	 15.48   	  -5.09		 16.30   	 188.20		
-121.77   	-102.23   	 15.46(E)	   0.00		 17.05   	 244.15		
-155.94   	-124.82   	 15.46   	   0.00		 18.03   	 310.27		
-136.72   	-114.14   	 15.46   	  10.17		 19.27   	 381.48		
-96.74   	-90.03   	 15.50   	  25.43		 20.79   	 452.69		
-64.09   	-62.56   	 15.61   	  40.69		 22.60   	 544.25		
-49.13   	-37.84   	 15.77   	  61.04		 24.78   	 635.81		
-45.78   	-22.58   	 16.01   	  81.38		 27.32   	 727.36		
-45.47   	-21.67   	 16.34   	 101.73		 30.23   	 824.00		
-44.25   	-33.26   	 16.74   	 122.07		 33.53   	 910.47		
-42.42   	-47.61   	 17.23   	 137.33		 37.17   	 981.68		
-40.89   	-54.02   	 17.78   	 142.42		 41.10   	1047.81		
-39.67   	-48.52   	 18.35   	 157.68		 45.29   	1093.59		
-37.84   	-34.18   	 18.98   	 157.68		 49.66   	1134.28		
-35.71   	-19.84   	 19.61   	 157.68		 54.20   	1159.71		
-34.48   	-12.51   	 20.24   	 157.68		 58.84   	1169.88		
-34.79   	-13.12   	 20.87   	 157.68		 63.52   	1149.54		
-34.79   	-17.40   	 21.51   	 162.77		 68.12   	1108.85		
-32.96   	-21.06   	 22.16   	 162.77		 72.55   	1032.55		
-29.60   	-22.89   	 22.81   	 167.85		 76.68   	 935.91		
-27.16   	-24.41   	 23.48   	 167.85		 80.43   	 834.18		
-26.86   	-28.38   	 24.15   	 172.94		 83.76   	 727.36		
