  I     	  II     	  AO     	  AO'		  CH2     	  CH2'		
  8.85   	-20.14   	 66.82   	 -35.61		  0.45   	  -5.09		
 11.60   	-18.62   	 66.67   	 -40.69		  0.43   	   0.00		
 12.51   	-17.40   	 66.51   	 -40.69		  0.43   	   0.00		
 10.99   	-18.01   	 66.35   	 -45.78		  0.43   	  -5.09		
  8.85   	-20.75   	 66.16   	 -45.78		  0.41   	  -5.09		
  6.71   	-25.33   	 65.98   	 -50.86		  0.39   	   0.00		
  5.49   	-30.82   	 65.78   	 -45.78		  0.39   	  -5.09		
  5.19   	-36.01   	 65.59   	 -50.86		  0.37   	  -5.09		
  4.88   	-39.98   	 65.39   	 -50.86		  0.35   	   0.00		
  3.97   	-41.81   	 65.19   	 -50.86		  0.35   	  -5.09		
  2.75   	-41.81   	 64.98   	 -55.95		  0.33   	  -5.09		
  1.22   	-41.20   	 64.76   	 -50.86		  0.31   	   0.00		
 -0.61   	-42.42   	 64.56   	 -50.86		  0.31   	  -5.09		
 -3.36   	-49.44   	 64.35   	 -50.86		  0.28   	   0.00		
 -7.32   	-65.92   	 64.15   	 -50.86		  0.28   	   0.00		
-12.21   	-93.99   	 63.95   	 -50.86		  0.28   	  -5.09		
-14.34   	-128.48   	 63.74   	 -50.86		  0.26   	   0.00		
 -7.63   	-148.01   	 63.54   	 -45.78		  0.26   	   0.00		
 14.04   	-117.80   	 63.36   	 -50.86		  0.26   	   0.00		
 52.19   	 -1.83   	 63.15   	 -45.78		  0.26   	   0.00		
102.23   	216.98   	 62.97   	 -45.78		  0.26   	   0.00		
152.89   	517.27   	 62.79   	 -40.69		  0.26   	   0.00		
191.04   	834.66   	 62.62   	 -81.38		  0.26   	   0.00		
185.24   	1198.73(R)	 62.30   	 -40.69		  0.26   	   0.00		
134.58   	1151.43   	 62.14   	 -35.61		  0.26   	   0.00		
 66.53   	968.32   	 61.99   	 -35.61		  0.26   	   0.00		
  3.05   	711.67   	 61.85   	 -35.61		  0.26   	   0.00		
-35.10   	447.69   	 61.71   	 -35.61		  0.26   	   0.00		
-39.98   	224.00   	 61.57   	 -35.61		  0.26   	   0.00		
-21.06   	 63.17   	 61.42   	 -30.52		  0.26   	   0.00		
  2.14   	-32.35   	 61.30   	 -35.61		  0.26   	   0.00		
 13.12   	-75.07   	 61.16   	 -30.52		  0.26   	  -5.09		
 10.07   	-85.45   	 61.04   	 -35.61		  0.24   	   0.00		
  0.61   	-83.31   	 60.89   	 -35.61		  0.24   	   0.00		
 -6.41   	-81.48   	 60.75   	 -30.52		  0.24   	  -5.09		
 -8.54   	-84.84   	 60.63   	 -35.61		  0.22   	   0.00		
 -8.54   	-90.33   	 60.49   	 -30.52		  0.22   	   0.00		
 -9.77   	-94.91   	 60.37   	 -35.61		  0.22   	  -5.09		
-12.21   	-97.05   	 60.22   	 -35.61		  0.20   	   0.00		
-14.65   	-99.18   	 60.08   	 -35.61		  0.20   	   0.00		
-14.65   	-103.45   	 59.94   	 -35.61		  0.20   	  -5.09		
-13.43   	-109.56   	 59.80   	 -35.61		  0.18   	   0.00		
-13.12   	-116.27   	 59.65   	 -35.61		  0.18   	   0.00		
-14.95   	-122.07   	 59.51   	 -40.69		  0.18   	  -5.09		
-18.62   	-125.73   	 59.35   	 -35.61		  0.16   	   0.00		
-22.89   	-127.87   	 59.21   	 -35.61		  0.16   	   0.00		
-25.94   	-129.39   	 59.06   	 -40.69		  0.16   	  -5.09		
-25.63   	-131.23   	 58.90   	 -35.61		  0.14   	   0.00		
-23.19   	-133.06   	 58.76   	 -40.69		  0.14   	   0.00		
-20.14   	-134.89   	 58.60   	 -35.61		  0.14   	   0.00		
-18.92   	-136.72   	 58.45   	 -40.69		  0.14   	  -5.09		
-19.84   	-137.94   	 58.29   	 -35.61		  0.12   	   0.00		
-21.36   	-139.77   	 58.15   	 -40.69		  0.12   	   0.00		
-21.36   	-142.21   	 57.99   	 -35.61		  0.12   	   0.00		
-18.92   	-144.96   	 57.84   	 -40.69		  0.12   	   0.00		
-14.95   	-148.32   	 57.68   	 -35.61		  0.12   	   0.00		
-12.21   	-152.28   	 57.54   	 -30.52		  0.12   	   0.00		
-12.21   	-156.86   	 57.42   	 -30.52		  0.12   	   0.00		
-14.65   	-161.13   	 57.29   	 -30.52		  0.12   	   0.00		
-17.70   	-164.79   	 57.17   	 -15.26		  0.12   	   0.00		
-19.23   	-166.63   	 57.11   	 -10.17		  0.12   	   0.00		
-18.01   	-166.32   	 57.07   	   5.09		  0.12   	   0.00		
-14.65   	-164.18   	 57.09   	  30.52		  0.12   	   5.09		
-10.99   	-161.44   	 57.21   	  50.86		  0.14   	   0.00		
 -8.54   	-159.30   	 57.42   	  86.47		  0.14   	   0.00		
 -7.93   	-158.39   	 57.76   	 122.07		  0.14   	   0.00		
 -9.16   	-159.61   	 58.25   	 157.68		  0.14   	   5.09		
-11.29   	-162.35   	 58.88   	 198.37		  0.16   	   0.00		
-13.12   	-165.71   	 59.67   	 228.89		  0.16   	   5.09		
-13.73   	-167.85   	 60.59   	 264.50		  0.18   	   0.00		
-12.21   	-167.54   	 61.65   	 295.01		  0.18   	   0.00		
-10.07   	-165.41   	 62.83   	 325.53		  0.18   	   0.00		
 -8.54   	-162.96   	 64.13   	 345.88		  0.18   	   5.09		
 -9.46   	-162.05   	 65.51   	 361.14		  0.20   	   0.00		
-11.60   	-163.27   	 66.96   	 386.57		  0.20   	   0.00		
-13.43   	-166.32   	 68.50   	 396.74		  0.20   	  -5.09		
-13.43   	-170.29   	 70.09   	 406.92		  0.18   	   0.00		
-12.51   	-173.65   	 71.72   	 417.09		  0.18   	   0.00		
-12.51   	-175.78   	 73.39   	 422.18		  0.18   	   0.00		
-14.95   	-175.78   	 75.08   	 427.26		  0.18   	   0.00		
-18.62   	-172.73   	 76.79   	 427.26		  0.18   	  -5.09		
-22.28   	-166.93   	 78.49   	 427.26		  0.16   	   0.00		
-25.63   	-159.30   	 80.20   	 422.18		  0.16   	  -5.09		
-28.08   	-150.76   	 81.89   	 417.09		  0.14   	   0.00		
-30.52   	-143.13   	 83.56   	 412.00		  0.14   	  -5.09		
-32.65   	-136.72   	 85.21   	 401.83		  0.12   	  -5.09		
-33.87   	-131.23   	 86.82   	 386.57		  0.10   	   0.00		
-33.57   	-125.43   	 88.36   	 371.31		  0.10   	  -5.09		
-31.74   	-119.63   	 89.85   	 356.05		  0.08   	   0.00		
-28.38   	-114.14   	 91.27   	 340.79		  0.08   	   0.00		
-24.72   	-110.78   	 92.63   	 320.45		  0.08   	  -5.09		
-20.14   	-109.56   	 93.92   	 305.19		  0.06   	   0.00		
-15.26   	-110.47   	 95.14   	 279.75		  0.06   	   0.00		
 -9.46   	-111.08   	 96.26   	 264.50		  0.06   	   0.00		
 -2.75   	-110.47   	 97.31   	 239.06		  0.06   	   0.00		
  4.27   	-109.25   	 98.27   	 218.72		  0.06   	   0.00		
 10.99   	-107.73   	 99.15   	 198.37		  0.06   	   0.00		
 17.09   	-106.20   	 99.94   	 172.94		  0.06   	   5.09		
 22.28   	-103.15   	100.63   	 152.59		  0.08   	   0.00		
 27.16   	-96.74   	101.24   	 137.33		  0.08   	   0.00		
 31.13   	-85.45   	101.79   	 111.90		  0.08   	   5.09		
 33.26   	-71.41   	102.24   	  96.64		  0.10   	   0.00		
 32.65   	-56.76   	102.62   	  71.21		  0.10   	   5.09		
 29.60   	-44.25   	102.91   	  61.04		  0.12   	   0.00		
 25.63   	-35.10   	103.15   	  35.61		  0.12   	   5.09		
 22.58   	-28.38   	103.30   	  25.43		  0.14   	   0.00		
 22.28   	-22.58   	103.40   	   5.09		  0.14   	   5.09		
 24.72   	-17.40   	103.42(S)	  -5.09		  0.16   	   0.00		
 28.08   	-11.90   	103.40   	 -20.35		  0.16   	   5.09		
 29.91   	 -7.32   	103.32   	 -30.52		  0.18   	   0.00		
 29.60   	 -4.58   	103.19   	 -40.69		  0.18   	   0.00		
 27.16   	 -4.27   	103.03   	 -55.95		  0.18   	   5.09		
 24.41   	 -6.41   	102.81   	 -61.04		  0.20   	   0.00		
 22.58   	 -8.54   	102.56   	 -76.30		  0.20   	   5.09		
 22.28   	 -9.46   	102.26   	 -76.30		  0.22   	   0.00		
 22.58   	 -8.24   	101.95   	 -86.47		  0.22   	   0.00		
 22.89   	 -6.10   	101.61   	 -96.64		  0.22   	   0.00		
 22.28   	 -5.19   	101.22   	-101.73		  0.22   	   0.00		
 21.67   	 -6.10   	100.81   	-106.82		  0.22   	   0.00		
 21.36   	 -7.93   	100.39   	-116.99		  0.22   	   0.00		
 21.67   	 -8.85   	 99.92   	-122.07		  0.22   	   0.00		
 21.97   	 -7.02   	 99.43   	-127.16		  0.22   	  -5.09		
 21.97   	 -3.97   	 98.92   	-132.25		  0.20   	   0.00		
 20.14   	 -2.14   	 98.39   	-142.42		  0.20   	   0.00		
 17.09   	 -3.36   	 97.82   	-152.59		  0.20   	   0.00		
 13.12   	 -8.24   	 97.21   	-157.68		  0.20   	  -5.09		
  9.77   	-13.73   	 96.58   	-162.77		  0.18   	   0.00		
  7.02   	-18.01   	 95.93   	-172.94		  0.18   	   0.00		
  5.80   	-19.23   	 95.24   	-178.03		  0.18   	   0.00		
  5.19   	-19.53   	 94.53   	-188.20		  0.18   	   0.00		
  4.58   	-19.84   	 93.77   	-198.37		  0.18   	  -5.09		
  3.66   	-21.36   	 92.98   	-203.46		  0.16   	   0.00		
  1.83   	-22.89   	 92.17   	-203.46		  0.16   	   0.00		
  0.61   	-22.89   	 91.35   	-208.54		  0.16   	   0.00		
  0.92   	-20.75   	 90.52   	-208.54		  0.16   	   0.00		
  3.36   	-17.70   	 89.68   	-208.54		  0.16   	   0.00		
  6.71   	-15.87   	 88.85   	-203.46		  0.16   	   0.00		
  9.46   	-16.78   	 88.04   	-193.29		  0.16   	   0.00		
 10.38   	-19.84   	 87.26   	-193.29		  0.16   	   0.00		
 10.38   	-23.50   	 86.49   	-188.20		  0.16   	   5.09		
 11.29   	-25.02   	 85.74   	-178.03		  0.18   	   0.00		
 13.43   	-22.89   	 85.03   	-178.03		  0.18   	   0.00		
 16.48   	-17.70   	 84.31   	-167.85		  0.18   	   0.00		
 18.92   	-11.90   	 83.64   	-162.77		  0.18   	   0.00		
 19.23   	 -8.24   	 82.99   	-157.68		  0.18   	   5.09		
 18.31   	 -7.93   	 82.36   	-157.68		  0.20   	   0.00		
 17.70   	-11.29   	 81.73   	-152.59		  0.20   	   5.09		
 17.40   	-17.09   	 81.12   	-152.59		  0.22   	   0.00		
 17.09   	-23.19   	 80.51   	-142.42		  0.22   	   0.00		
 16.17   	-28.08   	 79.94   	-142.42		  0.22   	   5.09		
 14.34   	-29.60   	 79.37   	-137.33		  0.24   	   0.00		
 12.21   	-27.47   	 78.82   	-137.33		  0.24   	   0.00		
 11.60   	-23.19   	 78.27   	-127.16		  0.24   	   0.00		
 12.51   	-19.84   	 77.76   	-127.16		  0.24   	   0.00		
 14.65   	-18.92   	 77.25   	-122.07		  0.24   	   0.00		
 15.56   	-21.06   	 76.76   	-116.99		  0.24   	   0.00		
 15.26   	-24.11   	 76.30   	-116.99		  0.24   	   0.00		
 14.34   	-25.94   	 75.83   	-106.82		  0.24   	   0.00		
 14.04   	-25.63   	 75.40   	-106.82		  0.24   	   0.00		
 14.04   	-24.72   	 74.97   	 -96.64		  0.24   	   0.00		
 13.43   	-25.94   	 74.59   	 -96.64		  0.24   	  -5.09		
 11.90   	-29.30   	 74.20   	 -91.56		  0.22   	   0.00		
 10.38   	-33.87   	 73.83   	 -81.38		  0.22   	  -5.09		
 10.38   	-37.54   	 73.51   	 -81.38		  0.20   	   0.00		
 12.21   	-39.98   	 73.18   	 -76.30		  0.20   	   0.00		
 14.65   	-41.20   	 72.88   	 -66.12		  0.20   	  -5.09		
 16.17   	-43.64   	 72.61   	 -61.04		  0.18   	   0.00		
 15.87   	-48.52   	 72.37   	 -61.04		  0.18   	  -5.09		
 14.65   	-56.15   	 72.13   	 -50.86		  0.16   	   0.00		
 12.82   	-65.61   	 71.92   	 -40.69		  0.16   	   0.00		
 10.07   	-73.85   	 71.76   	 -40.69		  0.16   	   0.00		
  6.10   	-77.82   	 71.60   	 -30.52		  0.16   	  -5.09		
  1.83   	-75.68   	 71.47   	 -25.43		  0.14   	   0.00		
 -1.83   	-67.44   	 71.37   	 -15.26		  0.14   	   0.00		
 -3.36   	-56.15   	 71.31   	 -15.26		  0.14   	   0.00		
 -3.66   	-45.47   	 71.25   	 -10.17		  0.14   	   0.00		
 -3.05   	-36.93   	 71.21   	 -10.17		  0.14   	   0.00		
 -1.22   	-31.43   	 71.17   	  -5.09		  0.14   	   0.00		
  0.92   	-27.77   	 71.15   	  -5.09		  0.14   	   0.00		
  3.36   	-26.25   	 71.13   	   0.00		  0.14   	  -5.09		
  4.88   	-26.25   	 71.13   	  -5.09		  0.12   	   0.00		
  3.97   	-25.94   	 71.11   	  -5.09		  0.12   	   0.00		
  1.53   	-23.80   	 71.09   	  -5.09		  0.12   	   0.00		
 -0.31   	-18.31   	 71.07   	 -10.17		  0.12   	   0.00		
  0.61   	 -9.77   	 71.03   	 -10.17		  0.12   	   0.00		
  3.66   	 -1.53   	 70.99   	 -15.26		  0.12   	   0.00		
  7.32   	  3.97   	 70.93   	 -20.35		  0.12   	   0.00		
  8.85   	  4.27   	 70.84   	 -25.43		  0.12   	  -5.09		
  7.93   	 -0.31   	 70.74   	 -25.43		  0.10   	   0.00		
  5.80   	 -7.93   	 70.64   	 -30.52		  0.10   	   0.00		
  4.27   	-14.95   	 70.52   	 -35.61		  0.10   	   0.00		
  4.27   	-18.31   	 70.38   	 -40.69		  0.10   	  -5.09		
  5.19   	-16.17   	 70.21   	 -40.69		  0.08   	   0.00		
  4.27   	-11.29   	 70.05   	 -45.78		  0.08   	   0.00		
  0.61   	 -7.63   	 69.87   	 -50.86		  0.08   	   0.00		
 -3.97   	 -9.16   	 69.66   	 -50.86		  0.08   	   0.00		
 -7.02   	-14.65   	 69.46   	 -55.95		  0.08   	   5.09		
 -7.02   	-21.06   	 69.24   	 -50.86		  0.10   	   0.00		
 -4.27   	-23.80   	 69.03   	 -55.95		  0.10   	   0.00		
 -1.53   	-21.97   	 68.81   	 -55.95		  0.10   	   0.00		
 -0.92   	-18.01   	 68.59   	 -61.04		  0.10   	   5.09		
 -2.14   	-15.87   	 68.34   	 -55.95		  0.12   	   5.09		
 -3.97   	-18.01   	 68.12   	 -55.95		  0.14   	   0.00		
 -4.88   	-24.41   	 67.89   	 -55.95		  0.14   	   5.09		
 -4.27   	-33.57   	 67.67   	 -61.04		  0.16   	   5.09		
 -2.14   	-43.95   	 67.43   	 -55.95		  0.18   	   0.00		
  0.00   	-55.24   	 67.20   	 -55.95		  0.18   	   5.09		
  0.92   	-66.83   	 66.98   	 -61.04		  0.20   	   5.09		
  0.00   	-77.21   	 66.73   	 -55.95		  0.22   	   5.09		
 -2.14   	-84.23   	 66.51   	 -55.95		  0.24   	   5.09		
 -4.58   	-84.53   	 66.29   	 -55.95		  0.26   	   0.00		
 -5.80   	-78.43   	 66.06   	 -50.86		  0.26   	   5.09		
 -4.58   	-68.36   	 65.86   	 -55.95		  0.28   	   5.09		
 -2.44   	-58.29   	 65.64   	 -55.95		  0.31   	   0.00		
  0.00   	-50.96   	 65.41   	 -50.86		  0.31   	   0.00		
  1.53   	-47.00   	 65.21   	 -55.95		  0.31   	   0.00		
  1.83   	-44.86   	 64.98   	 -50.86		  0.31   	   0.00		
  2.14   	-43.64   	 64.78   	 -55.95		  0.31   	   0.00		
  3.36   	-42.72   	 64.56   	 -50.86		  0.31   	  -5.09		
  4.88   	-41.20   	 64.35   	 -55.95		  0.28   	   0.00		
  6.10   	-39.37   	 64.13   	 -50.86		  0.28   	  -5.09		
  6.41   	-36.32   	 63.93   	 -50.86		  0.26   	  -5.09		
  5.80   	-32.04   	 63.72   	 -50.86		  0.24   	  -5.09		
  4.88   	-27.77   	 63.52   	 -50.86		  0.22   	  -5.09		
  3.66   	-24.11   	 63.32   	 -50.86		  0.20   	  -5.09		
  2.75   	-22.58   	 63.11   	 -50.86		  0.18   	   0.00		
  0.00   	-24.72   	 62.91   	 -45.78		  0.18   	  -5.09		
 -6.71   	-34.18   	 62.73   	 -50.86		  0.16   	  -5.09		
-16.48   	-55.24   	 62.52   	 -45.78		  0.14   	  -5.09		
-24.41   	-86.98   	 62.34   	 -45.78		  0.12   	  -5.09		
-22.28   	-114.75   	 62.16   	 -45.78		  0.10   	   0.00		
 -3.05   	-105.90   	 61.97   	 -45.78		  0.10   	  -5.09		
 35.10   	-21.36   	 61.79   	 -40.69		  0.08   	   0.00		
 86.36   	165.41   	 61.63   	 -40.69		  0.08   	   0.00		
141.30   	445.56   	 61.46   	 -40.69		  0.08   	   0.00		
186.77   	766.60   	 61.30   	 -35.61		  0.08   	   0.00		
210.27   	1046.14   	 61.16   	 -66.12		  0.08   	   0.00		
149.54   	1209.72(R)	 60.89   	 -30.52		  0.08   	   5.09		
 72.33   	1064.45   	 60.77   	 -30.52		  0.10   	   0.00		
 -5.49   	823.67   	 60.65   	 -30.52		  0.10   	   0.00		
-54.93   	555.42   	 60.53   	 -25.43		  0.10   	   5.09		
-61.65   	314.64   	 60.43   	 -25.43		  0.12   	   5.09		
-34.79   	131.53   	 60.33   	 -25.43		  0.14   	   0.00		
 -1.22   	 14.65   	 60.22   	 -25.43		  0.14   	   5.09		
 15.87   	-46.08   	 60.12   	 -20.35		  0.16   	   0.00		
 10.68   	-70.50   	 60.04   	 -25.43		  0.16   	   5.09		
 -5.80   	-80.26   	 59.94   	 -25.43		  0.18   	   5.09		
-18.31   	-89.42   	 59.84   	 -20.35		  0.20   	   0.00		
-20.14   	-102.23   	 59.76   	 -25.43		  0.20   	   0.00		
-14.95   	-114.44   	 59.65   	 -25.43		  0.20   	   5.09		
-10.07   	-121.77   	 59.55   	 -25.43		  0.22   	   0.00		
 -9.77   	-122.99   	 59.45   	 -25.43		  0.22   	   0.00		
-12.21   	-121.46   	 59.35   	 -25.43		  0.22   	   0.00		
-14.65   	-120.24   	 59.25   	 -30.52		  0.22   	   0.00		
-14.65   	-117.80   	 59.12   	 -25.43		  0.22   	   0.00		
-12.82   	-111.69   	 59.02   	 -30.52		  0.22   	   0.00		
 -9.16   	-101.01   	 58.90   	 -35.61		  0.22   	   0.00		
 -4.88   	-90.03   	 58.76   	 -30.52		  0.22   	   0.00		
 -1.22   	-83.62   	 58.64   	 -35.61		  0.22   	  -5.09		
  0.92   	-84.23   	 58.49   	 -35.61		  0.20   	   0.00		
  0.31   	-90.64   	 58.35   	 -40.69		  0.20   	   0.00		
 -2.44   	-97.66   	 58.19   	 -40.69		  0.20   	   0.00		
 -5.49   	-102.23   	 58.03   	 -40.69		  0.20   	  -5.09		
 -7.63   	-103.76   	 57.86   	 -40.69		  0.18   	   0.00		
 -7.63   	-104.06   	 57.70   	 -45.78		  0.18   	   0.00		
 -6.41   	-105.90   	 57.52   	 -45.78		  0.18   	  -5.09		
 -5.19   	-108.64   	 57.33   	 -45.78		  0.16   	   0.00		
 -4.58   	-108.95   	 57.15   	 -50.86		  0.16   	   0.00		
 -4.27   	-105.29   	 56.95   	 -45.78		  0.16   	   0.00		
 -3.97   	-99.49   	 56.76   	 -45.78		  0.16   	  -5.09		
 -3.36   	-94.30   	 56.58   	 -45.78		  0.14   	   0.00		
 -3.66   	-93.38   	 56.40   	 -45.78		  0.14   	   0.00		
 -5.19   	-96.44   	 56.22   	 -45.78		  0.14   	   0.00		
 -7.63   	-101.01   	 56.03   	 -35.61		  0.14   	   0.00		
-10.38   	-105.29   	 55.89   	 -35.61		  0.14   	   0.00		
-12.21   	-109.25   	 55.75   	 -30.52		  0.14   	   0.00		
-12.51   	-115.05   	 55.63   	 -15.26		  0.14   	   0.00		
-12.82   	-122.68   	 55.56   	  -5.09		  0.14   	   0.00		
-13.73   	-132.14   	 55.54(D)	  15.26		  0.14   	   0.00		
-15.56   	-141.60   	 55.61   	  35.61		  0.14   	   0.00		
-17.70   	-150.45   	 55.75   	  61.04		  0.14   	   0.00		
-18.92   	-158.69   	 55.99   	  91.56		  0.14   	   5.09		
-19.23   	-166.02   	 56.36   	 122.07		  0.16   	   0.00		
-19.53   	-170.59   	 56.85   	 152.59		  0.16   	   0.00		
-21.36   	-171.20   	 57.46   	 188.20		  0.16   	   0.00		
-25.33   	-168.46   	 58.21   	 208.54		  0.16   	   5.09		
-29.91   	-166.63   	 59.04   	 239.06		  0.18   	   0.00		
-32.96   	-168.15   	 60.00   	 264.50		  0.18   	   0.00		
-32.65   	-173.03   	 61.06   	 284.84		  0.18   	   0.00		
-29.30   	-176.09   	 62.20   	 300.10		  0.18   	   0.00		
-25.02   	-173.34   	 63.40   	 315.36		  0.18   	   5.09		
-21.36   	-163.57   	 64.66   	 335.71		  0.20   	   0.00		
-19.23   	-150.45   	 66.00   	 340.79		  0.20   	   0.00		
-17.40   	-139.77   	 67.36   	 350.97		  0.20   	   0.00		
-15.87   	-135.19   	 68.77   	 356.05		  0.20   	   0.00		
-14.95   	-136.41   	 70.19   	 366.22		  0.20   	   0.00		
-14.34   	-140.08   	 71.66   	 361.14		  0.20   	   0.00		
-14.95   	-142.82   	 73.10   	 366.22		  0.20   	  -5.09		
-15.87   	-143.13   	 74.57   	 366.22		  0.18   	   0.00		
-16.17   	-140.99   	 76.03   	 361.14		  0.18   	   0.00		
-15.87   	-138.55   	 77.48   	 350.97		  0.18   	   0.00		
-16.17   	-136.72   	 78.88   	 350.97		  0.18   	   0.00		
-17.09   	-134.89   	 80.28   	 335.71		  0.18   	  -5.09		
-16.48   	-130.62   	 81.63   	 330.62		  0.16   	   0.00		
-11.29   	-120.54   	 82.95   	 310.27		  0.16   	   0.00		
 -0.92   	-106.20   	 84.19   	 300.10		  0.16   	   0.00		
 13.12   	-91.86   	 85.39   	 289.93		  0.16   	   0.00		
 25.94   	-82.40   	 86.55   	 269.58		  0.16   	   0.00		
 32.04   	-79.96   	 87.63   	 249.24		  0.16   	   0.00		
 32.35   	-80.87   	 88.63   	 239.06		  0.16   	  -5.09		
 31.13   	-78.13   	 89.58   	 213.63		  0.14   	   0.00		
 32.04   	-68.05   	 90.44   	 198.37		  0.14   	   0.00		
 36.01   	-51.88   	 91.23   	 178.03		  0.14   	   0.00		
 39.37   	-34.18   	 91.94   	 162.77		  0.14   	   0.00		
 39.37   	-20.14   	 92.59   	 142.42		  0.14   	   5.09		
 36.32   	-12.21   	 93.16   	 122.07		  0.16   	   0.00		
 32.65   	 -9.46   	 93.65   	 106.82		  0.16   	   0.00		
 31.13   	 -8.85   	 94.08   	  86.47		  0.16   	   0.00		
 31.43   	 -8.54   	 94.42   	  71.21		  0.16   	   0.00		
 31.13   	 -6.71   	 94.71   	  50.86		  0.16   	   0.00		
 28.69   	 -3.66   	 94.91   	  35.61		  0.16   	   0.00		
 24.11   	  0.31   	 95.06   	  25.43		  0.16   	   0.00		
 19.23   	  4.88   	 95.16   	   5.09		  0.16   	   0.00		
 15.87   	 10.07   	 95.18(S)	  -5.09		  0.16   	   0.00		
 14.95   	 16.48   	 95.16   	 -20.35		  0.16   	   0.00		
 14.95   	 22.28   	 95.08   	 -30.52		  0.16   	   5.09		
 15.26   	 25.33   	 94.95   	 -45.78		  0.18   	   0.00		
 14.95   	 23.50   	 94.77   	 -55.95		  0.18   	   0.00		
 14.04   	 18.01   	 94.55   	 -66.12		  0.18   	   0.00		
 11.60   	 11.90   	 94.28   	 -71.21		  0.18   	   0.00		
  8.24   	 10.07   	 94.00   	 -86.47		  0.18   	   0.00		
  5.80   	 14.04   	 93.65   	 -96.64		  0.18   	   0.00		
  5.49   	 22.28   	 93.27   	-101.73		  0.18   	   0.00		
