  I     	  II     	  CH1     	  CH1'		  PW     	  PW'		
-34.79   	-88.81   	 -0.10   	   0.00		 13.61   	  91.56		
-34.18   	-87.28   	 -0.10   	   0.00		 13.98   	  71.21		
-33.57   	-87.28   	 -0.10   	   0.00		 14.26   	  45.78		
-32.65   	-88.81   	 -0.10   	   0.00		 14.45   	  30.52		
-31.13   	-91.25   	 -0.10   	   0.00		 14.57   	  10.17		
-29.60   	-93.69   	 -0.10   	   5.09		 14.61   	 -10.17		
-28.38   	-95.83   	 -0.08   	   0.00		 14.57   	 -20.35		
-28.08   	-97.05   	 -0.08   	   0.00		 14.49   	 -25.43		
-28.38   	-97.96   	 -0.08   	   5.09		 14.38   	 -35.61		
-28.08   	-98.27   	 -0.06   	   0.00		 14.24   	 -35.61		
-27.77   	-98.88   	 -0.06   	   0.00		 14.10   	 -40.69		
-27.16   	-99.18   	 -0.06   	   0.00		 13.94   	 -30.52		
-26.86   	-99.79   	 -0.06   	   5.09		 13.81   	 -30.52		
-27.16   	-100.71   	 -0.04   	   0.00		 13.69   	 -25.43		
-28.08   	-102.54   	 -0.04   	   0.00		 13.59   	 -20.35		
-28.99   	-104.98   	 -0.04   	   5.09		 13.51   	 -15.26		
-29.30   	-106.81   	 -0.02   	   0.00		 13.45   	 -10.17		
-29.30   	-106.81   	 -0.02   	   0.00		 13.41   	 -15.26		
-28.38   	-105.29   	 -0.02   	   0.00		 13.35   	 -20.35		
-27.16   	-102.84   	 -0.02   	   5.09		 13.27   	 -20.35		
-25.94   	-101.01   	  0.00   	   0.00		 13.18   	 -25.43		
-25.94   	-99.79   	  0.00   	   0.00		 13.08   	 -35.61		
-27.16   	-100.10   	  0.00   	   0.00		 12.94   	 -40.69		
-29.30   	-101.01   	  0.00   	   0.00		 12.78   	 -40.69		
-31.43   	-102.84   	  0.00   	   0.00		 12.61   	 -45.78		
-32.96   	-105.90   	  0.00   	   0.00		 12.43   	 -50.86		
-33.26   	-109.25   	  0.00   	   0.00		 12.23   	 -50.86		
-32.35   	-112.00   	  0.00   	   0.00		 12.02   	 -50.86		
-30.21   	-112.92   	  0.00   	   0.00		 11.82   	 -50.86		
-28.38   	-112.00   	  0.00   	   0.00		 11.62   	 -45.78		
-27.47   	-110.17   	  0.00   	  -5.09		 11.43   	 -45.78		
-28.08   	-108.34   	 -0.02   	   0.00		 11.25   	 -45.78		
-30.21   	-107.12   	 -0.02   	   0.00		 11.07   	 -40.69		
-32.04   	-107.12   	 -0.02   	   0.00		 10.91   	 -35.61		
-32.65   	-107.42   	 -0.02   	   0.00		 10.76   	 -30.52		
-31.43   	-107.73   	 -0.02   	   0.00		 10.64   	 -30.52		
-29.60   	-108.34   	 -0.02   	   0.00		 10.52   	 -25.43		
-28.08   	-109.25   	 -0.02   	   0.00		 10.42   	 -15.26		
-27.77   	-110.17   	 -0.02   	   0.00		 10.36   	 -15.26		
-28.69   	-109.86   	 -0.02   	   0.00		 10.29   	 -10.17		
-29.91   	-107.73   	 -0.02   	   0.00		 10.25   	  -5.09		
-30.82   	-104.68   	 -0.02   	   0.00		 10.23   	   5.09		
-31.13   	-101.32   	 -0.02   	   0.00		 10.25   	   5.09		
-29.91   	-98.88   	 -0.02   	  -5.09		 10.27   	  10.17		
-27.77   	-98.27   	 -0.04   	   0.00		 10.32   	  10.17		
-25.94   	-99.18   	 -0.04   	   0.00		 10.36   	  15.26		
-24.72   	-100.71   	 -0.04   	   0.00		 10.42   	  15.26		
-25.02   	-101.32   	 -0.04   	   0.00		 10.48   	  10.17		
-25.94   	-100.71   	 -0.04   	   0.00		 10.52   	  10.17		
-26.25   	-98.88   	 -0.04   	   0.00		 10.56   	   0.00		
-25.63   	-96.44   	 -0.04   	   5.09		 10.56   	  -5.09		
-24.11   	-94.60   	 -0.02   	   0.00		 10.54   	 -10.17		
-23.19   	-93.99   	 -0.02   	   0.00		 10.50   	 -20.35		
-23.50   	-93.99   	 -0.02   	   0.00		 10.42   	 -20.35		
-24.41   	-94.30   	 -0.02   	   0.00		 10.34   	 -25.43		
-25.63   	-94.91   	 -0.02   	   0.00		 10.23   	 -30.52		
-25.94   	-96.13   	 -0.02   	   0.00		 10.11   	 -20.35		
-25.33   	-97.35   	 -0.02   	   0.00		 10.03   	 -20.35		
-24.41   	-97.96   	 -0.02   	   0.00		  9.95   	 -10.17		
-23.50   	-97.35   	 -0.02   	   0.00		  9.91   	 -10.17		
-23.19   	-95.52   	 -0.02   	   0.00		  9.87   	   0.00		
-23.19   	-92.77   	 -0.02   	   0.00		  9.87   	  -5.09		
-22.89   	-90.33   	 -0.02   	   0.00		  9.85   	  -5.09		
-22.28   	-88.50   	 -0.02   	   0.00		  9.83   	 -10.17		
-21.67   	-87.28   	 -0.02   	   0.00		  9.79   	 -15.26		
-21.36   	-86.36   	 -0.02   	   0.00		  9.73   	 -30.52		
-20.75   	-85.14   	 -0.02   	   0.00		  9.60   	 -30.52		
-20.75   	-83.62   	 -0.02   	   0.00		  9.48   	 -40.69		
-20.14   	-82.40   	 -0.02   	   5.09		  9.32   	 -45.78		
-19.23   	-81.79   	  0.00   	   0.00		  9.14   	 -40.69		
-18.31   	-81.79   	  0.00   	   0.00		  8.97   	 -45.78		
-17.09   	-81.48   	  0.00   	   0.00		  8.79   	 -35.61		
-16.78   	-81.48   	  0.00   	   0.00		  8.65   	 -35.61		
-17.40   	-81.18   	  0.00   	   0.00		  8.50   	 -25.43		
-18.92   	-80.87   	  0.00   	   0.00		  8.40   	 -20.35		
-20.45   	-81.18   	  0.00   	   0.00		  8.32   	 -15.26		
-21.97   	-81.48   	  0.00   	   0.00		  8.26   	 -10.17		
-22.28   	-81.79   	  0.00   	   0.00		  8.22   	  -5.09		
-21.97   	-82.40   	  0.00   	   0.00		  8.20   	  -5.09		
-21.67   	-83.62   	  0.00   	   0.00		  8.18   	   0.00		
-20.75   	-83.62   	  0.00   	   0.00		  8.18   	   0.00		
-19.53   	-82.40   	  0.00   	  -5.09		  8.18   	   0.00		
-18.31   	-79.65   	 -0.02   	   0.00		  8.18   	   0.00		
-18.31   	-77.51   	 -0.02   	   0.00		  8.18   	   0.00		
-19.23   	-76.60   	 -0.02   	   0.00		  8.18   	   5.09		
-20.75   	-76.60   	 -0.02   	   0.00		  8.20   	   5.09		
-21.97   	-76.29   	 -0.02   	   0.00		  8.22   	   0.00		
-21.97   	-74.46   	 -0.02   	   0.00		  8.22   	   5.09		
-21.36   	-71.72   	 -0.02   	   0.00		  8.24   	   0.00		
-20.14   	-69.58   	 -0.02   	   0.00		  8.24   	   5.09		
-19.23   	-69.58   	 -0.02   	   0.00		  8.26   	   0.00		
-18.31   	-71.11   	 -0.02   	   0.00		  8.26   	  -5.09		
-18.01   	-72.33   	 -0.02   	   0.00		  8.24   	   0.00		
-18.31   	-71.41   	 -0.02   	   0.00		  8.24   	  -5.09		
-18.92   	-68.97   	 -0.02   	   0.00		  8.22   	  -5.09		
-20.75   	-65.92   	 -0.02   	   0.00		  8.20   	  -5.09		
-22.28   	-65.00   	 -0.02   	   0.00		  8.18   	   0.00		
-23.19   	-66.22   	 -0.02   	   0.00		  8.18   	   0.00		
-23.19   	-68.36   	 -0.02   	   0.00		  8.18   	   0.00		
-22.28   	-69.89   	 -0.02   	   0.00		  8.18   	   0.00		
-21.36   	-69.27   	 -0.02   	   0.00		  8.18   	   5.09		
-20.75   	-66.53   	 -0.02   	   0.00		  8.20   	   5.09		
-20.75   	-62.56   	 -0.02   	   0.00		  8.22   	  10.17		
-20.75   	-59.51   	 -0.02   	   0.00		  8.26   	   5.09		
-20.45   	-57.68   	 -0.02   	   0.00		  8.28   	  10.17		
-20.45   	-57.98   	 -0.02   	   0.00		  8.32   	   5.09		
-20.75   	-59.20   	 -0.02   	   0.00		  8.34   	  10.17		
-21.36   	-60.73   	 -0.02   	   0.00		  8.38   	   5.09		
-21.97   	-61.34   	 -0.02   	   0.00		  8.40   	   5.09		
-21.97   	-61.04   	 -0.02   	   0.00		  8.42   	   5.09		
-21.06   	-60.12   	 -0.02   	   0.00		  8.44   	   0.00		
-20.14   	-58.90   	 -0.02   	   0.00		  8.44   	   0.00		
-19.53   	-57.98   	 -0.02   	   0.00		  8.44   	   0.00		
-19.84   	-56.46   	 -0.02   	   0.00		  8.44   	  -5.09		
-20.14   	-54.63   	 -0.02   	   0.00		  8.42   	 -10.17		
-20.14   	-51.88   	 -0.02   	   0.00		  8.38   	 -10.17		
-19.23   	-49.13   	 -0.02   	   0.00		  8.34   	 -10.17		
-17.70   	-47.30   	 -0.02   	   0.00		  8.30   	 -15.26		
-16.17   	-46.39   	 -0.02   	   0.00		  8.24   	 -20.35		
-13.73   	-43.95   	 -0.02   	   0.00		  8.16   	 -25.43		
-10.38   	-36.32   	 -0.02   	   0.00		  8.06   	 -25.43		
 -5.80   	-21.06   	 -0.02   	   0.00		  7.96   	 -30.52		
 -2.14   	 -0.61   	 -0.02   	   0.00		  7.83   	 -35.61		
  0.31   	 18.01   	 -0.02   	   0.00		  7.69   	 -35.61		
  0.31   	 28.08   	 -0.02   	   0.00		  7.55   	 -35.61		
  0.31   	 27.77   	 -0.02   	   0.00		  7.41   	 -35.61		
  1.53   	 22.58   	 -0.02   	   0.00		  7.26   	 -40.69		
  5.80   	 19.53   	 -0.02   	   0.00		  7.10   	 -40.69		
 13.12   	 21.67   	 -0.02   	   0.00		  6.94   	 -40.69		
 21.36   	 24.72   	 -0.02   	   0.00		  6.78   	 -40.69		
 26.86   	 21.06   	 -0.02   	   0.00		  6.61   	 -40.69		
 27.77   	  5.49   	 -0.02   	   0.00		  6.45   	 -40.69		
 23.80   	-18.92   	 -0.02   	   0.00		  6.29   	 -35.61		
 17.09   	-42.42   	 -0.02   	   0.00		  6.14   	 -35.61		
 11.29   	-55.54   	 -0.02   	   0.00		  6.00   	 -30.52		
  7.63   	-54.93   	 -0.02   	   0.00		  5.88   	 -20.35		
  6.71   	-44.86   	 -0.02   	   0.00		  5.80   	 -20.35		
  7.02   	-33.87   	 -0.02   	   0.00		  5.72   	 -20.35		
  7.63   	-27.47   	 -0.02   	   0.00		  5.64   	 -15.26		
  7.02   	-25.63   	 -0.02   	   0.00		  5.57   	 -15.26		
  4.58   	-23.80   	 -0.02   	   0.00		  5.51   	  -5.09		
 -0.31   	-20.14   	 -0.02   	   0.00		  5.49   	   0.00		
 -8.24   	-17.09   	 -0.02   	   0.00		  5.49   	  15.26		
-18.31   	-19.53   	 -0.02   	   0.00		  5.55   	  25.43		
-28.69   	-30.82   	 -0.02   	   0.00		  5.66   	  45.78		
-36.62   	-49.44   	 -0.02   	   0.00		  5.84   	  66.12		
-40.28   	-69.27   	 -0.02   	   0.00		  6.10   	  81.38		
-40.59   	-83.31   	 -0.02   	   0.00		  6.43   	  91.56		
-38.76   	-87.89   	 -0.02   	   0.00		  6.80   	 101.73		
-36.93   	-85.14   	 -0.02   	   0.00		  7.20   	 101.73		
-36.01   	-79.35   	 -0.02   	   0.00		  7.61   	  96.64		
-36.32   	-75.38   	 -0.02   	   0.00		  8.00   	  86.47		
-37.54   	-75.07   	 -0.02   	   0.00		  8.34   	  66.12		
-39.06   	-76.90   	 -0.02   	   0.00		  8.61   	  50.86		
-40.28   	-78.13   	 -0.02   	   0.00		  8.81   	  30.52		
-40.59   	-76.60   	 -0.02   	   0.00		  8.93   	  10.17		
-40.59   	-72.33   	 -0.02   	   0.00		  8.97   	   5.09		
-40.59   	-67.75   	 -0.02   	   0.00		  8.99   	  -5.09		
-40.89   	-64.70   	 -0.02   	   0.00		  8.97   	   5.09		
-41.81   	-63.17   	 -0.02   	   0.00		  8.99   	  20.35		
-43.33   	-62.26   	 -0.02   	   0.00		  9.07   	  35.61		
-44.25   	-61.04   	 -0.02   	   0.00		  9.22   	  55.95		
-45.78   	-60.73   	 -0.02   	   0.00		  9.44   	  76.30		
-47.00   	-59.81   	 -0.02   	   0.00		  9.75   	  91.56		
-47.00   	-49.13   	 -0.02   	   0.00		 10.11   	 101.73		
-43.03   	-10.38   	 -0.02   	   0.00		 10.52   	 106.82		
-31.13   	 81.79   	 -0.02   	   0.00		 10.95   	  91.56		
 -7.93   	246.58   	 -0.02   	   0.00		 11.31   	  76.30		
 28.99   	487.37   	 -0.02   	   0.00		 11.62   	  45.78		
 79.65   	788.88   	 -0.02   	   0.00		 11.80   	  20.35		
140.99   	1117.55   	 -0.02   	   0.00		 11.88   	 -66.12		
251.16   	1599.73(R)	 -0.02   	   0.00		 11.62   	 -76.30		
265.20   	1573.49   	 -0.02   	   0.00		 11.31   	 -91.56		
236.51   	1297.30   	 -0.02   	   0.00		 10.95   	-106.82		
172.73   	827.03   	 -0.02   	   0.00		 10.52   	-101.73		
 95.52   	310.97   	 -0.02   	   0.00		 10.11   	 -91.56		
 29.60   	-78.74   	 -0.02   	   0.00		  9.75   	 -66.12		
-10.99   	-247.80   	 -0.02   	   0.00		  9.48   	 -30.52		
-28.38   	-226.44   	 -0.02   	   0.00		  9.36   	   0.00		
-33.26   	-124.21   	 -0.02   	   0.00		  9.36   	  35.61		
-35.40   	-42.11   	 -0.02   	   0.00		  9.50   	  66.12		
-38.15   	-19.23   	 -0.02   	   0.00		  9.77   	  91.56		
-39.98   	-36.01   	 -0.02   	   0.00		 10.13   	  96.64		
-39.67   	-56.46   	 -0.02   	   0.00		 10.52   	  96.64		
-38.45   	-61.04   	 -0.02   	   0.00		 10.91   	  86.47		
-38.15   	-52.49   	 -0.02   	   0.00		 11.25   	  66.12		
-39.06   	-41.20   	 -0.02   	   0.00		 11.52   	  45.78		
-39.98   	-33.26   	 -0.02   	   0.00		 11.70   	  15.26		
-39.67   	-30.52   	 -0.02   	   0.00		 11.76   	 -15.26		
-39.06   	-32.35   	 -0.02   	   0.00		 11.70   	 -30.52		
-38.15   	-36.01   	 -0.02   	   0.00		 11.58   	 -55.95		
-38.15   	-37.84   	 -0.02   	   0.00		 11.35   	 -61.04		
-37.84   	-35.10   	 -0.02   	   0.00		 11.11   	 -71.21		
-36.93   	-29.60   	 -0.02   	   0.00		 10.82   	 -66.12		
-35.71   	-23.80   	 -0.02   	   0.00		 10.56   	 -61.04		
-34.18   	-20.45   	 -0.02   	   0.00		 10.32   	 -50.86		
-33.26   	-19.53   	 -0.02   	   0.00		 10.11   	 -35.61		
-33.26   	-19.84   	 -0.02   	   0.00		  9.97   	 -20.35		
-33.87   	-18.92   	 -0.02   	   0.00		  9.89   	  -5.09		
-33.57   	-14.95   	 -0.02   	   0.00		  9.87   	  10.17		
-32.65   	 -8.85   	 -0.02   	   0.00		  9.91   	  30.52		
-31.13   	 -2.75   	 -0.02   	   0.00		 10.03   	  50.86		
-29.91   	  1.22   	 -0.02   	   0.00		 10.23   	  61.04		
-29.30   	  3.05   	 -0.02   	   0.00		 10.48   	  76.30		
-29.60   	  4.88   	 -0.02   	   0.00		 10.78   	  86.47		
-29.60   	  7.93   	 -0.02   	   0.00		 11.13   	  81.38		
-29.30   	 13.43   	 -0.02   	   0.00		 11.45   	  81.38		
-28.69   	 19.53   	 -0.02   	   0.00		 11.78   	  66.12		
-27.77   	 24.41   	 -0.02   	   0.00		 12.04   	  50.86		
-26.86   	 28.08   	 -0.02   	   0.00		 12.25   	  25.43		
-25.33   	 31.43   	 -0.02   	   0.00		 12.35   	  10.17		
-24.11   	 35.40   	 -0.02   	   0.00		 12.39(A)	 -15.26		
-22.28   	 40.28   	 -0.02   	   0.00		 12.33   	 -35.61		
-20.75   	 46.39   	 -0.02   	   0.00		 12.19   	 -45.78		
-18.62   	 54.02   	 -0.02   	   0.00		 12.00   	 -50.86		
-16.17   	 62.87   	 -0.02   	   0.00		 11.80   	 -55.95		
-13.73   	 72.33   	 -0.02   	   0.00		 11.58   	 -55.95		
-11.60   	 81.79   	 -0.02   	   0.00		 11.35   	 -55.95		
-10.07   	 90.64   	 -0.02   	   0.00		 11.13   	 -50.86		
 -9.16   	 97.66   	 -0.02   	   0.00		 10.93   	 -45.78		
 -7.93   	104.37   	 -0.02   	   0.00		 10.74   	 -40.69		
 -6.41   	112.92   	 -0.02   	   0.00		 10.58   	 -35.61		
 -4.27   	124.82   	 -0.02   	   0.00		 10.44   	 -35.61		
 -1.22   	140.08   	 -0.02   	   0.00		 10.29   	 -30.52		
  3.05   	157.47   	 -0.02   	   0.00		 10.17   	 -25.43		
  8.24   	174.87   	 -0.02   	   0.00		 10.07   	 -25.43		
 13.43   	190.73   	 -0.02   	   0.00		  9.97   	 -20.35		
 17.40   	205.99   	 -0.02   	   0.00		  9.89   	 -20.35		
 20.75   	222.17   	 -0.02   	   0.00		  9.81   	 -15.26		
 24.11   	240.48   	 -0.02   	   0.00		  9.75   	 -10.17		
 28.38   	261.54   	 -0.02   	   0.00		  9.70   	 -15.26		
 34.48   	283.20   	 -0.02   	   0.00		  9.64   	 -15.26		
 41.20   	303.96   	 -0.02   	   0.00		  9.58   	 -15.26		
 47.00   	321.66   	 -0.02   	   0.00		  9.52   	 -20.35		
 50.96   	336.00   	 -0.02   	   0.00		  9.44   	 -15.26		
 53.41   	347.60   	 -0.02   	   0.00		  9.38   	 -20.35		
 54.93   	357.06   	 -0.02   	   0.00		  9.30   	 -15.26		
 55.85   	364.07   	 -0.02   	   0.00		  9.24   	 -15.26		
 56.46   	368.04   	 -0.02   	   0.00		  9.18   	 -10.17		
 55.85   	368.35   	 -0.02   	   0.00		  9.14   	  -5.09		
 54.32   	365.91   	 -0.02   	   0.00		  9.11   	   0.00		
 51.57   	361.02   	 -0.02   	   0.00		  9.11   	   0.00		
 48.22   	354.31   	 -0.02   	   0.00		  9.11   	  10.17		
 43.95   	344.85   	 -0.02   	   0.00		  9.16   	   5.09		
 39.06   	332.64   	 -0.02   	   0.00		  9.18   	  10.17		
 34.79   	315.86   	 -0.02   	   0.00		  9.22   	   5.09		
 30.21   	293.58   	 -0.02   	   0.00		  9.24   	   5.09		
 25.63   	266.42   	 -0.02   	   0.00		  9.26   	   5.09		
 19.53   	234.99   	 -0.02   	   0.00		  9.28   	   0.00		
 12.21   	200.81   	 -0.02   	   0.00		  9.28   	   0.00		
  3.97   	166.93   	 -0.02   	   0.00		  9.28   	   0.00		
 -3.66   	134.58   	 -0.02   	   0.00		  9.28   	   0.00		
-10.07   	104.98   	 -0.02   	   0.00		  9.28   	   0.00		
-14.95   	 78.13   	 -0.02   	   0.00		  9.28   	   5.09		
-18.62   	 53.71   	 -0.02   	   0.00		  9.30   	  10.17		
-21.97   	 30.82   	 -0.02   	   0.00		  9.34   	  20.35		
-25.02   	  9.16   	 -0.02   	   0.00		  9.42   	  20.35		
-27.77   	-10.38   	 -0.02   	   0.00		  9.50   	  30.52		
-29.91   	-27.47   	 -0.02   	   0.00		  9.62   	  40.69		
-31.43   	-41.50   	 -0.02   	   0.00		  9.79   	  40.69		
-32.65   	-53.41   	 -0.02   	   0.00		  9.95   	  45.78		
-33.87   	-64.09   	 -0.02   	   0.00		 10.13   	  40.69		
-35.40   	-75.07   	 -0.02   	   0.00		 10.29   	  45.78		
-36.62   	-86.06   	 -0.02   	   0.00		 10.48   	  30.52		
-37.84   	-95.83   	 -0.02   	   0.00		 10.60   	  25.43		
-38.15   	-102.84   	 -0.02   	   0.00		 10.70   	  15.26		
-38.45   	-106.51   	 -0.02   	   0.00		 10.76   	   5.09		
-37.84   	-108.03   	 -0.02   	   0.00		 10.78   	  -5.09		
-37.23   	-108.95   	 -0.02   	   0.00		 10.76   	 -10.17		
-36.62   	-109.86   	 -0.02   	   0.00		 10.72   	 -10.17		
-35.71   	-110.17   	 -0.02   	   0.00		 10.68   	 -10.17		
-35.10   	-108.95   	 -0.02   	   0.00		 10.64   	  -5.09		
-34.18   	-105.90   	 -0.02   	   0.00		 10.62   	   0.00		
-33.57   	-103.15   	 -0.02   	   0.00		 10.62   	  10.17		
-33.57   	-101.93   	 -0.02   	   0.00		 10.66   	   5.09		
-34.18   	-102.54   	 -0.02   	   0.00		 10.68   	   0.00		
-34.79   	-102.84   	 -0.02   	   0.00		 10.68   	  -5.09		
-34.79   	-100.71   	 -0.02   	   0.00		 10.66   	 -20.35		
-33.57   	-95.83   	 -0.02   	   0.00		 10.58   	 -45.78		
-31.43   	-89.42   	 -0.02   	   0.00		 10.40   	 -71.21		
-29.30   	-83.31   	 -0.02   	   0.00		 10.11   	-101.73		
-28.38   	-79.04   	 -0.02   	   0.00		  9.70   	-122.07		
-28.38   	-76.90   	 -0.02   	   0.00		  9.22   	-137.33		
-28.69   	-75.68   	 -0.02   	   0.00		  8.67   	-157.68		
-28.38   	-74.46   	 -0.02   	   0.00		  8.04   	-152.59		
-26.86   	-72.33   	 -0.02   	   0.00		  7.43   	-142.42		
-24.72   	-69.27   	 -0.02   	   0.00		  6.86   	-127.16		
-22.89   	-65.61   	 -0.02   	   0.00		  6.35   	 -91.56		
-21.67   	-62.26   	 -0.02   	   0.00		  5.98   	 -61.04		
-21.36   	-59.81   	 -0.02   	   0.00		  5.74   	 -15.26		
-21.36   	-58.29   	 -0.02   	   0.00		  5.68   	  15.26		
-21.36   	-57.98   	 -0.02   	   0.00		  5.74   	  50.86		
-21.36   	-58.90   	 -0.02   	   0.00		  5.94   	  71.21		
-21.36   	-60.12   	 -0.02   	   0.00		  6.23   	  86.47		
-21.97   	-60.42   	 -0.02   	   0.00		  6.57   	  91.56		
-21.97   	-59.20   	 -0.02   	   0.00		  6.94   	 101.73		
-21.36   	-56.76   	 -0.02   	   0.00		  7.34   	 106.82		
-20.14   	-54.63   	 -0.02   	   0.00		  7.77   	 111.90		
