  I     	  II     	  RV     	  RV'		  LV     	  LV'		
-17.09   	  1.83   	 36.13   	 -81.38		131.82   	-137.33		
-21.06   	 -3.05   	 35.81   	 -96.64		131.27   	-178.03		
-25.02   	-10.38   	 35.42   	-111.90		130.56   	-228.89		
-28.69   	-16.78   	 34.97   	-137.33		129.64   	-289.93		
-31.43   	-20.14   	 34.43   	-152.59		128.48   	-366.22		
-32.35   	-21.06   	 33.81   	-172.94		127.02   	-442.52		
-31.13   	-22.58   	 33.12   	-193.29		125.25   	-513.73		
-29.91   	-25.63   	 32.35   	-208.54		123.19   	-590.03		
-30.52   	-28.69   	 31.52   	-218.72		120.83   	-671.41		
-33.57   	-29.30   	 30.64   	-228.89		118.15   	-788.40		
-37.23   	-26.86   	 29.73   	-228.89		114.99   	-935.91		
-39.67   	-24.11   	 28.81   	-223.80		111.25   	-1103.76		
-39.98   	-24.41   	 27.91   	-213.63		106.84   	-1276.70		
-38.76   	-28.38   	 27.06   	-208.54		101.73   	-1408.95		
-37.23   	-32.96   	 26.23   	-208.54		 96.09   	-1490.33		
-36.01   	-34.48   	 25.39   	-208.54		 90.13   	-1515.76		
-34.79   	-31.74   	 24.56   	-213.63		 84.07   	-1485.24		
-33.26   	-25.63   	 23.70   	-218.72		 78.13   	-1408.95		
-32.35   	-20.45   	 22.83   	-208.54		 72.49   	-1317.39		
-32.65   	-18.62   	 21.99   	-203.46		 67.22   	-1236.01		
-33.87   	-20.45   	 21.18   	-183.11		 62.28   	-1159.71		
-35.71   	-22.58   	 20.45   	-162.77		 57.64   	-1098.67		
-37.54   	-24.11   	 19.80   	-152.59		 53.24   	-1057.98		
-39.37   	-24.41   	 19.19   	-147.51		 49.01   	-1007.12		
-41.20   	-24.11   	 18.60   	-137.33		 44.98   	-946.08		
-41.50   	-23.80   	 18.05   	-137.33		 41.20   	-874.87		
-39.37   	-23.80   	 17.50   	-137.33		 37.70   	-788.40		
-34.79   	-21.67   	 16.95   	-137.33		 34.55   	-701.93		
-30.21   	-17.70   	 16.40   	-127.16		 31.74   	-615.46		
-28.69   	-14.34   	 15.89   	-111.90		 29.28   	-544.25		
-31.74   	-13.73   	 15.44   	-106.82		 27.10   	-483.21		
-37.84   	-16.48   	 15.02   	 -86.47		 25.17   	-442.52		
-42.11   	-19.23   	 14.67   	 -81.38		 23.40   	-406.92		
-41.50   	-18.31   	 14.34   	 -71.21		 21.77   	-371.31		
-36.93   	-13.43   	 14.06   	 -66.12		 20.28   	-335.71		
-31.74   	 -8.24   	 13.79   	 -66.12		 18.94   	-295.01		
-29.91   	 -7.02   	 13.53   	 -61.04		 17.76   	-244.15		
-32.35   	-10.68   	 13.29   	 -61.04		 16.79   	-198.37		
-36.62   	-15.56   	 13.04   	 -50.86		 15.99   	-157.68		
-38.45   	-17.40   	 12.84   	 -40.69		 15.36   	-122.07		
-36.62   	-16.17   	 12.68   	 -35.61		 14.87   	-101.73		
-33.26   	-14.95   	 12.53   	 -20.35		 14.47   	 -86.47		
-30.82   	-15.87   	 12.45   	 -15.26		 14.12   	 -81.38		
-31.74   	-19.23   	 12.39   	  -5.09		 13.79   	 -71.21		
-34.79   	-24.41   	 12.37   	  -5.09		 13.51   	 -71.21		
-38.15   	-30.21   	 12.35   	   0.00		 13.22   	 -55.95		
-39.37   	-36.93   	 12.35   	 -10.17		 13.00   	 -50.86		
-38.45   	-43.33   	 12.31   	 -10.17		 12.80   	 -35.61		
-35.71   	-46.08   	 12.27   	 -10.17		 12.66   	 -20.35		
-32.96   	-43.64   	 12.23   	 -10.17		 12.57   	 -20.35		
-30.82   	-37.54   	 12.19   	 -10.17		 12.49   	 -10.17		
-29.91   	-32.65   	 12.15(D)	   0.00		 12.45   	 -15.26		
-31.13   	-32.65   	 12.15   	   5.09		 12.39   	 -10.17		
-33.57   	-37.23   	 12.17   	  10.17		 12.35   	 -15.26		
-35.40   	-43.03   	 12.21   	  15.26		 12.29   	 -10.17		
-35.10   	-46.08   	 12.27   	  20.35		 12.25   	 -10.17		
-32.65   	-44.56   	 12.35   	  20.35		 12.21(D)	   0.00		
-30.52   	-41.50   	 12.43   	  25.43		 12.21   	   0.00		
-30.82   	-40.28   	 12.53   	  25.43		 12.21   	  10.17		
-32.96   	-43.03   	 12.63   	  30.52		 12.25   	  10.17		
-35.71   	-48.83   	 12.76   	  25.43		 12.29   	  10.17		
-36.62   	-54.02   	 12.86   	  25.43		 12.33   	  10.17		
-35.71   	-55.54   	 12.96   	  20.35		 12.37   	  15.26		
-34.79   	-51.88   	 13.04   	  20.35		 12.43   	  10.17		
-34.18   	-44.86   	 13.12   	  20.35		 12.47   	  15.26		
-33.26   	-38.15   	 13.20   	  10.17		 12.53   	  15.26		
-32.35   	-35.10   	 13.25   	  15.26		 12.59   	  15.26		
-31.43   	-36.62   	 13.31   	  15.26		 12.66   	  20.35		
-31.13   	-41.81   	 13.37   	  10.17		 12.74   	  25.43		
-31.43   	-47.30   	 13.41   	  15.26		 12.84   	  25.43		
-31.43   	-50.05   	 13.47   	  20.35		 12.94   	  30.52		
-31.13   	-48.52   	 13.55   	  20.35		 13.06   	  25.43		
-30.52   	-45.47   	 13.63   	  20.35		 13.16   	  25.43		
-31.13   	-43.03   	 13.71   	  20.35		 13.27   	  30.52		
-32.04   	-43.03   	 13.79   	  20.35		 13.39   	  25.43		
-31.74   	-43.95   	 13.88   	  20.35		 13.49   	  30.52		
-28.99   	-44.56   	 13.96   	  20.35		 13.61   	  30.52		
-25.63   	-43.95   	 14.04   	  15.26		 13.73   	  30.52		
-24.41   	-42.42   	 14.10   	  10.17		 13.86   	  35.61		
-27.16   	-41.50   	 14.14   	  10.17		 14.00   	  30.52		
-32.35   	-42.11   	 14.18   	   5.09		 14.12   	  30.52		
-36.32   	-43.64   	 14.20   	   5.09		 14.24   	  25.43		
-36.62   	-45.47   	 14.22   	   5.09		 14.34   	  30.52		
-32.65   	-47.00   	 14.24   	   5.09		 14.47   	  20.35		
-25.94   	-47.61   	 14.26   	   5.09		 14.55   	  25.43		
-20.14   	-47.00   	 14.28   	  10.17		 14.65   	  20.35		
-17.09   	-43.95   	 14.32   	  10.17		 14.73   	  20.35		
-17.09   	-37.23   	 14.36   	  10.17		 14.81   	  20.35		
-18.62   	-26.25   	 14.40   	  10.17		 14.89   	  15.26		
-18.62   	-10.99   	 14.45   	   5.09		 14.95   	  15.26		
-15.56   	  4.88   	 14.47   	  10.17		 15.02   	  10.17		
-10.07   	 16.78   	 14.51   	   5.09		 15.06   	  10.17		
 -5.19   	 21.36   	 14.53   	   5.09		 15.10   	   5.09		
 -2.14   	 18.31   	 14.55   	   5.09		 15.12   	   5.09		
  0.00   	 13.73   	 14.57   	   0.00		 15.14   	   0.00		
  2.44   	 12.51   	 14.57   	   5.09		 15.14   	   5.09		
  5.80   	 16.48   	 14.59   	   0.00		 15.16   	   0.00		
 10.99   	 24.41   	 14.59   	  -5.09		 15.16   	   0.00		
 16.17   	 33.57   	 14.57   	  -5.09		 15.16   	  -5.09		
 20.75   	 41.20   	 14.55   	  -5.09		 15.14   	   0.00		
 24.11   	 47.00   	 14.53   	  -5.09		 15.14   	  -5.09		
 25.94   	 48.83   	 14.51   	 -10.17		 15.12   	 -10.17		
 26.25   	 45.47   	 14.47   	 -10.17		 15.08   	 -10.17		
 26.55   	 36.93   	 14.43   	 -15.26		 15.04   	 -15.26		
 28.69   	 26.86   	 14.36   	 -15.26		 14.97   	 -15.26		
 32.96   	 18.62   	 14.30   	 -15.26		 14.91   	 -20.35		
 36.62   	 12.82   	 14.24   	 -20.35		 14.83   	 -15.26		
 36.62   	  6.10   	 14.16   	 -25.43		 14.77   	 -10.17		
 29.30   	 -4.27   	 14.06   	 -20.35		 14.73   	  -5.09		
 14.95   	-17.40   	 13.98   	 -20.35		 14.71   	   0.00		
 -3.97   	-29.30   	 13.90   	 -20.35		 14.71   	   5.09		
-22.58   	-36.62   	 13.81   	 -10.17		 14.73   	  15.26		
-37.23   	-39.67   	 13.77   	   5.09		 14.79   	  15.26		
-45.17   	-42.11   	 13.79   	  15.26		 14.85   	  20.35		
-46.39   	-46.69   	 13.86   	  30.52		 14.93   	  30.52		
-43.33   	-53.71   	 13.98   	  45.78		 15.06   	  35.61		
-39.67   	-61.04   	 14.16   	  50.86		 15.20   	  40.69		
-37.84   	-66.83   	 14.36   	  50.86		 15.36   	  40.69		
-39.37   	-71.41   	 14.57   	  50.86		 15.52   	  40.69		
-43.03   	-75.99   	 14.77   	  35.61		 15.69   	  35.61		
-45.17   	-79.65   	 14.91   	  30.52		 15.83   	  20.35		
-44.86   	-80.57   	 15.04   	  10.17		 15.91   	  15.26		
-41.81   	-75.99   	 15.08   	  -5.09		 15.97   	  -5.09		
-37.84   	-68.05   	 15.06   	 -30.52		 15.95   	 -10.17		
-34.18   	-59.81   	 14.93   	 -40.69		 15.91   	 -20.35		
-32.96   	-55.85   	 14.77   	 -61.04		 15.83   	 -20.35		
-33.57   	-58.29   	 14.53   	 -55.95		 15.75   	 -25.43		
-34.79   	-65.00   	 14.30   	 -55.95		 15.65   	 -25.43		
-36.01   	-72.63   	 14.08   	 -45.78		 15.54   	 -20.35		
-36.62   	-78.74   	 13.90   	 -25.43		 15.46   	 -30.52		
-36.62   	-80.26   	 13.79   	  -5.09		 15.34   	 -25.43		
-36.93   	-76.29   	 13.77(E)	  15.26		 15.24   	 -25.43		
-38.76   	-67.44   	 13.84   	  35.61		 15.14   	 -25.43		
-41.50   	-57.68   	 13.98   	  55.95		 15.04   	 -20.35		
-43.33   	-49.74   	 14.20   	  71.21		 14.95   	  -5.09		
-39.67   	-44.56   	 14.49   	  81.38		 14.93   	   0.00		
-22.89   	-38.76   	 14.81   	  91.56		 14.93(E)	  15.26		
 14.65   	-25.94   	 15.18   	  91.56		 14.99   	  25.43		
 76.90   	  3.05   	 15.54   	  81.38		 15.10   	  30.52		
161.13   	 54.63   	 15.87   	  66.12		 15.22   	  30.52		
257.87   	133.67   	 16.13   	  45.78		 15.34   	  35.61		
351.56   	233.15   	 16.32   	  20.35		 15.48   	  35.61		
422.06   	324.40   	 16.40   	 -10.17		 15.63   	  40.69		
446.47   	368.04(R)	 16.36   	 -30.52		 15.79   	  45.78		
406.19   	336.61   	 16.24   	 -45.78		 15.97   	  50.86		
298.46   	232.85   	 16.05   	 -61.04		 16.17   	  76.30		
146.79   	 94.60   	 15.81   	 -61.04		 16.48   	  96.64		
 -4.27   	-26.86   	 15.56   	 -55.95		 16.87   	 132.25		
-111.39   	-98.27   	 15.34   	 -40.69		 17.40   	 178.03		
-153.20   	-117.80   	 15.18   	 -15.26		 18.11   	 228.89		
-140.08   	-103.15   	 15.12   	  10.17		 19.02   	 289.93		
-102.84   	-75.38   	 15.16   	  45.78		 20.18   	 350.97		
-70.19   	-49.44   	 15.34   	  86.47		 21.59   	 437.43		
-54.63   	-33.57   	 15.69   	 127.16		 23.34   	 523.90		
-51.57   	-31.13   	 16.20   	 178.03		 25.43   	 625.63		
-51.27   	-38.76   	 16.91   	 203.46		 27.93   	 727.36		
-47.91   	-48.83   	 17.72   	 228.89		 30.84   	 824.00		
-43.03   	-51.88   	 18.64   	 233.98		 34.14   	 920.65		
-40.59   	-45.78   	 19.57   	 218.72		 37.82   	1002.03		
-42.11   	-35.40   	 20.45   	 203.46		 41.83   	1073.24		
-45.17   	-27.47   	 21.26   	 172.94		 46.12   	1129.19		
-46.08   	-25.33   	 21.95   	 162.77		 50.64   	1164.80		
-43.64   	-28.38   	 22.60   	 162.77		 55.30   	1180.06		
-39.37   	-33.26   	 23.26   	 172.94		 60.02   	1174.97		
-36.62   	-38.45   	 23.95   	 198.37		 64.72   	1154.62		
-37.23   	-41.50   	 24.74   	 223.80		 69.34   	1124.11		
-39.67   	-39.37   	 25.64   	 249.24		 73.83   	1068.15		
-40.89   	-30.82   	 26.63   	 249.24		 78.11   	 996.94		
-39.67   	-19.23   	 27.63   	 249.24		 82.10   	 905.39		
-36.32   	-10.07   	 28.63   	 228.89		 85.72   	 803.66		
-32.65   	 -7.93   	 29.54   	 203.46		 88.93   	 701.93		
-29.60   	-13.12   	 30.36   	 167.85		 91.74   	 605.29		
-28.69   	-20.14   	 31.03   	 137.33		 94.16   	 539.16		
-28.08   	-22.89   	 31.58   	 111.90		 96.32   	 493.39		
-27.47   	-20.14   	 32.02   	  86.47		 98.29   	 473.04		
-25.94   	-13.73   	 32.37   	  61.04		100.18   	 462.87		
-24.41   	 -7.32   	 32.61   	  30.52		102.03   	 442.52		
-22.89   	 -3.97   	 32.74   	   5.09		103.80   	 427.26		
-21.97   	 -3.66   	 32.76   	 -15.26		105.51   	 396.74		
-21.36   	 -3.97   	 32.70   	 -40.69		107.10   	 366.22		
-20.14   	 -3.36   	 32.53   	 -55.95		108.57   	 330.62		
-17.40   	  0.00   	 32.31   	 -71.21		109.89   	 305.19		
-12.82   	  7.32   	 32.02   	 -71.21		111.11   	 274.67		
 -7.93   	 18.01   	 31.74   	 -76.30		112.21   	 259.41		
 -5.19   	 29.91   	 31.43   	 -71.21		113.24   	 244.15		
 -4.27   	 39.37   	 31.15   	 -66.12		114.22   	 228.89		
 -3.97   	 42.72   	 30.88   	 -61.04		115.14   	 218.72		
 -2.14   	 39.98   	 30.64   	 -50.86		116.01   	 203.46		
  2.44   	 34.79   	 30.44   	 -40.69		116.83   	 188.20		
  9.16   	 32.04   	 30.27   	 -25.43		117.58   	 172.94		
 15.87   	 35.10   	 30.17   	   0.00		118.27   	 162.77		
 21.36   	 42.11   	 30.17   	  20.35		118.92   	 157.68		
 25.94   	 50.05   	 30.25   	  45.78		119.55   	 152.59		
 30.21   	 57.07   	 30.44   	  71.21		120.16   	 157.68		
 34.48   	 64.39   	 30.72   	  86.47		120.79   	 167.85		
 38.76   	 74.16   	 31.07   	 101.73		121.46   	 193.29		
 43.64   	 86.36   	 31.47   	  96.64		122.24   	 213.63		
 49.44   	 97.66   	 31.86   	  91.56		123.09   	 208.54		
 56.76   	103.76   	 32.23   	  71.21		123.93   	 167.85		
 65.00   	105.29   	 32.51   	  50.86		124.60   	  96.64		
 73.24   	105.29   	 32.72   	  30.52		124.98   	  30.52		
 79.65   	108.64   	 32.84   	  25.43		125.11   	 -20.35		
 83.92   	116.58   	 32.94   	  30.52		125.02   	 -15.26		
 85.45   	124.51   	 33.06   	  30.52		124.96   	  20.35		
 86.36   	128.48   	 33.18   	  40.69		125.05   	  86.47		
 87.28   	127.26   	 33.35   	  45.78		125.39   	 137.33		
 88.81   	126.04   	 33.53   	  55.95		125.94   	 167.85		
 91.25   	129.70   	 33.75   	  55.95		126.61   	 157.68		
 93.38   	139.16   	 33.98   	  55.95		127.24   	 122.07		
 93.99   	148.93   	 34.20   	  45.78		127.73   	  81.38		
 92.47   	151.37   	 34.38   	  45.78		128.06   	  55.95		
 88.50   	142.21   	 34.57   	  40.69		128.28   	  40.69		
 82.40   	125.73   	 34.73   	  35.61		128.44   	  50.86		
 75.07   	108.03   	 34.87   	  30.52		128.65   	  71.21		
 68.05   	 95.52   	 34.99   	  20.35		128.93   	  81.38		
 62.56   	 89.42   	 35.08   	   5.09		129.26   	  71.21		
 57.68   	 87.28   	 35.10(S)	  -5.09		129.54   	  55.95		
 52.80   	 84.53   	 35.08   	 -20.35		129.77   	  20.35		
 45.78   	 75.99   	 34.99   	 -30.52		129.85(S)	 -15.26		
 36.93   	 59.51   	 34.87   	 -45.78		129.79   	 -30.52		
 26.55   	 37.84   	 34.69   	 -45.78		129.66   	 -35.61		
 17.09   	 16.17   	 34.51   	 -50.86		129.52   	 -30.52		
  8.85   	  0.61   	 34.30   	 -50.86		129.40   	 -25.43		
  1.83   	 -7.02   	 34.10   	 -61.04		129.30   	 -25.43		
 -4.58   	-10.68   	 33.86   	 -71.21		129.20   	 -35.61		
-10.07   	-14.65   	 33.57   	 -81.38		129.05   	 -76.30		
-14.34   	-22.89   	 33.25   	 -91.56		128.75   	-122.07		
-17.70   	-33.87   	 32.88   	-101.73		128.26   	-178.03		
-20.75   	-45.78   	 32.47   	-106.82		127.55   	-244.15		
-24.41   	-55.24   	 32.04   	-116.99		126.57   	-310.27		
-28.38   	-60.12   	 31.58   	-122.07		125.33   	-376.40		
-31.43   	-59.20   	 31.09   	-127.16		123.82   	-447.61		
-33.87   	-53.71   	 30.58   	-137.33		122.03   	-528.99		
-36.62   	-47.00   	 30.03   	-157.68		119.92   	-615.46		
-39.37   	-44.25   	 29.40   	-167.85		117.46   	-707.02		
-42.72   	-48.22   	 28.73   	-188.20		114.63   	-818.92		
-44.25   	-57.37   	 27.98   	-198.37		111.35   	-946.08		
-43.33   	-67.14   	 27.18   	-198.37		107.57   	-1093.59		
-40.89   	-73.24   	 26.39   	-203.46		103.19   	-1241.09		
-38.76   	-74.77   	 25.57   	-198.37		 98.23   	-1363.17		
-38.45   	-72.33   	 24.78   	-198.37		 92.78   	-1459.81		
-39.37   	-69.27   	 23.99   	-208.54		 86.94   	-1500.50		
-40.89   	-65.92   	 23.15   	-213.63		 80.94   	-1500.50		
-40.89   	-62.26   	 22.30   	-223.80		 74.93   	-1444.55		
-39.98   	-58.90   	 21.40   	-228.89		 69.16   	-1368.26		
-39.67   	-57.07   	 20.49   	-228.89		 63.68   	-1266.53		
-40.28   	-57.98   	 19.57   	-213.63		 58.62   	-1180.06		
-42.72   	-61.34   	 18.72   	-208.54		 53.90   	-1093.59		
-44.25   	-64.70   	 17.88   	-188.20		 49.52   	-1022.38		
-43.33   	-66.22   	 17.13   	-183.11		 45.43   	-971.51		
-39.67   	-65.31   	 16.40   	-172.94		 41.55   	-910.47		
-35.71   	-62.87   	 15.71   	-162.77		 37.90   	-854.52		
-34.18   	-60.12   	 15.06   	-157.68		 34.49   	-788.40		
-35.71   	-57.07   	 14.43   	-147.51		 31.33   	-707.02		
-38.76   	-54.32   	 13.84   	-137.33		 28.50   	-630.72		
-40.89   	-52.80   	 13.29   	-122.07		 25.98   	-549.34		
