  I     	  II     	  PW     	  PW'		  CH2     	  CH2'		
-94.30   	-65.31   	 23.70   	  15.26		  0.85   	   0.00		
-86.98   	-51.57   	 23.76   	  25.43		  0.85   	   0.00		
-79.65   	-37.54   	 23.87   	  25.43		  0.85   	  -5.09		
-72.63   	-22.89   	 23.97   	  30.52		  0.83   	   0.00		
-65.92   	 -7.93   	 24.09   	  30.52		  0.83   	   0.00		
-59.81   	  6.71   	 24.21   	  35.61		  0.83   	   5.09		
-53.71   	 19.84   	 24.35   	  35.61		  0.85   	   0.00		
-47.91   	 30.82   	 24.50   	  40.69		  0.85   	   5.09		
-41.81   	 39.98   	 24.66   	  35.61		  0.87   	   0.00		
-34.79   	 47.91   	 24.80   	  40.69		  0.87   	   5.09		
-27.77   	 54.63   	 24.96   	  40.69		  0.90   	   5.09		
-21.67   	 59.20   	 25.13   	  40.69		  0.92   	   5.09		
-17.70   	 62.26   	 25.29   	  45.78		  0.94   	   5.09		
-14.95   	 64.09   	 25.47   	  50.86		  0.96   	  10.17		
-12.21   	 64.70   	 25.68   	  55.95		  1.00   	   5.09		
 -9.16   	 65.61   	 25.90   	  55.95		  1.02   	   5.09		
 -6.10   	 65.92   	 26.12   	  66.12		  1.04   	   5.09		
 -4.27   	 65.31   	 26.39   	  66.12		  1.06   	   5.09		
 -4.27   	 63.48   	 26.65   	  76.30		  1.08   	   5.09		
 -5.49   	 61.34   	 26.96   	  71.21		  1.10   	   5.09		
 -6.71   	 59.81   	 27.24   	  76.30		  1.12   	   0.00		
 -7.02   	 59.51   	 27.55   	  71.21		  1.12   	   5.09		
 -6.10   	 59.51   	 27.83   	  66.12		  1.14   	   0.00		
 -4.27   	 59.51   	 28.10   	  61.04		  1.14   	   5.09		
 -3.05   	 58.59   	 28.34   	  40.69		  1.16   	   0.00		
 -3.05   	 57.98   	 28.50   	  25.43		  1.16   	   0.00		
 -4.88   	 57.07   	 28.61   	   0.00		  1.16   	   0.00		
 -7.63   	 56.76   	 28.61   	 -35.61		  1.16   	   0.00		
 -9.16   	 56.76   	 28.46   	 -61.04		  1.16   	   0.00		
 -8.24   	 57.37   	 28.22   	 -86.47		  1.16   	   0.00		
 -5.19   	 58.29   	 27.87   	 -86.47		  1.16   	   0.00		
 -1.83   	 59.20   	 27.53   	 -55.95		  1.16   	   0.00		
  0.00   	 59.51   	 27.30   	   0.00		  1.16   	   0.00		
  0.00   	 59.20   	 27.30   	  86.47		  1.16   	   0.00		
 -1.53   	 58.90   	 27.65   	 178.03		  1.16   	   0.00		
 -3.36   	 58.90   	 28.36   	 279.75		  1.16   	   0.00		
 -4.27   	 59.51   	 29.48   	 350.97		  1.16   	   0.00		
 -3.66   	 59.81   	 30.88   	 406.92		  1.16   	   0.00		
 -1.83   	 58.90   	 32.51   	 417.09		  1.16   	   0.00		
 -0.61   	 56.76   	 34.18   	 396.74		  1.16   	   0.00		
 -1.22   	 54.63   	 35.77   	 335.71		  1.16   	   0.00		
 -3.97   	 52.49   	 37.11   	 249.24		  1.16   	  -5.09		
 -6.71   	 50.66   	 38.11   	 147.51		  1.14   	   0.00		
 -7.63   	 48.52   	 38.70   	  45.78		  1.14   	   0.00		
 -6.41   	 45.78   	 38.88   	 -40.69		  1.14   	  -5.09		
 -3.66   	 43.64   	 38.72   	-116.99		  1.12   	   0.00		
 -2.14   	 43.03   	 38.25   	-157.68		  1.12   	  -5.09		
 -2.75   	 43.33   	 37.62   	-172.94		  1.10   	   0.00		
 -4.88   	 43.33   	 36.93   	-167.85		  1.10   	   0.00		
 -7.02   	 41.20   	 36.26   	-132.25		  1.10   	  -5.09		
 -7.93   	 36.93   	 35.73   	 -91.56		  1.08   	   0.00		
 -6.71   	 32.96   	 35.36   	 -40.69		  1.08   	   0.00		
 -5.19   	 32.04   	 35.20   	   5.09		  1.08   	  -5.09		
 -4.27   	 35.40   	 35.22   	  35.61		  1.06   	   0.00		
 -4.88   	 43.33   	 35.36   	  50.86		  1.06   	  -5.09		
 -5.19   	 53.10   	 35.56   	  55.95		  1.04   	   0.00		
 -2.44   	 64.09   	 35.79   	  35.61		  1.04   	   0.00		
  3.97   	 76.60   	 35.93   	  15.26		  1.04   	  -5.09		
 13.12   	 92.16   	 35.99   	 -20.35		  1.02   	   0.00		
 21.97   	112.61   	 35.91   	 -61.04		  1.02   	   0.00		
 29.60   	136.72   	 35.67   	 -91.56		  1.02   	   0.00		
 36.01   	159.30   	 35.30   	-122.07		  1.02   	   0.00		
 42.11   	175.78   	 34.81   	-137.33		  1.02   	   0.00		
 47.91   	183.72   	 34.26   	-147.51		  1.02   	   0.00		
 52.80   	184.94   	 33.67   	-142.42		  1.02   	   0.00		
 55.54   	183.72   	 33.10   	-132.25		  1.02   	   0.00		
 55.85   	180.66   	 32.57   	-122.07		  1.02   	   5.09		
 53.71   	173.03   	 32.09   	-101.73		  1.04   	   0.00		
 47.91   	155.33   	 31.68   	 -81.38		  1.04   	   0.00		
 37.23   	124.82   	 31.35   	 -71.21		  1.04   	   5.09		
 21.97   	 86.06   	 31.07   	 -66.12		  1.06   	   0.00		
  5.19   	 49.74   	 30.80   	 -61.04		  1.06   	   5.09		
 -8.85   	 26.86   	 30.56   	 -66.12		  1.08   	   0.00		
-17.40   	 20.75   	 30.29   	 -76.30		  1.08   	   0.00		
-20.14   	 23.80   	 29.99   	 -81.38		  1.08   	   0.00		
-19.84   	 22.89   	 29.66   	 -96.64		  1.08   	   0.00		
-18.92   	  7.32   	 29.28   	-111.90		  1.08   	   0.00		
-19.53   	-21.97   	 28.83   	-116.99		  1.08   	   0.00		
-20.75   	-54.63   	 28.36   	-122.07		  1.08   	   0.00		
-20.75   	-76.90   	 27.87   	-127.16		  1.08   	   0.00		
-18.62   	-82.40   	 27.37   	-116.99		  1.08   	   0.00		
-13.43   	-74.16   	 26.90   	-116.99		  1.08   	   0.00		
 -7.32   	-61.95   	 26.43   	-106.82		  1.08   	   0.00		
 -3.66   	-52.80   	 26.00   	 -96.64		  1.08   	   0.00		
 -3.97   	-48.83   	 25.62   	 -86.47		  1.08   	   0.00		
 -6.41   	-47.30   	 25.27   	 -76.30		  1.08   	   0.00		
 -7.63   	-44.86   	 24.96   	 -71.21		  1.08   	   5.09		
 -4.88   	-40.28   	 24.68   	 -66.12		  1.10   	   0.00		
  0.92   	-35.71   	 24.41   	 -66.12		  1.10   	   5.09		
  7.02   	-33.87   	 24.15   	 -66.12		  1.12   	   5.09		
 10.99   	-35.71   	 23.89   	 -71.21		  1.14   	   5.09		
 12.21   	-39.67   	 23.60   	 -76.30		  1.16   	   0.00		
 11.29   	-43.64   	 23.30   	 -76.30		  1.16   	   5.09		
  8.54   	-46.08   	 22.99   	 -76.30		  1.18   	   0.00		
  3.66   	-47.30   	 22.69   	 -76.30		  1.18   	   5.09		
 -3.05   	-49.13   	 22.38   	 -66.12		  1.20   	   0.00		
-10.68   	-52.80   	 22.12   	 -66.12		  1.20   	   0.00		
-17.40   	-56.76   	 21.85   	 -50.86		  1.20   	   0.00		
-22.89   	-57.98   	 21.65   	 -45.78		  1.20   	   0.00		
-26.86   	-54.02   	 21.46   	 -35.61		  1.20   	   0.00		
-30.21   	-43.33   	 21.32   	 -30.52		  1.20   	  -5.09		
-32.35   	-28.38   	 21.20   	 -25.43		  1.18   	  -5.09		
-33.26   	-12.82   	 21.10   	 -30.52		  1.16   	   0.00		
-31.74   	  0.00   	 20.98   	 -30.52		  1.16   	  -5.09		
-29.30   	  9.16   	 20.85   	 -40.69		  1.14   	  -5.09		
-28.08   	 15.87   	 20.69   	 -50.86		  1.12   	  -5.09		
-28.99   	 21.67   	 20.49   	 -61.04		  1.10   	  -5.09		
-31.13   	 27.77   	 20.24   	 -71.21		  1.08   	  -5.09		
-31.74   	 33.57   	 19.96   	 -76.30		  1.06   	  -5.09		
-30.52   	 38.45   	 19.65   	 -81.38		  1.04   	  -5.09		
-28.08   	 43.33   	 19.33   	 -86.47		  1.02   	  -5.09		
-26.25   	 52.19   	 18.98   	 -81.38		  1.00   	   0.00		
-25.02   	 73.85   	 18.66   	 -81.38		  1.00   	  -5.09		
-21.36   	117.19   	 18.33   	 -71.21		  0.98   	   0.00		
-12.82   	191.96   	 18.05   	 -66.12		  0.98   	   5.09		
  3.66   	304.57   	 17.78   	 -55.95		  1.00   	   5.09		
 28.38   	453.80   	 17.56   	 -50.86		  1.02   	   5.09		
 60.42   	633.54   	 17.35   	 -40.69		  1.04   	   5.09		
100.10   	829.77   	 17.19   	 -30.52		  1.06   	  10.17		
149.23   	1016.24   	 17.07   	 -20.35		  1.10   	  10.17		
209.66   	1150.51   	 16.99   	 -20.35		  1.14   	  10.17		
271.00   	1177.67(R)	 16.91   	 -10.17		  1.18   	  20.35		
306.09   	1048.89   	 16.87   	 -10.17		  1.26   	  20.35		
288.09   	761.41   	 16.83   	   5.09		  1.34   	  25.43		
213.01   	377.50   	 16.85   	  15.26		  1.44   	  35.61		
112.30   	  4.27   	 16.91   	  25.43		  1.59   	  40.69		
 38.15   	-253.30   	 17.01   	  35.61		  1.75   	  55.95		
 27.47   	-350.34   	 17.15   	  61.04		  1.97   	  55.95		
 70.50   	-321.66   	 17.40   	  71.21		  2.20   	  71.21		
119.32   	-243.23   	 17.68   	  86.47		  2.48   	  71.21		
126.34   	-178.83   	 18.03   	 101.73		  2.77   	  81.38		
 79.35   	-148.32   	 18.43   	 111.90		  3.09   	  76.30		
  4.27   	-135.19   	 18.88   	 116.99		  3.40   	  81.38		
-59.51   	-117.19   	 19.35   	 116.99		  3.72   	  71.21		
-87.28   	-90.64   	 19.82   	 122.07		  4.01   	  66.12		
-82.09   	-69.89   	 20.31   	 111.90		  4.27   	  55.95		
-63.78   	-68.36   	 20.75   	 101.73		  4.50   	  45.78		
-50.96   	-84.53   	 21.16   	  91.56		  4.68   	  25.43		
-49.44   	-106.20   	 21.53   	  66.12		  4.78   	   5.09		
-54.63   	-121.15   	 21.79   	  45.78		  4.80   	 -15.26		
-59.81   	-126.65   	 21.97   	  30.52		  4.74   	 -35.61		
-61.65   	-128.48   	 22.10   	  15.26		  4.60   	 -55.95		
-61.34   	-133.36   	 22.16(A)	   0.00		  4.37   	 -81.38		
-61.65   	-142.21   	 22.16   	 -10.17		  4.05   	 -96.64		
-63.17   	-150.76   	 22.12   	 -30.52		  3.66   	-116.99		
-63.78   	-154.11   	 21.99   	 -40.69		  3.19   	-132.25		
-62.26   	-152.28   	 21.83   	 -61.04		  2.67   	-137.33		
-58.90   	-148.93   	 21.59   	 -81.38		  2.12   	-147.51		
-55.85   	-148.01   	 21.26   	-106.82		  1.53   	-147.51		
-56.15   	-150.15   	 20.83   	-127.16		  0.94   	-147.51		
-58.59   	-152.89   	 20.33   	-132.25		  0.35   	-142.42		
-61.65   	-153.50   	 19.80   	-142.42		 -0.22   	-137.33		
-62.56   	-151.06   	 19.23   	-137.33		 -0.77   	-122.07		
-61.65   	-147.71   	 18.68   	-127.16		 -1.26   	-106.82		
-59.51   	-145.57   	 18.17   	-106.82		 -1.69   	 -91.56		
-57.98   	-145.26   	 17.74   	 -76.30		 -2.05   	 -76.30		
-57.07   	-146.18   	 17.44   	 -50.86		 -2.36   	 -55.95		
-56.76   	-147.09   	 17.23   	 -30.52		 -2.58   	 -35.61		
-56.46   	-147.71   	 17.11   	   0.00		 -2.73   	 -10.17		
-56.46   	-148.62   	 17.11   	  10.17		 -2.77   	   5.09		
-57.98   	-149.54   	 17.15   	  25.43		 -2.75   	  30.52		
-60.12   	-150.15   	 17.25   	  25.43		 -2.62   	  45.78		
-62.87   	-149.54   	 17.35   	  30.52		 -2.44   	  66.12		
-64.39   	-148.62   	 17.48   	  30.52		 -2.18   	  81.38		
-64.70   	-149.84   	 17.60   	  20.35		 -1.85   	  96.64		
-64.09   	-152.89   	 17.68   	  25.43		 -1.46   	 101.73		
-63.48   	-156.86   	 17.78   	  25.43		 -1.06   	 106.82		
-63.48   	-159.61   	 17.88   	  25.43		 -0.63   	 106.82		
-63.78   	-161.13   	 17.99   	  35.61		 -0.20   	 101.73		
-64.70   	-162.35   	 18.13   	  45.78		  0.20   	  96.64		
-65.61   	-164.18   	 18.31   	  55.95		  0.59   	  91.56		
-66.22   	-166.02   	 18.54   	  66.12		  0.96   	  76.30		
-66.22   	-166.63   	 18.80   	  71.21		  1.26   	  61.04		
-65.92   	-166.02   	 19.08   	  66.12		  1.51   	  55.95		
-65.92   	-165.71   	 19.35   	  61.04		  1.73   	  40.69		
-68.05   	-168.15   	 19.59   	  50.86		  1.89   	  25.43		
-71.72   	-173.95   	 19.80   	  25.43		  1.99   	  20.35		
-76.29   	-181.27   	 19.90   	   5.09		  2.08   	  10.17		
-80.26   	-187.99   	 19.92   	 -15.26		  2.12   	   0.00		
-83.31   	-192.87   	 19.86   	 -45.78		  2.12   	  -5.09		
-86.36   	-195.92   	 19.67   	 -71.21		  2.10   	 -10.17		
-89.72   	-198.36   	 19.39   	 -86.47		  2.05   	 -15.26		
-93.38   	-200.50   	 19.04   	 -96.64		  1.99   	 -15.26		
-97.05   	-203.25   	 18.66   	-106.82		  1.93   	 -15.26		
-99.79   	-207.21   	 18.23   	-106.82		  1.87   	 -15.26		
-101.93   	-210.88   	 17.80   	-101.73		  1.81   	 -15.26		
-104.37   	-213.01   	 17.40   	 -91.56		  1.75   	 -15.26		
-106.51   	-212.40   	 17.03   	 -81.38		  1.69   	 -15.26		
-108.64   	-209.66   	 16.70   	 -66.12		  1.63   	 -10.17		
-109.56   	-205.69   	 16.44   	 -55.95		  1.59   	  -5.09		
-109.25   	-202.03   	 16.22   	 -35.61		  1.57   	  -5.09		
-107.73   	-197.45   	 16.07   	 -20.35		  1.55   	   0.00		
-105.90   	-190.12   	 15.99   	 -10.17		  1.55   	   5.09		
-103.45   	-178.53   	 15.95   	   5.09		  1.57   	   5.09		
-99.79   	-163.88   	 15.97   	  15.26		  1.59   	  10.17		
-94.60   	-148.32   	 16.03   	  30.52		  1.63   	   5.09		
-88.50   	-134.28   	 16.15   	  35.61		  1.65   	  10.17		
-81.79   	-121.15   	 16.30   	  40.69		  1.69   	   0.00		
-74.77   	-108.34   	 16.46   	  50.86		  1.69   	   5.09		
-66.53   	-94.60   	 16.66   	  61.04		  1.71   	  -5.09		
-57.68   	-81.18   	 16.91   	  55.95		  1.69   	  -5.09		
-48.52   	-68.97   	 17.13   	  61.04		  1.67   	 -10.17		
-40.89   	-58.29   	 17.38   	  61.04		  1.63   	 -20.35		
-36.01   	-49.44   	 17.62   	  55.95		  1.55   	 -20.35		
-32.96   	-40.89   	 17.84   	  55.95		  1.46   	 -30.52		
-29.91   	-33.26   	 18.07   	  45.78		  1.34   	 -30.52		
-24.72   	-28.08   	 18.25   	  40.69		  1.22   	 -30.52		
-17.70   	-27.47   	 18.41   	  30.52		  1.10   	 -35.61		
 -9.46   	-30.82   	 18.54   	  25.43		  0.96   	 -35.61		
 -2.75   	-35.10   	 18.64   	  15.26		  0.81   	 -35.61		
  1.22   	-38.45   	 18.70   	  15.26		  0.67   	 -35.61		
  1.22   	-39.67   	 18.76   	  10.17		  0.53   	 -30.52		
 -2.14   	-39.67   	 18.80   	   5.09		  0.41   	 -30.52		
 -6.71   	-40.28   	 18.82   	  10.17		  0.28   	 -25.43		
-10.07   	-41.20   	 18.86   	   5.09		  0.18   	 -20.35		
 -9.77   	-41.50   	 18.88   	  10.17		  0.10   	 -15.26		
 -5.80   	-40.28   	 18.92   	  10.17		  0.04   	 -10.17		
 -0.31   	-38.45   	 18.96   	  10.17		  0.00   	  -5.09		
  3.66   	-37.54   	 19.00   	  15.26		 -0.02   	   0.00		
  4.27   	-37.84   	 19.06   	   5.09		 -0.02   	  10.17		
  2.44   	-38.76   	 19.08   	  -5.09		  0.02   	  10.17		
  0.61   	-39.06   	 19.06   	 -15.26		  0.06   	  20.35		
  0.92   	-37.84   	 19.00   	 -30.52		  0.14   	  20.35		
  2.75   	-35.40   	 18.88   	 -50.86		  0.22   	  30.52		
  4.58   	-32.35   	 18.68   	 -45.78		  0.35   	  25.43		
  4.58   	-28.99   	 18.49   	 -40.69		  0.45   	  35.61		
  3.05   	-26.55   	 18.33   	  -5.09		  0.59   	  30.52		
  1.22   	-26.25   	 18.31   	  50.86		  0.71   	  35.61		
  0.92   	-28.08   	 18.51   	 111.90		  0.85   	  30.52		
  2.14   	-32.04   	 18.96   	 188.20		  0.98   	  35.61		
  4.58   	-37.84   	 19.72   	 254.32		  1.12   	  25.43		
  7.02   	-43.03   	 20.73   	 305.19		  1.22   	  30.52		
  8.85   	-45.78   	 21.95   	 335.71		  1.34   	  20.35		
 10.07   	-44.25   	 23.30   	 340.79		  1.42   	  20.35		
  9.46   	-39.37   	 24.66   	 310.27		  1.51   	  15.26		
  7.63   	-33.26   	 25.90   	 264.50		  1.57   	  10.17		
  5.49   	-29.91   	 26.96   	 193.29		  1.61   	   5.09		
  3.66   	-30.52   	 27.73   	 116.99		  1.63   	   0.00		
  3.05   	-33.26   	 28.20   	  35.61		  1.63   	  -5.09		
  3.97   	-36.62   	 28.34(V)	 -30.52		  1.61   	  -5.09		
  5.19   	-40.28   	 28.22   	 -86.47		  1.59   	 -10.17		
  5.80   	-43.95   	 27.87   	-116.99		  1.55   	 -15.26		
  4.88   	-47.30   	 27.41   	-132.25		  1.49   	 -15.26		
  3.36   	-49.13   	 26.88   	-127.16		  1.42   	 -20.35		
  1.53   	-48.22   	 26.37   	-106.82		  1.34   	 -20.35		
  0.31   	-45.47   	 25.94   	 -76.30		  1.26   	 -15.26		
 -0.31   	-42.72   	 25.64   	 -40.69		  1.20   	 -20.35		
 -0.31   	-39.67   	 25.47   	 -10.17		  1.12   	 -20.35		
 -0.31   	-36.01   	 25.43   	  10.17		  1.04   	 -20.35		
  0.00   	-29.30   	 25.47   	  25.43		  0.96   	 -15.26		
  2.14   	-18.62   	 25.57   	  25.43		  0.90   	 -15.26		
  8.24   	 -2.75   	 25.68   	  15.26		  0.83   	 -15.26		
 18.62   	 18.01   	 25.74   	  -5.09		  0.77   	 -10.17		
 30.82   	 43.64   	 25.72   	 -25.43		  0.73   	  -5.09		
 41.50   	 69.58   	 25.62   	 -45.78		  0.71   	 -10.17		
 48.22   	 88.81   	 25.43   	 -76.30		  0.67   	   0.00		
 51.88   	 97.05   	 25.13   	 -86.47		  0.67   	   0.00		
 53.41   	 97.05   	 24.78   	 -96.64		  0.67   	   0.00		
 54.32   	 96.44   	 24.39   	-106.82		  0.67   	   0.00		
 55.24   	101.62   	 23.97   	-101.73		  0.67   	   5.09		
 54.63   	109.25   	 23.56   	 -91.56		  0.69   	  10.17		
 51.57   	106.81   	 23.19   	 -81.38		  0.73   	   5.09		
 44.86   	 83.01   	 22.87   	 -71.21		  0.75   	  10.17		
 33.57   	 38.15   	 22.58   	 -61.04		  0.79   	   5.09		
 18.92   	-13.73   	 22.34   	 -55.95		  0.81   	  10.17		
  3.36   	-51.88   	 22.12   	 -50.86		  0.85   	  10.17		
 -9.77   	-65.61   	 21.91   	 -55.95		  0.90   	   5.09		
-16.78   	-59.20   	 21.69   	 -61.04		  0.92   	   5.09		
-18.01   	-50.35   	 21.44   	 -66.12		  0.94   	  10.17		
-15.56   	-54.93   	 21.18   	 -76.30		  0.98   	   5.09		
-13.43   	-77.21   	 20.87   	 -91.56		  1.00   	   5.09		
-13.73   	-109.25   	 20.51   	 -96.64		  1.02   	   0.00		
-16.17   	-138.24   	 20.12   	-106.82		  1.02   	   5.09		
-18.31   	-155.94   	 19.69   	-101.73		  1.04   	   0.00		
-18.62   	-161.74   	 19.29   	-106.82		  1.04   	   5.09		
-15.87   	-159.61   	 18.86   	 -96.64		  1.06   	   0.00		
-10.99   	-154.11   	 18.47   	 -86.47		  1.06   	   0.00		
 -6.10   	-148.93   	 18.13   	 -81.38		  1.06   	  -5.09		
 -2.14   	-145.57   	 17.80   	 -66.12		  1.04   	   0.00		
 -0.61   	-143.74   	 17.54   	 -61.04		  1.04   	   0.00		
 -0.31   	-140.99   	 17.29   	 -50.86		  1.04   	  -5.09		
  0.61   	-135.19   	 17.09   	 -45.78		  1.02   	   0.00		
  3.66   	-127.87   	 16.91   	 -45.78		  1.02   	  -5.09		
  8.54   	-123.29   	 16.72   	 -40.69		  1.00   	   0.00		
 13.12   	-124.21   	 16.56   	 -40.69		  1.00   	  -5.09		
 14.34   	-129.09   	 16.40   	 -45.78		  0.98   	  -5.09		
 11.90   	-133.06   	 16.22   	 -45.78		  0.96   	  -5.09		
  6.41   	-131.84   	 16.03   	 -45.78		  0.94   	   0.00		
  0.00   	-126.34   	 15.85   	 -50.86		  0.94   	  -5.09		
 -7.02   	-121.77   	 15.65   	 -45.78		  0.92   	  -5.09		
-14.95   	-122.07   	 15.46   	 -45.78		  0.90   	   0.00		
-22.89   	-126.04   	 15.28   	 -45.78		  0.90   	  -5.09		
-28.69   	-128.17   	 15.10   	 -40.69		  0.87   	   0.00		
-30.21   	-123.60   	 14.93   	 -45.78		  0.87   	   0.00		
-27.16   	-112.00   	 14.75   	 -40.69		  0.87   	   0.00		
-21.06   	-98.27   	 14.59   	 -40.69		  0.87   	   5.09		
-16.48   	-88.50   	 14.43   	 -35.61		  0.90   	   0.00		
-15.56   	-86.36   	 14.28   	 -35.61		  0.90   	   5.09		
-18.92   	-90.03   	 14.14   	 -35.61		  0.92   	   0.00		
-25.02   	-94.30   	 14.00   	 -30.52		  0.92   	   5.09		
-30.82   	-94.91   	 13.88   	 -30.52		  0.94   	   0.00		
-34.18   	-91.86   	 13.75   	 -25.43		  0.94   	   5.09		
-34.18   	-88.20   	 13.65   	 -20.35		  0.96   	   0.00		
-31.74   	-86.98   	 13.57   	 -20.35		  0.96   	   5.09		
-27.77   	-86.98   	 13.49   	 -15.26		  0.98   	   0.00		
-23.50   	-80.87   	 13.43   	 -10.17		  0.98   	   5.09		
-19.53   	-58.90   	 13.39   	  -5.09		  1.00   	   0.00		
-14.34   	-11.60   	 13.37   	   0.00		  1.00   	   0.00		
 -6.71   	 66.83   	 13.37   	   0.00		  1.00   	   0.00		
  4.58   	179.14   	 13.37   	   0.00		  1.00   	  -5.09		
 22.28   	324.40   	 13.37   	   5.09		  0.98   	   0.00		
 48.52   	500.18   	 13.39   	   5.09		  0.98   	  -5.09		
 84.53   	698.24   	 13.41   	   5.09		  0.96   	   0.00		
132.75   	897.83   	 13.43   	   0.00		  0.96   	  -5.09		
192.87   	1058.35   	 13.43   	   5.09		  0.94   	   0.00		
252.38   	1122.13(R)	 13.45   	   5.09		  0.94   	  -5.09		
283.51   	1035.46   	 13.47   	  10.17		  0.92   	   0.00		
257.87   	783.69   	 13.51   	  10.17		  0.92   	   0.00		
170.29   	419.92   	 13.55   	  20.35		  0.92   	  -5.09		
 53.71   	 51.27   	 13.63   	  25.43		  0.90   	   0.00		
-34.48   	-209.96   	 13.73   	  30.52		  0.90   	   0.00		
-50.96   	-308.53   	 13.86   	  40.69		  0.90   	   5.09		
 -1.22   	-278.63   	 14.02   	  50.86		  0.92   	   0.00		
 64.70   	-207.21   	 14.22   	  50.86		  0.92   	   5.09		
 92.77   	-168.76   	 14.43   	  61.04		  0.94   	   0.00		
 64.70   	-181.58   	 14.67   	  61.04		  0.94   	   5.09		
  3.66   	-213.01   	 14.91   	  71.21		  0.96   	   0.00		
-51.88   	-221.25   	 15.20   	  71.21		  0.96   	   5.09		
-76.29   	-195.01   	 15.48   	  76.30		  0.98   	   0.00		
-70.19   	-155.33   	 15.79   	  81.38		  0.98   	   0.00		
-53.10   	-130.31   	 16.11   	  76.30		  0.98   	   5.09		
-41.50   	-129.70   	 16.42   	  71.21		  1.00   	   0.00		
-41.20   	-143.43   	 16.70   	  61.04		  1.00   	   0.00		
-47.30   	-154.42   	 16.95   	  50.86		  1.00   	   0.00		
-54.02   	-153.81   	 17.15   	  40.69		  1.00   	   0.00		
-56.76   	-143.13   	 17.31   	  25.43		  1.00   	   0.00		
-55.54   	-130.62   	 17.42   	  10.17		  1.00   	   0.00		
-52.80   	-123.60   	 17.46   	  -5.09		  1.00   	  -5.09		
-50.96   	-124.21   	 17.44   	 -25.43		  0.98   	   0.00		
-50.35   	-130.00   	 17.33   	 -35.61		  0.98   	   0.00		
-49.74   	-135.80   	 17.19   	 -50.86		  0.98   	  -5.09		
-49.44   	-137.33   	 16.99   	 -50.86		  0.96   	   0.00		
-49.74   	-133.97   	 16.79   	 -45.78		  0.96   	  -5.09		
-50.35   	-128.48   	 16.60   	 -30.52		  0.94   	   0.00		
-50.35   	-124.82   	 16.48   	 -10.17		  0.94   	   0.00		
-50.05   	-124.51   	 16.44   	  15.26		  0.94   	  -5.09		
-50.05   	-125.73   	 16.50   	  45.78		  0.92   	   0.00		
-51.57   	-125.43   	 16.68   	  61.04		  0.92   	   0.00		
