  I     	  II     	  LV     	  LV'		  RA     	  RA'		
-18.31   	-95.21   	 20.41   	 -30.52		 10.25   	  10.17		
-17.70   	-95.83   	 20.28   	 -30.52		 10.29   	   5.09		
-18.01   	-97.05   	 20.16   	 -20.35		 10.32   	   5.09		
-18.31   	-97.96   	 20.08   	 -25.43		 10.34   	   5.09		
-18.31   	-97.96   	 19.98   	 -20.35		 10.36   	   5.09		
-17.70   	-97.05   	 19.90   	 -15.26		 10.38   	  10.17		
-17.40   	-96.13   	 19.84   	 -10.17		 10.42   	   5.09		
-17.70   	-94.91   	 19.80   	 -10.17		 10.44   	  15.26		
-18.31   	-93.69   	 19.76   	  -5.09		 10.50   	  10.17		
-18.01   	-92.16   	 19.74   	   0.00		 10.54   	  10.17		
-16.78   	-90.94   	 19.74   	   0.00		 10.58   	  10.17		
-14.95   	-90.03   	 19.74   	   5.09		 10.62   	  10.17		
-13.43   	-89.72   	 19.76   	   0.00		 10.66   	   5.09		
-12.82   	-90.33   	 19.76   	   5.09		 10.68   	   5.09		
-14.65   	-92.16   	 19.78   	   0.00		 10.70(A)	   0.00		
-19.53   	-93.99   	 19.78   	   5.09		 10.70   	  -5.09		
-28.99   	-97.35   	 19.80   	   0.00		 10.68   	  -5.09		
-43.33   	-105.90   	 19.80   	   5.09		 10.66   	 -10.17		
-58.90   	-118.41   	 19.82   	   0.00		 10.62   	 -15.26		
-67.14   	-120.24   	 19.82   	   0.00		 10.56   	 -10.17		
-56.76   	-76.29   	 19.82   	   0.00		 10.52   	 -10.17		
-16.17   	 61.04   	 19.82   	   0.00		 10.48   	 -15.26		
 59.81   	325.62   	 19.82   	   0.00		 10.42   	 -10.17		
166.32   	702.82   	 19.82   	   0.00		 10.38   	 -10.17		
287.17   	1114.20   	 19.82(E)	  10.17		 10.34   	 -20.35		
476.99   	1567.38(R)	 19.86   	  15.26		 10.25   	 -10.17		
493.47   	1485.90   	 19.92   	  20.35		 10.21   	 -10.17		
437.93   	1247.25   	 20.00   	  30.52		 10.17   	  -5.09		
320.43   	948.79   	 20.12   	  50.86		 10.15   	 -10.17		
171.20   	671.08   	 20.33   	  66.12		 10.11   	 -10.17		
 32.04   	439.45   	 20.59   	  91.56		 10.07   	  -5.09		
-63.48   	244.75   	 20.96   	 132.25		 10.05   	  -5.09		
-105.29   	 79.65   	 21.49   	 167.85		 10.03   	  -5.09		
-107.12   	-48.83   	 22.16   	 228.89		 10.01   	   0.00		
-90.94   	-132.45   	 23.07   	 284.84		 10.01   	   5.09		
-72.63   	-170.90   	 24.21   	 350.97		 10.03   	   5.09		
-57.68   	-173.95   	 25.62   	 432.35		 10.05   	   5.09		
-44.56   	-157.78   	 27.34   	 518.82		 10.07   	  10.17		
-33.57   	-137.94   	 29.42   	 610.37		 10.11   	  15.26		
-27.77   	-123.90   	 31.86   	 696.84		 10.17   	  10.17		
-28.69   	-121.46   	 34.65   	 788.40		 10.21   	  10.17		
-33.87   	-129.39   	 37.80   	 869.78		 10.25   	  10.17		
-37.84   	-139.16   	 41.28   	 946.08		 10.29   	  10.17		
-37.23   	-142.52   	 45.07   	1002.03		 10.34   	  10.17		
-32.96   	-137.33   	 49.07   	1047.81		 10.38   	  10.17		
-27.47   	-128.78   	 53.27   	1078.33		 10.42   	   5.09		
-22.89   	-122.68   	 57.58   	1098.67		 10.44   	   5.09		
-20.14   	-121.15   	 61.97   	1108.85		 10.46   	   5.09		
-20.14   	-120.54   	 66.41   	1124.11		 10.48   	   5.09		
-21.97   	-118.71   	 70.91   	1149.54		 10.50   	   5.09		
-24.11   	-114.75   	 75.50   	1169.88		 10.52   	   5.09		
-25.33   	-109.86   	 80.18   	1190.23		 10.54   	   5.09		
-24.72   	-105.59   	 84.94   	1200.40		 10.56   	   5.09		
-23.80   	-101.93   	 89.75   	1190.23		 10.58   	   0.00		
-23.50   	-99.18   	 94.51   	1195.32		 10.58   	  -5.09		
-23.19   	-95.83   	 99.29   	1195.32		 10.56   	  -5.09		
-22.28   	-90.94   	104.07   	1190.23		 10.54   	 -15.26		
-19.23   	-85.75   	108.83   	1185.14		 10.48   	 -15.26		
-15.56   	-81.79   	113.57   	1144.45		 10.42   	 -25.43		
-13.43   	-79.96   	118.15   	1103.76		 10.32   	 -25.43		
-14.04   	-80.26   	122.56   	1052.90		 10.21   	 -25.43		
-16.78   	-79.35   	126.77   	1002.03		 10.11   	 -30.52		
-18.92   	-75.99   	130.78   	 956.25		  9.99   	 -30.52		
-18.92   	-69.89   	134.61   	 915.56		  9.87   	 -30.52		
-17.09   	-62.26   	138.27   	 874.87		  9.75   	 -25.43		
-14.65   	-54.63   	141.77   	 829.09		  9.64   	 -15.26		
-12.82   	-47.61   	145.09   	 773.14		  9.58   	 -20.35		
-11.90   	-40.59   	148.18   	 722.28		  9.50   	 -10.17		
-11.29   	-33.87   	151.07   	 676.50		  9.46   	  -5.09		
-10.99   	-27.77   	153.77   	 640.89		  9.44   	  -5.09		
-10.07   	-21.97   	156.34   	 605.29		  9.42   	   0.00		
 -8.54   	-15.87   	158.76   	 569.68		  9.42   	  -5.09		
 -5.49   	 -7.63   	161.04   	 534.08		  9.40   	   0.00		
 -0.61   	  4.27   	163.17   	 503.56		  9.40   	  -5.09		
  5.19   	 18.31   	165.19   	 473.04		  9.38   	  -5.09		
 10.68   	 32.04   	167.08   	 442.52		  9.36   	   0.00		
 14.34   	 43.64   	168.85   	 427.26		  9.36   	  -5.09		
 15.87   	 52.49   	170.56   	 412.00		  9.34   	  -5.09		
 15.87   	 61.95   	172.21   	 401.83		  9.32   	  -5.09		
 16.48   	 73.85   	173.81   	 391.66		  9.30   	  -5.09		
 19.53   	 89.72   	175.38   	 386.57		  9.28   	   0.00		
 25.63   	107.42   	176.93   	 376.40		  9.28   	   0.00		
 33.87   	124.21   	178.43   	 366.22		  9.28   	   0.00		
 41.50   	137.63   	179.90   	 356.05		  9.28   	   5.09		
 47.61   	147.71   	181.32   	 350.97		  9.30   	   0.00		
 50.66   	155.94   	182.73   	 335.71		  9.30   	  10.17		
 52.19   	163.57   	184.07   	 320.45		  9.34   	   5.09		
 54.32   	170.29   	185.35   	 310.27		  9.36   	   5.09		
 57.37   	175.78   	186.59   	 305.19		  9.38   	  10.17		
 61.34   	178.83   	187.81   	 289.93		  9.42   	  10.17		
 64.70   	179.75   	188.97   	 274.67		  9.46   	  10.17		
 65.31   	178.53   	190.07   	 249.24		  9.50   	  10.17		
 64.39   	176.09   	191.07   	 228.89		  9.54   	  15.26		
 63.78   	173.34   	191.98   	 208.54		  9.60   	  10.17		
 64.39   	169.37   	192.82   	 183.11		  9.64   	  15.26		
 65.00   	163.27   	193.55   	 167.85		  9.70   	  10.17		
 62.56   	152.89   	194.22   	 147.51		  9.75   	  15.26		
 55.54   	137.33   	194.81   	 122.07		  9.81   	  15.26		
 44.86   	117.19   	195.30   	  96.64		  9.87   	  10.17		
 34.79   	 95.52   	195.69   	  81.38		  9.91   	  15.26		
 27.16   	 74.46   	196.01   	  55.95		  9.97   	  10.17		
 21.97   	 55.24   	196.24   	  40.69		 10.01   	  10.17		
 17.09   	 36.93   	196.40   	  20.35		 10.05   	  10.17		
 10.99   	 19.23   	196.48(S)	 -10.17		 10.09   	  10.17		
  3.97   	  3.66   	196.44   	 -30.52		 10.13   	   5.09		
 -3.05   	 -9.46   	196.32   	 -50.86		 10.15   	  10.17		
 -8.85   	-20.45   	196.11   	 -86.47		 10.19   	   5.09		
-13.12   	-31.13   	195.77   	-116.99		 10.21   	   5.09		
-15.87   	-42.72   	195.30   	-162.77		 10.23   	   5.09		
-17.09   	-54.32   	194.65   	-208.54		 10.25   	   5.09		
-17.40   	-64.39   	193.81   	-264.50		 10.27   	   5.09		
-17.09   	-70.50   	192.76   	-310.27		 10.29   	   5.09		
-16.17   	-73.24   	191.52   	-366.22		 10.32   	   5.09		
-15.87   	-74.16   	190.05   	-422.18		 10.34   	   5.09		
-16.17   	-75.07   	188.36   	-483.21		 10.36   	   5.09		
-17.70   	-76.60   	186.43   	-544.25		 10.38   	   5.09		
-20.45   	-79.04   	184.25   	-615.46		 10.40   	  10.17		
-23.19   	-81.48   	181.79   	-681.58		 10.44   	   5.09		
-25.02   	-83.01   	179.06   	-757.88		 10.46   	  10.17		
-25.63   	-84.23   	176.03   	-834.18		 10.50   	  10.17		
-25.63   	-84.84   	172.70   	-920.65		 10.54   	   5.09		
-25.94   	-85.75   	169.01   	-1007.12		 10.56   	  10.17		
-27.16   	-86.98   	164.98   	-1098.67		 10.60   	  10.17		
-28.38   	-88.50   	160.59   	-1180.06		 10.64   	  15.26		
-28.69   	-89.42   	155.87   	-1261.44		 10.70   	  15.26		
-28.38   	-89.11   	150.82   	-1332.65		 10.76   	  15.26		
-27.77   	-87.89   	145.49   	-1393.69		 10.82   	  15.26		
-28.38   	-86.98   	139.92   	-1439.47		 10.89   	  15.26		
-30.21   	-87.59   	134.16   	-1480.16		 10.95   	  15.26		
-32.65   	-89.11   	128.24   	-1510.68		 11.01   	  15.26		
-33.87   	-90.94   	122.20   	-1531.02		 11.07   	  15.26		
-33.87   	-91.86   	116.07   	-1531.02		 11.13   	   5.09		
-32.65   	-90.94   	109.95   	-1520.85		 11.15   	   5.09		
-30.52   	-88.20   	103.87   	-1500.50		 11.17   	   5.09		
-28.08   	-85.14   	 97.86   	-1464.90		 11.19(V)	  -5.09		
-26.25   	-82.09   	 92.00   	-1424.21		 11.17   	  -5.09		
-26.25   	-80.57   	 86.31   	-1388.60		 11.15   	 -10.17		
-27.77   	-80.57   	 80.75   	-1347.91		 11.11   	 -10.17		
-30.82   	-81.79   	 75.36   	-1297.04		 11.07   	 -10.17		
-33.57   	-83.01   	 70.17   	-1246.18		 11.03   	 -10.17		
-34.48   	-84.23   	 65.19   	-1190.23		 10.99   	 -10.17		
-33.57   	-84.23   	 60.43   	-1119.02		 10.95   	  -5.09		
-32.35   	-82.09   	 55.95   	-1047.81		 10.93   	 -10.17		
-31.74   	-76.60   	 51.76   	-976.60		 10.89   	 -10.17		
-32.04   	-66.83   	 47.85   	-905.39		 10.84   	 -10.17		
-32.96   	-52.49   	 44.23   	-829.09		 10.80   	 -15.26		
-33.57   	-34.79   	 40.92   	-762.97		 10.74   	 -10.17		
-32.96   	-14.95   	 37.86   	-691.76		 10.70   	 -10.17		
-31.13   	  5.19   	 35.10   	-630.72		 10.66   	 -10.17		
-28.08   	 23.80   	 32.57   	-564.60		 10.62   	 -10.17		
-23.50   	 38.76   	 30.32   	-508.65		 10.58   	 -10.17		
-18.62   	 47.91   	 28.28   	-447.61		 10.54   	  -5.09		
-14.34   	 50.35   	 26.49   	-401.83		 10.52   	  -5.09		
-11.90   	 48.52   	 24.88   	-356.05		 10.50   	  -5.09		
-10.99   	 46.08   	 23.46   	-315.36		 10.48   	  -5.09		
-11.29   	 46.39   	 22.20   	-279.75		 10.46   	   0.00		
-10.38   	 48.52   	 21.08   	-244.15		 10.46   	   0.00		
 -7.32   	 48.83   	 20.10   	-228.89		 10.46   	   0.00		
 -1.83   	 43.64   	 19.19   	-203.46		 10.46   	   5.09		
  3.97   	 34.79   	 18.37   	-183.11		 10.48   	   0.00		
  9.46   	 29.60   	 17.64   	-172.94		 10.48   	  10.17		
 14.65   	 34.48   	 16.95   	-152.59		 10.52   	  10.17		
 20.14   	 47.91   	 16.34   	-132.25		 10.56   	  10.17		
 25.02   	 61.04   	 15.81   	-122.07		 10.60   	  15.26		
 25.94   	 62.87   	 15.32   	-101.73		 10.66   	  20.35		
 21.36   	 48.83   	 14.91   	 -86.47		 10.74   	  25.43		
 10.38   	 22.89   	 14.57   	 -71.21		 10.84   	  25.43		
 -3.66   	 -8.24   	 14.28   	 -66.12		 10.95   	  35.61		
-15.87   	-40.59   	 14.02   	 -50.86		 11.09   	  35.61		
-23.80   	-73.24   	 13.81   	 -35.61		 11.23   	  35.61		
-27.16   	-104.37   	 13.67   	 -30.52		 11.37   	  40.69		
-28.08   	-130.31   	 13.55   	 -15.26		 11.54   	  35.61		
-28.69   	-146.79   	 13.49   	 -10.17		 11.68   	  35.61		
-29.60   	-152.89   	 13.45(D)	   5.09		 11.82   	  30.52		
-30.21   	-151.98   	 13.47   	   5.09		 11.94   	  20.35		
-30.21   	-150.45   	 13.49   	  20.35		 12.02   	  20.35		
-29.60   	-151.06   	 13.57   	  25.43		 12.11   	   5.09		
-28.69   	-152.28   	 13.67   	  30.52		 12.13   	  -5.09		
-26.86   	-151.37   	 13.79   	  40.69		 12.11   	 -20.35		
-24.72   	-147.40   	 13.96   	  35.61		 12.02   	 -25.43		
-22.58   	-142.82   	 14.10   	  40.69		 11.92   	 -35.61		
-22.28   	-141.60   	 14.26   	  40.69		 11.78   	 -40.69		
-24.72   	-145.57   	 14.43   	  40.69		 11.62   	 -45.78		
-28.38   	-151.98   	 14.59   	  35.61		 11.43   	 -40.69		
-30.21   	-156.86   	 14.73   	  35.61		 11.27   	 -25.43		
-28.38   	-157.47   	 14.87   	  20.35		 11.17   	 -20.35		
-25.02   	-154.72   	 14.95   	  15.26		 11.09   	   5.09		
-22.58   	-151.06   	 15.02   	  10.17		 11.11   	  15.26		
-23.19   	-148.62   	 15.06   	  10.17		 11.17   	  35.61		
-25.94   	-147.09   	 15.10   	  10.17		 11.31   	  40.69		
-28.99   	-145.87   	 15.14   	  15.26		 11.48   	  45.78		
-30.52   	-144.65   	 15.20   	  25.43		 11.66   	  40.69		
-30.21   	-143.43   	 15.30   	  40.69		 11.82   	  30.52		
-28.99   	-142.52   	 15.46   	  55.95		 11.94   	  15.26		
-27.47   	-141.30   	 15.69   	  66.12		 12.00(A)	  -5.09		
-25.63   	-139.47   	 15.95   	  86.47		 11.98   	 -25.43		
-24.72   	-137.33   	 16.30   	 101.73		 11.88   	 -45.78		
-25.33   	-136.11   	 16.70   	 101.73		 11.70   	 -61.04		
-26.55   	-135.19   	 17.11   	 106.82		 11.45   	 -71.21		
-27.16   	-133.67   	 17.54   	 101.73		 11.17   	 -71.21		
-25.94   	-130.92   	 17.94   	 101.73		 10.89   	 -71.21		
-22.89   	-127.26   	 18.35   	  86.47		 10.60   	 -66.12		
-19.84   	-123.60   	 18.70   	  76.30		 10.34   	 -55.95		
-18.62   	-121.15   	 19.00   	  61.04		 10.11   	 -40.69		
-19.84   	-119.93   	 19.25   	  45.78		  9.95   	 -30.52		
-22.28   	-119.63   	 19.43   	  30.52		  9.83   	 -15.26		
-23.80   	-119.02   	 19.55   	  20.35		  9.77   	  -5.09		
-23.50   	-117.80   	 19.63   	  10.17		  9.75   	  -5.09		
-21.97   	-116.27   	 19.67   	   0.00		  9.73   	   5.09		
-20.14   	-114.75   	 19.67   	  -5.09		  9.75   	   0.00		
-18.92   	-113.22   	 19.65   	  -5.09		  9.75   	   0.00		
-18.62   	-112.00   	 19.63   	 -15.26		  9.75   	  -5.09		
