  I     	  II     	  RV     	  RV'		  LV     	  LV'		
-36.93   	-48.22   	 11.37   	  55.95		 10.17   	  30.52		
-37.23   	-47.30   	 11.60   	  50.86		 10.29   	  30.52		
-35.71   	-44.86   	 11.80   	  45.78		 10.42   	  40.69		
-33.57   	-43.03   	 11.98   	  45.78		 10.58   	  35.61		
-32.35   	-42.72   	 12.17   	  40.69		 10.72   	  40.69		
-32.04   	-43.95   	 12.33   	  40.69		 10.89   	  40.69		
-32.04   	-44.56   	 12.49   	  40.69		 11.05   	  45.78		
-32.96   	-44.25   	 12.66   	  45.78		 11.23   	  45.78		
-33.87   	-43.95   	 12.84   	  40.69		 11.41   	  50.86		
-35.10   	-43.64   	 13.00   	  45.78		 11.62   	  50.86		
-35.71   	-43.03   	 13.18   	  40.69		 11.82   	  50.86		
-35.40   	-41.81   	 13.35   	  35.61		 12.02   	  50.86		
-34.48   	-40.59   	 13.49   	  35.61		 12.23   	  50.86		
-33.87   	-39.98   	 13.63   	  30.52		 12.43   	  45.78		
-33.87   	-39.98   	 13.75   	  25.43		 12.61   	  40.69		
-34.18   	-39.67   	 13.86   	  25.43		 12.78   	  40.69		
-34.18   	-38.15   	 13.96   	  30.52		 12.94   	  35.61		
-33.87   	-36.93   	 14.08   	  25.43		 13.08   	  35.61		
-33.26   	-37.84   	 14.18   	  20.35		 13.22   	  30.52		
-32.35   	-41.50   	 14.26   	  25.43		 13.35   	  35.61		
-31.13   	-45.47   	 14.36   	  25.43		 13.49   	  30.52		
-29.60   	-48.22   	 14.47   	  20.35		 13.61   	  30.52		
-28.38   	-47.61   	 14.55   	  20.35		 13.73   	  35.61		
-27.16   	-43.33   	 14.63   	  20.35		 13.88   	  30.52		
-25.33   	-36.01   	 14.71   	  20.35		 14.00   	  30.52		
-21.97   	-26.25   	 14.79   	  15.26		 14.12   	  30.52		
-17.70   	-14.95   	 14.85   	  10.17		 14.24   	  30.52		
-13.43   	 -3.36   	 14.89   	  10.17		 14.36   	  30.52		
-11.90   	  6.71   	 14.93   	  10.17		 14.49   	  25.43		
-12.82   	 12.82   	 14.97   	   5.09		 14.59   	  30.52		
-13.73   	 14.65   	 14.99   	   5.09		 14.71   	  25.43		
-12.21   	 13.12   	 15.02   	   0.00		 14.81   	  20.35		
 -7.02   	 10.07   	 15.02   	   5.09		 14.89   	  20.35		
  0.00   	  8.54   	 15.04   	   5.09		 14.97   	  20.35		
  5.80   	 11.90   	 15.06   	   5.09		 15.06   	  15.26		
  8.24   	 20.14   	 15.08   	   5.09		 15.12   	  10.17		
 10.07   	 31.43   	 15.10   	  10.17		 15.16   	   5.09		
 12.82   	 42.11   	 15.14   	   5.09		 15.18   	   0.00		
 18.31   	 47.00   	 15.16   	   0.00		 15.18   	   0.00		
 24.72   	 44.56   	 15.16   	  -5.09		 15.18   	  -5.09		
 29.91   	 35.40   	 15.14   	 -10.17		 15.16   	 -10.17		
 32.35   	 23.19   	 15.10   	 -20.35		 15.12   	 -10.17		
 31.43   	 10.99   	 15.02   	 -30.52		 15.08   	 -10.17		
 27.47   	  0.31   	 14.89   	 -30.52		 15.04   	 -10.17		
 19.23   	 -8.54   	 14.77   	 -35.61		 14.99   	   0.00		
  7.02   	-15.26   	 14.63   	 -30.52		 14.99   	   5.09		
 -7.32   	-19.23   	 14.51   	 -20.35		 15.02   	  10.17		
-21.36   	-21.06   	 14.43   	 -10.17		 15.06   	  20.35		
-32.65   	-22.89   	 14.38   	   5.09		 15.14   	  20.35		
-39.67   	-27.47   	 14.40   	  25.43		 15.22   	  20.35		
-43.33   	-36.32   	 14.51   	  45.78		 15.30   	  25.43		
-44.86   	-47.00   	 14.69   	  50.86		 15.40   	  15.26		
-44.56   	-56.15   	 14.89   	  66.12		 15.46   	  20.35		
-43.33   	-62.26   	 15.16   	  76.30		 15.54   	  20.35		
-42.11   	-63.78   	 15.46   	  76.30		 15.63   	  25.43		
-40.89   	-61.95   	 15.77   	  76.30		 15.73   	  30.52		
-39.98   	-58.90   	 16.07   	  76.30		 15.85   	  40.69		
-39.37   	-55.54   	 16.38   	  55.95		 16.01   	  35.61		
-40.28   	-53.10   	 16.60   	  40.69		 16.15   	  35.61		
-41.81   	-52.49   	 16.76   	  10.17		 16.30   	  20.35		
-43.03   	-54.02   	 16.81   	 -10.17		 16.38   	  10.17		
-42.72   	-57.07   	 16.76   	 -30.52		 16.42   	  -5.09		
-41.50   	-60.42   	 16.64   	 -40.69		 16.40   	 -15.26		
-39.98   	-62.56   	 16.48   	 -30.52		 16.34   	 -25.43		
-39.67   	-61.95   	 16.36   	 -20.35		 16.24   	 -20.35		
-40.28   	-57.98   	 16.28   	   5.09		 16.15   	 -15.26		
-40.59   	-52.19   	 16.30   	  25.43		 16.09   	 -10.17		
-39.67   	-47.30   	 16.40   	  55.95		 16.05   	   5.09		
-39.06   	-46.69   	 16.62   	  66.12		 16.07(E)	  10.17		
-39.37   	-50.96   	 16.89   	  86.47		 16.11   	  20.35		
-41.20   	-57.37   	 17.23   	  86.47		 16.20   	  25.43		
-39.98   	-60.12   	 17.58   	  86.47		 16.30   	  30.52		
-27.77   	-54.63   	 17.92   	  76.30		 16.42   	  30.52		
  4.27   	-38.15   	 18.23   	  66.12		 16.54   	  35.61		
 61.04   	 -7.93   	 18.49   	  45.78		 16.68   	  35.61		
138.55   	 41.50   	 18.68   	  25.43		 16.83   	  40.69		
228.58   	118.41   	 18.78   	  10.17		 16.99   	  45.78		
316.16   	222.47   	 18.82   	 -15.26		 17.17   	  45.78		
383.00   	330.51   	 18.76   	 -20.35		 17.35   	  50.86		
408.33   	400.09(R)	 18.68   	 -30.52		 17.56   	  55.95		
373.54   	393.68   	 18.56   	 -30.52		 17.78   	  66.12		
274.66   	302.73   	 18.43   	 -20.35		 18.05   	  86.47		
131.84   	159.61   	 18.35(E)	   5.09		 18.39   	 111.90		
-14.65   	 19.84   	 18.37   	  35.61		 18.84   	 147.51		
-122.07   	-72.94   	 18.51   	  81.38		 19.43   	 188.20		
-167.54   	-110.47   	 18.84   	 116.99		 20.18   	 244.15		
-158.39   	-108.03   	 19.31   	 137.33		 21.16   	 300.10		
-122.07   	-87.59   	 19.86   	 142.42		 22.36   	 366.22		
-86.36   	-64.39   	 20.43   	 127.16		 23.82   	 437.43		
-65.61   	-44.25   	 20.94   	 106.82		 25.57   	 523.90		
-57.37   	-29.91   	 21.36   	  91.56		 27.67   	 610.37		
-53.41   	-23.50   	 21.73   	  91.56		 30.11   	 701.93		
-48.83   	-24.41   	 22.10   	 101.73		 32.92   	 793.49		
-43.64   	-27.47   	 22.50   	 116.99		 36.09   	 885.04		
-41.50   	-28.69   	 22.97   	 142.42		 39.63   	 966.43		
-43.03   	-27.16   	 23.54   	 157.68		 43.50   	1042.72		
-46.08   	-24.11   	 24.17   	 188.20		 47.67   	1098.67		
-47.91   	-21.36   	 24.92   	 213.63		 52.06   	1144.45		
-46.69   	-19.23   	 25.78   	 239.06		 56.64   	1159.71		
-43.64   	-18.92   	 26.73   	 269.58		 61.28   	1164.80		
-41.20   	-20.45   	 27.81   	 289.93		 65.94   	1139.36		
-40.89   	-23.19   	 28.97   	 295.01		 70.50   	1103.76		
-41.20   	-25.63   	 30.15   	 300.10		 74.91   	1057.98		
-40.89   	-25.94   	 31.35   	 279.75		 79.15   	 986.77		
-39.67   	-24.72   	 32.47   	 259.41		 83.09   	 910.47		
-38.15   	-24.72   	 33.51   	 228.89		 86.73   	 824.00		
-36.62   	-25.94   	 34.43   	 193.29		 90.03   	 722.28		
-35.10   	-26.25   	 35.20   	 157.68		 92.92   	 635.81		
-32.65   	-23.19   	 35.83   	 127.16		 95.46   	 549.34		
-28.38   	-16.48   	 36.34   	 101.73		 97.66   	 488.30		
-24.41   	 -8.54   	 36.74   	  71.21		 99.61   	 452.69		
-22.89   	 -4.27   	 37.03   	  45.78		101.42   	 422.18		
-23.50   	 -4.58   	 37.21   	  20.35		103.11   	 412.00		
-24.41   	 -7.32   	 37.29   	   5.09		104.76   	 396.74		
-24.11   	 -9.16   	 37.31   	 -10.17		106.35   	 376.40		
-21.67   	 -9.16   	 37.27   	 -15.26		107.85   	 361.14		
-18.62   	 -7.32   	 37.21   	 -20.35		109.30   	 340.79		
-16.48   	 -5.80   	 37.13   	 -20.35		110.66   	 315.36		
-14.65   	 -3.66   	 37.05   	 -20.35		111.92   	 284.84		
-13.12   	  0.61   	 36.97   	 -20.35		113.06   	 264.50		
-10.38   	  7.63   	 36.89   	 -15.26		114.12   	 244.15		
