  I     	  II     	  LV     	  LV'		  PW     	  PW'		
-19.53   	-16.17   	 17.25   	 -20.35		  5.84   	  30.52		
-22.89   	-18.62   	 17.17   	   0.00		  5.96   	  20.35		
-27.47   	-18.31   	 17.17   	  10.17		  6.04   	  25.43		
-31.74   	-16.48   	 17.21   	   5.09		  6.14   	  25.43		
-32.04   	-14.04   	 17.23   	 -15.26		  6.25   	  30.52		
-27.47   	-13.43   	 17.17   	 -45.78		  6.37   	  30.52		
-20.14   	-14.65   	 16.99   	 -76.30		  6.49   	  25.43		
-14.04   	-17.09   	 16.68   	-116.99		  6.59   	  20.35		
-12.51   	-19.84   	 16.22   	-147.51		  6.67   	  10.17		
-14.95   	-21.97   	 15.63   	-188.20		  6.71   	   5.09		
-18.92   	-22.58   	 14.87   	-218.72		  6.73   	   0.00		
-21.67   	-21.97   	 14.00   	-244.15		  6.73   	   0.00		
-23.50   	-19.84   	 13.02   	-244.15		  6.73   	  10.17		
-25.02   	-18.01   	 12.04   	-233.98		  6.78   	  15.26		
-26.86   	-17.09   	 11.11   	-193.29		  6.84   	  25.43		
-28.08   	-17.70   	 10.34   	-127.16		  6.94   	  35.61		
-28.38   	-19.23   	  9.83   	 -50.86		  7.08   	  35.61		
-28.38   	-21.36   	  9.62(D)	  15.26		  7.22   	  40.69		
-29.91   	-22.89   	  9.68   	  71.21		  7.39   	  30.52		
-33.26   	-24.11   	  9.97   	 106.82		  7.51   	  25.43		
-35.71   	-24.11   	 10.40   	 106.82		  7.61   	  15.26		
-34.18   	-21.67   	 10.82   	  96.64		  7.67   	  15.26		
-28.08   	-15.26   	 11.21   	  66.12		  7.73   	  10.17		
-18.01   	 -3.97   	 11.48   	  35.61		  7.77   	  10.17		
 -7.63   	 11.29   	 11.62   	   0.00		  7.81   	  15.26		
 -0.31   	 27.16   	 11.62   	 -25.43		  7.87   	  10.17		
  1.83   	 39.67   	 11.52   	 -45.78		  7.91   	  15.26		
 -0.92   	 44.86   	 11.33   	 -55.95		  7.98   	  15.26		
 -6.41   	 42.42   	 11.11   	 -61.04		  8.04(V)	   0.00		
-12.21   	 36.01   	 10.86   	 -61.04		  8.04   	  -5.09		
-16.17   	 30.21   	 10.62   	 -55.95		  8.02   	 -20.35		
-18.01   	 30.21   	 10.40   	 -45.78		  7.93   	 -30.52		
-16.17   	 36.62   	 10.21   	 -25.43		  7.81   	 -50.86		
-10.38   	 47.30   	 10.11   	  -5.09		  7.61   	 -71.21		
  0.00   	 56.46   	 10.09   	  10.17		  7.32   	 -86.47		
 11.29   	 60.12   	 10.13   	  30.52		  6.98   	-111.90		
 18.92   	 57.07   	 10.25   	  30.52		  6.53   	-127.16		
 18.01   	 48.52   	 10.38   	  20.35		  6.02   	-137.33		
  8.54   	 38.15   	 10.46   	   5.09		  5.47   	-142.42		
 -4.27   	 26.55   	 10.48   	 -15.26		  4.90   	-137.33		
-14.04   	 13.43   	 10.42   	 -30.52		  4.35   	-116.99		
-17.09   	 -1.53   	 10.29   	 -35.61		  3.89   	-101.73		
-14.34   	-15.56   	 10.15   	 -45.78		  3.48   	 -66.12		
 -7.63   	-23.19   	  9.97   	 -35.61		  3.21   	 -40.69		
  2.14   	-20.14   	  9.83   	 -30.52		  3.05   	  -5.09		
 15.56   	 -7.02   	  9.70   	 -15.26		  3.03   	  20.35		
 30.21   	  9.77   	  9.64   	  -5.09		  3.11   	  40.69		
 40.89   	 21.67   	  9.62   	   0.00		  3.28   	  55.95		
 43.03   	 22.58   	  9.62   	  15.26		  3.50   	  71.21		
 34.79   	 11.90   	  9.68   	  20.35		  3.78   	  71.21		
 16.78   	 -7.02   	  9.77   	  25.43		  4.07   	  71.21		
 -5.80   	-27.16   	  9.87   	  25.43		  4.35   	  71.21		
-28.38   	-43.64   	  9.97   	  35.61		  4.64   	  66.12		
-46.08   	-54.02   	 10.11   	  30.52		  4.90   	  55.95		
-55.85   	-59.20   	 10.23   	  25.43		  5.13   	  55.95		
-56.46   	-61.95   	 10.34   	  20.35		  5.35   	  40.69		
-50.05   	-63.17   	 10.42   	  20.35		  5.51   	  40.69		
-43.03   	-63.17   	 10.50   	  20.35		  5.68   	  30.52		
-39.98   	-61.95   	 10.58   	  20.35		  5.80   	  25.43		
-42.42   	-60.12   	 10.66   	  25.43		  5.90   	  20.35		
-48.22   	-59.51   	 10.76   	  30.52		  5.98   	  15.26		
-52.49   	-61.34   	 10.89   	  35.61		  6.04   	  10.17		
-52.80   	-64.70   	 11.03   	  30.52		  6.08   	  -5.09		
-51.27   	-67.75   	 11.15   	  35.61		  6.06   	 -20.35		
-51.88   	-68.97   	 11.29   	  25.43		  5.98   	 -40.69		
-55.85   	-67.44   	 11.39   	  15.26		  5.82   	 -50.86		
-60.42   	-63.78   	 11.45   	   0.00		  5.62   	 -61.04		
-62.56   	-60.12   	 11.45   	  -5.09		  5.37   	 -61.04		
-59.81   	-57.98   	 11.43   	 -15.26		  5.13   	 -55.95		
-53.71   	-57.68   	 11.37   	 -25.43		  4.90   	 -40.69		
-48.22   	-57.68   	 11.27   	 -25.43		  4.74   	 -15.26		
-46.69   	-56.76   	 11.17   	 -25.43		  4.68   	   5.09		
-48.22   	-54.32   	 11.07   	 -25.43		  4.70   	  30.52		
-51.27   	-51.88   	 10.97   	 -20.35		  4.82   	  50.86		
-53.71   	-50.35   	 10.89   	  -5.09		  5.03   	  66.12		
-53.71   	-50.35   	 10.86   	   0.00		  5.29   	  76.30		
-52.80   	-50.35   	 10.86(E)	  15.26		  5.60   	  81.38		
-55.54   	-46.39   	 10.93   	  25.43		  5.92   	  76.30		
-65.31   	-35.10   	 11.03   	  35.61		  6.23   	  71.21		
-83.01   	-14.04   	 11.17   	  45.78		  6.51   	  61.04		
-103.76   	 15.56   	 11.35   	  45.78		  6.75   	  50.86		
-112.92   	 50.66   	 11.54   	  50.86		  6.96   	  40.69		
-88.20   	 86.98   	 11.74   	  45.78		  7.12   	  30.52		
-10.38   	120.85   	 11.92   	  40.69		  7.24   	  20.35		
120.54   	150.15   	 12.09   	  35.61		  7.32   	  15.26		
277.71   	162.66   	 12.23   	  35.61		  7.39   	  20.35		
413.21   	129.09   	 12.37   	  25.43		  7.47   	  15.26		
482.79   	 18.31   	 12.47   	  25.43		  7.53   	  20.35		
472.41   	-170.29   	 12.57   	  20.35		  7.61   	  20.35		
405.27   	-390.63   	 12.66   	  15.26		  7.69   	  10.17		
319.52   	-570.37   	 12.72   	  15.26		  7.73(A)	   0.00		
243.53   	-657.04   	 12.78   	  20.35		  7.73   	  -5.09		
182.80   	-664.98   	 12.86   	  20.35		  7.71   	 -20.35		
130.62   	-657.35   	 12.94   	  30.52		  7.63   	 -20.35		
 86.67   	-686.04   	 13.06   	  40.69		  7.55   	 -20.35		
 58.90   	-741.88   	 13.22   	  50.86		  7.47   	 -20.35		
 54.32   	-767.52(R)	 13.43   	  71.21		  7.39   	 -10.17		
 64.39   	-708.92   	 13.71   	  86.47		  7.34   	 -10.17		
 70.19   	-566.10   	 14.06   	 111.90		  7.30   	   0.00		
 57.98   	-388.79   	 14.51   	 132.25		  7.30   	   0.00		
 28.99   	-236.82   	 15.04   	 162.77		  7.30   	  -5.09		
 -2.14   	-140.69   	 15.69   	 188.20		  7.28   	   0.00		
-22.28   	-96.44   	 16.44   	 223.80		  7.28   	   0.00		
-28.99   	-81.79   	 17.33   	 259.41		  7.28   	   0.00		
-28.38   	-75.38   	 18.37   	 310.27		  7.28   	  -5.09		
-28.08   	-65.61   	 19.61   	 356.05		  7.26   	  -5.09		
-30.82   	-51.57   	 21.04   	 412.00		  7.24   	 -15.26		
-35.40   	-36.32   	 22.69   	 467.95		  7.18   	 -20.35		
-38.76   	-25.02   	 24.56   	 534.08		  7.10   	 -30.52		
-39.98   	-20.45   	 26.69   	 590.03		  6.98   	 -40.69		
-39.06   	-20.75   	 29.05   	 651.07		  6.82   	 -45.78		
-38.15   	-21.97   	 31.66   	 707.02		  6.63   	 -45.78		
-39.06   	-21.36   	 34.49   	 752.79		  6.45   	 -40.69		
-42.72   	-18.62   	 37.50   	 788.40		  6.29   	 -40.69		
-48.22   	-16.17   	 40.65   	 808.75		  6.12   	 -25.43		
-53.41   	-15.26   	 43.89   	 808.75		  6.02   	 -20.35		
-54.32   	-14.95   	 47.12   	 803.66		  5.94   	 -10.17		
-50.66   	-14.65   	 50.34   	 768.05		  5.90   	   0.00		
-43.33   	-13.43   	 53.41   	 732.45		  5.90   	  10.17		
-37.54   	-11.60   	 56.34   	 686.67		  5.94   	  25.43		
-35.71   	-10.07   	 59.08   	 635.81		  6.04   	  40.69		
-38.15   	 -9.46   	 61.63   	 590.03		  6.21   	  45.78		
-42.72   	 -9.46   	 63.99   	 539.16		  6.39   	  50.86		
-45.17   	 -9.46   	 66.14   	 493.39		  6.59   	  55.95		
-42.72   	 -8.85   	 68.12   	 467.95		  6.82   	  50.86		
-36.01   	 -7.02   	 69.99   	 442.52		  7.02   	  40.69		
-28.38   	 -5.19   	 71.76   	 422.18		  7.18   	  30.52		
-24.11   	 -2.75   	 73.45   	 417.09		  7.30   	  20.35		
-24.11   	 -0.61   	 75.12   	 417.09		  7.39   	   5.09		
-26.86   	  0.92   	 76.79   	 412.00		  7.41   	  -5.09		
-28.69   	  1.22   	 78.43   	 417.09		  7.39   	 -10.17		
-27.16   	  1.22   	 80.10   	 406.92		  7.34   	 -30.52		
-23.50   	  2.14   	 81.73   	 401.83		  7.22   	 -40.69		
-20.45   	  3.97   	 83.34   	 386.57		  7.06   	 -55.95		
-19.23   	  7.32   	 84.88   	 366.22		  6.84   	 -61.04		
-19.53   	 10.68   	 86.35   	 345.88		  6.59   	 -76.30		
-20.14   	 13.43   	 87.73   	 320.45		  6.29   	 -76.30		
-19.23   	 15.26   	 89.01   	 295.01		  5.98   	 -66.12		
-17.09   	 16.48   	 90.19   	 269.58		  5.72   	 -61.04		
-14.04   	 18.31   	 91.27   	 244.15		  5.47   	 -35.61		
-10.07   	 20.14   	 92.25   	 223.80		  5.33   	 -10.17		
 -6.71   	 21.97   	 93.14   	 208.54		  5.29   	  20.35		
 -5.49   	 23.50   	 93.98   	 193.29		  5.37   	  55.95		
 -6.41   	 24.72   	 94.75   	 183.11		  5.60   	  76.30		
 -8.54   	 25.94   	 95.48   	 178.03		  5.90   	  91.56		
 -9.16   	 28.08   	 96.19   	 162.77		  6.27   	  91.56		
 -6.10   	 32.04   	 96.85   	 152.59		  6.63   	  76.30		
  0.31   	 37.23   	 97.46   	 142.42		  6.94   	  50.86		
  7.63   	 42.11   	 98.03   	 132.25		  7.14   	  30.52		
 13.43   	 45.17   	 98.56   	 111.90		  7.26   	   5.09		
 16.17   	 47.30   	 99.00   	 101.73		  7.28   	 -10.17		
 15.87   	 50.66   	 99.41   	  86.47		  7.24   	 -25.43		
 14.04   	 55.85   	 99.76   	  76.30		  7.14   	 -25.43		
 13.43   	 63.48   	100.06   	  66.12		  7.04   	 -30.52		
 16.17   	 71.41   	100.33   	  55.95		  6.92   	 -25.43		
 22.89   	 77.21   	100.55   	  50.86		  6.82   	 -30.52		
 31.43   	 79.96   	100.75   	  40.69		  6.69   	 -40.69		
 39.37   	 81.18   	100.92   	  40.69		  6.53   	 -50.86		
 45.17   	 82.70   	101.08   	  35.61		  6.33   	 -66.12		
 48.83   	 86.67   	101.22   	  35.61		  6.06   	 -71.21		
 51.88   	 92.16   	101.36   	  35.61		  5.78   	 -66.12		
 55.54   	 98.27   	101.51   	  25.43		  5.51   	 -50.86		
 59.51   	103.15   	101.61   	  20.35		  5.31   	 -40.69		
 63.48   	106.20   	101.69   	  10.17		  5.15   	 -15.26		
 67.75   	107.73   	101.73(S)	  -5.09		  5.09   	   0.00		
 72.02   	107.42   	101.71   	 -20.35		  5.09   	  25.43		
 75.99   	105.90   	101.63   	 -35.61		  5.19   	  40.69		
 79.65   	103.15   	101.48   	 -45.78		  5.35   	  50.86		
 84.84   	101.32   	101.30   	 -55.95		  5.55   	  61.04		
 93.38   	101.93   	101.08   	 -55.95		  5.80   	  66.12		
104.98   	104.98   	100.85   	 -55.95		  6.06   	  55.95		
116.27   	108.03   	100.63   	 -55.95		  6.29   	  40.69		
123.60   	109.25   	100.41   	 -50.86		  6.45   	  35.61		
126.04   	107.73   	100.20   	 -50.86		  6.59   	  15.26		
126.95   	104.37   	100.00   	 -45.78		  6.65   	  10.17		
130.31   	101.32   	 99.82   	 -50.86		  6.69   	   0.00		
137.02   	 98.27   	 99.61   	 -50.86		  6.69   	   0.00		
144.65   	 93.99   	 99.41   	 -50.86		  6.69   	 -10.17		
148.32   	 87.28   	 99.21   	 -61.04		  6.65   	 -20.35		
146.48   	 78.74   	 98.96   	 -66.12		  6.57   	 -40.69		
139.47   	 69.89   	 98.70   	 -76.30		  6.41   	 -61.04		
129.39   	 61.65   	 98.39   	 -86.47		  6.16   	 -81.38		
118.71   	 54.32   	 98.05   	-101.73		  5.84   	 -91.56		
107.73   	 47.30   	 97.64   	-122.07		  5.47   	 -91.56		
 96.74   	 39.37   	 97.15   	-142.42		  5.11   	 -76.30		
 84.84   	 30.82   	 96.58   	-162.77		  4.80   	 -55.95		
 71.41   	 22.89   	 95.93   	-188.20		  4.58   	 -20.35		
 56.76   	 15.56   	 95.18   	-213.63		  4.50   	  15.26		
 41.81   	  8.24   	 94.32   	-239.06		  4.56   	  45.78		
 29.60   	  0.92   	 93.37   	-264.50		  4.74   	  66.12		
 20.75   	 -7.32   	 92.31   	-289.93		  5.01   	  76.30		
 14.34   	-15.56   	 91.15   	-315.36		  5.31   	  81.38		
  7.63   	-22.58   	 89.89   	-340.79		  5.64   	  71.21		
 -0.92   	-27.77   	 88.52   	-376.40		  5.92   	  66.12		
-11.29   	-30.52   	 87.02   	-406.92		  6.19   	  55.95		
-21.67   	-32.04   	 85.39   	-452.69		  6.41   	  45.78		
-29.60   	-33.26   	 83.58   	-508.65		  6.59   	  35.61		
-35.10   	-35.10   	 81.55   	-574.77		  6.73   	  20.35		
-37.54   	-36.93   	 79.25   	-645.98		  6.82   	   5.09		
-37.54   	-38.15   	 76.66   	-717.19		  6.84   	 -10.17		
-36.32   	-38.76   	 73.79   	-783.31		  6.80   	 -20.35		
-35.71   	-39.06   	 70.66   	-834.18		  6.71   	 -25.43		
-37.23   	-39.98   	 67.32   	-859.61		  6.61   	 -25.43		
-40.28   	-41.81   	 63.89   	-874.87		  6.51   	 -20.35		
-43.33   	-43.64   	 60.39   	-854.52		  6.43   	 -15.26		
-43.95   	-45.47   	 56.97   	-818.92		  6.37   	  -5.09		
-41.50   	-47.30   	 53.69   	-768.05		  6.35   	   0.00		
-39.06   	-49.44   	 50.62   	-707.02		  6.35   	   5.09		
-38.76   	-52.49   	 47.79   	-651.07		  6.37   	   5.09		
-41.20   	-54.93   	 45.19   	-584.94		  6.39   	   5.09		
-43.64   	-55.85   	 42.85   	-534.08		  6.41   	  -5.09		
-43.95   	-54.02   	 40.71   	-498.47		  6.39   	 -10.17		
-41.50   	-50.96   	 38.72   	-457.78		  6.35   	  -5.09		
-38.15   	-49.13   	 36.89   	-437.43		  6.33   	   0.00		
-37.84   	-49.13   	 35.14   	-422.18		  6.33   	  15.26		
-39.98   	-49.44   	 33.45   	-412.00		  6.39   	  25.43		
-42.11   	-48.52   	 31.80   	-401.83		  6.49   	  40.69		
