  I     	  II     	  CH1     	  CH1'		  PW     	  PW'		
213.32   	-13.12   	 -0.41   	   0.00		  9.50   	  71.21		
408.33   	206.91   	 -0.41   	   0.00		  9.79   	  66.12		
637.82   	464.78   	 -0.41   	   0.00		 10.05   	  50.86		
861.51   	711.06   	 -0.41   	   0.00		 10.25   	  35.61		
1025.70   	910.03   	 -0.41   	  -5.09		 10.40   	  30.52		
937.81   	1077.27(R)	 -0.43   	   0.00		 10.52   	  -5.09		
635.68   	1000.37   	 -0.43   	   0.00		 10.50   	   0.00		
234.07   	808.11   	 -0.43   	   0.00		 10.50   	  -5.09		
-142.82   	535.28   	 -0.43   	  -5.09		 10.48   	   5.09		
-372.62   	254.52   	 -0.45   	  -5.09		 10.50   	  10.17		
-406.49   	 40.28   	 -0.47   	   0.00		 10.54   	  20.35		
-295.72   	-76.90   	 -0.47   	   0.00		 10.62   	  25.43		
-151.98   	-122.99   	 -0.47   	   0.00		 10.72   	  30.52		
-66.83   	-144.96   	 -0.47   	   0.00		 10.84   	  35.61		
-63.48   	-171.51   	 -0.47   	  -5.09		 10.99   	  35.61		
-104.06   	-201.72   	 -0.49   	   5.09		 11.13   	  35.61		
-137.94   	-220.03   	 -0.47   	  -5.09		 11.27   	  35.61		
-140.69   	-218.81   	 -0.49   	   0.00		 11.41   	  35.61		
-120.85   	-206.30   	 -0.49   	   0.00		 11.56   	  25.43		
-100.71   	-196.23   	 -0.49   	   0.00		 11.66   	  30.52		
-92.16   	-194.09   	 -0.49   	   0.00		 11.78   	  15.26		
-93.69   	-195.62   	 -0.49   	   0.00		 11.84   	  15.26		
-97.05   	-195.01   	 -0.49   	   0.00		 11.90   	   5.09		
-97.35   	-190.43   	 -0.49   	  -5.09		 11.92   	 -10.17		
-93.69   	-183.11   	 -0.51   	   5.09		 11.88   	 -15.26		
-88.20   	-175.17   	 -0.49   	   0.00		 11.82   	 -25.43		
-83.62   	-168.15   	 -0.49   	   0.00		 11.72   	 -30.52		
-80.87   	-162.66   	 -0.49   	   0.00		 11.60   	 -30.52		
-79.35   	-158.39   	 -0.49   	   0.00		 11.48   	 -35.61		
-77.82   	-154.11   	 -0.49   	   5.09		 11.33   	 -20.35		
-75.68   	-149.84   	 -0.47   	   0.00		 11.25   	 -15.26		
-72.94   	-144.96   	 -0.47   	   0.00		 11.19   	   5.09		
-69.89   	-139.77   	 -0.47   	   0.00		 11.21   	  25.43		
-67.44   	-134.28   	 -0.47   	   0.00		 11.31   	  35.61		
-65.31   	-128.78   	 -0.47   	   0.00		 11.45   	  45.78		
-63.78   	-122.68   	 -0.47   	   0.00		 11.64   	  45.78		
-61.95   	-116.58   	 -0.47   	  -5.09		 11.82   	  45.78		
-60.12   	-110.17   	 -0.49   	   0.00		 12.00   	  30.52		
-57.68   	-103.76   	 -0.49   	   5.09		 12.13   	  15.26		
-55.54   	-97.05   	 -0.47   	   0.00		 12.19(A)	 -10.17		
-53.41   	-90.64   	 -0.47   	  -5.09		 12.15   	 -30.52		
-51.27   	-84.23   	 -0.49   	   0.00		 12.02   	 -50.86		
-48.83   	-77.51   	 -0.49   	  -5.09		 11.82   	 -71.21		
-45.47   	-69.89   	 -0.51   	   0.00		 11.54   	 -81.38		
-40.89   	-61.65   	 -0.51   	   0.00		 11.21   	 -86.47		
-35.71   	-53.41   	 -0.51   	   0.00		 10.86   	 -81.38		
-30.52   	-45.17   	 -0.51   	   0.00		 10.54   	 -81.38		
-25.94   	-37.23   	 -0.51   	   0.00		 10.21   	 -61.04		
-22.58   	-28.99   	 -0.51   	   0.00		  9.97   	 -50.86		
-19.53   	-20.45   	 -0.51   	   0.00		  9.77   	 -25.43		
-16.48   	-12.21   	 -0.51   	   0.00		  9.66   	 -10.17		
-11.90   	 -3.97   	 -0.51   	   5.09		  9.62   	   5.09		
 -4.58   	  4.88   	 -0.49   	   0.00		  9.64   	  15.26		
  4.27   	 14.34   	 -0.49   	   0.00		  9.70   	  30.52		
 13.73   	 25.02   	 -0.49   	   0.00		  9.83   	  25.43		
 22.28   	 36.32   	 -0.49   	   0.00		  9.93   	  15.26		
 29.91   	 47.91   	 -0.49   	   5.09		  9.99   	  10.17		
 37.54   	 60.12   	 -0.47   	   5.09		 10.03   	 -10.17		
 46.08   	 72.63   	 -0.45   	   0.00		  9.99   	 -25.43		
 55.85   	 86.36   	 -0.45   	   5.09		  9.89   	 -40.69		
 66.53   	101.01   	 -0.43   	   5.09		  9.73   	 -50.86		
 77.21   	115.97   	 -0.41   	   0.00		  9.52   	 -61.04		
 86.67   	130.00   	 -0.41   	   5.09		  9.28   	 -66.12		
 94.60   	141.91   	 -0.39   	   5.09		  9.01   	 -55.95		
101.32   	151.37   	 -0.37   	   5.09		  8.79   	 -45.78		
107.12   	157.47   	 -0.35   	   0.00		  8.61   	 -35.61		
111.69   	161.13   	 -0.35   	   5.09		  8.46   	 -25.43		
115.05   	162.96   	 -0.33   	   5.09		  8.36   	 -10.17		
116.88   	165.41   	 -0.31   	   5.09		  8.32   	   0.00		
117.19   	168.76   	 -0.28   	   0.00		  8.32   	   5.09		
115.97   	172.42   	 -0.28   	   0.00		  8.34   	  10.17		
113.83   	173.95   	 -0.28   	   0.00		  8.38   	   5.09		
110.17   	170.90   	 -0.28   	   0.00		  8.40   	   0.00		
104.06   	161.74   	 -0.28   	  -5.09		  8.40   	   0.00		
 95.21   	147.71   	 -0.31   	   0.00		  8.40   	  -5.09		
 83.92   	129.39   	 -0.31   	   0.00		  8.38   	  -5.09		
 70.80   	108.95   	 -0.31   	  -5.09		  8.36   	 -15.26		
 56.76   	 87.28   	 -0.33   	 -10.17		  8.30   	 -20.35		
 41.20   	 65.31   	 -0.37   	  -5.09		  8.22   	 -30.52		
 25.33   	 43.03   	 -0.39   	  -5.09		  8.10   	 -30.52		
  9.77   	 21.67   	 -0.41   	 -10.17		  7.98   	 -35.61		
 -3.97   	  2.14   	 -0.45   	  -5.09		  7.83   	 -40.69		
-15.56   	-14.95   	 -0.47   	 -10.17		  7.67   	 -35.61		
-23.80   	-28.99   	 -0.51   	 -10.17		  7.53   	 -35.61		
-29.91   	-40.59   	 -0.55   	  -5.09		  7.39   	 -25.43		
-34.48   	-50.05   	 -0.57   	  -5.09		  7.28   	 -25.43		
-38.76   	-58.59   	 -0.59   	  -5.09		  7.18   	 -15.26		
-43.03   	-65.92   	 -0.61   	 -10.17		  7.12   	 -10.17		
-47.91   	-72.33   	 -0.65   	  -5.09		  7.08   	  -5.09		
-52.49   	-76.90   	 -0.67   	  -5.09		  7.06   	   0.00		
-55.54   	-79.04   	 -0.69   	   0.00		  7.06   	   0.00		
-56.76   	-79.35   	 -0.69   	  -5.09		  7.06   	   0.00		
-56.46   	-78.74   	 -0.71   	   0.00		  7.06   	 -10.17		
-55.54   	-78.13   	 -0.71   	   0.00		  7.02   	 -10.17		
-55.54   	-78.13   	 -0.71   	   5.09		  6.98   	 -25.43		
-56.15   	-78.74   	 -0.69   	   5.09		  6.88   	 -30.52		
-56.76   	-79.04   	 -0.67   	   5.09		  6.75   	 -35.61		
-56.76   	-79.04   	 -0.65   	   0.00		  6.61   	 -45.78		
-56.46   	-78.43   	 -0.65   	  10.17		  6.43   	 -45.78		
-56.15   	-77.82   	 -0.61   	   5.09		  6.25   	 -45.78		
-56.76   	-76.90   	 -0.59   	  10.17		  6.06   	 -50.86		
-57.98   	-75.68   	 -0.55   	  10.17		  5.86   	 -55.95		
-59.51   	-73.85   	 -0.51   	   5.09		  5.64   	 -61.04		
-60.73   	-71.72   	 -0.49   	  10.17		  5.39   	 -71.21		
-61.95   	-69.89   	 -0.45   	   5.09		  5.11   	 -86.47		
-62.26   	-68.36   	 -0.43   	  10.17		  4.76   	 -86.47		
-62.26   	-67.14   	 -0.39   	   5.09		  4.42   	 -91.56		
-61.34   	-65.31   	 -0.37   	  10.17		  4.05   	 -76.30		
-60.12   	-63.17   	 -0.33   	   5.09		  3.74   	 -55.95		
-58.90   	-61.04   	 -0.31   	   5.09		  3.52   	 -25.43		
-57.37   	-60.42   	 -0.28   	   5.09		  3.42   	  20.35		
-56.15   	-60.73   	 -0.26   	   5.09		  3.50   	  50.86		
-54.63   	-61.04   	 -0.24   	   0.00		  3.70   	  91.56		
-52.80   	-60.12   	 -0.24   	   0.00		  4.07   	 111.90		
-50.96   	-57.98   	 -0.24   	   0.00		  4.52   	 127.16		
-49.13   	-55.85   	 -0.24   	   0.00		  5.03   	 122.07		
-47.61   	-55.85   	 -0.24   	   0.00		  5.51   	 106.82		
-46.39   	-58.29   	 -0.24   	  -5.09		  5.94   	  86.47		
-45.78   	-62.26   	 -0.26   	   0.00		  6.29   	  55.95		
-45.47   	-66.22   	 -0.26   	  -5.09		  6.51   	  30.52		
-45.47   	-68.36   	 -0.28   	  -5.09		  6.63   	   5.09		
-45.78   	-68.36   	 -0.31   	  -5.09		  6.65(V)	 -15.26		
-45.47   	-67.14   	 -0.33   	  -5.09		  6.59   	 -30.52		
-44.25   	-65.92   	 -0.35   	 -10.17		  6.47   	 -30.52		
-42.11   	-65.61   	 -0.39   	 -10.17		  6.35   	 -35.61		
-40.28   	-67.14   	 -0.43   	  -5.09		  6.21   	 -25.43		
-39.98   	-69.89   	 -0.45   	  -5.09		  6.10   	 -20.35		
-41.20   	-73.55   	 -0.47   	 -10.17		  6.02   	 -15.26		
-42.72   	-76.60   	 -0.51   	  -5.09		  5.96   	 -10.17		
-43.64   	-77.82   	 -0.53   	  -5.09		  5.92   	 -10.17		
-43.64   	-76.90   	 -0.55   	  -5.09		  5.88   	 -15.26		
-42.72   	-75.07   	 -0.57   	  -5.09		  5.82   	 -15.26		
-41.81   	-73.55   	 -0.59   	  -5.09		  5.76   	 -20.35		
-41.50   	-73.24   	 -0.61   	  -5.09		  5.68   	 -30.52		
-41.20   	-73.55   	 -0.63   	   0.00		  5.55   	 -30.52		
-40.89   	-73.85   	 -0.63   	  -5.09		  5.43   	 -35.61		
-40.28   	-72.94   	 -0.65   	  -5.09		  5.29   	 -35.61		
-39.98   	-71.72   	 -0.67   	   0.00		  5.15   	 -25.43		
-40.28   	-71.72   	 -0.67   	   5.09		  5.05   	 -25.43		
-41.50   	-73.24   	 -0.65   	   0.00		  4.94   	 -10.17		
-42.72   	-76.29   	 -0.65   	   5.09		  4.90   	  -5.09		
-44.25   	-79.35   	 -0.63   	   5.09		  4.88   	   5.09		
-44.86   	-80.26   	 -0.61   	   5.09		  4.90   	  10.17		
-44.56   	-78.43   	 -0.59   	   5.09		  4.94   	  15.26		
-42.72   	-75.07   	 -0.57   	   0.00		  5.01   	  15.26		
-39.98   	-72.02   	 -0.57   	   0.00		  5.07   	  10.17		
-37.23   	-71.11   	 -0.57   	   5.09		  5.11   	   5.09		
-35.40   	-72.94   	 -0.55   	   5.09		  5.13   	   0.00		
-35.40   	-75.99   	 -0.53   	   5.09		  5.13   	  -5.09		
-37.23   	-78.74   	 -0.51   	   0.00		  5.11   	 -10.17		
-39.98   	-79.35   	 -0.51   	   5.09		  5.07   	 -15.26		
-42.42   	-77.21   	 -0.49   	   0.00		  5.01   	 -20.35		
-43.33   	-73.24   	 -0.49   	   0.00		  4.92   	 -20.35		
-42.72   	-68.97   	 -0.49   	   5.09		  4.84   	 -15.26		
-40.89   	-67.14   	 -0.47   	   0.00		  4.78   	 -15.26		
-39.37   	-68.05   	 -0.47   	   0.00		  4.72   	 -10.17		
-38.15   	-71.41   	 -0.47   	   5.09		  4.68   	  -5.09		
-37.84   	-75.07   	 -0.45   	   5.09		  4.66   	  -5.09		
-37.84   	-76.29   	 -0.43   	   0.00		  4.64   	   0.00		
-38.15   	-75.07   	 -0.43   	   0.00		  4.64   	   5.09		
-38.15   	-72.63   	 -0.43   	   5.09		  4.66   	   0.00		
-37.84   	-70.80   	 -0.41   	   0.00		  4.66   	   0.00		
-37.84   	-69.89   	 -0.41   	   5.09		  4.66   	   0.00		
-37.84   	-69.58   	 -0.39   	   0.00		  4.66   	  -5.09		
-37.84   	-69.27   	 -0.39   	   5.09		  4.64   	 -10.17		
-37.84   	-68.36   	 -0.37   	   0.00		  4.60   	 -10.17		
-37.54   	-66.83   	 -0.37   	   0.00		  4.56   	  -5.09		
-36.01   	-63.48   	 -0.37   	   0.00		  4.54   	 -10.17		
-32.35   	-55.85   	 -0.37   	   0.00		  4.50   	  -5.09		
-25.94   	-41.50   	 -0.37   	   0.00		  4.48   	  -5.09		
-16.78   	-19.84   	 -0.37   	   0.00		  4.46   	   5.09		
 -6.41   	  4.27   	 -0.37   	  -5.09		  4.48   	  10.17		
  3.36   	 23.80   	 -0.39   	  -5.09		  4.52   	  10.17		
 10.38   	 32.35   	 -0.41   	   5.09		  4.56   	  10.17		
 15.56   	 28.99   	 -0.39   	  -5.09		  4.60   	  10.17		
 21.06   	 20.45   	 -0.41   	  -5.09		  4.64   	  15.26		
 30.21   	 18.92   	 -0.43   	   0.00		  4.70   	   5.09		
 43.33   	 32.65   	 -0.43   	   0.00		  4.72   	   5.09		
 57.98   	 60.42   	 -0.43   	  -5.09		  4.74   	   0.00		
 70.19   	 88.81   	 -0.45   	   0.00		  4.74   	   0.00		
 76.90   	102.84   	 -0.45   	  -5.09		  4.74   	  -5.09		
 77.51   	 96.13   	 -0.47   	  -5.09		  4.72   	 -10.17		
 74.16   	 74.46   	 -0.49   	   0.00		  4.68   	  -5.09		
 69.27   	 52.49   	 -0.49   	   0.00		  4.66   	 -10.17		
 62.87   	 39.67   	 -0.49   	  -5.09		  4.62   	 -10.17		
 53.71   	 35.40   	 -0.51   	  -5.09		  4.58   	 -10.17		
 39.98   	 30.82   	 -0.53   	   0.00		  4.54   	 -10.17		
 22.28   	 17.09   	 -0.53   	  -5.09		  4.50   	 -10.17		
  3.05   	 -6.71   	 -0.55   	   0.00		  4.46   	  -5.09		
-14.95   	-36.62   	 -0.55   	   0.00		  4.44   	  -5.09		
-30.21   	-65.31   	 -0.55   	   0.00		  4.42   	  -5.09		
-41.20   	-88.20   	 -0.55   	   0.00		  4.39   	   0.00		
-47.61   	-102.84   	 -0.55   	   0.00		  4.39   	   5.09		
-49.74   	-110.17   	 -0.55   	   5.09		  4.42   	   0.00		
-48.83   	-112.30   	 -0.53   	   0.00		  4.42   	   5.09		
-48.22   	-112.00   	 -0.53   	   0.00		  4.44   	   0.00		
-50.05   	-112.92   	 -0.53   	   5.09		  4.44   	  -5.09		
-54.63   	-115.97   	 -0.51   	   0.00		  4.42   	 -10.17		
-59.81   	-119.93   	 -0.51   	   5.09		  4.37   	 -10.17		
-63.17   	-122.68   	 -0.49   	   0.00		  4.33   	 -20.35		
-63.78   	-123.60   	 -0.49   	   5.09		  4.25   	 -20.35		
-62.26   	-122.99   	 -0.47   	   0.00		  4.17   	 -25.43		
-60.73   	-122.07   	 -0.47   	   0.00		  4.07   	 -20.35		
-60.12   	-121.15   	 -0.47   	   5.09		  3.99   	 -15.26		
-60.12   	-120.24   	 -0.45   	   0.00		  3.93   	 -10.17		
-59.81   	-121.15   	 -0.45   	   0.00		  3.89   	   0.00		
-59.20   	-129.39   	 -0.45   	   0.00		  3.89   	  10.17		
-57.68   	-150.76   	 -0.45   	   5.09		  3.93   	  10.17		
-49.44   	-180.05   	 -0.43   	   0.00		  3.97   	  20.35		
-21.36   	-193.79   	 -0.43   	   0.00		  4.05   	  15.26		
 45.17   	-157.17   	 -0.43   	   5.09		  4.11   	  15.26		
166.02   	-40.28   	 -0.41   	   0.00		  4.17   	  15.26		
346.98   	160.83   	 -0.41   	   0.00		  4.23   	  10.17		
574.34   	418.09   	 -0.41   	   0.00		  4.27   	   5.09		
812.38   	684.81   	 -0.41   	  -5.09		  4.29   	  25.43		
1092.83   	1088.26   	 -0.43   	  -5.09		  4.39   	  15.26		
1011.66   	1165.16(R)	 -0.45   	   0.00		  4.46   	  25.43		
748.60   	1120.61   	 -0.45   	  -5.09		  4.56   	  30.52		
360.41   	946.96   	 -0.47   	   0.00		  4.68   	  35.61		
-35.71   	672.61   	 -0.47   	   0.00		  4.82   	  35.61		
-312.50   	368.96   	 -0.47   	   0.00		  4.96   	  30.52		
-400.09   	121.46   	 -0.47   	  -5.09		  5.09   	  35.61		
-325.62   	-21.67   	 -0.49   	   0.00		  5.23   	  25.43		
-187.68   	-71.11   	 -0.49   	   0.00		  5.33   	  25.43		
-84.23   	-76.90   	 -0.49   	  -5.09		  5.43   	  20.35		
-56.15   	-82.40   	 -0.51   	   0.00		  5.51   	  20.35		
-81.79   	-101.62   	 -0.51   	   0.00		  5.60   	  20.35		
-114.44   	-123.90   	 -0.51   	   0.00		  5.68   	  20.35		
-124.21   	-134.89   	 -0.51   	   0.00		  5.76   	  25.43		
-112.30   	-133.36   	 -0.51   	  -5.09		  5.86   	  20.35		
-96.74   	-127.87   	 -0.53   	   0.00		  5.94   	  25.43		
-89.42   	-126.34   	 -0.53   	   0.00		  6.04   	  25.43		
-90.03   	-129.39   	 -0.53   	   5.09		  6.14   	  15.26		
-92.16   	-133.06   	 -0.51   	   0.00		  6.21   	  15.26		
-91.25   	-134.89   	 -0.51   	  -5.09		  6.27(A)	   0.00		
-87.89   	-133.97   	 -0.53   	   5.09		  6.27   	 -10.17		
-84.23   	-131.53   	 -0.51   	   5.09		  6.23   	 -15.26		
-81.79   	-129.09   	 -0.49   	   0.00		  6.16   	 -20.35		
-80.87   	-126.65   	 -0.49   	   0.00		  6.08   	 -20.35		
-80.26   	-124.82   	 -0.49   	   5.09		  6.00   	 -25.43		
-79.04   	-122.07   	 -0.47   	   0.00		  5.90   	 -15.26		
-77.21   	-117.80   	 -0.47   	   0.00		  5.84   	  -5.09		
-75.38   	-112.92   	 -0.47   	   0.00		  5.82   	   5.09		
-74.16   	-109.25   	 -0.47   	   0.00		  5.84   	  15.26		
-72.33   	-107.42   	 -0.47   	   5.09		  5.90   	  25.43		
-69.89   	-108.03   	 -0.45   	   0.00		  6.00   	  25.43		
-66.53   	-108.64   	 -0.45   	   0.00		  6.10   	  20.35		
-63.17   	-108.03   	 -0.45   	   0.00		  6.19   	  10.17		
-61.04   	-104.06   	 -0.45   	   0.00		  6.23   	  -5.09		
-59.81   	-97.35   	 -0.45   	   0.00		  6.21   	 -25.43		
-58.59   	-89.42   	 -0.45   	   5.09		  6.10   	 -40.69		
-56.76   	-82.40   	 -0.43   	   0.00		  5.94   	 -55.95		
-54.32   	-76.90   	 -0.43   	   0.00		  5.72   	 -66.12		
-51.57   	-73.24   	 -0.43   	   0.00		  5.45   	 -66.12		
-48.83   	-70.50   	 -0.43   	   0.00		  5.19   	 -61.04		
-45.78   	-68.05   	 -0.43   	   0.00		  4.94   	 -50.86		
-42.11   	-65.00   	 -0.43   	  -5.09		  4.74   	 -40.69		
-37.54   	-61.04   	 -0.45   	   0.00		  4.58   	 -25.43		
-32.96   	-55.85   	 -0.45   	   0.00		  4.48   	 -15.26		
-28.99   	-50.35   	 -0.45   	   0.00		  4.42   	  -5.09		
-25.33   	-44.56   	 -0.45   	   0.00		  4.39   	   5.09		
-21.36   	-39.06   	 -0.45   	  -5.09		  4.42   	   5.09		
-16.17   	-34.18   	 -0.47   	  -5.09		  4.44   	  10.17		
 -9.46   	-28.99   	 -0.49   	   5.09		  4.48   	   5.09		
 -2.14   	-23.19   	 -0.47   	  -5.09		  4.50   	   0.00		
  5.19   	-15.87   	 -0.49   	   0.00		  4.50   	  -5.09		
 12.51   	 -5.80   	 -0.49   	   0.00		  4.48   	  -5.09		
 19.84   	  7.63   	 -0.49   	   0.00		  4.46   	 -15.26		
 28.08   	 23.50   	 -0.49   	   0.00		  4.39   	 -20.35		
 36.93   	 39.67   	 -0.49   	   0.00		  4.31   	 -25.43		
 46.69   	 54.93   	 -0.49   	   0.00		  4.21   	 -35.61		
 57.07   	 67.75   	 -0.49   	   0.00		  4.07   	 -35.61		
 66.83   	 79.04   	 -0.49   	  -5.09		  3.93   	 -40.69		
 75.38   	 90.03   	 -0.51   	   0.00		  3.76   	 -40.69		
 82.40   	101.62   	 -0.51   	   0.00		  3.60   	 -40.69		
 87.89   	113.83   	 -0.51   	   0.00		  3.44   	 -35.61		
 93.08   	125.73   	 -0.51   	   0.00		  3.30   	 -25.43		
 98.88   	135.80   	 -0.51   	   0.00		  3.19   	 -20.35		
103.76   	143.43   	 -0.51   	   0.00		  3.11   	 -15.26		
106.81   	149.54   	 -0.51   	   0.00		  3.05   	  -5.09		
107.12   	154.11   	 -0.51   	   5.09		  3.03   	   5.09		
104.68   	157.17   	 -0.49   	   0.00		  3.05   	   5.09		
 99.79   	156.56   	 -0.49   	   0.00		  3.07   	  15.26		
 93.69   	151.37   	 -0.49   	   5.09		  3.13   	  10.17		
 85.75   	140.99   	 -0.47   	   0.00		  3.17   	   5.09		
 76.60   	127.56   	 -0.47   	   0.00		  3.19   	   5.09		
 66.22   	112.92   	 -0.47   	   0.00		  3.21   	   0.00		
 55.24   	 97.66   	 -0.47   	   0.00		  3.21   	  -5.09		
 43.33   	 80.87   	 -0.47   	   0.00		  3.19   	 -15.26		
