  I     	  II     	  CH1     	  CH1'		  AO     	  AO'		
  3.36   	 23.50   	  6.41   	   0.00		 95.52   	 203.46		
  1.83   	 13.73   	  6.41   	   0.00		 96.34   	 274.67		
  0.31   	  7.32   	  6.41   	   5.09		 97.44   	 361.14		
 -1.53   	  9.16   	  6.43   	   0.00		 98.88   	 366.22		
 -2.44   	 17.40   	  6.43   	   5.09		100.35   	 274.67		
 -2.75   	 26.55   	  6.45   	   0.00		101.44   	 137.33		
 -2.75   	 29.91   	  6.45   	   5.09		101.99   	 -15.26		
 -2.14   	 26.25   	  6.47   	   0.00		101.93   	-213.63		
 -0.92   	 17.40   	  6.47   	   0.00		101.08   	-412.00		
  0.31   	  8.24   	  6.47   	   5.09		 99.43   	-554.42		
  1.53   	  2.44   	  6.49   	   0.00		 97.21   	-620.55		
  2.44   	  1.22   	  6.49   	   0.00		 94.73   	-579.86		
  2.14   	  3.97   	  6.49   	   5.09		 92.41   	-447.61		
  0.92   	  8.54   	  6.51   	   0.00		 90.62   	-295.01		
 -0.92   	 12.51   	  6.51   	   0.00		 89.44   	-157.68		
 -3.05   	 14.65   	  6.51   	   5.09		 88.81   	 -30.52		
 -4.58   	 14.95   	  6.53   	   0.00		 88.69   	  76.30		
 -4.88   	 14.65   	  6.53   	   0.00		 88.99   	 137.33		
 -3.97   	 14.04   	  6.53   	   0.00		 89.54   	 132.25		
 -2.14   	 12.82   	  6.53   	   0.00		 90.07   	  81.38		
 -0.92   	  9.16   	  6.53   	   0.00		 90.40   	  15.26		
 -1.53   	  3.36   	  6.53   	  -5.09		 90.46   	 -55.95		
 -3.97   	 -2.75   	  6.51   	   0.00		 90.23   	-101.73		
 -6.71   	 -6.41   	  6.51   	   0.00		 89.83   	-147.51		
 -7.93   	 -5.80   	  6.51   	   0.00		 89.24   	-183.11		
 -6.10   	 -2.44   	  6.51   	   0.00		 88.50   	-203.46		
 -2.14   	  0.61   	  6.51   	  -5.09		 87.69   	-198.37		
  1.83   	  0.31   	  6.49   	   0.00		 86.90   	-172.94		
  3.97   	 -4.58   	  6.49   	  -5.09		 86.21   	-122.07		
  3.36   	-11.60   	  6.47   	   0.00		 85.72   	 -71.21		
  0.92   	-17.70   	  6.47   	  -5.09		 85.43   	 -30.52		
 -2.14   	-20.45   	  6.45   	   0.00		 85.31   	   5.09		
 -4.58   	-18.92   	  6.45   	  -5.09		 85.33   	  25.43		
 -5.19   	-15.26   	  6.43   	   0.00		 85.43   	  25.43		
 -4.58   	-14.34   	  6.43   	   0.00		 85.53   	  10.17		
 -2.14   	-18.01   	  6.43   	  -5.09		 85.57   	 -35.61		
  0.61   	-25.63   	  6.41   	   0.00		 85.43   	-106.82		
  3.05   	-32.96   	  6.41   	  -5.09		 85.00   	-167.85		
  3.97   	-34.79   	  6.39   	   0.00		 84.33   	-208.54		
  3.36   	-29.91   	  6.39   	   0.00		 83.50   	-228.89		
  1.53   	-21.06   	  6.39   	   0.00		 82.58   	-218.72		
  0.00   	-15.56   	  6.39   	   0.00		 81.71   	-193.29		
 -1.83   	-19.53   	  6.39   	   0.00		 80.94   	-147.51		
 -3.66   	-32.04   	  6.39   	   0.00		 80.35   	 -96.64		
 -7.02   	-46.39   	  6.39   	   5.09		 79.96   	 -45.78		
-10.68   	-52.49   	  6.41   	   0.00		 79.78   	 -15.26		
-13.43   	-46.08   	  6.41   	   0.00		 79.71   	   5.09		
-13.43   	-33.26   	  6.41   	   0.00		 79.74   	   5.09		
-10.99   	-26.55   	  6.41   	   5.09		 79.76   	 -15.26		
 -8.54   	-35.10   	  6.43   	   0.00		 79.69   	 -35.61		
 -8.24   	-53.41   	  6.43   	   0.00		 79.55   	 -50.86		
-10.68   	-67.14   	  6.43   	   5.09		 79.35   	 -66.12		
-14.34   	-64.09   	  6.45   	   0.00		 79.08   	 -86.47		
-16.17   	-47.30   	  6.45   	   0.00		 78.74   	 -91.56		
-13.73   	-29.91   	  6.45   	   0.00		 78.37   	 -96.64		
 -8.54   	-25.94   	  6.45   	   0.00		 77.99   	 -91.56		
 -3.66   	-38.45   	  6.45   	   0.00		 77.62   	 -76.30		
 -2.44   	-57.37   	  6.45   	   0.00		 77.31   	 -50.86		
 -3.97   	-70.19   	  6.45   	   0.00		 77.11   	 -50.86		
 -6.71   	-69.89   	  6.45   	   0.00		 76.91   	 -71.21		
 -8.54   	-58.59   	  6.45   	   0.00		 76.62   	 -76.30		
-10.07   	-43.03   	  6.45   	   0.00		 76.32   	 -76.30		
-10.68   	-31.13   	  6.45   	   0.00		 76.01   	 -81.38		
-10.68   	-28.69   	  6.45   	   0.00		 75.69   	 -86.47		
 -9.16   	-36.32   	  6.45   	   0.00		 75.34   	 -86.47		
 -6.10   	-48.52   	  6.45   	   0.00		 74.99   	 -81.38		
 -3.36   	-56.15   	  6.45   	   0.00		 74.67   	 -76.30		
 -2.44   	-53.10   	  6.45   	   0.00		 74.36   	 -66.12		
 -3.66   	-42.72   	  6.45   	   0.00		 74.10   	 -40.69		
 -4.88   	-32.96   	  6.45   	   0.00		 73.94   	 -30.52		
 -5.80   	-31.13   	  6.45   	   0.00		 73.81   	 -25.43		
 -5.80   	-36.93   	  6.45   	   0.00		 73.71   	 -15.26		
 -5.80   	-44.25   	  6.45   	   5.09		 73.65   	 -15.26		
 -6.41   	-47.00   	  6.47   	   0.00		 73.59   	 -25.43		
 -7.02   	-45.17   	  6.47   	   0.00		 73.49   	 -35.61		
 -7.93   	-42.11   	  6.47   	   0.00		 73.35   	 -61.04		
 -9.46   	-42.42   	  6.47   	   0.00		 73.10   	 -81.38		
-10.38   	-45.78   	  6.47   	   0.00		 72.78   	-101.73		
-10.38   	-50.05   	  6.47   	   5.09		 72.37   	-111.90		
 -9.16   	-52.49   	  6.49   	   0.00		 71.92   	-111.90		
 -7.02   	-50.05   	  6.49   	   0.00		 71.47   	-101.73		
 -5.80   	-43.03   	  6.49   	   0.00		 71.07   	 -81.38		
 -5.80   	-34.79   	  6.49   	   5.09		 70.74   	 -71.21		
 -6.41   	-30.21   	  6.51   	   0.00		 70.46   	 -55.95		
 -6.71   	-33.26   	  6.51   	   0.00		 70.23   	 -35.61		
 -6.71   	-41.20   	  6.51   	   0.00		 70.09   	 -25.43		
 -7.93   	-45.78   	  6.51   	   0.00		 69.99   	 -20.35		
 -9.77   	-41.50   	  6.51   	   0.00		 69.91   	 -30.52		
-11.29   	-32.35   	  6.51   	   0.00		 69.79   	 -35.61		
-11.90   	-27.47   	  6.51   	   0.00		 69.64   	 -40.69		
-11.60   	-33.87   	  6.51   	  -5.09		 69.48   	 -50.86		
-11.29   	-47.91   	  6.49   	   0.00		 69.28   	 -66.12		
-12.21   	-58.29   	  6.49   	   0.00		 69.01   	 -66.12		
-13.43   	-57.07   	  6.49   	   0.00		 68.75   	 -66.12		
-13.73   	-46.39   	  6.49   	  -5.09		 68.48   	 -55.95		
-12.21   	-37.23   	  6.47   	   0.00		 68.26   	 -45.78		
 -9.77   	-36.62   	  6.47   	   0.00		 68.08   	 -40.69		
 -7.93   	-42.72   	  6.47   	  -5.09		 67.91   	 -25.43		
 -7.02   	-49.13   	  6.45   	   0.00		 67.81   	 -15.26		
 -6.41   	-49.74   	  6.45   	   0.00		 67.75   	 -10.17		
 -5.80   	-44.86   	  6.45   	   0.00		 67.71   	 -10.17		
 -4.88   	-38.76   	  6.45   	  -5.09		 67.67   	 -15.26		
 -4.58   	-35.10   	  6.43   	   0.00		 67.61   	 -25.43		
 -6.10   	-36.32   	  6.43   	   0.00		 67.51   	 -35.61		
 -8.54   	-40.59   	  6.43   	   0.00		 67.36   	 -55.95		
-10.07   	-44.86   	  6.43   	   0.00		 67.14   	 -66.12		
 -9.46   	-44.25   	  6.43   	   0.00		 66.88   	 -76.30		
 -6.10   	-37.54   	  6.43   	   0.00		 66.57   	 -76.30		
 -1.83   	-28.99   	  6.43   	   0.00		 66.27   	 -71.21		
  1.22   	-25.94   	  6.43   	   0.00		 65.98   	 -66.12		
  1.22   	-31.13   	  6.43   	   0.00		 65.72   	 -55.95		
 -1.83   	-39.98   	  6.43   	   0.00		 65.49   	 -35.61		
 -6.41   	-42.42   	  6.43   	   5.09		 65.35   	 -25.43		
-10.07   	-34.79   	  6.45   	   0.00		 65.25   	 -20.35		
-10.38   	-23.80   	  6.45   	   0.00		 65.17   	  -5.09		
 -7.02   	-19.84   	  6.45   	   5.09		 65.15   	 -10.17		
 -2.14   	-25.94   	  6.47   	   0.00		 65.11   	 -15.26		
  0.61   	-33.57   	  6.47   	   5.09		 65.05   	 -25.43		
 -0.92   	-29.60   	  6.49   	   0.00		 64.94   	 -30.52		
 -4.88   	-10.99   	  6.49   	   0.00		 64.82   	 -45.78		
 -8.24   	  8.24   	  6.49   	   0.00		 64.64   	 -45.78		
 -7.63   	  8.54   	  6.49   	   5.09		 64.46   	 -55.95		
 -3.36   	-16.17   	  6.51   	   0.00		 64.23   	 -55.95		
  1.53   	-51.27   	  6.51   	   0.00		 64.01   	 -55.95		
  3.05   	-71.41   	  6.51   	   0.00		 63.78   	 -50.86		
  0.92   	-63.17   	  6.51   	   0.00		 63.58   	 -40.69		
 -3.05   	-33.57   	  6.51   	  -5.09		 63.42   	 -30.52		
 -5.19   	 -5.19   	  6.49   	   0.00		 63.30   	 -25.43		
 -5.80   	  4.58   	  6.49   	   0.00		 63.19   	 -30.52		
 -6.41   	 -5.49   	  6.49   	   0.00		 63.07   	 -30.52		
 -8.24   	-25.02   	  6.49   	   0.00		 62.95   	 -30.52		
-10.38   	-43.03   	  6.49   	  -5.09		 62.83   	 -35.61		
-10.99   	-52.49   	  6.47   	   0.00		 62.69   	 -30.52		
 -8.85   	-50.05   	  6.47   	   0.00		 62.56   	 -30.52		
 -3.97   	-34.79   	  6.47   	  -5.09		 62.44   	 -30.52		
  0.61   	-12.51   	  6.45   	   0.00		 62.32   	 -20.35		
  3.36   	  4.88   	  6.45   	   0.00		 62.24   	 -20.35		
  2.75   	  3.66   	  6.45   	  -5.09		 62.16   	 -25.43		
  0.00   	-16.78   	  6.43   	   0.00		 62.05   	 -25.43		
 -3.05   	-42.72   	  6.43   	   0.00		 61.95   	 -20.35		
 -4.27   	-55.85   	  6.43   	   0.00		 61.87   	 -25.43		
 -3.05   	-48.52   	  6.43   	  -5.09		 61.77   	 -30.52		
 -0.92   	-28.08   	  6.41   	   0.00		 61.65   	 -25.43		
  0.61   	-10.99   	  6.41   	   0.00		 61.55   	 -20.35		
  0.31   	 -7.32   	  6.41   	   0.00		 61.46   	 -20.35		
  0.61   	-14.95   	  6.41   	   0.00		 61.38   	 -25.43		
  2.44   	-24.41   	  6.41   	   0.00		 61.28   	 -20.35		
  5.49   	-27.16   	  6.41   	   0.00		 61.20   	 -20.35		
  7.63   	-19.53   	  6.41   	   5.09		 61.12   	 -20.35		
  6.41   	 -5.19   	  6.43   	   0.00		 61.04   	 -25.43		
  2.44   	  5.19   	  6.43   	   0.00		 60.94   	 -30.52		
 -1.22   	  2.14   	  6.43   	   0.00		 60.81   	 -35.61		
 -1.83   	-16.17   	  6.43   	   0.00		 60.67   	 -35.61		
  0.61   	-41.20   	  6.43   	   0.00		 60.53   	 -40.69		
  3.36   	-57.37   	  6.43   	   0.00		 60.37   	 -40.69		
  3.97   	-54.02   	  6.43   	   5.09		 60.20   	 -30.52		
  1.83   	-34.48   	  6.45   	   0.00		 60.08   	 -25.43		
 -2.44   	-15.26   	  6.45   	   0.00		 59.98   	 -20.35		
 -6.71   	-10.07   	  6.45   	   5.09		 59.90   	 -20.35		
 -9.46   	-17.09   	  6.47   	   0.00		 59.82   	 -10.17		
 -8.85   	-14.65   	  6.47   	   0.00		 59.78   	 -10.17		
 -4.58   	 23.50   	  6.47   	   0.00		 59.74   	  -5.09		
  3.36   	113.53   	  6.47   	   0.00		 59.71   	   0.00		
 11.60   	256.96   	  6.47   	   0.00		 59.71   	   0.00		
 18.92   	447.39   	  6.47   	   0.00		 59.71   	   5.09		
 26.55   	673.22   	  6.47   	   0.00		 59.74   	   5.09		
 39.37   	907.29   	  6.47   	   0.00		 59.76   	   0.00		
 58.90   	1099.85   	  6.47   	   0.00		 59.76   	   0.00		
 79.65   	1190.49(R)	  6.47   	   0.00		 59.76   	  -5.09		
 88.20   	1142.88   	  6.47   	   0.00		 59.74   	   0.00		
 71.41   	973.82   	  6.47   	   0.00		 59.74   	   0.00		
 25.94   	749.51   	  6.47   	   0.00		 59.74   	 -10.17		
-36.32   	544.43   	  6.47   	   0.00		 59.69   	 -10.17		
-95.83   	398.25   	  6.47   	   0.00		 59.65   	 -10.17		
-136.72   	304.87   	  6.47   	  -5.09		 59.61   	  -5.09		
-153.20   	237.73   	  6.45   	   0.00		 59.59   	   0.00		
-148.93   	176.39   	  6.45   	   0.00		 59.59   	  -5.09		
-130.62   	116.27   	  6.45   	   0.00		 59.57   	   0.00		
-102.84   	 64.39   	  6.45   	   0.00		 59.57   	  10.17		
-71.11   	 24.41   	  6.45   	  -5.09		 59.61   	   5.09		
-41.20   	 -3.66   	  6.43   	   0.00		 59.63   	  10.17		
-19.84   	-20.14   	  6.43   	   0.00		 59.67   	  10.17		
 -9.16   	-26.55   	  6.43   	   0.00		 59.71   	  20.35		
 -5.80   	-28.08   	  6.43   	   0.00		 59.80   	  20.35		
 -5.19   	-32.35   	  6.43   	  -5.09		 59.88   	  30.52		
 -3.97   	-41.81   	  6.41   	   0.00		 60.00   	  20.35		
 -2.75   	-52.80   	  6.41   	   0.00		 60.08   	  20.35		
 -1.53   	-59.81   	  6.41   	   0.00		 60.16   	  35.61		
 -1.53   	-60.42   	  6.41   	   0.00		 60.30   	  61.04		
 -1.83   	-57.37   	  6.41   	   0.00		 60.55   	  91.56		
 -2.14   	-55.24   	  6.41   	   0.00		 60.92   	 137.33		
 -2.44   	-55.85   	  6.41   	   0.00		 61.46   	 223.80		
 -2.44   	-57.68   	  6.41   	   0.00		 62.36   	 345.88		
 -2.14   	-58.90   	  6.41   	   5.09		 63.74   	 523.90		
 -0.92   	-58.29   	  6.43   	   0.00		 65.84   	 737.54		
  0.61   	-57.07   	  6.43   	   0.00		 68.79   	 976.60		
  1.83   	-56.76   	  6.43   	   0.00		 72.70   	1174.97		
  3.05   	-58.29   	  6.43   	   5.09		 77.40   	1302.13		
  3.36   	-60.12   	  6.45   	   0.00		 82.60   	1403.86		
  3.97   	-61.04   	  6.45   	   0.00		 88.22   	1434.38		
  4.27   	-58.90   	  6.45   	   0.00		 93.96   	1241.09		
  4.58   	-54.02   	  6.45   	   5.09		 98.92   	 874.87		
  5.80   	-48.83   	  6.47   	   0.00		102.42   	 493.39		
  7.63   	-46.69   	  6.47   	   0.00		104.39   	 167.85		
  9.77   	-47.91   	  6.47   	   0.00		105.07   	 -55.95		
 11.90   	-50.66   	  6.47   	   0.00		104.84   	-147.51		
 13.73   	-53.41   	  6.47   	   0.00		104.25   	-106.82		
 14.95   	-54.63   	  6.47   	   0.00		103.82   	 111.90		
 16.48   	-54.32   	  6.47   	   5.09		104.27   	 412.00		
 18.01   	-51.88   	  6.49   	   0.00		105.92   	 645.98		
 19.84   	-46.08   	  6.49   	   0.00		108.50   	 783.31		
 21.06   	-36.62   	  6.49   	   0.00		111.64   	 849.44		
 21.06   	-25.94   	  6.49   	   0.00		115.04   	 778.23		
 20.14   	-17.40   	  6.49   	   0.00		118.15   	 595.11		
 19.53   	-12.82   	  6.49   	   0.00		120.53   	 381.48		
 19.53   	-11.60   	  6.49   	   0.00		122.05   	 162.77		
 20.45   	-10.99   	  6.49   	   5.09		122.71   	 -40.69		
 21.97   	 -7.93   	  6.51   	   0.00		122.54   	-162.77		
 22.89   	 -2.75   	  6.51   	   5.09		121.89   	-218.72		
 23.50   	  3.05   	  6.53   	   0.00		121.02   	-203.46		
 24.72   	  8.24   	  6.53   	   5.09		120.20   	-142.42		
 27.16   	 13.43   	  6.55   	   0.00		119.63   	 -30.52		
 30.82   	 20.75   	  6.55   	   5.09		119.51   	 111.90		
 34.48   	 30.52   	  6.57   	   5.09		119.96   	 249.24		
 37.84   	 42.42   	  6.59   	   0.00		120.96   	 325.53		
 40.59   	 54.93   	  6.59   	   0.00		122.26   	 335.71		
 43.03   	 67.14   	  6.59   	   5.09		123.60   	 284.84		
 45.78   	 79.04   	  6.61   	   0.00		124.74   	 198.37		
 48.83   	 91.55   	  6.61   	   0.00		125.53   	 122.07		
 51.57   	104.68   	  6.61   	  -5.09		126.02   	  30.52		
 54.32   	116.58   	  6.59   	   0.00		126.14(S)	 -61.04		
 56.76   	126.95   	  6.59   	   0.00		125.90   	-127.16		
 59.20   	134.89   	  6.59   	  -5.09		125.39   	-157.68		
 61.04   	142.21   	  6.57   	   0.00		124.76   	-157.68		
 62.56   	151.67   	  6.57   	  -5.09		124.13   	-152.59		
 64.39   	165.10   	  6.55   	  -5.09		123.52   	-127.16		
 66.22   	181.58   	  6.53   	  -5.09		123.01   	-106.82		
 67.75   	196.53   	  6.51   	  -5.09		122.58   	 -81.38		
 68.66   	205.99   	  6.49   	 -10.17		122.26   	-137.33		
 65.61   	194.09   	  6.45   	  -5.09		121.71   	 -61.04		
 62.87   	184.94   	  6.43   	  -5.09		121.46   	-111.90		
 59.20   	174.26   	  6.41   	   0.00		121.02   	-157.68		
 54.32   	160.83   	  6.41   	  -5.09		120.39   	-218.72		
 48.52   	142.52   	  6.39   	   0.00		119.51   	-295.01		
 42.11   	119.63   	  6.39   	  -5.09		118.33   	-361.14		
 35.71   	 94.91   	  6.37   	   0.00		116.89   	-412.00		
 29.91   	 72.02   	  6.37   	   0.00		115.24   	-442.52		
 25.02   	 55.54   	  6.37   	  -5.09		113.47   	-457.78		
 20.75   	 47.00   	  6.35   	   0.00		111.64   	-478.13		
 16.78   	 44.56   	  6.35   	   0.00		109.72   	-478.13		
 12.51   	 43.33   	  6.35   	   0.00		107.81   	-483.21		
  7.93   	 37.84   	  6.35   	   0.00		105.88   	-483.21		
  3.05   	 27.16   	  6.35   	   0.00		103.95   	-473.04		
 -0.92   	 14.04   	  6.35   	   0.00		102.05   	-442.52		
 -3.66   	  3.05   	  6.35   	  -5.09		100.28   	-371.31		
 -5.49   	 -3.66   	  6.33   	   0.00		 98.80   	-300.10		
 -6.41   	 -7.63   	  6.33   	   0.00		 97.60   	-198.37		
 -7.63   	-10.99   	  6.33   	   0.00		 96.81   	 -55.95		
 -9.16   	-16.48   	  6.33   	  -5.09		 96.58   	 116.99		
-10.38   	-22.89   	  6.31   	   0.00		 97.05   	 228.89		
-11.60   	-28.99   	  6.31   	   0.00		 97.97   	 279.75		
-12.51   	-33.57   	  6.31   	   0.00		 99.08   	 259.41		
-13.43   	-36.32   	  6.31   	  -5.09		100.12   	 193.29		
-14.34   	-36.93   	  6.29   	   0.00		100.89   	 111.90		
-14.95   	-35.10   	  6.29   	   0.00		101.34   	  10.17		
-15.56   	-32.35   	  6.29   	   0.00		101.38   	 -86.47		
-15.87   	-30.82   	  6.29   	  -5.09		101.04   	-162.77		
-16.17   	-32.04   	  6.27   	   0.00		100.39   	-223.80		
-16.17   	-35.71   	  6.27   	   0.00		 99.49   	-233.98		
-15.87   	-38.45   	  6.27   	   0.00		 98.56   	-228.89		
-14.95   	-38.15   	  6.27   	   0.00		 97.64   	-193.29		
-14.04   	-34.18   	  6.27   	   5.09		 96.87   	-162.77		
-13.12   	-27.77   	  6.29   	   0.00		 96.22   	-152.59		
-12.21   	-22.28   	  6.29   	   0.00		 95.60   	-142.42		
-11.60   	-18.62   	  6.29   	   5.09		 95.04   	-127.16		
-11.29   	-17.70   	  6.31   	   0.00		 94.53   	-116.99		
-11.29   	-18.62   	  6.31   	   5.09		 94.06   	-106.82		
-11.29   	-20.14   	  6.33   	   5.09		 93.63   	 -91.56		
-11.29   	-20.45   	  6.35   	   5.09		 93.27   	 -86.47		
-10.99   	-19.84   	  6.37   	   5.09		 92.92   	 -61.04		
 -9.77   	-19.23   	  6.39   	   5.09		 92.68   	 -40.69		
 -8.85   	-19.84   	  6.41   	   5.09		 92.51   	 -25.43		
 -7.93   	-21.97   	  6.43   	   5.09		 92.41   	 -25.43		
 -7.93   	-23.80   	  6.45   	  10.17		 92.31   	 -35.61		
 -8.54   	-24.41   	  6.49   	   5.09		 92.17   	 -50.86		
 -8.85   	-25.94   	  6.51   	   5.09		 91.96   	 -71.21		
 -8.54   	-29.91   	  6.53   	  10.17		 91.68   	 -96.64		
 -7.32   	-35.71   	  6.57   	   5.09		 91.29   	-106.82		
 -5.49   	-39.98   	  6.59   	   5.09		 90.86   	-111.90		
 -3.97   	-37.84   	  6.61   	   5.09		 90.42   	-116.99		
 -2.75   	-29.60   	  6.63   	   0.00		 89.95   	-116.99		
 -2.44   	-18.92   	  6.63   	   5.09		 89.48   	-111.90		
 -2.14   	-11.29   	  6.65   	   5.09		 89.03   	-101.73		
 -2.14   	 -8.54   	  6.67   	   0.00		 88.63   	 -86.47		
 -2.14   	 -9.16   	  6.67   	   0.00		 88.28   	 -76.30		
 -3.05   	-10.38   	  6.67   	   5.09		 87.98   	 -66.12		
 -4.58   	-12.51   	  6.69   	   0.00		 87.71   	 -61.04		
 -6.41   	-19.23   	  6.69   	   0.00		 87.47   	 -61.04		
 -7.93   	-31.43   	  6.69   	  -5.09		 87.22   	 -61.04		
 -8.24   	-46.08   	  6.67   	   0.00		 86.98   	 -66.12		
 -7.63   	-55.85   	  6.67   	   0.00		 86.71   	 -81.38		
 -6.10   	-55.54   	  6.67   	  -5.09		 86.39   	 -86.47		
 -4.88   	-45.17   	  6.65   	  -5.09		 86.04   	 -81.38		
 -4.27   	-31.43   	  6.63   	  -5.09		 85.72   	 -71.21		
 -4.58   	-23.19   	  6.61   	   0.00		 85.43   	 -61.04		
 -5.80   	-24.72   	  6.61   	  -5.09		 85.19   	 -55.95		
 -7.02   	-35.10   	  6.59   	 -10.17		 84.96   	 -50.86		
 -7.93   	-47.91   	  6.55   	  -5.09		 84.76   	 -55.95		
 -8.24   	-55.24   	  6.53   	  -5.09		 84.54   	 -50.86		
 -7.93   	-52.80   	  6.51   	  -5.09		 84.33   	 -55.95		
 -6.71   	-43.03   	  6.49   	  -5.09		 84.11   	 -66.12		
 -5.49   	-32.65   	  6.47   	  -5.09		 83.85   	 -61.04		
 -4.88   	-28.08   	  6.45   	  -5.09		 83.60   	 -61.04		
 -4.88   	-31.43   	  6.43   	  -5.09		 83.36   	 -61.04		
 -5.19   	-38.76   	  6.41   	  -5.09		 83.11   	 -66.12		
 -5.80   	-45.78   	  6.39   	  -5.09		 82.85   	 -66.12		
 -6.10   	-49.44   	  6.37   	  -5.09		 82.58   	 -61.04		
 -6.41   	-50.05   	  6.35   	  -5.09		 82.34   	 -55.95		
 -6.71   	-49.44   	  6.33   	  -5.09		 82.12   	 -55.95		
 -7.63   	-49.74   	  6.31   	   0.00		 81.89   	 -55.95		
 -8.54   	-52.19   	  6.31   	   0.00		 81.67   	 -50.86		
 -9.77   	-57.07   	  6.31   	  -5.09		 81.46   	 -50.86		
-10.99   	-65.00   	  6.29   	   0.00		 81.26   	 -40.69		
-11.60   	-73.55   	  6.29   	   0.00		 81.10   	 -40.69		
-11.90   	-79.04   	  6.29   	   5.09		 80.94   	 -40.69		
