  I     	  II     	  LV     	  LV'		  RV     	  RV'		
  3.66   	 16.17   	 34.55   	-559.51		 12.61   	-183.11		
  3.97   	 17.70   	 32.31   	-534.08		 11.88   	-167.85		
  4.27   	 16.78   	 30.17   	-498.47		 11.21   	-162.77		
  4.58   	 13.12   	 28.18   	-473.04		 10.56   	-142.42		
  4.58   	  7.93   	 26.29   	-442.52		  9.99   	-137.33		
  3.97   	  1.83   	 24.52   	-422.18		  9.44   	-122.07		
  2.44   	 -4.88   	 22.83   	-401.83		  8.95   	-111.90		
  0.92   	-11.90   	 21.22   	-371.31		  8.50   	-101.73		
 -0.31   	-18.62   	 19.74   	-356.05		  8.10   	 -96.64		
 -0.92   	-24.41   	 18.31   	-325.53		  7.71   	 -86.47		
 -0.92   	-28.08   	 17.01   	-310.27		  7.37   	 -81.38		
 -0.61   	-30.82   	 15.77   	-279.75		  7.04   	 -71.21		
  0.00   	-33.57   	 14.65   	-254.32		  6.75   	 -66.12		
  1.53   	-36.62   	 13.63   	-228.89		  6.49   	 -61.04		
  3.66   	-39.37   	 12.72   	-203.46		  6.25   	 -45.78		
  5.80   	-41.81   	 11.90   	-178.03		  6.06   	 -35.61		
  7.63   	-42.72   	 11.19   	-157.68		  5.92   	 -25.43		
  9.16   	-42.72   	 10.56   	-132.25		  5.82   	  -5.09		
  9.77   	-42.42   	 10.03   	-111.90		  5.80   	   5.09		
  9.77   	-41.50   	  9.58   	 -96.64		  5.82   	  25.43		
  9.77   	-39.67   	  9.20   	 -71.21		  5.92   	  40.69		
  9.46   	-37.23   	  8.91   	 -55.95		  6.08   	  55.95		
  9.16   	-34.18   	  8.69   	 -35.61		  6.31   	  71.21		
  8.24   	-31.74   	  8.55   	 -15.26		  6.59   	  81.38		
  7.02   	-29.30   	  8.48   	   5.09		  6.92   	  91.56		
  4.88   	-27.47   	  8.50   	  20.35		  7.28   	  96.64		
  2.75   	-25.63   	  8.59   	  30.52		  7.67   	  96.64		
  1.22   	-24.72   	  8.71   	  50.86		  8.06   	 101.73		
  0.61   	-25.33   	  8.91   	  61.04		  8.46   	  96.64		
  0.92   	-26.25   	  9.16   	  76.30		  8.85   	  96.64		
  0.92   	-26.25   	  9.46   	  86.47		  9.24   	  91.56		
  0.61   	-23.80   	  9.81   	  91.56		  9.60   	  91.56		
  0.00   	-18.92   	 10.17   	 101.73		  9.97   	  91.56		
 -1.22   	-13.12   	 10.58   	 106.82		 10.34   	  96.64		
 -1.83   	 -8.54   	 11.01   	 106.82		 10.72   	  91.56		
 -2.44   	 -5.80   	 11.43   	 111.90		 11.09   	 101.73		
 -2.44   	 -4.88   	 11.88   	 116.99		 11.50   	 106.82		
 -2.44   	 -4.88   	 12.35   	 106.82		 11.92   	 106.82		
 -2.44   	 -4.88   	 12.78   	 111.90		 12.35   	 116.99		
 -2.14   	 -4.88   	 13.22   	 101.73		 12.82   	 116.99		
 -2.14   	 -4.58   	 13.63   	 101.73		 13.29   	 122.07		
 -1.83   	 -4.27   	 14.04   	  91.56		 13.77   	 116.99		
 -1.53   	 -4.27   	 14.40   	  86.47		 14.24   	 116.99		
 -0.92   	 -4.88   	 14.75   	  81.38		 14.71   	 111.90		
  0.00   	 -6.71   	 15.08   	  81.38		 15.16   	 101.73		
  0.61   	 -9.46   	 15.40   	  71.21		 15.56   	  91.56		
  0.31   	-13.12   	 15.69   	  66.12		 15.93   	  81.38		
 -0.31   	-17.09   	 15.95   	  61.04		 16.26   	  66.12		
 -0.92   	-20.75   	 16.20   	  61.04		 16.52   	  55.95		
 -0.61   	-22.58   	 16.44   	  55.95		 16.74   	  40.69		
  0.92   	-23.19   	 16.66   	  45.78		 16.91   	  30.52		
  2.44   	-23.50   	 16.85   	  45.78		 17.03   	  20.35		
  3.36   	-23.80   	 17.03   	  35.61		 17.11   	  10.17		
  3.97   	-24.41   	 17.17   	  30.52		 17.15   	   5.09		
  4.58   	-25.02   	 17.29   	  25.43		 17.17   	  -5.09		
  5.19   	-24.41   	 17.40   	  20.35		 17.15   	  -5.09		
  6.41   	-22.28   	 17.48   	  15.26		 17.13   	 -15.26		
  7.32   	-19.53   	 17.54   	  10.17		 17.07   	 -15.26		
  7.32   	-16.17   	 17.58   	  10.17		 17.01   	 -15.26		
  7.02   	-12.51   	 17.62   	   5.09		 16.95   	 -20.35		
  7.32   	 -7.93   	 17.64   	   0.00		 16.87   	 -15.26		
  7.93   	 -3.05   	 17.64   	   5.09		 16.81   	 -10.17		
  8.85   	  1.22   	 17.66   	   0.00		 16.76   	 -10.17		
  9.77   	  5.49   	 17.66   	   0.00		 16.72   	  -5.09		
 10.07   	  9.77   	 17.66   	  -5.09		 16.70   	  -5.09		
  9.46   	 15.26   	 17.64   	   0.00		 16.68   	   0.00		
  7.93   	 20.14   	 17.64   	  -5.09		 16.68   	   5.09		
  6.41   	 22.28   	 17.62   	   0.00		 16.70   	   0.00		
  4.27   	 20.45   	 17.62   	  -5.09		 16.70   	   0.00		
  2.14   	 14.95   	 17.60   	  -5.09		 16.70   	   5.09		
  0.00   	  8.24   	 17.58   	  -5.09		 16.72   	  -5.09		
 -2.14   	  2.75   	 17.56   	   0.00		 16.70   	   0.00		
 -3.66   	 -0.31   	 17.56   	  -5.09		 16.70   	  -5.09		
 -4.58   	 -1.53   	 17.54   	   0.00		 16.68   	  -5.09		
 -4.27   	 -0.92   	 17.54   	  -5.09		 16.66   	 -10.17		
 -3.05   	  1.22   	 17.52   	  -5.09		 16.62   	  -5.09		
 -1.22   	  4.58   	 17.50   	   0.00		 16.60   	  -5.09		
  0.00   	  8.85   	 17.50   	  -5.09		 16.58   	 -10.17		
  0.31   	 11.90   	 17.48   	   0.00		 16.54   	  -5.09		
 -0.61   	 12.82   	 17.48   	  -5.09		 16.52   	   0.00		
 -1.83   	 12.51   	 17.46   	  -5.09		 16.52   	  -5.09		
 -1.83   	 12.51   	 17.44   	   0.00		 16.50   	   0.00		
 -0.92   	 12.82   	 17.44   	  -5.09		 16.50   	   0.00		
  0.92   	 14.04   	 17.42   	   5.09		 16.50   	   0.00		
  2.44   	 14.34   	 17.44   	   0.00		 16.50   	   5.09		
  3.05   	 13.43   	 17.44   	   0.00		 16.52   	   5.09		
  3.05   	 11.29   	 17.44   	  10.17		 16.54   	   5.09		
  2.44   	  8.24   	 17.48   	   5.09		 16.56   	  10.17		
  1.83   	  4.88   	 17.50   	   5.09		 16.60   	  10.17		
  1.83   	  1.22   	 17.52   	  10.17		 16.64   	  10.17		
  2.44   	 -2.44   	 17.56   	  10.17		 16.68   	  15.26		
  4.27   	 -5.49   	 17.60   	  10.17		 16.74   	  15.26		
  6.41   	 -7.93   	 17.64   	   5.09		 16.81   	  15.26		
  8.24   	-10.07   	 17.66   	  10.17		 16.87   	  10.17		
  8.85   	-11.90   	 17.70   	   5.09		 16.91   	  15.26		
  8.24   	-12.82   	 17.72   	  10.17		 16.97   	  10.17		
  6.41   	-12.82   	 17.76   	   5.09		 17.01   	  10.17		
  4.58   	-11.90   	 17.78   	  10.17		 17.05   	   5.09		
  3.36   	-10.99   	 17.82   	   5.09		 17.07   	  10.17		
  3.05   	-10.38   	 17.84   	  10.17		 17.11   	   5.09		
  3.05   	-10.07   	 17.88   	   5.09		 17.13   	   5.09		
  3.05   	 -9.46   	 17.90   	  10.17		 17.15   	   5.09		
  3.36   	 -7.63   	 17.94   	   5.09		 17.17   	   5.09		
  3.05   	 -4.88   	 17.97   	  10.17		 17.19   	   5.09		
  2.44   	 -2.75   	 18.01   	   5.09		 17.21   	  10.17		
  1.53   	 -1.83   	 18.03   	   5.09		 17.25   	   5.09		
  0.61   	 -2.14   	 18.05   	   5.09		 17.27   	   0.00		
  0.31   	 -2.75   	 18.07   	   5.09		 17.27   	   5.09		
  0.61   	 -3.66   	 18.09   	   5.09		 17.29   	   5.09		
  1.53   	 -4.27   	 18.11   	   5.09		 17.31   	   5.09		
  2.75   	 -4.88   	 18.13   	   5.09		 17.33   	   0.00		
  3.66   	 -4.27   	 18.15   	   5.09		 17.33   	   5.09		
  3.97   	 -2.75   	 18.17   	  10.17		 17.35   	   0.00		
  3.66   	  0.61   	 18.21   	   5.09		 17.35   	   5.09		
  2.14   	  5.49   	 18.23   	   5.09		 17.38   	   5.09		
 -0.31   	 10.68   	 18.25   	   5.09		 17.40   	   5.09		
 -2.44   	 14.95   	 18.27   	  10.17		 17.42   	   5.09		
 -4.58   	 17.40   	 18.31   	   5.09		 17.44   	  10.17		
 -5.80   	 18.31   	 18.33   	  10.17		 17.48   	  10.17		
 -6.10   	 18.62   	 18.37   	  10.17		 17.52   	  10.17		
 -5.49   	 19.23   	 18.41   	  10.17		 17.56   	  10.17		
 -4.58   	 21.36   	 18.45   	  10.17		 17.60   	  15.26		
 -3.66   	 24.41   	 18.49   	  10.17		 17.66   	  10.17		
 -2.75   	 26.55   	 18.54   	  10.17		 17.70   	  10.17		
 -2.14   	 26.86   	 18.58   	  15.26		 17.74   	  10.17		
 -1.53   	 25.33   	 18.64   	  10.17		 17.78   	   5.09		
 -1.22   	 22.28   	 18.68   	  10.17		 17.80   	   5.09		
 -1.22   	 18.92   	 18.72   	  10.17		 17.82   	   0.00		
 -0.92   	 15.56   	 18.76   	  10.17		 17.82   	   0.00		
  0.00   	 11.90   	 18.80   	  10.17		 17.82   	   0.00		
  1.53   	  7.63   	 18.84   	  10.17		 17.82   	   0.00		
  2.75   	  3.66   	 18.88   	  10.17		 17.82   	   0.00		
  3.36   	  1.22   	 18.92   	   5.09		 17.82   	   5.09		
  2.75   	  0.92   	 18.94   	  10.17		 17.84   	   5.09		
  1.22   	  2.44   	 18.98   	   5.09		 17.86   	  10.17		
 -0.61   	  4.58   	 19.00   	   5.09		 17.90   	   5.09		
 -1.53   	  6.71   	 19.02   	   5.09		 17.92   	  10.17		
 -0.61   	  7.63   	 19.04   	   5.09		 17.97   	   5.09		
  1.53   	  8.24   	 19.06   	  10.17		 17.99   	   5.09		
  4.27   	  8.54   	 19.10   	   0.00		 18.01   	   5.09		
  6.10   	  8.85   	 19.10   	   5.09		 18.03   	   0.00		
  6.41   	  8.24   	 19.13   	   5.09		 18.03   	  -5.09		
  4.88   	  6.10   	 19.15   	   0.00		 18.01   	  -5.09		
  3.36   	  3.66   	 19.15   	   0.00		 17.99   	 -10.17		
  3.05   	  2.44   	 19.15   	  -5.09		 17.94   	 -10.17		
  4.58   	  3.97   	 19.13   	   0.00		 17.90   	  -5.09		
  6.71   	  8.54   	 19.13   	  -5.09		 17.88   	  -5.09		
  8.85   	 13.12   	 19.10   	  -5.09		 17.86   	  -5.09		
  9.16   	 15.56   	 19.08   	  -5.09		 17.84   	  -5.09		
  7.93   	 14.34   	 19.06   	   0.00		 17.82   	   0.00		
  5.49   	 11.60   	 19.06   	   0.00		 17.82   	   5.09		
  3.66   	 10.38   	 19.06   	   0.00		 17.84   	   5.09		
  2.44   	 12.21   	 19.06   	   5.09		 17.86   	  10.17		
  2.44   	 16.78   	 19.08   	   0.00		 17.90   	  10.17		
  2.44   	 21.06   	 19.08   	   0.00		 17.94   	  10.17		
  1.53   	 24.11   	 19.08   	   5.09		 17.99   	  10.17		
 -1.22   	 25.33   	 19.10   	   0.00		 18.03   	  10.17		
 -4.27   	 26.25   	 19.10   	   0.00		 18.07   	  10.17		
 -7.32   	 26.55   	 19.10   	   5.09		 18.11   	   5.09		
 -8.54   	 26.55   	 19.13   	   0.00		 18.13   	  10.17		
 -7.93   	 25.02   	 19.13   	   5.09		 18.17   	   5.09		
 -6.71   	 22.89   	 19.15   	   0.00		 18.19   	   5.09		
 -5.19   	 21.06   	 19.15   	   5.09		 18.21   	   0.00		
 -3.66   	 21.97   	 19.17   	   5.09		 18.21   	   5.09		
 -1.53   	 24.72   	 19.19   	   5.09		 18.23   	   0.00		
  0.61   	 27.16   	 19.21   	   5.09		 18.23   	   5.09		
  3.05   	 27.16   	 19.23   	   5.09		 18.25   	   0.00		
  4.58   	 22.89   	 19.25   	   5.09		 18.25   	   0.00		
  4.58   	 15.26   	 19.27   	   5.09		 18.25   	  -5.09		
  3.05   	  7.02   	 19.29   	   5.09		 18.23   	   0.00		
  1.22   	  1.53   	 19.31   	   0.00		 18.23   	   0.00		
  0.00   	  0.00   	 19.31   	   5.09		 18.23   	  -5.09		
  0.00   	  1.83   	 19.33   	   5.09		 18.21   	  -5.09		
  1.22   	  4.27   	 19.35   	   0.00		 18.19   	   0.00		
  2.44   	  4.58   	 19.35   	   5.09		 18.19   	  -5.09		
  3.05   	  2.75   	 19.37   	   0.00		 18.17   	   0.00		
  2.44   	 -0.31   	 19.37   	   0.00		 18.17   	  -5.09		
  1.83   	 -1.53   	 19.37   	   0.00		 18.15   	   0.00		
  2.14   	  0.00   	 19.37   	   0.00		 18.15   	   0.00		
  3.05   	  2.44   	 19.37   	   0.00		 18.15   	   0.00		
  3.66   	  3.66   	 19.37   	   0.00		 18.15   	   0.00		
  3.66   	  2.14   	 19.37   	   0.00		 18.15   	   0.00		
  2.75   	 -1.22   	 19.37   	   0.00		 18.15   	   0.00		
  1.22   	 -4.58   	 19.37   	  -5.09		 18.15   	   0.00		
  0.61   	 -6.10   	 19.35   	  -5.09		 18.15   	   0.00		
  1.22   	 -6.10   	 19.33   	   0.00		 18.15   	   0.00		
  2.14   	 -5.19   	 19.33   	  -5.09		 18.15   	   5.09		
  2.75   	 -3.36   	 19.31   	   0.00		 18.17   	   0.00		
  2.44   	 -0.61   	 19.31   	   0.00		 18.17   	   0.00		
  1.53   	  3.36   	 19.31   	   0.00		 18.17   	   0.00		
  0.61   	  8.54   	 19.31   	   0.00		 18.17   	   0.00		
  0.00   	 13.73   	 19.31   	   5.09		 18.17   	   0.00		
  0.61   	 18.62   	 19.33   	   0.00		 18.17   	   0.00		
  1.53   	 22.58   	 19.33   	   5.09		 18.17   	   0.00		
  1.83   	 25.94   	 19.35   	   0.00		 18.17   	   0.00		
  1.22   	 28.69   	 19.35   	   0.00		 18.17   	   5.09		
 -0.61   	 29.91   	 19.35   	   0.00		 18.19   	   0.00		
 -3.05   	 29.30   	 19.35   	   0.00		 18.19   	   5.09		
 -4.88   	 26.86   	 19.35   	   0.00		 18.21   	   5.09		
 -5.80   	 22.89   	 19.35   	   0.00		 18.23   	   5.09		
 -5.80   	 18.92   	 19.35   	   5.09		 18.25   	   5.09		
 -6.10   	 16.48   	 19.37   	   0.00		 18.27   	  10.17		
 -6.41   	 15.87   	 19.37   	   5.09		 18.31   	   5.09		
 -6.41   	 15.56   	 19.39   	   5.09		 18.33   	   5.09		
 -5.49   	 14.95   	 19.41   	   5.09		 18.35   	  10.17		
 -3.66   	 12.51   	 19.43   	   0.00		 18.39   	   5.09		
 -1.83   	  8.24   	 19.43   	   5.09		 18.41   	   5.09		
 -0.61   	  3.36   	 19.45   	   0.00		 18.43   	   5.09		
 -0.31   	 -0.61   	 19.45   	   5.09		 18.45   	   0.00		
 -0.31   	 -2.75   	 19.47   	   5.09		 18.45   	   5.09		
  0.00   	 -2.44   	 19.49   	   5.09		 18.47   	   5.09		
  0.31   	 -0.31   	 19.51   	   5.09		 18.49   	   0.00		
  0.61   	  3.36   	 19.53   	   5.09		 18.49   	   5.09		
 -0.31   	  7.63   	 19.55   	  10.17		 18.51   	   0.00		
 -1.22   	 12.51   	 19.59   	   5.09		 18.51   	   0.00		
 -2.14   	 17.40   	 19.61   	   5.09		 18.51   	   0.00		
 -1.53   	 21.67   	 19.63   	  10.17		 18.51   	   0.00		
 -0.31   	 24.41   	 19.67   	   5.09		 18.51   	   0.00		
  1.83   	 25.63   	 19.69   	   0.00		 18.51   	  -5.09		
  3.36   	 25.94   	 19.69   	   5.09		 18.49   	   0.00		
  4.58   	 25.94   	 19.72   	   0.00		 18.49   	   0.00		
  5.19   	 25.33   	 19.72   	   5.09		 18.49   	   0.00		
  5.19   	 24.11   	 19.74   	   0.00		 18.49   	   5.09		
  5.49   	 22.58   	 19.74   	   0.00		 18.51   	   0.00		
  5.49   	 20.75   	 19.74   	   5.09		 18.51   	   5.09		
  5.49   	 19.23   	 19.76   	   0.00		 18.54   	   5.09		
  4.88   	 17.70   	 19.76   	   0.00		 18.56   	   0.00		
  4.27   	 16.78   	 19.76   	   5.09		 18.56   	   5.09		
  3.97   	 16.78   	 19.78   	   0.00		 18.58   	   0.00		
  3.97   	 17.70   	 19.78   	   5.09		 18.58   	   5.09		
  4.58   	 20.14   	 19.80   	   0.00		 18.60   	  -5.09		
  5.19   	 23.19   	 19.80   	   0.00		 18.58   	   0.00		
  4.58   	 27.16   	 19.80   	  -5.09		 18.58   	   0.00		
  3.05   	 30.52   	 19.78   	   0.00		 18.58   	  -5.09		
  1.22   	 33.26   	 19.78   	  -5.09		 18.56   	  -5.09		
 -0.61   	 33.87   	 19.76   	   0.00		 18.54   	   0.00		
 -2.14   	 31.74   	 19.76   	  -5.09		 18.54   	   0.00		
 -3.36   	 26.55   	 19.74   	  -5.09		 18.54   	  -5.09		
 -5.49   	 18.31   	 19.72   	   0.00		 18.51   	   0.00		
 -9.46   	  4.58   	 19.72   	  -5.09		 18.51   	   5.09		
-13.73   	-18.31   	 19.69   	  -5.09		 18.54   	   0.00		
-14.34   	-46.39   	 19.67   	   0.00		 18.54   	   5.09		
 -7.32   	-59.51   	 19.67   	   0.00		 18.56   	   0.00		
 11.60   	-21.67   	 19.67   	   0.00		 18.56   	   5.09		
 41.81   	106.20   	 19.67   	   0.00		 18.58   	   5.09		
 79.96   	340.88   	 19.67(E)	   5.09		 18.60   	   0.00		
117.49   	656.13   	 19.69   	  10.17		 18.60   	   0.00		
143.13   	978.09   	 19.74   	  20.35		 18.60(E)	  10.17		
119.93   	1293.34(R)	 19.82   	  15.26		 18.64   	   5.09		
 69.58   	1195.98   	 19.88   	  25.43		 18.66   	  10.17		
 13.12   	961.00   	 19.98   	  35.61		 18.70   	  20.35		
-27.77   	668.03   	 20.12   	  45.78		 18.78   	  20.35		
-40.28   	396.42   	 20.31   	  61.04		 18.86   	  30.52		
-26.25   	195.01   	 20.55   	  81.38		 18.98   	  45.78		
 -2.75   	 73.85   	 20.87   	 106.82		 19.17   	  50.86		
 13.43   	 14.95   	 21.30   	 137.33		 19.37   	  66.12		
 15.87   	-10.07   	 21.85   	 167.85		 19.63   	  81.38		
  9.16   	-22.58   	 22.52   	 213.63		 19.96   	  91.56		
  2.44   	-32.65   	 23.38   	 254.32		 20.33   	 106.82		
  0.31   	-42.11   	 24.39   	 310.27		 20.75   	 116.99		
  1.83   	-50.35   	 25.64   	 361.14		 21.22   	 132.25		
  3.97   	-56.76   	 27.08   	 417.09		 21.75   	 142.42		
  4.27   	-61.04   	 28.75   	 473.04		 22.32   	 157.68		
  3.05   	-64.70   	 30.64   	 528.99		 22.95   	 162.77		
  1.22   	-68.05   	 32.76   	 574.77		 23.60   	 178.03		
 -0.31   	-72.33   	 35.06   	 610.37		 24.31   	 178.03		
 -1.53   	-75.99   	 37.50   	 635.81		 25.03   	 183.11		
 -2.44   	-78.13   	 40.04   	 640.89		 25.76   	 178.03		
 -3.36   	-79.04   	 42.60   	 640.89		 26.47   	 172.94		
 -4.88   	-79.96   	 45.17   	 625.63		 27.16   	 162.77		
 -7.02   	-83.01   	 47.67   	 595.11		 27.81   	 157.68		
 -8.85   	-87.89   	 50.05   	 564.60		 28.44   	 147.51		
 -9.77   	-93.38   	 52.31   	 518.82		 29.03   	 142.42		
-10.38   	-97.66   	 54.38   	 483.21		 29.60   	 127.16		
-10.38   	-99.79   	 56.32   	 437.43		 30.11   	 116.99		
-11.29   	-100.10   	 58.07   	 406.92		 30.58   	 106.82		
-12.82   	-99.79   	 59.69   	 376.40		 31.01   	  91.56		
-14.34   	-99.18   	 61.20   	 361.14		 31.37   	  76.30		
-15.87   	-98.27   	 62.64   	 356.05		 31.68   	  61.04		
-16.48   	-96.74   	 64.07   	 345.88		 31.92   	  50.86		
-16.17   	-95.52   	 65.45   	 335.71		 32.13   	  45.78		
-15.56   	-93.69   	 66.80   	 330.62		 32.31   	  35.61		
-14.65   	-92.47   	 68.12   	 310.27		 32.45   	  35.61		
-14.34   	-92.16   	 69.36   	 289.93		 32.59   	  35.61		
-14.65   	-93.08   	 70.52   	 264.50		 32.74   	  35.61		
-15.26   	-94.91   	 71.58   	 233.98		 32.88   	  40.69		
-15.87   	-96.13   	 72.51   	 203.46		 33.04   	  45.78		
-15.87   	-95.52   	 73.33   	 183.11		 33.22   	  50.86		
-14.65   	-93.69   	 74.06   	 167.85		 33.43   	  50.86		
-13.43   	-92.16   	 74.73   	 152.59		 33.63   	  50.86		
-11.60   	-92.47   	 75.34   	 142.42		 33.84   	  45.78		
-10.07   	-94.30   	 75.91   	 132.25		 34.02   	  45.78		
 -8.54   	-95.52   	 76.44   	 127.16		 34.20   	  45.78		
 -7.63   	-94.60   	 76.95   	 122.07		 34.38   	  45.78		
 -7.02   	-90.94   	 77.44   	 116.99		 34.57   	  40.69		
 -7.02   	-86.36   	 77.90   	 106.82		 34.73   	  40.69		
 -7.02   	-83.01   	 78.33   	 101.73		 34.89   	  45.78		
 -6.41   	-82.40   	 78.74   	 101.73		 35.08   	  40.69		
 -5.19   	-85.14   	 79.15   	 101.73		 35.24   	  40.69		
 -3.97   	-90.64   	 79.55   	 101.73		 35.40   	  45.78		
 -3.36   	-96.44   	 79.96   	  96.64		 35.58   	  40.69		
 -4.27   	-100.40   	 80.35   	 101.73		 35.75   	  45.78		
