  I     	  II     	  LV     	  LV'		  RV     	  RV'		
-17.70   	-47.00   	 23.05   	 -30.52		 13.06   	  15.26		
-16.48   	-43.95   	 22.93   	 -25.43		 13.12   	  10.17		
-16.78   	-43.95   	 22.83   	 -25.43		 13.16   	   0.00		
-18.62   	-47.00   	 22.73   	 -25.43		 13.16   	  -5.09		
-20.75   	-50.96   	 22.62   	 -15.26		 13.14   	 -20.35		
-22.28   	-52.80   	 22.56   	 -15.26		 13.06   	 -30.52		
-23.50   	-51.88   	 22.50   	 -15.26		 12.94   	 -40.69		
-26.55   	-52.19   	 22.44   	  -5.09		 12.78   	 -45.78		
-34.79   	-59.81   	 22.42   	 -10.17		 12.59   	 -40.69		
-48.52   	-78.74   	 22.38   	   0.00		 12.43   	 -40.69		
-63.17   	-100.71   	 22.38   	  -5.09		 12.27   	 -25.43		
-69.58   	-100.10   	 22.36   	  -5.09		 12.17   	 -15.26		
-57.98   	-34.48   	 22.34   	   0.00		 12.11   	  -5.09		
-19.23   	140.08   	 22.34   	   0.00		 12.09(E)	  10.17		
 47.91   	442.20   	 22.34(E)	   5.09		 12.13   	  15.26		
138.24   	839.23   	 22.36   	   5.09		 12.19   	  15.26		
238.65   	1238.10   	 22.38   	  30.52		 12.25   	  40.69		
389.10   	1593.02(R)	 22.50   	  25.43		 12.41   	  20.35		
395.81   	1467.90   	 22.60   	  35.61		 12.49   	  10.17		
341.49   	1218.57   	 22.75   	  45.78		 12.53   	  10.17		
234.68   	947.57   	 22.93   	  66.12		 12.57   	   5.09		
102.84   	720.21   	 23.19   	  91.56		 12.59   	  10.17		
-18.01   	539.55   	 23.56   	 127.16		 12.63   	   5.09		
-100.10   	380.86   	 24.07   	 157.68		 12.66   	  10.17		
-137.02   	236.21   	 24.70   	 213.63		 12.70   	  15.26		
-141.91   	118.10   	 25.55   	 264.50		 12.76   	  20.35		
-135.19   	 38.76   	 26.61   	 335.71		 12.84   	  25.43		
-129.39   	 -8.54   	 27.96   	 401.83		 12.94   	  25.43		
-125.12   	-42.42   	 29.56   	 483.21		 13.04   	  30.52		
-115.66   	-76.29   	 31.50   	 569.68		 13.16   	  35.61		
-96.74   	-106.51   	 33.77   	 651.07		 13.31   	  40.69		
-72.63   	-121.15   	 36.38   	 732.45		 13.47   	  50.86		
-49.74   	-118.41   	 39.31   	 803.66		 13.67   	  61.04		
-34.18   	-108.34   	 42.52   	 869.78		 13.92   	  76.30		
-26.55   	-102.23   	 46.00   	 915.56		 14.22   	  86.47		
-22.58   	-102.23   	 49.66   	 951.17		 14.57   	 106.82		
-19.53   	-104.37   	 53.47   	 981.68		 14.99   	 122.07		
-16.17   	-104.37   	 57.40   	1012.20		 15.48   	 137.33		
-12.82   	-101.62   	 61.44   	1037.64		 16.03   	 162.77		
-10.99   	-97.96   	 65.59   	1078.33		 16.68   	 178.03		
-11.29   	-95.21   	 69.91   	1103.76		 17.40   	 193.29		
-13.12   	-93.38   	 74.32   	1124.11		 18.17   	 213.63		
-14.65   	-91.55   	 78.82   	1129.19		 19.02   	 223.80		
-14.34   	-89.11   	 83.34   	1129.19		 19.92   	 233.98		
-12.21   	-86.06   	 87.85   	1139.36		 20.85   	 244.15		
 -8.24   	-83.01   	 92.41   	1149.54		 21.83   	 244.15		
 -4.88   	-79.65   	 97.01   	1139.36		 22.81   	 233.98		
 -3.36   	-76.90   	101.57   	1124.11		 23.74   	 233.98		
 -4.58   	-74.16   	106.06   	1098.67		 24.68   	 218.72		
 -7.32   	-71.72   	110.46   	1063.07		 25.55   	 198.37		
 -9.16   	-68.66   	114.71   	1037.64		 26.35   	 183.11		
 -8.85   	-65.31   	118.86   	1012.20		 27.08   	 167.85		
 -6.10   	-60.73   	122.91   	 976.60		 27.75   	 147.51		
 -2.14   	-54.93   	126.82   	 935.91		 28.34   	 127.16		
  0.61   	-49.44   	130.56   	 890.13		 28.85   	 111.90		
  0.92   	-45.47   	134.12   	 834.18		 29.30   	  96.64		
 -0.61   	-43.64   	137.46   	 783.31		 29.68   	  81.38		
 -1.83   	-41.81   	140.59   	 732.45		 30.01   	  76.30		
 -1.53   	-37.54   	143.52   	 686.67		 30.32   	  66.12		
  0.61   	-29.91   	146.27   	 651.07		 30.58   	  55.95		
  4.27   	-20.75   	148.87   	 610.37		 30.80   	  50.86		
  6.71   	-13.12   	151.31   	 564.60		 31.01   	  50.86		
  7.93   	 -8.24   	153.57   	 534.08		 31.21   	  40.69		
  9.16   	 -4.27   	155.71   	 508.65		 31.37   	  45.78		
 11.60   	  1.53   	157.74   	 488.30		 31.56   	  40.69		
 15.26   	 10.68   	159.69   	 467.95		 31.72   	  40.69		
 19.53   	 21.67   	161.57   	 452.69		 31.88   	  40.69		
 23.50   	 32.96   	163.38   	 427.26		 32.04   	  45.78		
 26.86   	 44.86   	165.09   	 417.09		 32.23   	  40.69		
 30.82   	 57.68   	166.75   	 401.83		 32.39   	  45.78		
 36.32   	 72.63   	168.36   	 391.66		 32.57   	  40.69		
 42.11   	 88.81   	169.93   	 391.66		 32.74   	  45.78		
 47.91   	104.06   	171.49   	 381.48		 32.92   	  45.78		
 52.49   	117.49   	173.02   	 366.22		 33.10   	  40.69		
 56.15   	129.39   	174.49   	 361.14		 33.27   	  40.69		
 59.81   	140.99   	175.93   	 345.88		 33.43   	  35.61		
 64.09   	153.50   	177.31   	 335.71		 33.57   	  30.52		
 68.97   	166.02   	178.66   	 330.62		 33.69   	  35.61		
 75.38   	177.61   	179.98   	 315.36		 33.84   	  25.43		
 82.70   	187.38   	181.24   	 305.19		 33.94   	  25.43		
 89.11   	193.79   	182.46   	 279.75		 34.04   	  20.35		
 92.47   	196.23   	183.58   	 269.58		 34.12   	  20.35		
 91.86   	196.53   	184.66   	 254.32		 34.20   	  15.26		
 89.11   	195.92   	185.68   	 244.15		 34.26   	  20.35		
 86.06   	195.92   	186.65   	 228.89		 34.34   	  15.26		
 85.14   	195.31   	187.57   	 213.63		 34.40   	  20.35		
 86.36   	192.26   	188.42   	 183.11		 34.49   	  15.26		
 88.81   	184.94   	189.15   	 147.51		 34.55   	  10.17		
 89.72   	174.26   	189.74   	 127.16		 34.59   	  15.26		
 86.98   	160.52   	190.25   	 106.82		 34.65   	  10.17		
 80.26   	145.57   	190.68   	  86.47		 34.69   	   5.09		
 70.80   	128.78   	191.03   	  76.30		 34.71(S)	   0.00		
 59.81   	110.47   	191.33   	  50.86		 34.71   	   0.00		
 48.83   	 91.25   	191.54   	  25.43		 34.71   	 -10.17		
 38.76   	 72.33   	191.64   	   5.09		 34.67   	 -15.26		
 28.99   	 54.93   	191.66(S)	 -20.35		 34.61   	 -20.35		
 19.84   	 39.37   	191.58   	 -40.69		 34.53   	 -30.52		
 12.21   	 26.25   	191.41   	 -71.21		 34.40   	 -40.69		
  7.63   	 16.17   	191.13   	 -96.64		 34.24   	 -45.78		
  5.80   	  8.24   	190.74   	-132.25		 34.06   	 -55.95		
  4.58   	  1.22   	190.21   	-172.94		 33.84   	 -66.12		
  2.14   	 -6.71   	189.52   	-213.63		 33.57   	 -81.38		
 -1.83   	-16.78   	188.67   	-249.24		 33.25   	 -86.47		
 -7.02   	-27.77   	187.67   	-300.10		 32.90   	 -96.64		
-11.60   	-37.84   	186.47   	-340.79		 32.51   	-111.90		
-14.04   	-44.56   	185.11   	-386.57		 32.06   	-122.07		
-14.65   	-48.22   	183.56   	-447.61		 31.58   	-132.25		
-14.34   	-50.05   	181.77   	-498.47		 31.05   	-147.51		
-14.04   	-51.27   	179.78   	-564.60		 30.46   	-152.59		
-14.34   	-52.49   	177.52   	-625.63		 29.85   	-157.68		
-15.26   	-54.02   	175.01   	-691.76		 29.22   	-167.85		
-17.09   	-55.85   	172.25   	-762.97		 28.55   	-178.03		
-19.23   	-58.29   	169.20   	-839.26		 27.83   	-178.03		
-21.06   	-61.65   	165.84   	-910.47		 27.12   	-183.11		
-21.67   	-64.39   	162.20   	-996.94		 26.39   	-183.11		
-21.67   	-65.92   	158.21   	-1073.24		 25.66   	-188.20		
-22.28   	-65.61   	153.92   	-1149.54		 24.90   	-188.20		
-24.11   	-64.70   	149.32   	-1220.75		 24.15   	-193.29		
-26.25   	-64.39   	144.43   	-1281.79		 23.38   	-188.20		
-26.86   	-65.31   	139.31   	-1337.74		 22.62   	-193.29		
-25.33   	-66.53   	133.96   	-1388.60		 21.85   	-193.29		
-23.50   	-67.14   	128.40   	-1424.21		 21.08   	-188.20		
-23.50   	-67.14   	122.71   	-1449.64		 20.33   	-188.20		
-25.94   	-66.83   	116.91   	-1464.90		 19.57   	-178.03		
-29.30   	-66.53   	111.05   	-1459.81		 18.86   	-178.03		
-30.52   	-66.53   	105.21   	-1454.72		 18.15   	-172.94		
-28.38   	-66.53   	 99.39   	-1429.29		 17.46   	-162.77		
-24.72   	-66.22   	 93.67   	-1393.69		 16.81   	-157.68		
-22.58   	-65.61   	 88.10   	-1358.08		 16.17   	-152.59		
-22.58   	-64.70   	 82.66   	-1312.30		 15.56   	-137.33		
-24.41   	-63.48   	 77.42   	-1261.44		 15.02   	-132.25		
-26.25   	-61.65   	 72.37   	-1215.66		 14.49   	-116.99		
-26.55   	-60.12   	 67.51   	-1159.71		 14.02   	-111.90		
-25.63   	-58.59   	 62.87   	-1103.76		 13.57   	-101.73		
-24.72   	-57.98   	 58.45   	-1037.64		 13.16   	 -86.47		
-24.72   	-58.59   	 54.30   	-971.51		 12.82   	 -86.47		
-25.33   	-60.12   	 50.42   	-905.39		 12.47   	 -71.21		
-27.16   	-62.56   	 46.80   	-839.26		 12.19   	 -66.12		
-28.99   	-64.70   	 43.44   	-773.14		 11.92   	 -66.12		
-29.91   	-65.31   	 40.35   	-707.02		 11.66   	 -50.86		
-28.69   	-63.48   	 37.52   	-645.98		 11.45   	 -50.86		
-25.33   	-59.81   	 34.93   	-579.86		 11.25   	 -50.86		
-20.14   	-55.54   	 32.61   	-523.90		 11.05   	 -40.69		
-15.26   	-52.80   	 30.52   	-473.04		 10.89   	 -35.61		
-13.12   	-53.71   	 28.63   	-417.09		 10.74   	 -35.61		
-14.95   	-57.37   	 26.96   	-381.48		 10.60   	 -25.43		
-19.53   	-61.65   	 25.43   	-335.71		 10.50   	 -25.43		
-23.50   	-64.09   	 24.09   	-300.10		 10.40   	 -25.43		
-25.02   	-64.39   	 22.89   	-269.58		 10.29   	 -15.26		
-23.50   	-63.17   	 21.81   	-244.15		 10.23   	 -10.17		
-20.75   	-62.26   	 20.83   	-213.63		 10.19   	 -10.17		
-19.23   	-62.26   	 19.98   	-193.29		 10.15   	  -5.09		
-19.23   	-62.87   	 19.21   	-172.94		 10.13   	  -5.09		
-20.14   	-62.87   	 18.51   	-157.68		 10.11(D)	   0.00		
-19.84   	-62.26   	 17.88   	-142.42		 10.11   	   5.09		
-18.92   	-60.12   	 17.31   	-127.16		 10.13   	   5.09		
-17.40   	-55.24   	 16.81   	-116.99		 10.15   	   5.09		
-16.78   	-45.47   	 16.34   	-101.73		 10.17   	   5.09		
-16.48   	-29.60   	 15.93   	 -91.56		 10.19   	   5.09		
-16.17   	 -7.32   	 15.56   	 -86.47		 10.21   	   5.09		
-14.95   	 18.31   	 15.22   	 -76.30		 10.23   	   5.09		
-13.73   	 41.81   	 14.91   	 -66.12		 10.25   	  10.17		
-12.82   	 58.59   	 14.65   	 -55.95		 10.29   	   5.09		
-12.82   	 65.61   	 14.43   	 -50.86		 10.32   	   5.09		
-12.21   	 64.39   	 14.22   	 -45.78		 10.34   	  10.17		
 -9.77   	 59.20   	 14.04   	 -40.69		 10.38   	   5.09		
 -4.58   	 53.71   	 13.88   	 -35.61		 10.40   	  10.17		
  0.61   	 50.96   	 13.73   	 -30.52		 10.44   	   5.09		
  3.36   	 50.05   	 13.61   	 -30.52		 10.46   	  10.17		
  2.44   	 49.44   	 13.49   	 -25.43		 10.50   	  10.17		
 -0.92   	 46.69   	 13.39   	 -25.43		 10.54   	   5.09		
 -3.05   	 41.50   	 13.29   	 -20.35		 10.56   	  10.17		
 -0.61   	 36.62   	 13.20   	 -20.35		 10.60   	   5.09		
  6.10   	 36.32   	 13.12   	 -15.26		 10.62   	   0.00		
 15.87   	 43.03   	 13.06   	 -15.26		 10.62   	   0.00		
 25.33   	 54.93   	 13.00   	 -10.17		 10.62   	   0.00		
 31.74   	 64.70   	 12.96   	 -10.17		 10.62   	 -10.17		
 31.74   	 66.22   	 12.92   	  -5.09		 10.58   	  -5.09		
 25.63   	 56.76   	 12.90   	  -5.09		 10.56   	 -10.17		
 15.56   	 38.45   	 12.88(D)	   0.00		 10.52   	 -15.26		
  5.19   	 15.87   	 12.88   	   5.09		 10.46   	 -15.26		
 -3.05   	 -9.16   	 12.90   	  15.26		 10.40   	 -10.17		
 -8.85   	-37.23   	 12.96   	  20.35		 10.36   	 -10.17		
-14.34   	-67.75   	 13.04   	  25.43		 10.32   	  -5.09		
-19.53   	-95.83   	 13.14   	  30.52		 10.29   	   0.00		
-22.28   	-115.05   	 13.27   	  40.69		 10.29   	  10.17		
-21.97   	-122.07   	 13.43   	  40.69		 10.34   	  15.26		
-19.23   	-119.93   	 13.59   	  50.86		 10.40   	  25.43		
-15.87   	-115.05   	 13.79   	  55.95		 10.50   	  25.43		
-14.95   	-113.22   	 14.02   	  61.04		 10.60   	  30.52		
-17.40   	-115.97   	 14.26   	  66.12		 10.72   	  25.43		
