  I     	  II     	  LV     	  LV'		  PA     	  PA'		
  4.58   	409.55   	 21.46   	 122.07		 18.84   	 -10.17		
-71.72   	220.34   	 21.95   	 162.77		 18.80   	   5.09		
-95.83   	 59.20   	 22.60   	 213.63		 18.82   	  15.26		
-86.98   	-63.17   	 23.46   	 269.58		 18.88   	  20.35		
-68.97   	-139.47   	 24.54   	 335.71		 18.96   	  25.43		
-54.63   	-173.65   	 25.88   	 412.00		 19.06   	  25.43		
-45.47   	-179.75   	 27.53   	 498.47		 19.17   	  20.35		
-37.84   	-172.42   	 29.52   	 579.86		 19.25   	  10.17		
-29.91   	-161.74   	 31.84   	 666.32		 19.29   	   5.09		
-23.80   	-153.81   	 34.51   	 757.88		 19.31   	 -10.17		
-22.28   	-154.11   	 37.54   	 844.35		 19.27   	 -20.35		
-24.41   	-162.96   	 40.92   	 920.65		 19.19   	 -30.52		
-26.86   	-174.26   	 44.60   	 981.68		 19.06   	 -35.61		
-26.55   	-178.83   	 48.52   	1027.46		 18.92   	 -35.61		
-22.89   	-174.87   	 52.63   	1063.07		 18.78   	 -35.61		
-18.31   	-166.02   	 56.89   	1088.50		 18.64   	 -30.52		
-15.26   	-158.08   	 61.24   	1098.67		 18.51   	 -20.35		
-14.95   	-154.42   	 65.64   	1108.85		 18.43   	   0.00		
-17.09   	-154.11   	 70.07   	1113.93		 18.43   	   5.09		
-20.14   	-155.33   	 74.53   	1134.28		 18.45   	  20.35		
-21.67   	-155.33   	 79.06   	1154.62		 18.54   	  30.52		
-21.36   	-153.20   	 83.68   	1174.97		 18.66   	  30.52		
-19.23   	-149.54   	 88.38   	1185.14		 18.78   	  40.69		
-17.09   	-145.26   	 93.12   	1185.14		 18.94   	  35.61		
-15.87   	-141.60   	 97.86   	1185.14		 19.08   	  40.69		
-15.87   	-138.55   	102.60   	1174.97		 19.25   	  45.78		
-15.56   	-136.41   	107.30   	1169.88		 19.43   	  45.78		
-14.34   	-134.89   	111.98   	1164.80		 19.61   	  55.95		
-12.51   	-133.36   	116.64   	1144.45		 19.84   	  71.21		
-11.29   	-131.53   	121.22   	1108.85		 20.12   	  81.38		
-11.29   	-127.56   	125.66   	1073.24		 20.45   	 101.73		
-12.21   	-121.46   	129.95   	1027.46		 20.85   	 111.90		
-12.21   	-115.05   	134.06   	 981.68		 21.30   	 132.25		
-10.68   	-109.86   	137.99   	 935.91		 21.83   	 137.33		
 -8.24   	-105.59   	141.73   	 879.96		 22.38   	 147.51		
 -7.02   	-101.32   	145.25   	 824.00		 22.97   	 147.51		
 -7.63   	-96.13   	148.54   	 757.88		 23.56   	 142.42		
 -8.24   	-89.11   	151.58   	 701.93		 24.13   	 137.33		
 -7.93   	-82.09   	154.38   	 656.15		 24.68   	 127.16		
 -5.80   	-77.21   	157.01   	 615.46		 25.19   	 116.99		
 -3.36   	-75.07   	159.47   	 590.03		 25.66   	 101.73		
 -3.05   	-73.55   	161.83   	 559.51		 26.06   	  91.56		
 -4.27   	-68.66   	164.07   	 534.08		 26.43   	  86.47		
 -5.19   	-57.68   	166.20   	 503.56		 26.78   	  76.30		
 -3.36   	-42.11   	168.22   	 467.95		 27.08   	  71.21		
  1.83   	-24.41   	170.09   	 442.52		 27.37   	  71.21		
  8.85   	 -8.54   	171.86   	 417.09		 27.65   	  66.12		
 14.65   	  5.19   	173.53   	 406.92		 27.91   	  66.12		
 17.70   	 18.31   	175.16   	 406.92		 28.18   	  61.04		
 19.84   	 32.35   	176.78   	 406.92		 28.42   	  66.12		
 23.19   	 47.30   	178.41   	 391.66		 28.69   	  61.04		
 28.69   	 62.56   	179.98   	 376.40		 28.93   	  61.04		
 36.93   	 76.90   	181.48   	 356.05		 29.18   	  50.86		
 45.17   	 88.50   	182.91   	 350.97		 29.38   	  50.86		
 51.27   	 97.96   	184.31   	 340.79		 29.58   	  45.78		
 54.93   	104.98   	185.68   	 330.62		 29.77   	  40.69		
 57.68   	110.47   	187.00   	 315.36		 29.93   	  30.52		
 61.04   	115.36   	188.26   	 295.01		 30.05   	  30.52		
 65.31   	120.24   	189.44   	 284.84		 30.17   	  25.43		
 69.58   	125.12   	190.58   	 279.75		 30.27   	  25.43		
 72.63   	129.39   	191.70   	 264.50		 30.38   	  20.35		
 73.24   	131.84   	192.76   	 259.41		 30.46   	  15.26		
 72.02   	130.62   	193.79   	 239.06		 30.52   	  20.35		
 70.19   	124.82   	194.75   	 223.80		 30.60   	  15.26		
 68.05   	114.44   	195.65   	 198.37		 30.66   	  10.17		
 65.61   	101.62   	196.44   	 178.03		 30.70   	   5.09		
 61.65   	 89.11   	197.15   	 162.77		 30.72(S)	  -5.09		
 56.76   	 78.74   	197.80   	 137.33		 30.70   	 -10.17		
 50.96   	 68.66   	198.35   	 116.99		 30.66   	 -20.35		
 44.25   	 56.15   	198.82   	  96.64		 30.58   	 -30.52		
 35.71   	 38.76   	199.21   	  71.21		 30.46   	 -35.61		
 25.63   	 16.48   	199.49   	  45.78		 30.32   	 -50.86		
 15.87   	 -7.02   	199.67   	  20.35		 30.11   	 -50.86		
  8.54   	-28.38   	199.76(S)	  -5.09		 29.91   	 -55.95		
  4.58   	-44.86   	199.73   	 -20.35		 29.68   	 -55.95		
  2.14   	-57.07   	199.65   	 -55.95		 29.46   	 -55.95		
 -1.22   	-66.53   	199.43   	 -86.47		 29.24   	 -45.78		
 -7.32   	-75.07   	199.08   	-127.16		 29.05   	 -45.78		
-13.73   	-83.62   	198.58   	-167.85		 28.87   	 -45.78		
-18.92   	-92.77   	197.90   	-203.46		 28.69   	 -45.78		
-21.06   	-101.93   	197.09   	-249.24		 28.50   	 -50.86		
-22.28   	-110.47   	196.09   	-295.01		 28.30   	 -55.95		
-24.11   	-118.10   	194.91   	-345.88		 28.08   	 -66.12		
-26.25   	-123.60   	193.53   	-401.83		 27.81   	 -76.30		
-26.55   	-126.34   	191.92   	-467.95		 27.51   	 -91.56		
-23.80   	-126.34   	190.05   	-518.82		 27.14   	 -96.64		
-19.53   	-123.90   	187.97   	-574.77		 26.75   	-106.82		
-16.48   	-120.85   	185.68   	-640.89		 26.33   	-116.99		
-17.70   	-118.41   	183.11   	-707.02		 25.86   	-111.90		
-21.36   	-118.41   	180.28   	-788.40		 25.41   	-122.07		
-25.02   	-121.15   	177.13   	-874.87		 24.92   	-111.90		
-25.94   	-126.34   	173.63   	-961.34		 24.48   	-106.82		
-25.33   	-131.84   	169.79   	-1052.90		 24.05   	 -91.56		
-24.11   	-135.19   	165.57   	-1134.28		 23.68   	 -81.38		
-23.19   	-134.58   	161.04   	-1215.66		 23.36   	 -61.04		
-23.19   	-130.31   	156.17   	-1291.96		 23.11   	 -50.86		
-23.50   	-124.82   	151.01   	-1363.17		 22.91   	 -35.61		
-25.02   	-120.85   	145.55   	-1429.29		 22.77   	 -25.43		
-27.16   	-120.24   	139.84   	-1485.24		 22.67   	 -20.35		
-29.91   	-121.77   	133.90   	-1531.02		 22.58   	 -15.26		
-31.43   	-122.68   	127.77   	-1561.54		 22.52   	 -20.35		
-30.21   	-121.15   	121.53   	-1586.97		 22.44   	 -15.26		
-26.86   	-118.10   	115.18   	-1586.97		 22.38   	 -25.43		
-24.41   	-115.36   	108.83   	-1576.80		 22.28   	 -25.43		
-24.11   	-115.36   	102.52   	-1551.37		 22.18   	 -35.61		
-27.77   	-119.32   	 96.32   	-1525.93		 22.03   	 -35.61		
-33.87   	-124.51   	 90.21   	-1495.42		 21.89   	 -35.61		
-39.37   	-127.87   	 84.23   	-1444.55		 21.75   	 -40.69		
-40.89   	-127.26   	 78.45   	-1398.77		 21.59   	 -40.69		
-38.76   	-122.99   	 72.86   	-1342.82		 21.42   	 -40.69		
-34.79   	-117.80   	 67.49   	-1271.61		 21.26   	 -45.78		
-31.13   	-113.53   	 62.40   	-1200.40		 21.08   	 -40.69		
-28.99   	-112.00   	 57.60   	-1124.11		 20.92   	 -40.69		
-28.38   	-112.92   	 53.10   	-1047.81		 20.75   	 -35.61		
-28.38   	-115.36   	 48.91   	-976.60		 20.61   	 -35.61		
-28.38   	-116.88   	 45.00   	-900.30		 20.47   	 -30.52		
-28.69   	-116.58   	 41.40   	-824.00		 20.35   	 -20.35		
-29.60   	-115.05   	 38.11   	-752.79		 20.26   	 -20.35		
-30.52   	-112.30   	 35.10   	-686.67		 20.18   	 -20.35		
-30.52   	-110.17   	 32.35   	-615.46		 20.10   	 -10.17		
-29.91   	-107.73   	 29.89   	-559.51		 20.06   	 -10.17		
-28.38   	-102.54   	 27.65   	-498.47		 20.02   	 -10.17		
-26.86   	-92.16   	 25.66   	-447.61		 19.98   	  -5.09		
-25.33   	-75.99   	 23.87   	-396.74		 19.96   	 -10.17		
-23.80   	-55.85   	 22.28   	-350.97		 19.92   	 -10.17		
-21.97   	-35.10   	 20.87   	-315.36		 19.88   	 -15.26		
-19.84   	-18.01   	 19.61   	-279.75		 19.82   	 -10.17		
-18.01   	 -6.71   	 18.49   	-249.24		 19.78   	 -15.26		
-16.78   	  0.00   	 17.50   	-218.72		 19.72   	 -15.26		
-15.56   	  4.27   	 16.62   	-188.20		 19.65   	 -20.35		
-13.12   	  7.93   	 15.87   	-162.77		 19.57   	 -15.26		
 -9.16   	 12.21   	 15.22   	-142.42		 19.51   	 -20.35		
 -4.88   	 17.70   	 14.65   	-122.07		 19.43   	 -20.35		
 -1.83   	 23.19   	 14.16   	-106.82		 19.35   	 -20.35		
 -0.92   	 27.16   	 13.73   	 -96.64		 19.27   	 -25.43		
 -0.92   	 28.38   	 13.35   	 -86.47		 19.17   	 -25.43		
 -0.61   	 26.55   	 13.00   	 -76.30		 19.06   	 -25.43		
  1.83   	 23.80   	 12.70   	 -71.21		 18.96   	 -30.52		
  7.32   	 23.80   	 12.41   	 -61.04		 18.84   	 -30.52		
 15.56   	 28.69   	 12.17   	 -61.04		 18.72   	 -35.61		
 25.33   	 36.93   	 11.92   	 -50.86		 18.58   	 -35.61		
 32.96   	 43.64   	 11.72   	 -45.78		 18.43   	 -40.69		
 34.18   	 42.11   	 11.54   	 -45.78		 18.27   	 -40.69		
 26.86   	 28.08   	 11.35   	 -40.69		 18.11   	 -50.86		
 12.82   	  1.53   	 11.19   	 -30.52		 17.90   	 -45.78		
 -3.36   	-34.18   	 11.07   	 -30.52		 17.72   	 -55.95		
-15.87   	-72.63   	 10.95   	 -20.35		 17.50   	 -50.86		
-21.97   	-109.56   	 10.86   	 -15.26		 17.29   	 -50.86		
-21.97   	-140.38   	 10.80   	 -10.17		 17.09   	 -45.78		
-19.23   	-162.05   	 10.76(D)	   0.00		 16.91   	 -35.61		
-18.01   	-172.73   	 10.76   	   5.09		 16.76   	 -25.43		
-20.45   	-174.26   	 10.78   	  15.26		 16.66   	 -20.35		
-25.02   	-171.51   	 10.84   	  25.43		 16.58   	 -10.17		
-28.38   	-169.37   	 10.95   	  35.61		 16.54   	   5.09		
-28.08   	-171.20   	 11.09   	  40.69		 16.56   	   5.09		
-24.72   	-175.48   	 11.25   	  50.86		 16.58   	  10.17		
-21.06   	-177.92   	 11.45   	  45.78		 16.62   	  10.17		
-20.14   	-175.78   	 11.64   	  50.86		 16.66   	   5.09		
-22.89   	-169.98   	 11.84   	  45.78		 16.68   	   5.09		
-27.47   	-165.41   	 12.02   	  45.78		 16.70   	  -5.09		
-29.91   	-166.63   	 12.21   	  35.61		 16.68   	 -10.17		
-28.69   	-173.65   	 12.35   	  35.61		 16.64   	 -15.26		
-25.02   	-181.58   	 12.49   	  30.52		 16.58   	 -15.26		
-21.06   	-184.02   	 12.61   	  25.43		 16.52   	 -15.26		
-18.92   	-178.53   	 12.72   	  20.35		 16.46   	 -10.17		
-20.14   	-168.15   	 12.80   	  25.43		 16.42   	  -5.09		
-23.50   	-159.00   	 12.90   	  25.43		 16.40   	   5.09		
-25.63   	-155.64   	 13.00   	  20.35		 16.42   	   5.09		
-25.33   	-157.47   	 13.08   	  30.52		 16.44   	  15.26		
-23.19   	-160.83   	 13.20   	  25.43		 16.50   	  10.17		
-21.36   	-162.35   	 13.31   	  30.52		 16.54   	  10.17		
-20.45   	-160.22   	 13.43   	  40.69		 16.58   	   0.00		
-21.36   	-156.86   	 13.59   	  45.78		 16.58   	   0.00		
-21.97   	-154.42   	 13.77   	  50.86		 16.58   	 -10.17		
-21.36   	-153.20   	 13.98   	  61.04		 16.54   	 -20.35		
-20.45   	-153.20   	 14.22   	  66.12		 16.46   	 -20.35		
-21.06   	-153.50   	 14.49   	  71.21		 16.38   	 -20.35		
-23.80   	-153.50   	 14.77   	  66.12		 16.30   	 -20.35		
-26.86   	-152.89   	 15.04   	  66.12		 16.22   	 -20.35		
-27.47   	-150.76   	 15.30   	  61.04		 16.13   	 -15.26		
-23.80   	-146.79   	 15.54   	  55.95		 16.07   	  -5.09		
-18.01   	-140.99   	 15.77   	  55.95		 16.05   	  -5.09		
-14.04   	-135.80   	 15.99   	  45.78		 16.03   	   0.00		
-14.65   	-133.97   	 16.17   	  40.69		 16.03   	   0.00		
-18.62   	-135.80   	 16.34   	  30.52		 16.03   	   5.09		
-22.28   	-138.55   	 16.46   	  25.43		 16.05   	  10.17		
-23.19   	-139.47   	 16.56   	  15.26		 16.09   	  10.17		
-21.67   	-137.94   	 16.62   	  10.17		 16.13   	  15.26		
-19.53   	-135.19   	 16.66   	   0.00		 16.20   	  20.35		
-18.62   	-132.75   	 16.66   	  -5.09		 16.28   	  20.35		
-18.62   	-131.23   	 16.64   	 -10.17		 16.36   	  25.43		
-18.62   	-129.70   	 16.60   	 -15.26		 16.46   	  30.52		
-18.92   	-128.48   	 16.54   	 -10.17		 16.58   	  30.52		
-19.23   	-127.56   	 16.50   	 -15.26		 16.70   	  30.52		
-19.53   	-128.78   	 16.44   	 -15.26		 16.83   	  35.61		
-19.84   	-131.84   	 16.38   	 -15.26		 16.97   	  25.43		
-19.53   	-134.28   	 16.32   	 -10.17		 17.07   	  20.35		
-18.01   	-133.67   	 16.28   	 -10.17		 17.15   	  10.17		
-14.95   	-128.78   	 16.24   	  -5.09		 17.19   	   0.00		
-11.29   	-121.77   	 16.22   	   0.00		 17.19   	 -15.26		
 -8.54   	-116.88   	 16.22   	   5.09		 17.13   	 -25.43		
 -9.16   	-117.49   	 16.24   	  10.17		 17.03   	 -35.61		
-11.90   	-122.99   	 16.28   	   5.09		 16.89   	 -45.78		
-14.65   	-129.09   	 16.30   	  10.17		 16.70   	 -50.86		
-15.87   	-131.53   	 16.34   	   5.09		 16.50   	 -50.86		
-19.23   	-129.39   	 16.36   	  10.17		 16.30   	 -50.86		
-28.08   	-129.09   	 16.40   	   5.09		 16.09   	 -45.78		
-42.72   	-135.80   	 16.42   	  10.17		 15.91   	 -45.78		
-56.76   	-146.48   	 16.46   	  10.17		 15.73   	 -35.61		
-57.68   	-140.69   	 16.50   	  15.26		 15.58   	 -30.52		
-32.96   	-80.87   	 16.56   	  15.26		 15.46   	 -25.43		
 25.33   	 74.77   	 16.62   	  15.26		 15.36   	 -25.43		
117.80   	349.12   	 16.68   	  20.35		 15.26   	 -25.43		
237.12   	717.47   	 16.76   	  25.43		 15.16   	 -25.43		
367.43   	1094.97   	 16.87   	  61.04		 15.06   	 -66.12		
552.06   	1464.84(R)	 17.11(E)	  40.69		 14.79   	 -35.61		
547.18   	1383.06   	 17.27   	  50.86		 14.65   	 -40.69		
460.82   	1185.30   	 17.48   	  61.04		 14.49   	 -40.69		
312.50   	948.79   	 17.72   	  81.38		 14.32   	 -35.61		
144.65   	715.33   	 18.05   	 101.73		 14.18   	 -25.43		
  4.27   	485.84   	 18.45   	 132.25		 14.08   	 -15.26		
-78.74   	261.84   	 18.98   	 167.85		 14.02   	 -10.17		
-105.59   	 68.36   	 19.65   	 213.63		 13.98(D)	   5.09		
-98.57   	-63.48   	 20.51   	 274.67		 14.00   	   5.09		
-83.01   	-128.78   	 21.61   	 340.79		 14.02   	  15.26		
-71.41   	-149.84   	 22.97   	 417.09		 14.08   	  15.26		
-62.87   	-156.25   	 24.64   	 498.47		 14.14   	   5.09		
-53.10   	-164.18   	 26.63   	 590.03		 14.16   	   5.09		
-41.50   	-171.81   	 28.99   	 671.41		 14.18   	   0.00		
-32.96   	-173.03   	 31.68   	 768.05		 14.18   	   0.00		
-30.82   	-169.37   	 34.75   	 849.44		 14.18   	 -10.17		
-32.35   	-166.32   	 38.15   	 920.65		 14.14   	   0.00		
-32.35   	-165.41   	 41.83   	 986.77		 14.14   	   5.09		
-28.38   	-163.88   	 45.78   	1027.46		 14.16   	  15.26		
-22.28   	-159.61   	 49.89   	1063.07		 14.22   	  30.52		
-18.92   	-155.64   	 54.14   	1078.33		 14.34   	  45.78		
-20.14   	-156.25   	 58.45   	1088.50		 14.53   	  61.04		
-23.80   	-159.91   	 62.81   	1098.67		 14.77   	  66.12		
-25.94   	-163.88   	 67.20   	1119.02		 15.04   	  81.38		
-24.41   	-164.18   	 71.68   	1139.36		 15.36   	  81.38		
-19.84   	-159.30   	 76.24   	1164.80		 15.69   	  81.38		
-15.56   	-150.76   	 80.89   	1185.14		 16.01   	  86.47		
-13.43   	-140.99   	 85.64   	1195.32		 16.36   	  86.47		
-14.04   	-133.06   	 90.42   	1195.32		 16.70   	  91.56		
-15.56   	-128.17   	 95.20   	1190.23		 17.07   	  96.64		
-15.87   	-125.73   	 99.96   	1185.14		 17.46   	 111.90		
-14.95   	-125.73   	104.70   	1180.06		 17.90   	 127.16		
-13.12   	-127.87   	109.42   	1154.62		 18.41   	 142.42		
-12.82   	-131.53   	114.04   	1129.19		 18.98   	 152.59		
-14.65   	-133.97   	118.55   	1088.50		 19.59   	 167.85		
-16.48   	-131.84   	122.91   	1042.72		 20.26   	 178.03		
-16.48   	-123.90   	127.08   	 996.94		 20.98   	 172.94		
-13.73   	-111.39   	131.07   	 951.17		 21.67   	 172.94		
 -9.46   	-99.49   	134.87   	 900.30		 22.36   	 167.85		
 -7.02   	-92.47   	138.47   	 854.52		 23.03   	 152.59		
 -8.85   	-91.55   	141.89   	 808.75		 23.64   	 142.42		
-12.82   	-93.69   	145.13   	 757.88		 24.21   	 122.07		
-15.56   	-94.60   	148.16   	 712.10		 24.70   	 116.99		
-14.95   	-91.86   	151.01   	 671.41		 25.17   	 101.73		
-10.38   	-85.14   	153.69   	 630.72		 25.57   	  91.56		
 -3.97   	-74.16   	156.22   	 590.03		 25.94   	  91.56		
  2.14   	-61.04   	158.58   	 559.51		 26.31   	  81.38		
  6.41   	-47.61   	160.81   	 523.90		 26.63   	  81.38		
  8.54   	-35.40   	162.91   	 498.47		 26.96   	  86.47		
  9.16   	-26.55   	164.90   	 473.04		 27.30   	  86.47		
  8.85   	-20.75   	166.79   	 447.61		 27.65   	  86.47		
  9.16   	-16.17   	168.59   	 432.35		 28.00   	  86.47		
 11.60   	 -7.93   	170.31   	 406.92		 28.34   	  86.47		
 17.09   	  5.80   	171.94   	 391.66		 28.69   	  86.47		
 25.02   	 25.02   	173.51   	 381.48		 29.03   	  81.38		
 33.87   	 46.39   	175.03   	 366.22		 29.36   	  76.30		
 41.81   	 65.00   	176.50   	 361.14		 29.66   	  71.21		
 46.69   	 78.74   	177.94   	 350.97		 29.95   	  71.21		
 49.44   	 88.50   	179.35   	 340.79		 30.23   	  55.95		
 51.57   	 97.35   	180.71   	 330.62		 30.46   	  55.95		
 54.63   	106.81   	182.03   	 315.36		 30.68   	  55.95		
 58.59   	116.27   	183.30   	 305.19		 30.91   	  45.78		
 62.56   	124.21   	184.52   	 295.01		 31.09   	  45.78		
