  I     	  II     	  LVp     	  LVp'		  FA     	  FA'		
-42.11   	-55.54   	  0.06   	  50.86		 48.69   	  -5.09		
-42.11   	-54.63   	  0.26   	  55.95		 48.67   	  -5.09		
-41.81   	-53.41   	  0.49   	  66.12		 48.65   	 -10.17		
-41.20   	-52.49   	  0.75   	  76.30		 48.61   	  -5.09		
-40.89   	-51.88   	  1.06   	  76.30		 48.59   	  -5.09		
-41.50   	-50.66   	  1.36   	  76.30		 48.57   	  -5.09		
-42.72   	-48.52   	  1.67   	  71.21		 48.55   	  -5.09		
-43.33   	-45.17   	  1.95   	  55.95		 48.52   	   0.00		
-43.33   	-40.59   	  2.18   	  45.78		 48.52   	   0.00		
-42.72   	-34.79   	  2.36   	  30.52		 48.52   	   5.09		
-43.64   	-28.38   	  2.48   	  15.26		 48.55   	  -5.09		
-48.52   	-19.53   	  2.54   	   0.00		 48.52   	   0.00		
-60.42   	 -6.41   	  2.54   	 -10.17		 48.52   	   0.00		
-79.65   	 13.43   	  2.50   	 -10.17		 48.52   	  -5.09		
-101.62   	 39.98   	  2.46   	 -10.17		 48.50   	 -10.17		
-112.92   	 71.41   	  2.42   	  -5.09		 48.46   	  -5.09		
-93.38   	104.06   	  2.40   	   0.00		 48.44   	 -10.17		
-24.41   	135.80   	  2.40   	  15.26		 48.40   	 -10.17		
 99.49   	167.54   	  2.46   	  20.35		 48.36   	 -10.17		
259.40   	193.79   	  2.54   	  30.52		 48.32   	 -10.17		
415.65   	191.35   	  2.67   	  45.78		 48.28   	 -15.26		
523.07   	125.12   	  2.85   	  45.78		 48.22   	 -20.35		
554.20   	-17.70   	  3.03   	  55.95		 48.14   	 -20.35		
514.22   	-205.08   	  3.26   	  55.95		 48.06   	 -25.43		
430.30   	-369.57   	  3.48   	  55.95		 47.96   	 -25.43		
334.47   	-448.91   	  3.70   	  66.12		 47.85   	 -25.43		
245.06   	-442.20   	  3.97   	  66.12		 47.75   	 -20.35		
168.46   	-410.16   	  4.23   	  71.21		 47.67   	 -20.35		
106.51   	-419.01   	  4.52   	  81.38		 47.59   	 -15.26		
 64.39   	-481.57   	  4.84   	  91.56		 47.53   	 -15.26		
 46.08   	-550.54   	  5.21   	 111.90		 47.47   	  -5.09		
 46.39   	-561.83(R)	  5.66   	 132.25		 47.45   	 -10.17		
 51.27   	-487.98   	  6.19   	 162.77		 47.41   	   0.00		
 47.91   	-355.53   	  6.84   	 198.37		 47.41   	   0.00		
 32.96   	-217.90   	  7.63   	 239.06		 47.41   	  -5.09		
 11.90   	-114.44   	  8.59   	 295.01		 47.39   	   5.09		
 -6.71   	-55.54   	  9.77   	 350.97		 47.41   	  -5.09		
-17.40   	-29.91   	 11.17   	 422.18		 47.39   	   0.00		
-20.75   	-18.01   	 12.86   	 493.39		 47.39   	  -5.09		
-20.75   	 -7.93   	 14.83   	 579.86		 47.37   	 -10.17		
-20.75   	  4.27   	 17.15   	 666.32		 47.32   	 -10.17		
-22.89   	 16.17   	 19.82   	 752.79		 47.28   	 -10.17		
-27.47   	 24.11   	 22.83   	 839.26		 47.24   	 -15.26		
-32.65   	 27.47   	 26.19   	 915.56		 47.18   	 -20.35		
-36.01   	 28.69   	 29.85   	 986.77		 47.10   	 -15.26		
-36.62   	 31.43   	 33.79   	1037.64		 47.04   	 -20.35		
-35.10   	 35.71   	 37.94   	1068.15		 46.96   	 -20.35		
-34.18   	 40.28   	 42.22   	1073.24		 46.88   	 -15.26		
-34.48   	 42.72   	 46.51   	1057.98		 46.82   	 -20.35		
-35.40   	 43.33   	 50.74   	1012.20		 46.73   	 -10.17		
-35.10   	 42.72   	 54.79   	 951.17		 46.69   	 -10.17		
-33.57   	 42.42   	 58.60   	 890.13		 46.65   	  -5.09		
-31.43   	 43.03   	 62.16   	 824.00		 46.63   	   5.09		
-29.60   	 45.78   	 65.45   	 768.05		 46.65   	  20.35		
-28.08   	 49.74   	 68.52   	 732.45		 46.73   	  30.52		
-26.86   	 52.80   	 71.45   	 696.84		 46.86   	  55.95		
-24.72   	 54.02   	 74.24   	 681.58		 47.08   	  76.30		
-21.97   	 53.41   	 76.97   	 666.32		 47.39   	 106.82		
-19.53   	 52.49   	 79.63   	 645.98		 47.81   	 137.33		
-18.62   	 52.49   	 82.22   	 630.72		 48.36   	 178.03		
-19.53   	 54.02   	 84.74   	 600.20		 49.07   	 218.72		
-21.97   	 56.15   	 87.14   	 579.86		 49.95   	 264.50		
-24.72   	 58.29   	 89.46   	 539.16		 51.01   	 300.10		
-26.25   	 58.90   	 91.62   	 503.56		 52.21   	 345.88		
-25.63   	 58.29   	 93.63   	 452.69		 53.59   	 376.40		
-24.11   	 57.07   	 95.44   	 396.74		 55.10   	 412.00		
-21.97   	 56.15   	 97.03   	 345.88		 56.74   	 432.35		
-19.84   	 56.46   	 98.41   	 300.10		 58.47   	 447.61		
-18.62   	 57.37   	 99.61   	 274.67		 60.26   	 467.95		
-17.40   	 58.59   	100.71   	 264.50		 62.14   	 473.04		
-15.87   	 60.42   	101.77   	 264.50		 64.03   	 478.13		
-14.04   	 62.87   	102.83   	 284.84		 65.94   	 483.21		
-11.90   	 66.53   	103.97   	 289.93		 67.87   	 478.13		
 -9.46   	 70.50   	105.13   	 295.01		 69.79   	 473.04		
 -7.32   	 74.16   	106.31   	 284.84		 71.68   	 473.04		
 -5.80   	 76.29   	107.45   	 264.50		 73.57   	 457.78		
 -4.88   	 76.90   	108.50   	 239.06		 75.40   	 452.69		
 -4.27   	 76.60   	109.46   	 203.46		 77.21   	 437.43		
 -3.36   	 76.29   	110.27   	 162.77		 78.96   	 427.26		
 -1.83   	 76.60   	110.93   	 122.07		 80.67   	 406.92		
  0.61   	 78.43   	111.41   	  81.38		 82.30   	 396.74		
  3.36   	 82.40   	111.74   	  30.52		 83.89   	 381.48		
  6.71   	 87.89   	111.86   	 -10.17		 85.41   	 361.14		
  9.16   	 93.38   	111.82   	 -45.78		 86.86   	 340.79		
 10.68   	 97.35   	111.64   	 -76.30		 88.22   	 325.53		
 11.90   	 99.49   	111.33   	 -71.21		 89.52   	 305.19		
 13.43   	101.01   	111.05   	 -50.86		 90.74   	 284.84		
 16.48   	102.54   	110.84   	 -10.17		 91.88   	 269.58		
 20.45   	104.06   	110.80   	  40.69		 92.96   	 249.24		
 24.41   	105.90   	110.97   	  86.47		 93.96   	 228.89		
 27.47   	107.73   	111.31   	 116.99		 94.87   	 213.63		
 29.60   	110.17   	111.78   	 132.25		 95.73   	 198.37		
 32.04   	114.14   	112.31   	 127.16		 96.52   	 188.20		
 35.71   	118.10   	112.82   	 101.73		 97.27   	 172.94		
 39.98   	121.77   	113.22   	  71.21		 97.97   	 157.68		
 44.86   	124.21   	113.51   	  20.35		 98.60   	 152.59		
 49.44   	126.65   	113.59(S)	 -25.43		 99.21   	 142.42		
 53.41   	128.78   	113.49   	 -76.30		 99.78   	 132.25		
 57.37   	131.53   	113.18   	-111.90		100.30   	 122.07		
 61.65   	134.58   	112.74   	-147.51		100.79   	 111.90		
 66.53   	137.63   	112.15   	-167.85		101.24   	 101.73		
 71.72   	140.38   	111.47   	-178.03		101.65   	  96.64		
 76.90   	141.60   	110.76   	-178.03		102.03   	  86.47		
 80.87   	141.60   	110.05   	-172.94		102.38   	  76.30		
 83.92   	140.08   	109.36   	-167.85		102.69   	  71.21		
 87.89   	138.85   	108.69   	-162.77		102.97   	  61.04		
 93.38   	138.24   	108.04   	-157.68		103.21   	  55.95		
100.40   	138.55   	107.41   	-157.68		103.44   	  50.86		
107.42   	139.16   	106.77   	-157.68		103.64   	  40.69		
113.53   	139.47   	106.14   	-167.85		103.80   	  30.52		
118.10   	137.94   	105.47   	-183.11		103.93   	  20.35		
122.68   	134.89   	104.74   	-193.29		104.01   	  15.26		
128.17   	130.00   	103.97   	-213.63		104.07   	   5.09		
134.28   	123.29   	103.11   	-233.98		104.09(S)	  -5.09		
140.08   	115.36   	102.18   	-259.41		104.07   	 -20.35		
144.35   	107.12   	101.14   	-269.58		103.99   	 -35.61		
146.18   	 99.49   	100.06   	-295.01		103.84   	 -45.78		
144.96   	 93.08   	 98.88   	-305.19		103.66   	 -66.12		
140.99   	 87.59   	 97.66   	-320.45		103.40   	 -76.30		
134.89   	 81.79   	 96.38   	-320.45		103.09   	 -96.64		
127.56   	 74.77   	 95.10   	-325.53		102.71   	-106.82		
118.71   	 65.92   	 93.79   	-325.53		102.28   	-127.16		
109.25   	 56.15   	 92.49   	-315.36		101.77   	-142.42		
 98.27   	 47.00   	 91.23   	-305.19		101.20   	-152.59		
 85.75   	 39.98   	 90.01   	-289.93		100.59   	-162.77		
 72.02   	 34.48   	 88.85   	-284.84		 99.94   	-178.03		
 57.68   	 30.21   	 87.71   	-289.93		 99.23   	-183.11		
 44.56   	 25.33   	 86.55   	-305.19		 98.49   	-193.29		
 32.96   	 19.23   	 85.33   	-335.71		 97.72   	-203.46		
 22.28   	 12.21   	 83.99   	-386.57		 96.91   	-208.54		
 11.90   	  5.80   	 82.44   	-447.61		 96.07   	-218.72		
  2.44   	  0.61   	 80.65   	-508.65		 95.20   	-223.80		
 -5.49   	 -2.44   	 78.62   	-579.86		 94.30   	-223.80		
-11.29   	 -4.27   	 76.30   	-630.72		 93.41   	-223.80		
-15.56   	 -6.10   	 73.77   	-681.58		 92.51   	-223.80		
-19.23   	 -8.54   	 71.05   	-722.28		 91.62   	-218.72		
-22.89   	-10.99   	 68.16   	-737.54		 90.74   	-208.54		
-26.55   	-13.12   	 65.21   	-747.71		 89.91   	-203.46		
-30.52   	-14.95   	 62.22   	-747.71		 89.09   	-188.20		
-35.10   	-16.78   	 59.23   	-742.62		 88.34   	-183.11		
-39.98   	-19.23   	 56.26   	-727.36		 87.61   	-172.94		
-44.86   	-21.97   	 53.35   	-712.10		 86.92   	-167.85		
-48.22   	-23.80   	 50.50   	-691.76		 86.25   	-152.59		
-49.44   	-24.11   	 47.73   	-671.41		 85.64   	-152.59		
-49.44   	-23.50   	 45.05   	-656.15		 85.03   	-142.42		
-49.44   	-23.19   	 42.42   	-635.81		 84.46   	-137.33		
-50.35   	-23.80   	 39.88   	-620.55		 83.91   	-132.25		
-51.57   	-25.02   	 37.40   	-595.11		 83.38   	-127.16		
-52.19   	-26.25   	 35.02   	-579.86		 82.87   	-116.99		
-52.19   	-27.16   	 32.70   	-559.51		 82.40   	-122.07		
-51.27   	-27.77   	 30.46   	-528.99		 81.91   	-111.90		
-50.66   	-28.08   	 28.34   	-508.65		 81.46   	-106.82		
-50.66   	-28.38   	 26.31   	-478.13		 81.04   	-106.82		
-50.35   	-28.69   	 24.39   	-452.69		 80.61   	-106.82		
-49.13   	-28.69   	 22.58   	-427.26		 80.18   	 -96.64		
-46.69   	-28.99   	 20.87   	-386.57		 79.80   	-101.73		
-43.95   	-29.30   	 19.33   	-356.05		 79.39   	 -96.64		
-42.11   	-30.21   	 17.90   	-325.53		 79.00   	 -96.64		
-41.81   	-31.13   	 16.60   	-284.84		 78.62   	 -91.56		
-42.72   	-31.13   	 15.46   	-254.32		 78.25   	 -96.64		
-44.56   	-30.21   	 14.45   	-218.72		 77.86   	 -91.56		
-44.56   	-28.08   	 13.57   	-193.29		 77.50   	 -91.56		
-43.03   	-25.33   	 12.80   	-162.77		 77.13   	 -91.56		
-40.28   	-23.80   	 12.15   	-142.42		 76.76   	 -86.47		
-38.45   	-23.50   	 11.58   	-122.07		 76.42   	 -91.56		
-37.54   	-24.72   	 11.09   	-106.82		 76.05   	 -86.47		
-37.84   	-25.94   	 10.66   	 -86.47		 75.71   	 -86.47		
-39.06   	-27.16   	 10.32   	 -76.30		 75.36   	 -81.38		
-40.59   	-27.77   	 10.01   	 -71.21		 75.04   	 -76.30		
-42.72   	-29.30   	  9.73   	 -61.04		 74.73   	 -81.38		
-45.17   	-31.74   	  9.48   	 -61.04		 74.40   	 -71.21		
-46.69   	-35.40   	  9.24   	 -55.95		 74.12   	 -76.30		
-47.30   	-38.15   	  9.01   	 -50.86		 73.81   	 -71.21		
-46.69   	-39.06   	  8.81   	 -45.78		 73.53   	 -66.12		
-45.78   	-37.84   	  8.63   	 -40.69		 73.27   	 -66.12		
-45.17   	-35.71   	  8.46   	 -40.69		 73.00   	 -66.12		
-46.08   	-33.87   	  8.30   	 -30.52		 72.74   	 -61.04		
-48.22   	-33.57   	  8.18   	 -20.35		 72.49   	 -61.04		
-50.35   	-33.87   	  8.10   	 -20.35		 72.25   	 -61.04		
-51.88   	-35.10   	  8.02   	 -15.26		 72.00   	 -55.95		
-52.80   	-36.62   	  7.96   	 -10.17		 71.78   	 -55.95		
-52.49   	-38.15   	  7.91   	 -10.17		 71.56   	 -50.86		
-51.88   	-38.76   	  7.87   	 -10.17		 71.35   	 -55.95		
-51.57   	-39.06   	  7.83   	 -10.17		 71.13   	 -50.86		
-51.88   	-38.76   	  7.79   	 -15.26		 70.93   	 -55.95		
-53.41   	-38.45   	  7.73   	 -15.26		 70.70   	 -50.86		
-55.54   	-38.45   	  7.67   	 -15.26		 70.50   	 -55.95		
-57.07   	-39.06   	  7.61   	 -20.35		 70.27   	 -55.95		
-57.68   	-39.06   	  7.53   	 -25.43		 70.05   	 -55.95		
-57.07   	-39.06   	  7.43   	 -20.35		 69.83   	 -61.04		
-55.54   	-38.45   	  7.34   	 -20.35		 69.58   	 -55.95		
-53.71   	-37.84   	  7.26   	 -15.26		 69.36   	 -61.04		
-52.80   	-37.54   	  7.20   	 -15.26		 69.11   	 -61.04		
-53.10   	-38.15   	  7.14   	 -10.17		 68.87   	 -61.04		
-55.24   	-39.06   	  7.10   	 -10.17		 68.63   	 -61.04		
-57.68   	-39.67   	  7.06   	  -5.09		 68.38   	 -61.04		
-60.12   	-39.67   	  7.04(D)	   0.00		 68.14   	 -55.95		
-61.04   	-38.76   	  7.04   	   5.09		 67.91   	 -61.04		
-61.34   	-37.84   	  7.06   	   0.00		 67.67   	 -55.95		
-61.04   	-37.54   	  7.06   	  10.17		 67.45   	 -55.95		
-59.81   	-36.93   	  7.10   	   5.09		 67.22   	 -55.95		
-56.15   	-33.26   	  7.12   	  10.17		 67.00   	 -61.04		
-50.05   	-24.72   	  7.16   	  15.26		 66.75   	 -55.95		
-42.42   	-11.29   	  7.22   	  10.17		 66.53   	 -50.86		
-36.01   	  4.88   	  7.26   	  15.26		 66.33   	 -55.95		
-32.65   	 19.84   	  7.32   	  15.26		 66.10   	 -55.95		
-32.65   	 28.99   	  7.39   	  10.17		 65.88   	 -50.86		
-34.18   	 30.52   	  7.43   	  10.17		 65.68   	 -55.95		
-36.01   	 25.94   	  7.47   	  15.26		 65.45   	 -50.86		
-37.54   	 20.75   	  7.53   	  10.17		 65.25   	 -50.86		
-39.06   	 19.84   	  7.57   	  10.17		 65.05   	 -45.78		
-39.67   	 25.94   	  7.61   	   5.09		 64.86   	 -50.86		
-38.76   	 36.32   	  7.63   	   5.09		 64.66   	 -45.78		
-35.10   	 46.39   	  7.65   	   0.00		 64.48   	 -50.86		
-28.69   	 49.74   	  7.65   	   0.00		 64.27   	 -45.78		
-22.28   	 45.47   	  7.65   	   0.00		 64.09   	 -40.69		
-19.53   	 36.93   	  7.65   	  -5.09		 63.93   	 -45.78		
-22.28   	 28.38   	  7.63   	  -5.09		 63.74   	 -40.69		
-30.21   	 20.75   	  7.61   	  -5.09		 63.58   	 -40.69		
-39.67   	 11.90   	  7.59   	  -5.09		 63.42   	 -40.69		
-46.69   	 -0.61   	  7.57   	 -10.17		 63.26   	 -35.61		
-48.22   	-15.26   	  7.53   	 -10.17		 63.11   	 -40.69		
-44.25   	-25.63   	  7.49   	  -5.09		 62.95   	 -45.78		
-35.71   	-25.94   	  7.47   	  -5.09		 62.77   	 -40.69		
-23.50   	-14.95   	  7.45   	  -5.09		 62.60   	 -45.78		
 -9.46   	  1.53   	  7.43   	  -5.09		 62.42   	 -45.78		
  3.66   	 14.95   	  7.41   	   5.09		 62.24   	 -45.78		
 10.99   	 18.01   	  7.43   	   5.09		 62.05   	 -45.78		
  8.24   	  9.77   	  7.45   	  15.26		 61.87   	 -45.78		
 -5.19   	 -6.71   	  7.51   	  20.35		 61.69   	 -45.78		
-26.55   	-26.55   	  7.59   	  20.35		 61.51   	 -40.69		
-49.74   	-44.56   	  7.67   	  25.43		 61.34   	 -45.78		
-68.66   	-57.68   	  7.77   	  30.52		 61.16   	 -40.69		
-79.04   	-66.22   	  7.89   	  25.43		 61.00   	 -35.61		
-80.87   	-70.50   	  8.00   	  20.35		 60.85   	 -35.61		
-76.90   	-71.72   	  8.08   	  15.26		 60.71   	 -35.61		
-71.41   	-71.11   	  8.14   	  10.17		 60.57   	 -30.52		
-68.97   	-69.89   	  8.18   	   5.09		 60.45   	 -30.52		
-70.19   	-69.27   	  8.20   	   5.09		 60.33   	 -25.43		
-74.16   	-70.19   	  8.22   	  15.26		 60.22   	 -25.43		
-78.13   	-72.33   	  8.28   	  15.26		 60.12   	 -20.35		
-80.87   	-74.77   	  8.34   	  30.52		 60.04   	 -20.35		
-83.01   	-77.51   	  8.46   	  35.61		 59.96   	 -15.26		
-84.84   	-79.35   	  8.61   	  50.86		 59.90   	 -20.35		
-85.75   	-79.04   	  8.81   	  50.86		 59.82   	 -20.35		
-84.84   	-76.90   	  9.01   	  61.04		 59.74   	 -15.26		
-81.79   	-72.94   	  9.26   	  61.04		 59.67   	 -20.35		
-77.82   	-68.36   	  9.50   	  50.86		 59.59   	 -20.35		
