  I     	  II     	  PW     	  PW'		  CH2     	  CH2'		
 18.01   	613.40   	 21.34   	   5.09		  0.92   	   0.00		
 59.81   	828.55   	 21.36   	   5.09		  0.92   	   0.00		
113.53   	1029.66   	 21.38   	   0.00		  0.92   	   0.00		
174.26   	1171.88   	 21.38   	   0.00		  0.92   	   0.00		
225.52   	1198.12(R)	 21.38   	   0.00		  0.92   	   0.00		
242.31   	1061.10   	 21.38   	   0.00		  0.92   	   0.00		
205.69   	761.72   	 21.38   	   5.09		  0.92   	   0.00		
122.68   	368.96   	 21.40   	   0.00		  0.92   	   0.00		
 29.91   	 -3.97   	 21.40   	  10.17		  0.92   	   0.00		
-25.02   	-247.80   	 21.44   	   5.09		  0.92   	   0.00		
-18.01   	-322.57   	 21.46   	  10.17		  0.92   	   5.09		
 31.74   	-275.88   	 21.51   	  15.26		  0.94   	   0.00		
 75.99   	-196.53   	 21.57   	  20.35		  0.94   	   0.00		
 75.38   	-152.28   	 21.65   	  30.52		  0.94   	   5.09		
 27.47   	-155.64   	 21.77   	  30.52		  0.96   	   0.00		
-39.67   	-175.17   	 21.89   	  35.61		  0.96   	   0.00		
-90.94   	-176.70   	 22.03   	  35.61		  0.96   	   5.09		
-108.64   	-154.72   	 22.18   	  45.78		  0.98   	   0.00		
-99.79   	-126.95   	 22.36   	  50.86		  0.98   	   5.09		
-83.62   	-112.00   	 22.56   	  45.78		  1.00   	   0.00		
-74.77   	-112.61   	 22.75   	  55.95		  1.00   	   5.09		
-76.29   	-118.71   	 22.97   	  55.95		  1.02   	   0.00		
-82.40   	-119.63   	 23.19   	  50.86		  1.02   	   0.00		
-86.36   	-112.92   	 23.40   	  50.86		  1.02   	   5.09		
-84.53   	-102.84   	 23.60   	  45.78		  1.04   	   0.00		
-79.65   	-95.21   	 23.78   	  40.69		  1.04   	   0.00		
-75.68   	-93.99   	 23.95   	  30.52		  1.04   	   0.00		
-75.38   	-99.18   	 24.07   	  15.26		  1.04   	   0.00		
-77.51   	-108.34   	 24.13   	   5.09		  1.04   	  -5.09		
-79.96   	-117.19   	 24.15   	  -5.09		  1.02   	   0.00		
-80.87   	-121.15   	 24.13   	 -15.26		  1.02   	   0.00		
-80.57   	-118.41   	 24.07   	 -20.35		  1.02   	  -5.09		
-79.35   	-111.39   	 23.99   	 -15.26		  1.00   	   0.00		
-78.13   	-103.76   	 23.93   	  -5.09		  1.00   	  -5.09		
-77.82   	-99.18   	 23.91   	  10.17		  0.98   	   0.00		
-77.82   	-98.27   	 23.95   	  20.35		  0.98   	  -5.09		
-78.74   	-99.49   	 24.03   	  40.69		  0.96   	   0.00		
-79.35   	-101.93   	 24.19   	  50.86		  0.96   	  -5.09		
-79.65   	-104.06   	 24.39   	  61.04		  0.94   	   0.00		
-79.65   	-106.51   	 24.64   	  61.04		  0.94   	   0.00		
-79.35   	-108.03   	 24.88   	  55.95		  0.94   	  -5.09		
-79.04   	-108.34   	 25.11   	  45.78		  0.92   	   0.00		
-79.04   	-107.42   	 25.29   	  30.52		  0.92   	  -5.09		
-79.35   	-105.59   	 25.41   	  20.35		  0.90   	   0.00		
-79.65   	-103.15   	 25.49(A)	  -5.09		  0.90   	   0.00		
-79.65   	-101.32   	 25.47   	 -15.26		  0.90   	   0.00		
-79.35   	-100.71   	 25.41   	 -25.43		  0.90   	   0.00		
-79.04   	-102.23   	 25.31   	 -40.69		  0.90   	   0.00		
-79.35   	-105.90   	 25.15   	 -40.69		  0.90   	   0.00		
-80.57   	-110.17   	 24.98   	 -40.69		  0.90   	   0.00		
-81.79   	-113.53   	 24.82   	 -35.61		  0.90   	   0.00		
-83.01   	-114.44   	 24.68   	 -30.52		  0.90   	   0.00		
-83.62   	-113.53   	 24.56   	 -30.52		  0.90   	   5.09		
-83.62   	-112.00   	 24.44   	 -20.35		  0.92   	   0.00		
-83.62   	-112.00   	 24.35   	 -20.35		  0.92   	   0.00		
-84.53   	-113.83   	 24.27   	 -15.26		  0.92   	   5.09		
-86.67   	-116.88   	 24.21   	 -10.17		  0.94   	   0.00		
-89.72   	-120.85   	 24.17   	 -15.26		  0.94   	   0.00		
-92.77   	-126.04   	 24.11   	 -15.26		  0.94   	   5.09		
-94.91   	-132.45   	 24.05   	 -15.26		  0.96   	   0.00		
-96.44   	-139.16   	 23.99   	 -20.35		  0.96   	   0.00		
-97.96   	-144.04   	 23.91   	 -25.43		  0.96   	   5.09		
-100.10   	-145.57   	 23.80   	 -30.52		  0.98   	   0.00		
-102.23   	-144.35   	 23.68   	 -30.52		  0.98   	   0.00		
-104.68   	-142.52   	 23.56   	 -35.61		  0.98   	   5.09		
-107.12   	-143.74   	 23.42   	 -35.61		  1.00   	   0.00		
-110.47   	-148.93   	 23.28   	 -30.52		  1.00   	   0.00		
-114.44   	-156.56   	 23.15   	 -25.43		  1.00   	   0.00		
-118.10   	-162.96   	 23.05   	 -25.43		  1.00   	   5.09		
-120.54   	-164.18   	 22.95   	 -25.43		  1.02   	   0.00		
-121.77   	-160.52   	 22.85   	 -15.26		  1.02   	   0.00		
-122.68   	-153.50   	 22.79   	 -10.17		  1.02   	   0.00		
-123.29   	-146.48   	 22.75   	 -10.17		  1.02   	  -5.09		
-123.90   	-140.69   	 22.71   	  -5.09		  1.00   	   0.00		
-123.60   	-135.50   	 22.69   	 -10.17		  1.00   	   0.00		
-120.85   	-128.17   	 22.64   	  -5.09		  1.00   	   0.00		
-115.97   	-117.19   	 22.62   	  -5.09		  1.00   	  -5.09		
-109.86   	-102.54   	 22.60   	  -5.09		  0.98   	   0.00		
-103.76   	-85.45   	 22.58   	  -5.09		  0.98   	  -5.09		
-97.66   	-68.97   	 22.56   	  -5.09		  0.96   	   0.00		
-91.86   	-53.41   	 22.54   	   0.00		  0.96   	  -5.09		
-85.45   	-39.37   	 22.54   	   0.00		  0.94   	   0.00		
-78.74   	-26.55   	 22.54   	   5.09		  0.94   	  -5.09		
-72.02   	-16.17   	 22.56   	  10.17		  0.92   	   0.00		
-65.31   	 -7.93   	 22.60   	  15.26		  0.92   	   0.00		
-58.59   	 -1.53   	 22.67   	  15.26		  0.92   	  -5.09		
-51.57   	  5.49   	 22.73   	  25.43		  0.90   	   0.00		
-44.56   	 13.73   	 22.83   	  30.52		  0.90   	   0.00		
-38.45   	 22.89   	 22.95   	  30.52		  0.90   	   0.00		
-33.57   	 29.60   	 23.07   	  30.52		  0.90   	   0.00		
-29.60   	 32.35   	 23.19   	  35.61		  0.90   	   0.00		
-25.94   	 30.52   	 23.34   	  40.69		  0.90   	   5.09		
-22.28   	 26.55   	 23.50   	  35.61		  0.92   	   0.00		
-19.23   	 24.11   	 23.64   	  40.69		  0.92   	   0.00		
-17.70   	 23.50   	 23.80   	  40.69		  0.92   	   5.09		
-17.40   	 23.80   	 23.97   	  40.69		  0.94   	   0.00		
-18.01   	 23.80   	 24.13   	  40.69		  0.94   	   0.00		
-18.31   	 21.97   	 24.29   	  45.78		  0.94   	   5.09		
-18.01   	 18.62   	 24.48   	  45.78		  0.96   	   0.00		
-17.40   	 15.26   	 24.66   	  45.78		  0.96   	   0.00		
-17.09   	 14.04   	 24.84   	  50.86		  0.96   	   5.09		
-17.09   	 15.56   	 25.05   	  45.78		  0.98   	   0.00		
-16.78   	 19.53   	 25.23   	  45.78		  0.98   	   0.00		
-16.17   	 23.19   	 25.41   	  45.78		  0.98   	   0.00		
-14.95   	 23.80   	 25.60   	  40.69		  0.98   	   0.00		
-14.65   	 20.14   	 25.76   	  25.43		  0.98   	   0.00		
-14.95   	 13.73   	 25.86   	  25.43		  0.98   	   0.00		
-15.87   	  8.85   	 25.96   	  15.26		  0.98   	   0.00		
-16.48   	  8.24   	 26.02   	  15.26		  0.98   	   0.00		
-15.87   	 13.43   	 26.08   	  25.43		  0.98   	   0.00		
-14.04   	 21.36   	 26.19   	  45.78		  0.98   	   0.00		
-12.21   	 27.77   	 26.37   	  76.30		  0.98   	   0.00		
-11.60   	 29.30   	 26.67   	 111.90		  0.98   	   0.00		
-12.51   	 24.72   	 27.12   	 157.68		  0.98   	   0.00		
-14.65   	 16.78   	 27.75   	 198.37		  0.98   	  -5.09		
-16.48   	  8.85   	 28.55   	 233.98		  0.96   	   0.00		
-17.09   	  4.27   	 29.48   	 244.15		  0.96   	   0.00		
-16.48   	  4.27   	 30.46   	 254.32		  0.96   	   0.00		
-15.56   	  7.63   	 31.47   	 233.98		  0.96   	   0.00		
-14.95   	 11.29   	 32.41   	 208.54		  0.96   	   0.00		
-14.95   	 12.82   	 33.25   	 162.77		  0.96   	   0.00		
-15.56   	 10.68   	 33.90   	 111.90		  0.96   	   0.00		
-16.48   	  6.41   	 34.34   	  61.04		  0.96   	  -5.09		
-16.78   	  2.14   	 34.59   	  20.35		  0.94   	   0.00		
-16.48   	  0.00   	 34.67   	 -20.35		  0.94   	   5.09		
-15.26   	 -0.31   	 34.59   	 -40.69		  0.96   	   0.00		
-14.65   	  0.61   	 34.43   	 -50.86		  0.96   	   0.00		
-14.34   	  0.92   	 34.22   	 -50.86		  0.96   	   0.00		
-15.26   	 -0.31   	 34.02   	 -35.61		  0.96   	   0.00		
-16.48   	 -3.97   	 33.88   	 -15.26		  0.96   	   0.00		
-17.70   	 -9.16   	 33.81   	  10.17		  0.96   	   0.00		
-18.92   	-15.87   	 33.86   	  30.52		  0.96   	   0.00		
-19.53   	-22.58   	 33.98   	  50.86		  0.96   	   0.00		
-20.14   	-27.16   	 34.18   	  66.12		  0.96   	   0.00		
-20.14   	-28.99   	 34.45   	  61.04		  0.96   	   0.00		
-19.84   	-28.69   	 34.69   	  55.95		  0.96   	   0.00		
-18.92   	-26.86   	 34.91   	  35.61		  0.96   	   0.00		
-18.01   	-24.41   	 35.06   	  10.17		  0.96   	   0.00		
-17.40   	-21.97   	 35.10(V)	 -15.26		  0.96   	   0.00		
-16.78   	-18.31   	 35.04   	 -45.78		  0.96   	   0.00		
-15.87   	-13.12   	 34.85   	 -76.30		  0.96   	   0.00		
-14.34   	 -4.88   	 34.55   	 -96.64		  0.96   	   0.00		
-10.99   	  8.85   	 34.16   	-106.82		  0.96   	  -5.09		
 -5.19   	 29.91   	 33.73   	-116.99		  0.94   	   0.00		
  3.05   	 58.29   	 33.27   	-122.07		  0.94   	   0.00		
 13.12   	 90.64   	 32.78   	-111.90		  0.94   	   0.00		
 23.50   	119.32   	 32.33   	-106.82		  0.94   	   0.00		
 31.74   	137.94   	 31.90   	 -96.64		  0.94   	   0.00		
 36.62   	144.65   	 31.52   	 -86.47		  0.94   	  -5.09		
 38.76   	142.82   	 31.17   	 -81.38		  0.92   	   0.00		
 39.06   	138.85   	 30.84   	 -71.21		  0.92   	   0.00		
 38.45   	135.19   	 30.56   	 -71.21		  0.92   	   0.00		
 36.62   	128.17   	 30.27   	 -76.30		  0.92   	   0.00		
 30.82   	110.78   	 29.97   	 -76.30		  0.92   	   0.00		
 20.75   	 79.65   	 29.66   	 -81.38		  0.92   	   5.09		
  6.71   	 39.06   	 29.34   	 -81.38		  0.94   	   0.00		
 -7.32   	  0.31   	 29.01   	 -81.38		  0.94   	   0.00		
-18.62   	-26.86   	 28.69   	 -86.47		  0.94   	   0.00		
-24.72   	-39.06   	 28.34   	 -81.38		  0.94   	   0.00		
-27.16   	-41.50   	 28.02   	 -76.30		  0.94   	   5.09		
-28.08   	-44.25   	 27.71   	 -66.12		  0.96   	   0.00		
-29.30   	-54.02   	 27.45   	 -66.12		  0.96   	   0.00		
-30.52   	-71.41   	 27.18   	 -55.95		  0.96   	   0.00		
-30.82   	-91.25   	 26.96   	 -45.78		  0.96   	   0.00		
-29.91   	-107.73   	 26.78   	 -40.69		  0.96   	   5.09		
-27.77   	-117.80   	 26.61   	 -35.61		  0.98   	   0.00		
-25.33   	-121.77   	 26.47   	 -30.52		  0.98   	   0.00		
-22.28   	-122.07   	 26.35   	 -30.52		  0.98   	   0.00		
-19.84   	-119.93   	 26.23   	 -30.52		  0.98   	   0.00		
-18.62   	-115.66   	 26.10   	 -25.43		  0.98   	   0.00		
-19.23   	-109.86   	 26.00   	 -30.52		  0.98   	   0.00		
-20.45   	-104.06   	 25.88   	 -35.61		  0.98   	   0.00		
-20.45   	-99.79   	 25.74   	 -30.52		  0.98   	   0.00		
-18.31   	-97.96   	 25.62   	 -35.61		  0.98   	   0.00		
-13.43   	-98.27   	 25.47   	 -40.69		  0.98   	   0.00		
 -7.93   	-99.18   	 25.31   	 -45.78		  0.98   	  -5.09		
 -3.66   	-99.79   	 25.13   	 -45.78		  0.96   	   0.00		
 -2.75   	-99.18   	 24.94   	 -45.78		  0.96   	   0.00		
 -5.19   	-97.35   	 24.76   	 -50.86		  0.96   	   0.00		
-10.38   	-94.60   	 24.56   	 -45.78		  0.96   	   0.00		
-17.09   	-92.47   	 24.37   	 -45.78		  0.96   	   0.00		
-24.72   	-91.86   	 24.19   	 -45.78		  0.96   	  -5.09		
-31.13   	-91.55   	 24.01   	 -35.61		  0.94   	   0.00		
-35.40   	-91.25   	 23.87   	 -35.61		  0.94   	   0.00		
-37.54   	-89.11   	 23.72   	 -25.43		  0.94   	   0.00		
-38.15   	-85.14   	 23.62   	 -20.35		  0.94   	   0.00		
-38.15   	-79.65   	 23.54   	 -15.26		  0.94   	   0.00		
-38.45   	-75.07   	 23.48   	 -10.17		  0.94   	  -5.09		
-39.67   	-72.33   	 23.44   	 -10.17		  0.92   	   0.00		
-41.50   	-71.72   	 23.40   	  -5.09		  0.92   	   0.00		
-43.03   	-71.41   	 23.38   	 -10.17		  0.92   	   0.00		
-43.95   	-69.89   	 23.34   	 -15.26		  0.92   	   5.09		
-44.25   	-66.83   	 23.28   	 -15.26		  0.94   	   0.00		
-43.33   	-63.17   	 23.21   	 -15.26		  0.94   	   0.00		
-41.81   	-59.51   	 23.15   	 -20.35		  0.94   	   0.00		
-39.06   	-53.71   	 23.07   	 -20.35		  0.94   	   0.00		
-35.40   	-40.28   	 22.99   	 -20.35		  0.94   	   0.00		
-31.13   	-10.68   	 22.91   	 -15.26		  0.94   	   0.00		
-25.94   	 45.78   	 22.85   	 -15.26		  0.94   	   0.00		
-19.23   	139.16   	 22.79   	  -5.09		  0.94   	   0.00		
 -7.93   	272.22   	 22.77   	   0.00		  0.94   	   5.09		
 10.99   	442.50   	 22.77   	  10.17		  0.96   	   0.00		
 39.98   	642.09   	 22.81   	  15.26		  0.96   	   0.00		
 81.18   	853.27   	 22.87   	  15.26		  0.96   	   0.00		
135.19   	1046.14   	 22.93   	  20.35		  0.96   	   0.00		
197.14   	1174.32   	 23.01   	  25.43		  0.96   	   5.09		
247.50   	1178.28(R)	 23.11   	  25.43		  0.98   	   0.00		
259.70   	1013.18   	 23.21   	  20.35		  0.98   	   0.00		
217.59   	692.14   	 23.30   	  20.35		  0.98   	   0.00		
133.97   	292.36   	 23.38   	  15.26		  0.98   	   0.00		
 48.83   	-69.89   	 23.44   	  10.17		  0.98   	   0.00		
  7.32   	-294.49   	 23.48   	  10.17		  0.98   	   0.00		
 25.02   	-356.45   	 23.52   	   5.09		  0.98   	   0.00		
 74.16   	-310.36   	 23.54   	  10.17		  0.98   	  -5.09		
106.81   	-237.73   	 23.58   	   5.09		  0.96   	   0.00		
 92.16   	-195.01   	 23.60   	  10.17		  0.96   	   0.00		
 35.71   	-188.60   	 23.64   	  15.26		  0.96   	   0.00		
-31.43   	-192.26   	 23.70   	  15.26		  0.96   	   0.00		
-77.51   	-182.50   	 23.76   	  20.35		  0.96   	   0.00		
-90.33   	-158.69   	 23.85   	  25.43		  0.96   	  -5.09		
-79.65   	-136.72   	 23.95   	  25.43		  0.94   	   0.00		
-64.09   	-128.78   	 24.05   	  35.61		  0.94   	   0.00		
-56.15   	-133.97   	 24.19   	  35.61		  0.94   	   0.00		
-58.29   	-141.91   	 24.33   	  40.69		  0.94   	   0.00		
-65.31   	-144.35   	 24.50   	  40.69		  0.94   	  -5.09		
-70.19   	-139.77   	 24.66   	  40.69		  0.92   	   0.00		
-69.89   	-132.75   	 24.82   	  30.52		  0.92   	   0.00		
-65.92   	-128.17   	 24.94   	  25.43		  0.92   	   0.00		
-62.87   	-127.26   	 25.05   	   5.09		  0.92   	   0.00		
-63.17   	-128.48   	 25.07   	  -5.09		  0.92   	   0.00		
-65.92   	-129.70   	 25.05   	 -20.35		  0.92   	   0.00		
-68.97   	-130.00   	 24.96   	 -30.52		  0.92   	   5.09		
-69.58   	-130.31   	 24.84   	 -35.61		  0.94   	   0.00		
-68.36   	-131.23   	 24.70   	 -25.43		  0.94   	   0.00		
-66.22   	-132.14   	 24.60   	 -10.17		  0.94   	   0.00		
-65.61   	-132.75   	 24.56   	   5.09		  0.94   	   0.00		
-66.83   	-131.84   	 24.58   	  40.69		  0.94   	   0.00		
-68.66   	-130.00   	 24.74   	  66.12		  0.94   	   5.09		
-69.89   	-127.56   	 25.00   	  86.47		  0.96   	   0.00		
-69.27   	-126.65   	 25.35   	 106.82		  0.96   	   0.00		
-67.75   	-127.26   	 25.78   	 111.90		  0.96   	   0.00		
-66.83   	-129.09   	 26.23   	 106.82		  0.96   	  -5.09		
-67.14   	-131.53   	 26.65   	  91.56		  0.94   	   0.00		
-67.75   	-133.67   	 27.02   	  66.12		  0.94   	   0.00		
-68.36   	-134.28   	 27.28   	  35.61		  0.94   	   0.00		
-68.66   	-133.06   	 27.43   	  10.17		  0.94   	   0.00		
-68.66   	-130.62   	 27.47(A)	 -20.35		  0.94   	   0.00		
-69.58   	-128.48   	 27.39   	 -45.78		  0.94   	   0.00		
-71.41   	-127.26   	 27.20   	 -61.04		  0.94   	   0.00		
-73.85   	-127.56   	 26.96   	 -66.12		  0.94   	   0.00		
-75.38   	-128.17   	 26.69   	 -66.12		  0.94   	   0.00		
-75.99   	-128.48   	 26.43   	 -61.04		  0.94   	   0.00		
-75.99   	-128.78   	 26.19   	 -45.78		  0.94   	   0.00		
-75.68   	-130.31   	 26.00   	 -40.69		  0.94   	   0.00		
-75.68   	-133.36   	 25.84   	 -20.35		  0.94   	   0.00		
-75.68   	-137.63   	 25.76   	 -15.26		  0.94   	   5.09		
-76.60   	-142.52   	 25.70   	  -5.09		  0.96   	   0.00		
-77.51   	-146.48   	 25.68   	  -5.09		  0.96   	   0.00		
-79.35   	-149.54   	 25.66   	   0.00		  0.96   	   0.00		
-81.79   	-151.67   	 25.66   	  -5.09		  0.96   	   0.00		
-83.62   	-152.89   	 25.64   	 -15.26		  0.96   	   5.09		
-85.14   	-153.81   	 25.57   	 -20.35		  0.98   	   0.00		
-86.06   	-155.03   	 25.49   	 -25.43		  0.98   	   0.00		
-87.28   	-157.47   	 25.39   	 -40.69		  0.98   	   0.00		
-89.42   	-161.13   	 25.23   	 -40.69		  0.98   	   0.00		
-92.16   	-166.32   	 25.07   	 -50.86		  0.98   	   0.00		
-96.13   	-172.73   	 24.86   	 -45.78		  0.98   	   0.00		
-100.10   	-178.53   	 24.68   	 -50.86		  0.98   	   5.09		
-103.76   	-182.50   	 24.48   	 -40.69		  1.00   	   0.00		
-107.42   	-183.72   	 24.31   	 -30.52		  1.00   	  -5.09		
-109.86   	-181.88   	 24.19   	 -25.43		  0.98   	   0.00		
-111.69   	-177.92   	 24.09   	 -15.26		  0.98   	   0.00		
-112.92   	-172.12   	 24.03   	   0.00		  0.98   	   0.00		
-114.14   	-165.10   	 24.03   	   5.09		  0.98   	   0.00		
-115.05   	-156.86   	 24.05   	  10.17		  0.98   	   0.00		
-115.66   	-148.01   	 24.09   	  10.17		  0.98   	  -5.09		
-115.66   	-140.08   	 24.13   	  15.26		  0.96   	   0.00		
-114.75   	-133.06   	 24.19   	   5.09		  0.96   	   0.00		
-112.30   	-126.95   	 24.21   	   5.09		  0.96   	  -5.09		
-108.64   	-118.71   	 24.23   	   0.00		  0.94   	   0.00		
-102.84   	-106.81   	 24.23   	 -10.17		  0.94   	   0.00		
-94.60   	-91.55   	 24.19   	 -10.17		  0.94   	   0.00		
-85.14   	-75.38   	 24.15   	 -20.35		  0.94   	  -5.09		
-75.38   	-60.42   	 24.07   	 -15.26		  0.92   	   0.00		
-66.53   	-48.22   	 24.01   	 -20.35		  0.92   	   0.00		
-59.20   	-37.23   	 23.93   	 -10.17		  0.92   	  -5.09		
-53.10   	-26.25   	 23.89   	  -5.09		  0.90   	   0.00		
-47.30   	-15.56   	 23.87   	   5.09		  0.90   	   0.00		
-41.20   	 -6.41   	 23.89   	  15.26		  0.90   	   0.00		
-35.10   	  0.61   	 23.95   	  25.43		  0.90   	   0.00		
-29.60   	  4.27   	 24.05   	  30.52		  0.90   	   0.00		
-25.02   	  5.80   	 24.17   	  40.69		  0.90   	   0.00		
-21.06   	  6.10   	 24.33   	  50.86		  0.90   	   0.00		
-17.70   	  6.10   	 24.54   	  50.86		  0.90   	   0.00		
-14.65   	  6.10   	 24.74   	  50.86		  0.90   	   5.09		
-11.60   	  7.02   	 24.94   	  55.95		  0.92   	   0.00		
 -8.24   	  8.54   	 25.17   	  50.86		  0.92   	   0.00		
 -5.49   	 10.07   	 25.37   	  50.86		  0.92   	   5.09		
 -3.36   	 10.99   	 25.57   	  50.86		  0.94   	   0.00		
 -1.83   	 11.90   	 25.78   	  50.86		  0.94   	   0.00		
 -1.53   	 12.21   	 25.98   	  45.78		  0.94   	   5.09		
 -1.53   	 12.82   	 26.16   	  45.78		  0.96   	   0.00		
 -1.53   	 13.12   	 26.35   	  40.69		  0.96   	   0.00		
 -1.22   	 12.51   	 26.51   	  40.69		  0.96   	   0.00		
 -1.22   	 10.99   	 26.67   	  35.61		  0.96   	   5.09		
 -1.53   	  9.16   	 26.82   	  30.52		  0.98   	   0.00		
 -1.53   	  8.24   	 26.94   	  25.43		  0.98   	   0.00		
 -1.22   	  8.85   	 27.04   	  10.17		  0.98   	   0.00		
  0.31   	 10.99   	 27.08   	  15.26		  0.98   	   0.00		
  2.44   	 12.51   	 27.14   	  10.17		  0.98   	   0.00		
  4.27   	 13.12   	 27.18   	  25.43		  0.98   	   0.00		
  5.19   	 12.82   	 27.28   	  50.86		  0.98   	   0.00		
  5.19   	 12.82   	 27.49   	  81.38		  0.98   	   0.00		
  5.19   	 13.73   	 27.81   	 122.07		  0.98   	   0.00		
  5.80   	 15.26   	 28.30   	 162.77		  0.98   	   0.00		
  7.02   	 16.48   	 28.95   	 203.46		  0.98   	   0.00		
  8.24   	 16.17   	 29.77   	 228.89		  0.98   	  -5.09		
  8.85   	 13.43   	 30.68   	 239.06		  0.96   	   0.00		
  7.93   	  8.85   	 31.64   	 239.06		  0.96   	   0.00		
  7.02   	  3.97   	 32.59   	 218.72		  0.96   	   0.00		
  7.02   	  0.61   	 33.47   	 188.20		  0.96   	   0.00		
  8.54   	  0.31   	 34.22   	 137.33		  0.96   	   0.00		
 10.99   	  2.44   	 34.77   	  96.64		  0.96   	   0.00		
 12.82   	  4.88   	 35.16   	  45.78		  0.96   	   0.00		
 13.12   	  5.49   	 35.34   	   5.09		  0.96   	   0.00		
 12.51   	  3.97   	 35.36   	 -20.35		  0.96   	   0.00		
 11.60   	  0.31   	 35.28   	 -40.69		  0.96   	   0.00		
 11.29   	 -4.27   	 35.12   	 -45.78		  0.96   	   0.00		
 10.99   	 -9.16   	 34.93   	 -40.69		  0.96   	   0.00		
 10.38   	-13.73   	 34.77   	 -20.35		  0.96   	   0.00		
  9.46   	-16.48   	 34.69   	  -5.09		  0.96   	   0.00		
  9.16   	-18.01   	 34.67   	  15.26		  0.96   	   0.00		
  9.77   	-18.31   	 34.73   	  40.69		  0.96   	   0.00		
 10.68   	-18.62   	 34.89   	  50.86		  0.96   	   0.00		
 10.99   	-20.45   	 35.10   	  61.04		  0.96   	   0.00		
 10.38   	-23.80   	 35.34   	  55.95		  0.96   	   0.00		
  9.77   	-26.55   	 35.56   	  45.78		  0.96   	   0.00		
  9.46   	-27.47   	 35.75   	  25.43		  0.96   	  -5.09		
 10.38   	-25.33   	 35.85(V)	   0.00		  0.94   	   0.00		
 12.21   	-20.75   	 35.85   	 -25.43		  0.94   	   0.00		
 14.34   	-14.34   	 35.75   	 -55.95		  0.94   	   0.00		
 16.48   	 -6.10   	 35.52   	 -76.30		  0.94   	  -5.09		
 19.23   	  4.27   	 35.22   	 -96.64		  0.92   	   0.00		
 23.19   	 19.84   	 34.83   	-106.82		  0.92   	   0.00		
 28.99   	 42.11   	 34.40   	-111.90		  0.92   	   0.00		
 37.54   	 70.80   	 33.96   	-111.90		  0.92   	   0.00		
 47.61   	101.93   	 33.51   	-106.82		  0.92   	   0.00		
