  I     	  II     	  CH1     	  CH1'		  LV     	  LV'		
-16.17   	-209.66   	  7.08   	   5.09		 26.29   	-284.84		
-16.48   	-205.08   	  7.10   	   5.09		 25.15   	-340.79		
-16.78   	-201.42   	  7.12   	   5.09		 23.78   	 -71.21		
-16.17   	-200.81   	  7.14   	   0.00		 23.50   	 233.98		
-16.17   	-202.64   	  7.14   	   0.00		 24.44   	 279.75		
-16.78   	-204.47   	  7.14   	  -5.09		 25.55   	 167.85		
-18.62   	-203.86   	  7.12   	   0.00		 26.23   	 132.25		
-21.67   	-200.20   	  7.12   	  -5.09		 26.75   	 193.29		
-24.41   	-196.23   	  7.10   	   0.00		 27.53   	   0.00		
-24.41   	-196.23   	  7.10   	 -15.26		 27.53   	  45.78		
-25.33   	-192.87   	  7.04   	   0.00		 27.71   	   0.00		
-25.33   	-192.87   	  7.04   	 -20.35		 27.71   	-940.99		
-21.36   	-194.40   	  6.96   	   0.00		 23.95   	   0.00		
-21.36   	-194.40   	  6.96   	 -20.35		 23.95   	-752.79		
-20.14   	-194.70   	  6.88   	   0.00		 20.94   	   0.00		
-20.14   	-194.70   	  6.88   	 -20.35		 20.94   	-167.85		
-22.58   	-191.96   	  6.80   	 -10.17		 20.26   	 -25.43		
-23.19   	-190.43   	  6.75   	 -10.17		 20.16   	 366.22		
-22.89   	-192.87   	  6.71   	  -5.09		 21.63   	 752.79		
-22.89   	-199.58   	  6.69   	 -10.17		 24.64   	 864.70		
-23.19   	-207.82   	  6.65   	  -5.09		 28.10   	 742.62		
-23.80   	-211.79   	  6.63   	   0.00		 31.07   	 366.22		
-24.41   	-206.91   	  6.63   	  -5.09		 32.53   	-142.42		
-24.41   	-195.01   	  6.61   	   0.00		 31.96   	-437.43		
-25.33   	-181.88   	  6.61   	   0.00		 30.21   	-488.30		
-26.86   	-173.34   	  6.61   	   0.00		 28.26   	-289.93		
-28.69   	-170.29   	  6.61   	   5.09		 27.10   	-147.51		
-29.91   	-170.59   	  6.63   	   5.09		 26.51   	-208.54		
-29.91   	-172.12   	  6.65   	   5.09		 25.68   	-193.29		
-28.38   	-174.26   	  6.67   	   5.09		 24.90   	-152.59		
-26.86   	-176.70   	  6.69   	   5.09		 24.29   	 -96.64		
-25.33   	-178.22   	  6.71   	  10.17		 23.91   	 223.80		
-24.72   	-177.31   	  6.75   	   5.09		 24.80   	 467.95		
-24.72   	-171.20   	  6.78   	  10.17		 26.67   	 427.26		
-24.72   	-161.74   	  6.82   	   5.09		 28.38   	 417.09		
-24.41   	-153.81   	  6.84   	  10.17		 30.05   	 401.83		
-24.11   	-154.11   	  6.88   	   5.09		 31.66   	 152.59		
-22.89   	-164.18   	  6.90   	   5.09		 32.27   	-157.68		
-21.06   	-178.22   	  6.92   	   5.09		 31.64   	-432.35		
-18.31   	-187.99   	  6.94   	   5.09		 29.91   	-579.86		
-15.56   	-187.38   	  6.96   	   5.09		 27.59   	-488.30		
-12.82   	-177.31   	  6.98   	   5.09		 25.64   	-401.83		
-11.29   	-164.79   	  7.00   	   0.00		 24.03   	-345.88		
-11.90   	-158.39   	  7.00   	   5.09		 22.64   	-137.33		
-14.04   	-159.61   	  7.02   	   0.00		 22.10   	 167.85		
-16.78   	-165.10   	  7.02   	   0.00		 22.77   	 361.14		
-18.92   	-169.37   	  7.02   	   0.00		 24.21   	 401.83		
-19.53   	-170.29   	  7.02   	   0.00		 25.82   	 335.71		
-19.53   	-168.46   	  7.02   	   0.00		 27.16   	 198.37		
-20.14   	-165.41   	  7.02   	   0.00		 27.96   	 274.67		
-21.06   	-162.05   	  7.02   	  -5.09		 29.05   	 249.24		
-22.28   	-158.69   	  7.00   	   0.00		 30.05   	  76.30		
-22.28   	-155.03   	  7.00   	  -5.09		 30.36   	  30.52		
-21.67   	-151.37   	  6.98   	  -5.09		 30.48   	 -20.35		
-19.84   	-148.93   	  6.96   	   0.00		 30.40   	-142.42		
-18.31   	-147.09   	  6.96   	  -5.09		 29.83   	-295.01		
-17.40   	-145.26   	  6.94   	   0.00		 28.65   	-356.05		
-17.40   	-144.35   	  6.94   	  -5.09		 27.22   	-172.94		
-17.70   	-144.65   	  6.92   	  -5.09		 26.53   	 -20.35		
-18.31   	-144.35   	  6.90   	   0.00		 26.45   	 -30.52		
-18.62   	-142.52   	  6.90   	  -5.09		 26.33   	  25.43		
-19.23   	-139.47   	  6.88   	   0.00		 26.43   	 228.89		
-20.14   	-136.72   	  6.88   	   0.00		 27.34   	 274.67		
-21.06   	-137.94   	  6.88   	   0.00		 28.44   	 147.51		
-21.06   	-143.43   	  6.88   	  -5.09		 29.03   	 -15.26		
-20.45   	-151.06   	  6.86   	   5.09		 28.97   	-152.59		
-19.84   	-155.94   	  6.88   	   0.00		 28.36   	-188.20		
-19.23   	-155.33   	  6.88   	   0.00		 27.61   	-147.51		
-19.53   	-150.76   	  6.88   	   0.00		 27.02   	-162.77		
-19.84   	-145.57   	  6.88   	   0.00		 26.37   	 -66.12		
-19.84   	-144.04   	  6.88   	   0.00		 26.10   	 142.42		
-19.53   	-146.48   	  6.88   	   5.09		 26.67   	 264.50		
-18.92   	-149.23   	  6.90   	   0.00		 27.73   	 223.80		
-18.62   	-150.76   	  6.90   	   0.00		 28.63   	  81.38		
-18.92   	-150.45   	  6.90   	   5.09		 28.95   	  71.21		
-19.23   	-151.06   	  6.92   	   0.00		 29.24   	 147.51		
-18.92   	-153.50   	  6.92   	   0.00		 29.83   	  55.95		
-18.01   	-155.64   	  6.92   	   5.09		 30.05   	  -5.09		
-17.70   	-152.28   	  6.94   	   0.00		 30.03   	 101.73		
-18.62   	-142.52   	  6.94   	   0.00		 30.44   	 122.07		
-20.14   	-129.70   	  6.94   	   0.00		 30.93   	 -15.26		
-20.75   	-119.63   	  6.94   	   0.00		 30.86   	-137.33		
-18.92   	-118.10   	  6.94   	   0.00		 30.32   	-239.06		
-15.26   	-126.34   	  6.94   	   0.00		 29.36   	-300.10		
-11.29   	-139.16   	  6.94   	   0.00		 28.16   	-162.77		
 -8.85   	-150.15   	  6.94   	   0.00		 27.51   	  25.43		
 -8.54   	-154.42   	  6.94   	   0.00		 27.61   	 -10.17		
 -9.16   	-151.37   	  6.94   	   0.00		 27.57   	-111.90		
-10.38   	-142.52   	  6.94   	   0.00		 27.12   	 -61.04		
-11.29   	-132.45   	  6.94   	   0.00		 26.88   	  30.52		
-12.82   	-124.21   	  6.94   	   0.00		 27.00   	  25.43		
-14.95   	-119.32   	  6.94   	   0.00		 27.10   	  10.17		
-17.40   	-117.49   	  6.94   	   0.00		 27.14   	  10.17		
-19.53   	-118.41   	  6.94   	   0.00		 27.18   	   5.09		
-20.75   	-120.24   	  6.94   	   0.00		 27.20   	  86.47		
-20.45   	-122.07   	  6.94   	   0.00		 27.55   	 203.46		
-19.23   	-124.51   	  6.94   	   0.00		 28.36   	  71.21		
-17.70   	-127.26   	  6.94   	   0.00		 28.65   	  20.35		
-16.78   	-128.48   	  6.94   	   0.00		 28.73   	 274.67		
-16.48   	-126.34   	  6.94   	   0.00		 29.83   	 366.22		
-16.78   	-120.24   	  6.94   	   0.00		 31.29   	 244.15		
-17.40   	-112.92   	  6.94   	  -5.09		 32.27   	 127.16		
-17.40   	-108.03   	  6.92   	   0.00		 32.78   	  10.17		
-17.09   	-108.64   	  6.92   	   0.00		 32.82   	-101.73		
-17.09   	-114.75   	  6.92   	   0.00		 32.41   	-223.80		
-16.78   	-122.07   	  6.92   	  -5.09		 31.52   	-305.19		
-17.09   	-125.73   	  6.90   	   0.00		 30.29   	-361.14		
-17.09   	-123.90   	  6.90   	   0.00		 28.85   	-412.00		
-17.40   	-119.02   	  6.90   	   0.00		 27.20   	-391.66		
-17.70   	-115.66   	  6.90   	  -5.09		 25.64   	-239.06		
-18.01   	-116.58   	  6.88   	   0.00		 24.68   	 -66.12		
-17.70   	-120.85   	  6.88   	   0.00		 24.41   	  61.04		
-17.40   	-126.34   	  6.88   	   0.00		 24.66   	 188.20		
-17.09   	-129.39   	  6.88   	  -5.09		 25.41   	 254.32		
-17.09   	-128.17   	  6.86   	   0.00		 26.43   	 289.93		
-17.70   	-122.99   	  6.86   	   0.00		 27.59   	 345.88		
-18.01   	-114.75   	  6.86   	   0.00		 28.97   	 361.14		
-17.40   	-105.90   	  6.86   	   0.00		 30.42   	 279.75		
-16.48   	-99.79   	  6.86   	   0.00		 31.54   	 142.42		
-15.87   	-99.49   	  6.86   	   0.00		 32.11   	  -5.09		
-16.48   	-106.20   	  6.86   	   0.00		 32.09   	-188.20		
-17.40   	-117.19   	  6.86   	   0.00		 31.33   	-345.88		
-17.40   	-128.17   	  6.86   	   0.00		 29.95   	-366.22		
-15.56   	-133.06   	  6.86   	   0.00		 28.48   	-284.84		
-12.21   	-129.39   	  6.86   	   5.09		 27.34   	-152.59		
 -8.85   	-118.10   	  6.88   	   0.00		 26.73   	  -5.09		
 -7.02   	-103.76   	  6.88   	   0.00		 26.71   	  96.64		
 -6.41   	-92.47   	  6.88   	   5.09		 27.10   	 122.07		
 -7.02   	-87.89   	  6.90   	   0.00		 27.59   	 152.59		
 -7.63   	-89.11   	  6.90   	   0.00		 28.20   	 198.37		
 -7.63   	-93.08   	  6.90   	   5.09		 28.99   	 218.72		
 -7.63   	-97.66   	  6.92   	   0.00		 29.87   	 239.06		
 -8.24   	-100.40   	  6.92   	   0.00		 30.82   	 208.54		
 -8.85   	-101.01   	  6.92   	   5.09		 31.66   	 137.33		
-10.07   	-98.57   	  6.94   	   0.00		 32.21   	  61.04		
-11.29   	-94.30   	  6.94   	   0.00		 32.45   	 -35.61		
-12.51   	-90.64   	  6.94   	   0.00		 32.31   	-152.59		
-13.43   	-92.16   	  6.94   	   5.09		 31.70   	-244.15		
-14.04   	-98.57   	  6.96   	   0.00		 30.72   	-300.10		
-13.73   	-104.98   	  6.96   	   0.00		 29.52   	-315.36		
-13.12   	-107.42   	  6.96   	   0.00		 28.26   	-274.67		
-11.90   	-104.68   	  6.96   	   0.00		 27.16   	-193.29		
-10.99   	-101.01   	  6.96   	   0.00		 26.39   	 -81.38		
-10.68   	-101.01   	  6.96   	   0.00		 26.06   	  35.61		
-10.68   	-104.06   	  6.96   	   0.00		 26.21   	 137.33		
-11.29   	-105.90   	  6.96   	   0.00		 26.75   	 208.54		
-12.51   	-101.32   	  6.96   	  -5.09		 27.59   	 233.98		
-13.73   	-91.25   	  6.94   	   0.00		 28.52   	 203.46		
-14.95   	-80.57   	  6.94   	   0.00		 29.34   	 147.51		
-15.87   	-74.46   	  6.94   	  -5.09		 29.93   	  71.21		
-15.87   	-74.77   	  6.92   	   0.00		 30.21   	  10.17		
-15.56   	-79.96   	  6.92   	  -5.09		 30.25   	 -40.69		
-14.95   	-86.36   	  6.90   	   0.00		 30.09   	 -71.21		
-14.04   	-90.94   	  6.90   	  -5.09		 29.81   	 -66.12		
-13.43   	-92.16   	  6.88   	   0.00		 29.54   	 -45.78		
-12.82   	-89.72   	  6.88   	  -5.09		 29.36   	 -20.35		
-12.82   	-84.23   	  6.86   	   0.00		 29.28   	 -15.26		
-13.12   	-77.82   	  6.86   	   0.00		 29.22   	   0.00		
-13.43   	-73.55   	  6.86   	  -5.09		 29.22(E)	   5.09		
-14.34   	-73.85   	  6.84   	   0.00		 29.24   	  15.26		
-15.87   	-80.26   	  6.84   	   0.00		 29.30   	  25.43		
-17.40   	-91.25   	  6.84   	   0.00		 29.40   	  30.52		
-16.17   	-99.79   	  6.84   	   0.00		 29.52   	  20.35		
-10.38   	-94.60   	  6.84   	   0.00		 29.60   	  30.52		
 -1.83   	-61.34   	  6.84   	   0.00		 29.73   	  40.69		
  5.49   	 14.34   	  6.84   	   0.00		 29.89   	  55.95		
  6.41   	143.74   	  6.84   	   0.00		 30.11   	  66.12		
  2.44   	332.34   	  6.84   	   0.00		 30.38   	 111.90		
  2.75   	568.85   	  6.84   	   5.09		 30.82   	 203.46		
 18.01   	817.87   	  6.86   	   0.00		 31.64   	 320.45		
 49.74   	1022.64   	  6.86   	   0.00		 32.92   	 427.26		
 85.75   	1123.96(R)	  6.86   	   5.09		 34.63   	 503.56		
106.81   	1091.31   	  6.88   	   0.00		 36.64   	 523.90		
 97.96   	941.77   	  6.88   	   0.00		 38.74   	 523.90		
 59.20   	734.25   	  6.88   	   5.09		 40.83   	 554.42		
  6.10   	532.84   	  6.90   	   5.09		 43.05   	 707.02		
-44.25   	374.15   	  6.92   	   0.00		 45.88   	1108.85		
-80.26   	260.62   	  6.92   	   5.09		 50.32   	1744.65		
-99.79   	175.78   	  6.94   	   0.00		 57.29   	2405.89		
-103.76   	103.45   	  6.94   	   5.09		 66.92   	2797.55		
-93.69   	 38.15   	  6.96   	   0.00		 78.11   	2660.21		
-71.72   	-19.23   	  6.96   	   5.09		 88.75   	2049.84		
-43.64   	-67.14   	  6.98   	   0.00		 96.95   	1841.29		
-18.92   	-105.59   	  6.98   	   0.00		104.31   	2385.55		
 -5.19   	-131.53   	  6.98   	   5.09		113.86   	3240.07		
 -3.66   	-142.52   	  7.00   	   0.00		126.82   	3524.91		
 -7.93   	-141.30   	  7.00   	   0.00		140.92   	3031.52		
-11.60   	-136.41   	  7.00   	  -5.09		153.04   	2075.27		
-10.99   	-134.89   	  6.98   	   0.00		161.34   	 839.26		
 -7.93   	-139.47   	  6.98   	   0.00		164.70   	-401.83		
 -5.80   	-145.57   	  6.98   	   0.00		163.09   	-1505.59		
 -6.71   	-147.09   	  6.98   	  -5.09		157.07   	-2212.61		
 -9.16   	-140.38   	  6.96   	   0.00		148.22   	-2192.26		
-11.29   	-129.70   	  6.96   	  -5.09		139.45   	-1739.57		
-11.60   	-122.38   	  6.94   	  -5.09		132.49   	-1485.24		
-10.99   	-123.60   	  6.92   	   0.00		126.55   	-1302.13		
-10.07   	-131.84   	  6.92   	  -5.09		121.34   	-1597.15		
 -9.46   	-140.08   	  6.90   	   0.00		114.95   	-3092.56		
 -8.85   	-141.91   	  6.90   	  -5.09		102.58   	-864.70		
 -8.24   	-135.50   	  6.88   	  -5.09		 99.12   	5493.37		
 -7.02   	-124.21   	  6.86   	   0.00		121.10   	7990.81		
 -5.19   	-113.83   	  6.86   	  -5.09		153.06   	6363.15		
 -3.66   	-106.81   	  6.84   	   0.00		178.51   	4989.81		
 -1.83   	-103.45   	  6.84   	  -5.09		198.47   	2207.52		
 -0.31   	-103.15   	  6.82   	   0.00		207.30(S)	-2324.51		
  1.53   	-106.20   	  6.82   	   0.00		198.01   	-5289.91		
  4.27   	-114.14   	  6.82   	  -5.09		176.85   	-6047.79		
  8.24   	-124.82   	  6.80   	   0.00		152.65   	-5493.37		
 12.82   	-134.58   	  6.80   	   5.09		130.68   	-3799.58		
 16.78   	-139.47   	  6.82   	   0.00		115.48   	-1393.69		
 19.53   	-137.94   	  6.82   	   0.00		109.91   	1144.45		
 20.75   	-132.45   	  6.82   	   0.00		114.49   	3082.39		
 20.45   	-126.34   	  6.82   	   5.09		126.82   	3835.18		
 20.14   	-121.77   	  6.84   	   5.09		142.16   	3855.53		
 20.14   	-119.63   	  6.86   	   0.00		157.58   	3357.06		
 19.84   	-117.80   	  6.86   	   5.09		171.01   	2075.27		
 18.92   	-115.36   	  6.88   	   5.09		179.31   	 345.88		
 16.48   	-110.78   	  6.90   	   5.09		180.69   	-1286.87		
 13.43   	-104.68   	  6.92   	   5.09		175.54   	-2365.20		
 11.90   	-97.96   	  6.94   	   5.09		166.08   	-2533.05		
 12.82   	-91.86   	  6.96   	  10.17		155.95   	-2115.96		
 15.56   	-86.98   	  7.00   	   0.00		147.49   	-1475.07		
 18.92   	-83.31   	  7.00   	   5.09		141.59   	-808.75		
 21.06   	-79.96   	  7.02   	   5.09		138.35   	-264.50		
 21.67   	-73.85   	  7.04   	   5.09		137.29   	 142.42		
 21.67   	-63.78   	  7.06   	   0.00		137.86   	 457.78		
 21.97   	-51.27   	  7.06   	   5.09		139.69   	 630.72		
 22.89   	-39.67   	  7.08   	   0.00		142.22   	 564.60		
 24.41   	-31.43   	  7.08   	  -5.09		144.48   	 305.19		
 26.55   	-25.02   	  7.06   	   0.00		145.70   	 -25.43		
 28.38   	-16.78   	  7.06   	  -5.09		145.59   	-325.53		
 30.21   	 -3.05   	  7.04   	   0.00		144.29   	-615.46		
 32.35   	 14.95   	  7.04   	  -5.09		141.83   	-844.35		
 34.18   	 32.65   	  7.02   	 -10.17		138.45   	-768.05		
 36.62   	 46.08   	  6.98   	  -5.09		135.38   	-620.55		
 39.67   	 55.24   	  6.96   	 -10.17		132.90   	-717.19		
 43.33   	 64.70   	  6.92   	  -5.09		130.03   	-747.71		
 47.00   	 79.04   	  6.90   	 -10.17		127.04   	-696.84		
 50.05   	 99.18   	  6.86   	  -5.09		124.25   	-590.03		
 51.57   	122.07   	  6.84   	 -10.17		121.89   	-467.95		
 52.49   	142.52   	  6.80   	  -5.09		120.02   	-412.00		
 54.02   	159.00   	  6.78   	  -5.09		118.37   	-432.35		
 57.37   	173.34   	  6.75   	  -5.09		116.64   	-452.69		
 62.26   	190.43   	  6.73   	  -5.09		114.83   	-478.13		
 67.44   	211.18   	  6.71   	   0.00		112.92   	-462.87		
 71.41   	231.32   	  6.71   	  -5.09		111.07   	-467.95		
 73.85   	243.84   	  6.69   	   5.09		109.20   	-640.89		
 74.16   	242.92   	  6.71   	   0.00		106.63   	-839.26		
 72.94   	229.49   	  6.71   	   0.00		103.28   	-1002.03		
 71.11   	209.66   	  6.71   	   5.09		 99.27   	-1531.02		
 68.66   	190.73   	  6.73   	   5.09		 93.14   	-2400.80		
 66.22   	177.31   	  6.75   	   5.09		 83.54   	-2894.19		
 63.48   	168.76   	  6.78   	  10.17		 71.96   	-2604.26		
 60.12   	162.66   	  6.82   	   5.09		 61.55   	-2004.06		
 55.54   	155.94   	  6.84   	   5.09		 53.53   	-1317.39		
 50.96   	146.18   	  6.86   	  10.17		 48.26   	-549.34		
 47.61   	132.45   	  6.90   	   5.09		 46.06   	 -96.64		
 45.17   	115.66   	  6.92   	  10.17		 45.68   	  20.35		
 43.33   	 98.88   	  6.96   	   5.09		 45.76   	  10.17		
 40.28   	 87.89   	  6.98   	   5.09		 45.80   	-132.25		
 36.01   	 85.45   	  7.00   	   5.09		 45.27   	-391.66		
 30.82   	 90.03   	  7.02   	   0.00		 43.70   	-610.37		
 25.63   	 95.21   	  7.02   	   5.09		 41.26   	-793.49		
 21.97   	 94.60   	  7.04   	   0.00		 38.09   	-996.94		
 19.23   	 88.20   	  7.04   	   0.00		 34.10   	-1164.80		
 17.40   	 80.26   	  7.04   	   0.00		 29.44   	-1225.83		
 16.17   	 76.29   	  7.04   	   0.00		 24.54   	-1139.36		
 15.56   	 76.90   	  7.04   	  -5.09		 19.98   	-920.65		
 14.95   	 77.51   	  7.02   	   0.00		 16.30   	-651.07		
 14.34   	 73.55   	  7.02   	  -5.09		 13.69   	-376.40		
 14.04   	 63.78   	  7.00   	  -5.09		 12.19   	-106.82		
 14.34   	 53.10   	  6.98   	 -10.17		 11.76   	 132.25		
 15.56   	 47.30   	  6.94   	  -5.09		 12.29   	 310.27		
 16.78   	 50.35   	  6.92   	   0.00		 13.53   	 406.92		
 16.78   	 59.51   	  6.92   	  -5.09		 15.16   	 427.26		
 14.65   	 69.58   	  6.90   	  -5.09		 16.87   	 406.92		
 11.90   	 73.24   	  6.88   	  -5.09		 18.49   	 340.79		
  9.77   	 66.53   	  6.86   	  -5.09		 19.86   	 213.63		
 10.38   	 51.27   	  6.84   	   0.00		 20.71   	  25.43		
 13.73   	 34.48   	  6.84   	  -5.09		 20.81   	-223.80		
 17.40   	 24.11   	  6.82   	   0.00		 19.92   	-498.47		
 20.14   	 23.50   	  6.82   	   0.00		 17.92   	-762.97		
 21.36   	 28.99   	  6.82   	   0.00		 14.87   	-981.68		
 21.97   	 32.96   	  6.82   	   0.00		 10.95   	-1108.85		
 21.67   	 29.30   	  6.82   	   0.00		  6.51   	-1093.59		
 21.06   	 18.31   	  6.82   	   5.09		  2.14   	-915.56		
 20.45   	  5.49   	  6.84   	   0.00		 -1.53   	-610.37		
 19.53   	 -3.66   	  6.84   	   0.00		 -3.97   	-310.27		
 18.92   	 -7.02   	  6.84   	   5.09		 -5.21   	 -55.95		
 18.62   	 -4.58   	  6.86   	   0.00		 -5.43(D)	 167.85		
 18.31   	 -0.31   	  6.86   	   0.00		 -4.76   	 320.45		
 18.31   	  2.14   	  6.86   	   5.09		 -3.48   	 417.09		
 18.62   	 -0.92   	  6.88   	   0.00		 -1.81   	 625.63		
 18.92   	 -8.85   	  6.88   	   0.00		  0.69   	 869.78		
 18.92   	-18.31   	  6.88   	   5.09		  4.17   	 890.13		
 18.31   	-23.80   	  6.90   	   0.00		  7.73   	 671.41		
 18.01   	-21.97   	  6.90   	   0.00		 10.42   	 422.18		
 18.62   	-12.82   	  6.90   	   5.09		 12.11   	 198.37		
 20.75   	 -0.92   	  6.92   	   0.00		 12.90   	  30.52		
 23.19   	  2.75   	  6.92   	   0.00		 13.02   	 -50.86		
 23.50   	-17.70   	  6.92   	   5.09		 12.82   	 -96.64		
 17.09   	-76.90   	  6.94   	   0.00		 12.43   	-122.07		
 -0.31   	-181.58   	  6.94   	   0.00		 11.94   	-178.03		
-30.21   	-326.23   	  6.94   	   5.09		 11.23   	-239.06		
-70.50   	-495.61   	  6.96   	   0.00		 10.27   	-274.67		
-113.83   	-667.72   	  6.96   	   5.09		  9.18   	-233.98		
-146.79   	-817.87   	  6.98   	   0.00		  8.24   	-152.59		
-158.08   	-924.07   	  6.98   	   0.00		  7.63   	 -61.04		
-143.13   	-975.95   	  6.98   	   0.00		  7.39   	  76.30		
-111.08   	-982.06   	  6.98   	   0.00		  7.69   	 254.32		
-80.26   	-964.97   	  6.98   	   0.00		  8.71   	 417.09		
-68.05   	-942.38   	  6.98   	   0.00		 10.38   	 478.13		
-81.18   	-911.87   	  6.98   	   0.00		 12.29   	 473.04		
-112.61   	-853.88   	  6.98   	  -5.09		 14.18   	 457.78		
-150.45   	-757.45   	  6.96   	   0.00		 16.01   	 442.52		
-185.24   	-637.21   	  6.96   	  -5.09		 17.78   	 442.52		
-216.37   	-529.79   	  6.94   	   0.00		 19.55   	 442.52		
-245.36   	-465.70   	  6.94   	  -5.09		 21.32   	 427.26		
-273.13   	-449.83   	  6.92   	   0.00		 23.03   	 412.00		
-300.29   	-462.04   	  6.92   	  -5.09		 24.68   	 401.83		
-325.62   	-474.85   	  6.90   	  -5.09		 26.29   	 417.09		
-344.85   	-469.06   	  6.88   	   0.00		 27.96   	 442.52		
-350.34   	-440.98   	  6.88   	  -5.09		 29.73   	 569.68		
-332.64   	-395.51   	  6.86   	   0.00		 32.00   	 976.60		
-289.00   	-340.27   	  6.86   	  -5.09		 35.91   	1520.85		
-229.49   	-284.73   	  6.84   	   0.00		 41.99   	1831.12		
-174.87   	-237.43   	  6.84   	  -5.09		 49.32   	1820.95		
-142.82   	-203.25   	  6.82   	   0.00		 56.60   	1576.80		
-136.72   	-180.36   	  6.82   	   0.00		 62.91   	1174.97		
-144.96   	-159.91   	  6.82   	   5.09		 67.61   	 783.31		
-151.67   	-130.92   	  6.84   	   0.00		 70.74   	 559.51		
-147.40   	-87.59   	  6.84   	   0.00		 72.98   	 528.99		
-132.75   	-34.18   	  6.84   	   0.00		 75.10   	 686.67		
-111.08   	 18.92   	  6.84   	   5.09		 77.84   	 874.87		
-85.45   	 64.09   	  6.86   	   0.00		 81.34   	 925.73		
-54.93   	101.62   	  6.86   	   5.09		 85.05   	 976.60		
-21.67   	138.24   	  6.88   	   0.00		 88.95   	 935.91		
 10.07   	178.53   	  6.88   	   5.09		 92.70   	 671.41		
 34.48   	218.81   	  6.90   	   5.09		 95.38   	 157.68		
 50.05   	253.60   	  6.92   	   0.00		 96.01   	-478.13		
 57.68   	279.85   	  6.92   	   0.00		 94.10   	-350.97		
 62.26   	300.90   	  6.92   	   5.09		 92.70   	 315.36		
 66.83   	321.04   	  6.94   	   0.00		 93.96   	 722.28		
 73.24   	340.27   	  6.94   	   0.00		 96.85   	 920.65		
 80.57   	354.61   	  6.94   	   0.00		100.53   	 935.91		
 88.50   	362.85   	  6.94   	  -5.09		104.27   	 666.32		
 95.21   	368.04   	  6.92   	   0.00		106.94   	 111.90		
 99.49   	377.20   	  6.92   	   0.00		107.39   	-523.90		
101.01   	397.03   	  6.92   	   0.00		105.29   	-1007.12		
101.32   	428.77   	  6.92   	  -5.09		101.26   	-1276.70		
102.23   	466.92   	  6.90   	   0.00		 96.15   	-1210.58		
105.29   	502.62   	  6.90   	  -5.09		 91.31   	-895.22		
110.78   	527.95   	  6.88   	  -5.09		 87.73   	-539.16		
117.80   	542.91   	  6.86   	   0.00		 85.57   	 -86.47		
124.82   	555.73   	  6.86   	  -5.09		 85.23   	 493.39		
129.70   	578.00   	  6.84   	   0.00		 87.20   	 930.82		
133.06   	615.23   	  6.84   	  -5.09		 90.93   	1073.24		
136.11   	659.48   	  6.82   	   0.00		 95.22   	 910.47		
140.38   	696.72   	  6.82   	  -5.09		 98.86   	 539.16		
147.71   	720.21   	  6.80   	  -5.09		101.02   	 137.33		
