  I     	  II     	  PW     	  PW'		  LV     	  LV'		
 15.26   	-58.90   	 15.46   	 -91.56		100.98   	-630.72		
 14.34   	-52.19   	 15.10   	 -76.30		 98.45   	-534.08		
 13.12   	-42.42   	 14.79   	 -50.86		 96.32   	-269.58		
 14.04   	-32.04   	 14.59   	 -30.52		 95.24   	 127.16		
 18.01   	-24.41   	 14.47   	 -15.26		 95.75   	 691.76		
 23.19   	-21.67   	 14.40   	   0.00		 98.51   	1205.49		
 26.25   	-23.19   	 14.40   	   0.00		103.34   	1322.48		
 26.86   	-25.63   	 14.40   	   5.09		108.63   	1144.45		
 25.94   	-25.63   	 14.43   	  -5.09		113.20   	 869.78		
 27.47   	-22.28   	 14.40   	 -15.26		116.68   	 498.47		
 32.04   	-16.78   	 14.34   	 -15.26		118.68   	  71.21		
 38.45   	-10.68   	 14.28   	 -25.43		118.96   	-300.10		
 43.95   	 -6.10   	 14.18   	 -20.35		117.76   	-523.90		
 46.08   	 -2.75   	 14.10   	 -25.43		115.67   	-534.08		
 45.17   	 -0.92   	 14.00   	 -20.35		113.53   	-371.31		
 42.42   	  0.00   	 13.92   	 -15.26		112.04   	-152.59		
 39.67   	  1.83   	 13.86   	 -20.35		111.43   	 101.73		
 38.15   	  5.80   	 13.77   	 -20.35		111.84   	 350.97		
 39.06   	 13.43   	 13.69   	 -30.52		113.24   	 544.25		
 43.03   	 22.58   	 13.57   	 -35.61		115.42   	 564.60		
 48.83   	 29.60   	 13.43   	 -50.86		117.68   	 437.43		
 54.32   	 32.65   	 13.22   	 -55.95		119.43   	 244.15		
 57.37   	 35.10   	 13.00   	 -66.12		120.41   	  81.38		
 58.59   	 42.11   	 12.74   	 -66.12		120.73(S)	 -86.47		
 59.51   	 58.59   	 12.47   	 -71.21		120.39   	-208.54		
 61.95   	 82.09   	 12.19   	 -61.04		119.55   	-269.58		
 66.22   	106.20   	 11.94   	 -50.86		118.47   	-239.06		
 70.80   	123.90   	 11.74   	 -40.69		117.52   	-157.68		
 74.16   	134.58   	 11.58   	 -20.35		116.89   	 -45.78		
 75.68   	141.91   	 11.50   	  -5.09		116.70   	  50.86		
 76.90   	152.59   	 11.48   	  15.26		116.91   	 101.73		
 79.65   	169.98   	 11.54   	  20.35		117.31   	 106.82		
 83.62   	192.87   	 11.62   	  35.61		117.74   	 106.82		
 88.81   	216.67   	 11.76   	  30.52		118.17   	  55.95		
 92.77   	234.99   	 11.88   	  30.52		118.39   	 -45.78		
 94.60   	243.84   	 12.00   	  20.35		118.21   	-152.59		
 93.69   	242.00   	 12.09   	   5.09		117.60   	-239.06		
 89.72   	231.93   	 12.11   	  -5.09		116.64   	-279.75		
 83.31   	219.42   	 12.09   	 -15.26		115.52   	-295.01		
 75.68   	207.82   	 12.02   	 -20.35		114.34   	-289.93		
 68.66   	197.14   	 11.94   	 -20.35		113.18   	-274.67		
 64.09   	185.24   	 11.86   	 -20.35		112.09   	-269.58		
 61.65   	171.20   	 11.78   	 -15.26		111.01   	-300.10		
 59.20   	155.64   	 11.72   	  -5.09		109.81   	-371.31		
 54.93   	140.69   	 11.70   	   5.09		108.32   	-488.30		
 47.91   	126.04   	 11.72   	   5.09		106.37   	-600.20		
 38.76   	108.03   	 11.74   	  10.17		103.97   	-732.45		
 29.91   	 85.45   	 11.78   	  10.17		101.04   	-864.70		
 23.80   	 61.04   	 11.82   	   5.09		 97.58   	-961.34		
 20.45   	 41.20   	 11.84   	   5.09		 93.73   	-1037.64		
 19.23   	 30.52   	 11.86   	   0.00		 89.58   	-1078.33		
 18.92   	 27.16   	 11.86   	 -10.17		 85.27   	-1032.55		
 18.92   	 24.41   	 11.82   	 -10.17		 81.14   	-915.56		
 18.62   	 18.31   	 11.78   	 -15.26		 77.48   	-747.71		
 16.17   	  8.85   	 11.72   	 -15.26		 74.49   	-564.60		
 11.29   	  0.92   	 11.66   	 -10.17		 72.23   	-417.09		
  3.97   	 -1.83   	 11.62   	 -10.17		 70.56   	-452.69		
 -2.44   	 -2.75   	 11.58   	 -15.26		 68.75   	-742.62		
 -6.41   	 -6.71   	 11.52   	 -10.17		 65.78   	-1236.01		
 -7.63   	-15.87   	 11.48   	 -20.35		 60.83   	-1586.97		
 -8.54   	-26.55   	 11.39   	 -30.52		 54.49   	-1586.97		
-10.07   	-31.43   	 11.27   	 -40.69		 48.14   	-1571.71		
-12.21   	-25.63   	 11.11   	 -45.78		 41.85   	-1592.06		
-13.43   	-12.82   	 10.93   	 -45.78		 35.48   	-1434.38		
-12.51   	 -3.97   	 10.74   	 -35.61		 29.75   	-1113.93		
-10.68   	 -8.85   	 10.60   	 -10.17		 25.29   	-813.83		
 -9.16   	-28.69   	 10.56   	   5.09		 22.03   	-544.25		
-10.07   	-51.27   	 10.58   	  30.52		 19.86   	-254.32		
-12.21   	-59.20   	 10.70   	  40.69		 18.84   	 -40.69		
-14.34   	-42.11   	 10.86   	  40.69		 18.68   	  30.52		
-15.26   	 -7.93   	 11.03   	  40.69		 18.80   	 -10.17		
-14.34   	 20.75   	 11.19   	  35.61		 18.76   	-101.73		
-12.51   	 23.80   	 11.33   	  20.35		 18.35   	-208.54		
-10.68   	 -2.75   	 11.41   	  25.43		 17.52   	-325.53		
 -9.16   	-40.28   	 11.52   	  20.35		 16.22   	-442.52		
 -8.85   	-62.56   	 11.60   	  30.52		 14.45   	-518.82		
-10.99   	-57.98   	 11.72   	  40.69		 12.37   	-549.34		
-14.34   	-37.54   	 11.88   	  50.86		 10.17   	-513.73		
-17.09   	-23.80   	 12.09   	  61.04		  8.12   	-422.18		
-17.09   	-30.21   	 12.33   	  61.04		  6.43   	-284.84		
-14.34   	-48.22   	 12.57   	  55.95		  5.29   	-137.33		
-10.99   	-56.46   	 12.80   	  50.86		  4.74   	 -35.61		
 -9.16   	-43.33   	 13.00   	  40.69		  4.60   	  15.26		
 -9.77   	-19.84   	 13.16   	  20.35		  4.66   	  45.78		
-10.68   	 -9.16   	 13.25   	   0.00		  4.84   	  55.95		
-10.99   	-25.33   	 13.25   	 -10.17		  5.07   	  86.47		
 -9.77   	-60.73   	 13.20   	 -20.35		  5.41   	  96.64		
 -7.63   	-90.64   	 13.12   	 -25.43		  5.80   	  66.12		
 -5.49   	-93.99   	 13.02   	 -25.43		  6.06   	  10.17		
 -3.66   	-68.36   	 12.92   	 -20.35		  6.10   	 -30.52		
 -2.44   	-30.52   	 12.84   	 -20.35		  5.98   	 -25.43		
 -2.44   	 -1.22   	 12.76   	 -15.26		  5.88   	   5.09		
 -2.75   	  2.75   	 12.70   	  -5.09		  5.90   	  -5.09		
 -3.66   	-23.19   	 12.68   	 -10.17		  5.88   	 -86.47		
 -3.66   	-67.14   	 12.63   	 -15.26		  5.53   	-127.16		
 -3.05   	-105.29   	 12.57   	 -15.26		  5.03   	-132.25		
 -1.83   	-116.88   	 12.51   	 -25.43		  4.50   	-111.90		
  0.00   	-93.99   	 12.41   	 -35.61		  4.05   	 -10.17		
  1.53   	-47.61   	 12.27   	 -40.69		  4.01(D)	 167.85		
  2.44   	 -3.36   	 12.11   	 -40.69		  4.68   	 330.62		
  2.14   	 16.48   	 11.94   	 -45.78		  6.00   	 498.47		
  1.22   	  4.27   	 11.76   	 -40.69		  8.00   	 691.76		
 -0.92   	-30.21   	 11.60   	 -40.69		 10.76   	 824.00		
 -3.36   	-67.14   	 11.43   	 -30.52		 14.06   	 645.98		
 -6.71   	-88.20   	 11.31   	 -20.35		 16.64   	   5.09		
-10.99   	-85.14   	 11.23   	 -20.35		 16.66   	-427.26		
-14.65   	-65.31   	 11.15   	  -5.09		 14.95   	-269.58		
-15.87   	-45.78   	 11.13   	  -5.09		 13.88   	-157.68		
-13.73   	-40.28   	 11.11   	  -5.09		 13.25   	-295.01		
-10.07   	-52.80   	 11.09   	  -5.09		 12.07   	-300.10		
 -7.32   	-74.16   	 11.07   	  -5.09		 10.86   	-147.51		
 -7.32   	-89.42   	 11.05   	 -10.17		 10.27   	  25.43		
 -9.16   	-88.50   	 11.01   	 -20.35		 10.38   	 132.25		
-11.29   	-72.63   	 10.93   	 -20.35		 10.91   	 142.42		
-12.51   	-51.88   	 10.84   	 -30.52		 11.48   	  50.86		
-13.43   	-37.23   	 10.72   	 -30.52		 11.68   	 -35.61		
-14.04   	-34.79   	 10.60   	 -40.69		 11.54   	 -45.78		
-14.95   	-42.72   	 10.44   	 -35.61		 11.35   	  50.86		
-15.56   	-52.49   	 10.29   	 -40.69		 11.56   	 157.68		
-15.87   	-57.37   	 10.13   	 -35.61		 12.19   	 203.46		
-16.17   	-54.93   	  9.99   	 -35.61		 13.00   	 147.51		
-17.09   	-50.05   	  9.85   	 -35.61		 13.59   	  45.78		
-17.40   	-50.35   	  9.70   	 -25.43		 13.77   	 -35.61		
-15.56   	-60.42   	  9.60   	 -25.43		 13.63   	 -71.21		
-12.21   	-76.60   	  9.50   	 -20.35		 13.35   	 -76.30		
 -9.46   	-88.50   	  9.42   	 -20.35		 13.04   	 -66.12		
 -9.46   	-86.06   	  9.34   	 -15.26		 12.78   	 -45.78		
-12.51   	-67.75   	  9.28   	 -20.35		 12.59   	 -30.52		
-15.87   	-43.64   	  9.20   	 -15.26		 12.47   	 -20.35		
-17.09   	-28.69   	  9.14   	 -20.35		 12.39   	  -5.09		
-14.34   	-33.26   	  9.05   	 -20.35		 12.37   	  35.61		
 -9.46   	-54.63   	  8.97   	 -20.35		 12.51   	  71.21		
 -4.88   	-77.82   	  8.89   	 -25.43		 12.80   	  96.64		
 -2.14   	-86.67   	  8.79   	 -20.35		 13.18   	 111.90		
 -1.53   	-74.46   	  8.71   	 -25.43		 13.63   	 106.82		
 -1.53   	-50.35   	  8.61   	 -25.43		 14.06   	  86.47		
 -2.44   	-32.65   	  8.50   	 -25.43		 14.40   	  50.86		
 -4.27   	-33.57   	  8.40   	 -20.35		 14.61   	  -5.09		
 -7.02   	-49.74   	  8.32   	 -25.43		 14.59   	 -50.86		
 -9.16   	-64.39   	  8.22   	 -20.35		 14.38   	 -76.30		
 -9.16   	-63.78   	  8.14   	 -15.26		 14.08   	 -76.30		
 -6.71   	-46.08   	  8.08   	 -10.17		 13.77   	 -66.12		
 -4.27   	-23.50   	  8.04   	  -5.09		 13.51   	 -40.69		
 -3.36   	-13.12   	  8.02   	   0.00		 13.35   	 -15.26		
 -4.58   	-21.97   	  8.02   	   5.09		 13.29   	   0.00		
 -6.10   	-43.64   	  8.04   	   5.09		 13.29   	   5.09		
 -6.41   	-64.70   	  8.06   	  10.17		 13.31   	   5.09		
 -6.41   	-74.16   	  8.10   	  10.17		 13.33   	  10.17		
 -7.02   	-68.05   	  8.14   	  10.17		 13.37   	  25.43		
 -9.77   	-51.27   	  8.18   	   5.09		 13.47   	  25.43		
-13.43   	-34.18   	  8.20   	   5.09		 13.57   	  25.43		
-16.17   	-25.33   	  8.22   	  -5.09		 13.67   	  10.17		
-16.17   	-27.47   	  8.20   	  -5.09		 13.71   	   0.00		
-14.65   	-36.62   	  8.18   	  -5.09		 13.71   	  -5.09		
-13.43   	-46.08   	  8.16   	 -10.17		 13.69   	 -15.26		
-12.82   	-50.05   	  8.12   	  -5.09		 13.63   	 -20.35		
-11.29   	-47.91   	  8.10   	   0.00		 13.55   	 -10.17		
 -8.54   	-43.33   	  8.10   	   0.00		 13.51   	 -15.26		
 -5.80   	-42.11   	  8.10   	   0.00		 13.45   	 -15.26		
 -5.49   	-47.00   	  8.10   	   5.09		 13.39   	 -10.17		
 -8.54   	-55.54   	  8.12   	   5.09		 13.35   	   0.00		
-14.04   	-61.34   	  8.14   	   0.00		 13.35   	   0.00		
-18.01   	-60.12   	  8.14   	   5.09		 13.35   	  10.17		
-18.31   	-51.27   	  8.16   	   0.00		 13.39   	  15.26		
-14.95   	-38.76   	  8.16   	  -5.09		 13.45   	  25.43		
-10.99   	-27.77   	  8.14   	  -5.09		 13.55   	  20.35		
 -8.54   	-24.11   	  8.12   	  -5.09		 13.63   	  10.17		
 -8.85   	-30.52   	  8.10   	 -15.26		 13.67   	   5.09		
 -9.77   	-45.17   	  8.04   	 -10.17		 13.69   	   0.00		
-10.38   	-62.26   	  8.00   	 -10.17		 13.69   	  -5.09		
 -9.16   	-72.02   	  7.96   	 -10.17		 13.67   	   0.00		
 -7.02   	-68.05   	  7.91   	 -10.17		 13.67   	   5.09		
 -5.19   	-52.19   	  7.87   	  -5.09		 13.69   	   0.00		
 -5.19   	-34.48   	  7.85   	  -5.09		 13.69   	  15.26		
 -6.71   	-25.33   	  7.83   	  -5.09		 13.75   	  25.43		
 -7.93   	-28.38   	  7.81   	  -5.09		 13.86   	  30.52		
 -7.32   	-37.84   	  7.79   	   0.00		 13.98   	  35.61		
 -4.88   	-43.95   	  7.79   	   0.00		 14.12   	  30.52		
 -2.44   	-41.50   	  7.79   	   0.00		 14.24   	  30.52		
  0.00   	-32.96   	  7.79   	   0.00		 14.36   	  20.35		
  1.83   	-24.41   	  7.79   	   5.09		 14.45   	   5.09		
  3.05   	-22.58   	  7.81   	   5.09		 14.47   	   0.00		
  3.05   	-28.99   	  7.83   	   5.09		 14.47   	  -5.09		
  1.53   	-37.54   	  7.85   	   5.09		 14.45   	  -5.09		
 -1.83   	-39.37   	  7.87   	   5.09		 14.43   	 -10.17		
 -5.19   	-32.35   	  7.89   	  10.17		 14.38   	 -10.17		
 -6.71   	-21.97   	  7.93   	   5.09		 14.34   	   0.00		
 -6.41   	-18.92   	  7.96   	   5.09		 14.34   	  10.17		
 -6.10   	-26.86   	  7.98   	   5.09		 14.38   	   5.09		
 -7.93   	-39.98   	  8.00   	   5.09		 14.40   	  10.17		
-11.60   	-47.30   	  8.02   	   5.09		 14.45   	  10.17		
-14.95   	-43.33   	  8.04   	  10.17		 14.49   	  10.17		
-15.26   	-32.04   	  8.08   	   5.09		 14.53   	   5.09		
-12.21   	-23.19   	  8.10   	  10.17		 14.55   	   5.09		
 -7.02   	-22.28   	  8.14   	   5.09		 14.57   	   5.09		
 -3.97   	-28.38   	  8.16   	   5.09		 14.59   	   5.09		
 -5.19   	-37.54   	  8.18   	   5.09		 14.61   	  10.17		
-10.07   	-44.56   	  8.20   	   5.09		 14.65   	   5.09		
-17.09   	-46.69   	  8.22   	   0.00		 14.67   	   5.09		
-21.97   	-44.56   	  8.22   	   5.09		 14.69   	  10.17		
-23.19   	-41.50   	  8.24   	  10.17		 14.73   	  10.17		
-21.06   	-42.42   	  8.28   	   5.09		 14.77   	  10.17		
-17.70   	-48.52   	  8.30   	  10.17		 14.81   	  10.17		
-15.87   	-55.54   	  8.34   	   5.09		 14.85   	  15.26		
-15.87   	-57.98   	  8.36   	  15.26		 14.91   	  10.17		
-17.09   	-54.02   	  8.42   	  10.17		 14.95   	  15.26		
-18.01   	-46.39   	  8.46   	  15.26		 15.02   	  10.17		
-18.62   	-39.06   	  8.52   	  15.26		 15.06   	  15.26		
-18.01   	-34.18   	  8.59   	  15.26		 15.12   	  20.35		
-17.40   	-29.91   	  8.65   	  15.26		 15.20   	  15.26		
-16.48   	-25.02   	  8.71   	  20.35		 15.26   	  15.26		
-15.26   	-19.53   	  8.79   	  20.35		 15.32   	  20.35		
-14.34   	-14.65   	  8.87   	  20.35		 15.40   	  20.35		
-13.73   	-10.68   	  8.95   	  20.35		 15.48   	  20.35		
-13.73   	 -7.63   	  9.03   	  20.35		 15.56   	  25.43		
-14.04   	 -7.32   	  9.11   	  25.43		 15.67   	  30.52		
-14.34   	-11.60   	  9.22   	  30.52		 15.79   	  35.61		
-13.73   	-19.23   	  9.34   	  30.52		 15.93   	  30.52		
-12.51   	-26.86   	  9.46   	  35.61		 16.05   	  25.43		
-10.38   	-28.69   	  9.60   	  35.61		 16.15   	  20.35		
 -7.63   	-22.58   	  9.75   	  45.78		 16.24   	  20.35		
 -4.58   	-11.60   	  9.93   	  40.69		 16.32   	  25.43		
 -1.53   	 -0.92   	 10.09   	  40.69		 16.42   	  20.35		
  0.61   	  4.88   	 10.25   	  45.78		 16.50   	  20.35		
  1.22   	  3.97   	 10.44   	  40.69		 16.58   	  30.52		
 -0.61   	 -1.83   	 10.60   	  40.69		 16.70   	  30.52		
 -5.19   	-10.07   	 10.76   	  35.61		 16.83   	  40.69		
-10.68   	-16.17   	 10.91   	  30.52		 16.99   	  45.78		
-14.34   	-13.73   	 11.03   	  30.52		 17.17   	  50.86		
-13.43   	  7.02   	 11.15   	  35.61		 17.38   	  55.95		
 -7.93   	 55.85   	 11.29   	  30.52		 17.60   	  61.04		
 -1.22   	143.43   	 11.41   	  40.69		 17.84   	  71.21		
  1.22   	278.32   	 11.58   	  40.69		 18.13   	  91.56		
 -1.83   	465.70   	 11.74   	  55.95		 18.49   	 142.42		
 -4.27   	699.46   	 11.96   	  61.04		 19.06   	 193.29		
  3.97   	947.57   	 12.21   	  76.30		 19.84   	 259.41		
 26.86   	1152.34   	 12.51   	  86.47		 20.87   	 315.36		
 56.15   	1249.08(R)	 12.86   	  91.56		 22.14(E)	 350.97		
 74.77   	1202.09   	 13.22   	  96.64		 23.54   	 381.48		
 65.31   	1031.19   	 13.61   	 106.82		 25.07   	 401.83		
 24.41   	802.31   	 14.04   	 111.90		 26.67   	 427.26		
-34.48   	588.99   	 14.49   	 116.99		 28.38   	 432.35		
-90.94   	430.60   	 14.95   	 116.99		 30.11   	 412.00		
-128.78   	325.32   	 15.42   	 116.99		 31.76   	 386.57		
-143.13   	251.46   	 15.89   	 116.99		 33.31   	 376.40		
-137.02   	190.12   	 16.36   	 116.99		 34.81   	 422.18		
-117.49   	134.58   	 16.83   	 116.99		 36.50   	 574.77		
-89.42   	 84.23   	 17.29   	 122.07		 38.80   	 885.04		
-58.90   	 36.93   	 17.78   	 116.99		 42.34   	1291.96		
-32.35   	 -6.10   	 18.25   	 127.16		 47.51   	1673.44		
-15.26   	-38.76   	 18.76   	 137.33		 54.20   	1917.59		
 -9.16   	-54.02   	 19.31   	 142.42		 61.87   	1978.63		
 -9.77   	-52.19   	 19.88   	 162.77		 69.79   	2009.15		
-11.60   	-43.64   	 20.53   	 178.03		 77.82   	2004.06		
-10.99   	-38.76   	 21.24   	 203.46		 85.84   	1683.61		
 -7.63   	-41.50   	 22.05   	 218.72		 92.57   	1113.93		
 -3.97   	-47.61   	 22.93   	 233.98		 97.03   	 310.27		
 -1.53   	-52.49   	 23.87   	 233.98		 98.27   	-427.26		
 -0.31   	-54.32   	 24.80   	 218.72		 96.56   	-391.66		
 -0.31   	-55.24   	 25.68   	 178.03		 94.99   	 178.03		
 -0.31   	-57.07   	 26.39   	 132.25		 95.71   	 569.68		
 -0.31   	-58.29   	 26.92   	  81.38		 97.99   	 656.15		
 -0.31   	-58.29   	 27.24   	  25.43		100.61   	 701.93		
  0.00   	-55.85   	 27.34   	 -15.26		103.42   	 747.71		
  1.22   	-51.88   	 27.28   	 -30.52		106.41   	 640.89		
  3.36   	-47.00   	 27.16   	 -20.35		108.97   	 391.66		
  6.10   	-41.50   	 27.08   	   5.09		110.54   	  15.26		
  8.85   	-36.32   	 27.10   	  45.78		110.60   	-457.78		
 10.68   	-33.26   	 27.28   	  96.64		108.77   	-839.26		
 11.60   	-33.57   	 27.67   	 137.33		105.41   	-986.77		
 11.29   	-36.32   	 28.22   	 162.77		101.46   	-813.83		
  9.77   	-40.28   	 28.87   	 172.94		 98.21   	-335.71		
  8.24   	-43.64   	 29.56   	 172.94		 96.87   	 279.75		
  7.63   	-45.78   	 30.25   	 147.51		 97.99   	 844.35		
  7.93   	-46.39   	 30.84   	 122.07		101.36   	1144.45		
  8.85   	-45.47   	 31.33   	  86.47		105.94   	1098.67		
  8.85   	-43.95   	 31.68   	  55.95		110.34   	 885.04		
  8.54   	-42.42   	 31.90   	  25.43		113.88   	 686.67		
  7.93   	-41.50   	 32.00   	  10.17		116.62   	 422.18		
  7.93   	-41.50   	 32.04   	   5.09		118.31   	 178.03		
  8.85   	-41.20   	 32.06   	   0.00		119.02   	   0.00		
 10.07   	-39.06   	 32.06   	   5.09		119.02   	-152.59		
 11.29   	-33.57   	 32.09   	   5.09		118.41   	-274.67		
 12.21   	-25.94   	 32.11   	   5.09		117.31   	-295.01		
 13.43   	-18.62   	 32.13   	   5.09		116.13   	-213.63		
 15.26   	-13.43   	 32.15(A)	 -10.17		115.28   	 -45.78		
 17.70   	-10.99   	 32.11   	 -15.26		115.10   	 162.77		
 20.14   	 -9.16   	 32.04   	 -30.52		115.75   	 305.19		
 22.58   	 -5.49   	 31.92   	 -40.69		116.97   	 356.05		
 25.02   	  1.22   	 31.76   	 -45.78		118.39   	 350.97		
 28.38   	 10.99   	 31.58   	 -50.86		119.80   	 320.45		
 32.04   	 22.28   	 31.37   	 -40.69		121.08   	 223.80		
 36.32   	 34.48   	 31.21   	 -35.61		121.97   	  91.56		
 40.59   	 47.30   	 31.07   	 -25.43		122.34(S)	 -35.61		
 44.25   	 60.42   	 30.97   	 -10.17		122.20   	-132.25		
 47.30   	 74.16   	 30.93   	  -5.09		121.67   	-178.03		
 50.35   	 88.50   	 30.91   	   0.00		120.96   	-167.85		
 53.41   	104.68   	 30.91   	   5.09		120.28   	 -96.64		
 56.76   	122.07   	 30.93   	   0.00		119.90   	  10.17		
 60.73   	139.77   	 30.93   	   0.00		119.94   	  91.56		
 64.39   	155.64   	 30.93   	   0.00		120.30   	 106.82		
 66.83   	168.15   	 30.93   	  -5.09		120.73   	  86.47		
 67.75   	178.22   	 30.91   	   0.00		121.08   	  30.52		
 67.44   	187.38   	 30.91   	   0.00		121.20   	 -76.30		
 66.53   	195.92   	 30.91   	   5.09		120.89   	-218.72		
 64.70   	201.42   	 30.93   	   5.09		120.02   	-361.14		
 62.56   	200.50   	 30.95   	  15.26		118.58   	-447.61		
 59.51   	191.96   	 31.01   	  10.17		116.78   	-457.78		
 55.24   	177.31   	 31.05   	  20.35		114.95   	-406.92		
 49.74   	160.22   	 31.13   	  15.26		113.33   	-340.79		
 43.03   	143.13   	 31.19   	  15.26		111.96   	-289.93		
 36.32   	126.95   	 31.25   	  20.35		110.80   	-295.01		
 29.91   	110.17   	 31.33   	  15.26		109.62   	-371.31		
 24.41   	 91.55   	 31.39   	  15.26		108.14   	-508.65		
 20.14   	 70.19   	 31.45   	  10.17		106.10   	-651.07		
 16.78   	 47.91   	 31.50   	  10.17		103.50   	-798.57		
 13.73   	 28.69   	 31.54   	  10.17		100.30   	-1002.03		
 10.38   	 13.73   	 31.58   	   5.09		 96.30   	-1215.66		
  7.02   	  3.36   	 31.60   	   0.00		 91.43   	-1251.27		
  3.97   	 -5.19   	 31.60   	   5.09		 86.43   	-951.17		
  0.92   	-13.43   	 31.62   	   0.00		 82.62   	-427.26		
 -1.22   	-21.06   	 31.62   	   0.00		 80.92   	 -96.64		
 -2.75   	-25.94   	 31.62   	   0.00		 80.53   	 -71.21		
 -4.27   	-28.38   	 31.62   	  -5.09		 80.24   	-401.83		
 -5.49   	-29.91   	 31.60   	 -10.17		 78.64   	-961.34		
 -7.63   	-32.65   	 31.56   	 -15.26		 74.79   	-1525.93		
-10.07   	-37.84   	 31.50   	 -15.26		 68.69   	-1785.34		
-12.82   	-41.81   	 31.43   	 -25.43		 61.55   	-1663.27		
-15.56   	-42.42   	 31.33   	 -25.43		 54.89   	-1515.76		
-17.40   	-39.06   	 31.23   	 -25.43		 48.83   	-1439.47		
-18.31   	-36.01   	 31.13   	 -30.52		 43.07   	-1225.83		
-18.92   	-36.93   	 31.01   	 -25.43		 38.17   	-854.52		
-19.53   	-41.81   	 30.91   	 -20.35		 34.75   	-432.35		
-20.45   	-48.22   	 30.82   	 -15.26		 33.02   	 -86.47		
-21.06   	-52.19   	 30.76   	 -10.17		 32.68   	 122.07		
-20.75   	-51.57   	 30.72   	  -5.09		 33.16   	 218.72		
-19.23   	-47.00   	 30.70   	 -10.17		 34.04   	 203.46		
-17.40   	-39.98   	 30.66   	 -20.35		 34.85   	  55.95		
-15.26   	-32.65   	 30.58   	 -25.43		 35.08   	-183.11		
-13.73   	-26.25   	 30.48   	 -30.52		 34.34   	-442.52		
-12.82   	-21.97   	 30.36   	 -30.52		 32.57   	-656.15		
-12.51   	-20.75   	 30.23   	 -15.26		 29.95   	-778.23		
-12.51   	-23.19   	 30.17   	   5.09		 26.84   	-818.92		
-12.82   	-28.38   	 30.19   	  35.61		 23.56   	-752.79		
