  I     	  II     	  LV     	  LV'		  RA     	  RA'		
-62.87   	-48.22   	  8.08   	 -20.35		  6.96   	 -50.86		
-60.12   	-46.08   	  8.00   	 -30.52		  6.75   	 -50.86		
-57.98   	-43.64   	  7.87   	 -40.69		  6.55   	 -45.78		
-57.07   	-41.20   	  7.71   	 -45.78		  6.37   	 -45.78		
-56.76   	-39.37   	  7.53   	 -50.86		  6.19   	 -40.69		
-55.85   	-38.76   	  7.32   	 -55.95		  6.02   	 -35.61		
-55.24   	-36.93   	  7.10   	 -45.78		  5.88   	 -25.43		
-58.29   	-29.30   	  6.92   	 -45.78		  5.78   	 -15.26		
-68.97   	-11.90   	  6.73   	 -30.52		  5.72   	 -10.17		
-87.89   	 17.40   	  6.61   	 -15.26		  5.68   	   0.00		
-105.29   	 55.85   	  6.55   	   0.00		  5.68   	   5.09		
-101.93   	 97.05   	  6.55(E)	  15.26		  5.70   	  10.17		
-54.93   	134.28   	  6.61   	  20.35		  5.74   	  10.17		
 46.69   	164.18   	  6.69   	  35.61		  5.78   	   5.09		
191.04   	184.33   	  6.84   	  30.52		  5.80   	   0.00		
339.97   	177.00   	  6.96   	  35.61		  5.80   	  -5.09		
445.25   	108.95   	  7.10   	  35.61		  5.78   	 -20.35		
475.77   	-42.72   	  7.24   	  35.61		  5.70   	 -25.43		
434.27   	-259.09   	  7.39   	  40.69		  5.60   	 -30.52		
353.09   	-477.60   	  7.55   	  50.86		  5.47   	 -25.43		
269.17   	-624.69   	  7.75   	  55.95		  5.37   	 -25.43		
202.33   	-672.00   	  7.98   	  66.12		  5.27   	 -10.17		
150.76   	-663.45   	  8.24   	  76.30		  5.23   	  -5.09		
107.42   	-667.42   	  8.55   	  91.56		  5.21   	  10.17		
 72.63   	-712.59   	  8.91   	 101.73		  5.25   	  20.35		
 53.71   	-761.41(R)	  9.32   	 111.90		  5.33   	  30.52		
 52.19   	-749.21   	  9.77   	 137.33		  5.45   	  25.43		
 59.20   	-642.09   	 10.32   	 157.68		  5.55   	  25.43		
 59.20   	-468.14   	 10.95   	 183.11		  5.66   	  15.26		
 44.56   	-290.83   	 11.68   	 213.63		  5.72   	  10.17		
 18.92   	-160.83   	 12.53   	 244.15		  5.76   	   5.09		
 -7.02   	-92.47   	 13.51   	 279.75		  5.78   	  -5.09		
-25.02   	-69.58   	 14.63   	 325.53		  5.76   	   0.00		
-32.65   	-65.31   	 15.93   	 366.22		  5.76   	 -10.17		
-33.57   	-60.42   	 17.40   	 422.18		  5.72   	  -5.09		
-32.96   	-49.13   	 19.08   	 483.21		  5.70   	  -5.09		
-34.18   	-33.26   	 21.02   	 544.25		  5.68   	 -10.17		
-39.37   	-19.53   	 23.19   	 615.46		  5.64   	 -15.26		
-47.00   	-12.21   	 25.66   	 676.50		  5.57   	 -20.35		
-53.41   	-11.29   	 28.36   	 747.71		  5.49   	 -25.43		
-55.85   	-12.21   	 31.35   	 808.75		  5.39   	 -30.52		
-54.02   	-10.99   	 34.59   	 859.61		  5.27   	 -35.61		
-50.35   	 -6.71   	 38.03   	 900.30		  5.13   	 -40.69		
-48.22   	 -1.22   	 41.63   	 920.65		  4.96   	 -40.69		
-48.22   	  3.66   	 45.31   	 925.73		  4.80   	 -35.61		
-48.83   	  7.63   	 49.01   	 920.65		  4.66   	 -30.52		
-48.83   	  9.16   	 52.70   	 885.04		  4.54   	 -30.52		
-47.30   	  8.54   	 56.24   	 839.26		  4.42   	 -20.35		
-44.25   	  7.02   	 59.59   	 778.23		  4.33   	 -15.26		
-40.28   	  6.10   	 62.71   	 712.10		  4.27   	 -15.26		
-36.01   	  6.41   	 65.55   	 640.89		  4.21   	 -10.17		
-33.57   	  7.32   	 68.12   	 590.03		  4.17   	 -10.17		
-34.48   	  7.63   	 70.48   	 549.34		  4.13   	 -10.17		
-39.06   	  7.32   	 72.68   	 528.99		  4.09   	 -10.17		
-44.56   	  7.32   	 74.79   	 523.90		  4.05   	 -10.17		
-46.69   	  7.93   	 76.89   	 518.82		  4.01   	 -10.17		
-43.64   	  9.46   	 78.96   	 523.90		  3.97   	 -15.26		
-37.84   	 10.99   	 81.06   	 523.90		  3.91   	 -10.17		
-33.26   	 11.60   	 83.15   	 508.65		  3.87   	 -10.17		
-31.74   	 11.90   	 85.19   	 493.39		  3.83   	 -15.26		
-30.52   	 12.51   	 87.16   	 462.87		  3.76   	 -10.17		
-26.55   	 13.43   	 89.01   	 427.26		  3.72   	 -10.17		
-20.14   	 13.43   	 90.72   	 381.48		  3.68   	 -15.26		
-15.26   	 11.90   	 92.25   	 340.79		  3.62   	  -5.09		
-16.17   	  9.46   	 93.61   	 300.10		  3.60   	  -5.09		
-23.19   	  8.24   	 94.81   	 269.58		  3.58   	  -5.09		
-31.43   	  8.85   	 95.89   	 239.06		  3.56   	   0.00		
-36.01   	 10.99   	 96.85   	 218.72		  3.56   	   0.00		
-34.79   	 13.12   	 97.72   	 203.46		  3.56   	   5.09		
-28.69   	 15.56   	 98.53   	 193.29		  3.58   	  10.17		
-20.14   	 18.62   	 99.31   	 183.11		  3.62   	  10.17		
-12.82   	 22.89   	100.04   	 172.94		  3.66   	  10.17		
 -7.93   	 27.47   	100.73   	 167.85		  3.70   	   5.09		
 -6.71   	 30.52   	101.40   	 157.68		  3.72   	  10.17		
 -7.93   	 32.04   	102.03   	 147.51		  3.76   	  10.17		
 -9.16   	 32.65   	102.62   	 137.33		  3.80   	   5.09		
 -8.85   	 33.57   	103.17   	 122.07		  3.83   	   5.09		
 -7.02   	 35.71   	103.66   	 111.90		  3.85   	   5.09		
 -5.49   	 38.45   	104.11   	  96.64		  3.87   	   5.09		
 -3.66   	 41.81   	104.50   	  81.38		  3.89   	  10.17		
  0.31   	 45.78   	104.82   	  71.21		  3.93   	   5.09		
  7.32   	 50.66   	105.11   	  61.04		  3.95   	   5.09		
 15.87   	 55.85   	105.35   	  50.86		  3.97   	  10.17		
 22.28   	 61.04   	105.55   	  50.86		  4.01   	   5.09		
 24.41   	 65.31   	105.76   	  40.69		  4.03   	  10.17		
 22.58   	 69.58   	105.92   	  35.61		  4.07   	   5.09		
 19.84   	 74.77   	106.06   	  30.52		  4.09   	   5.09		
 19.23   	 79.96   	106.18   	  30.52		  4.11   	   5.09		
 22.58   	 84.53   	106.31   	  25.43		  4.13   	   5.09		
 29.30   	 88.20   	106.41   	  25.43		  4.15   	   0.00		
 38.45   	 91.25   	106.51   	  20.35		  4.15   	   5.09		
 48.52   	 94.30   	106.59   	  15.26		  4.17   	   0.00		
 57.37   	 97.66   	106.65   	  10.17		  4.17   	   0.00		
 64.09   	100.71   	106.69(S)	   0.00		  4.17   	   5.09		
 67.75   	102.23   	106.69   	  -5.09		  4.19   	   0.00		
 70.19   	102.54   	106.67   	 -10.17		  4.19   	   0.00		
 73.24   	102.84   	106.63   	 -20.35		  4.19   	   0.00		
 78.43   	104.06   	106.55   	 -25.43		  4.19   	   5.09		
 86.36   	105.90   	106.45   	 -40.69		  4.21   	  -5.09		
 95.83   	106.81   	106.29   	 -40.69		  4.19   	   0.00		
103.76   	105.90   	106.12   	 -50.86		  4.19   	   0.00		
107.42   	103.45   	105.92   	 -55.95		  4.19   	  -5.09		
107.42   	100.10   	105.70   	 -61.04		  4.17   	   0.00		
106.81   	 97.05   	105.45   	 -55.95		  4.17   	  -5.09		
109.56   	 93.38   	105.23   	 -55.95		  4.15   	   0.00		
117.19   	 89.11   	105.00   	 -55.95		  4.15   	   0.00		
126.34   	 84.84   	104.78   	 -50.86		  4.15   	   5.09		
133.97   	 81.79   	104.58   	 -61.04		  4.17   	   0.00		
137.94   	 79.96   	104.33   	 -71.21		  4.17   	  10.17		
137.63   	 77.51   	104.05   	 -91.56		  4.21   	   5.09		
133.67   	 72.33   	103.68   	-116.99		  4.23   	  10.17		
124.21   	 63.17   	103.21   	-152.59		  4.27   	  15.26		
109.86   	 52.49   	102.60   	-193.29		  4.33   	  10.17		
 92.47   	 43.03   	101.83   	-228.89		  4.37   	  15.26		
 77.21   	 36.32   	100.92   	-264.50		  4.44   	  15.26		
 66.83   	 31.43   	 99.86   	-295.01		  4.50   	  10.17		
 60.12   	 26.55   	 98.68   	-315.36		  4.54   	  15.26		
 53.71   	 20.14   	 97.42   	-325.53		  4.60   	  15.26		
 43.33   	 12.51   	 96.11   	-330.62		  4.66   	  10.17		
 29.30   	  5.19   	 94.79   	-330.62		  4.70   	  15.26		
 13.73   	 -1.22   	 93.47   	-335.71		  4.76   	  10.17		
  0.31   	 -6.10   	 92.13   	-335.71		  4.80   	  15.26		
 -9.46   	-10.99   	 90.78   	-340.79		  4.86   	  10.17		
-16.48   	-16.48   	 89.42   	-361.14		  4.90   	  10.17		
-23.19   	-22.28   	 87.98   	-386.57		  4.94   	  10.17		
-30.52   	-27.16   	 86.43   	-432.35		  4.98   	  10.17		
-38.15   	-30.21   	 84.70   	-493.39		  5.03   	  10.17		
-43.95   	-31.43   	 82.73   	-569.68		  5.07   	  10.17		
-46.08   	-30.52   	 80.45   	-651.07		  5.11   	  15.26		
-45.78   	-29.60   	 77.84   	-737.54		  5.17   	  10.17		
-44.25   	-29.60   	 74.89   	-808.75		  5.21   	  15.26		
-43.33   	-30.82   	 71.66   	-864.70		  5.27   	  10.17		
-43.03   	-33.26   	 68.20   	-905.39		  5.31   	  10.17		
-42.42   	-35.10   	 64.58   	-915.56		  5.35   	  15.26		
-42.11   	-36.32   	 60.92   	-905.39		  5.41   	  10.17		
-44.25   	-36.62   	 57.29   	-869.78		  5.45   	  10.17		
-49.74   	-37.23   	 53.81   	-829.09		  5.49   	   5.09		
-56.76   	-37.54   	 50.50   	-773.14		  5.51   	  10.17		
-62.56   	-38.15   	 47.41   	-722.28		  5.55   	   5.09		
-64.39   	-38.76   	 44.52   	-676.50		  5.57   	   0.00		
-62.26   	-39.06   	 41.81   	-630.72		  5.57   	   5.09		
-57.37   	-38.45   	 39.29   	-595.11		  5.60   	   5.09		
-51.88   	-36.93   	 36.91   	-569.68		  5.62   	   0.00		
-47.30   	-34.18   	 34.63   	-549.34		  5.62   	   5.09		
-44.25   	-31.74   	 32.43   	-539.16		  5.64   	   0.00		
-44.25   	-30.52   	 30.27   	-518.82		  5.64   	   5.09		
-47.61   	-30.52   	 28.20   	-508.65		  5.66   	  10.17		
-52.80   	-30.21   	 26.16   	-493.39		  5.70   	   5.09		
-56.76   	-28.69   	 24.19   	-462.87		  5.72   	   5.09		
-57.68   	-25.33   	 22.34   	-437.43		  5.74   	   5.09		
-55.24   	-21.36   	 20.59   	-412.00		  5.76   	   5.09		
-51.57   	-19.23   	 18.94   	-371.31		  5.78   	   0.00		
-48.52   	-19.23   	 17.46   	-335.71		  5.78   	   5.09		
-46.08   	-20.45   	 16.11   	-305.19		  5.80   	   0.00		
-44.25   	-21.36   	 14.89   	-264.50		  5.80   	  -5.09		
-43.03   	-20.75   	 13.84   	-233.98		  5.78   	   0.00		
-42.72   	-19.53   	 12.90   	-208.54		  5.78   	  -5.09		
-44.25   	-18.31   	 12.07   	-178.03		  5.76   	  -5.09		
-47.00   	-17.70   	 11.35   	-152.59		  5.74   	   0.00		
-49.44   	-17.70   	 10.74   	-142.42		  5.74   	  -5.09		
-49.44   	-17.40   	 10.17   	-127.16		  5.72   	  -5.09		
-46.69   	-16.17   	  9.66   	-116.99		  5.70   	   0.00		
-43.33   	-14.65   	  9.20   	-122.07		  5.70   	  -5.09		
-41.20   	-13.43   	  8.71   	-116.99		  5.68   	 -20.35		
-41.20   	-12.82   	  8.24   	-111.90		  5.60   	 -30.52		
-42.11   	-12.51   	  7.79   	-111.90		  5.47   	 -61.04		
-41.81   	-12.51   	  7.34   	-101.73		  5.23   	 -86.47		
-40.28   	-12.51   	  6.94   	 -86.47		  4.88   	-111.90		
-39.37   	-13.12   	  6.59   	 -76.30		  4.44   	-122.07		
-39.67   	-14.04   	  6.29   	 -50.86		  3.95   	-116.99		
-41.50   	-14.65   	  6.08   	 -35.61		  3.48   	-101.73		
-42.72   	-14.34   	  5.94   	 -20.35		  3.07   	 -66.12		
-42.42   	-14.34   	  5.86   	  -5.09		  2.81   	 -25.43		
-40.59   	-15.56   	  5.84   	   5.09		  2.71   	  20.35		
-39.37   	-18.01   	  5.86   	  15.26		  2.79   	  66.12		
-39.98   	-20.75   	  5.92   	  15.26		  3.05   	  91.56		
-41.20   	-22.28   	  5.98   	  10.17		  3.42   	 111.90		
-41.81   	-23.80   	  6.02   	   5.09		  3.87   	 101.73		
-39.98   	-28.38   	  6.04   	   0.00		  4.27   	  91.56		
-36.01   	-39.67   	  6.04   	  -5.09		  4.64   	  66.12		
-32.04   	-56.15   	  6.02   	 -20.35		  4.90   	  40.69		
-30.52   	-72.33   	  5.94   	 -20.35		  5.07   	  20.35		
-32.04   	-80.87   	  5.86   	 -25.43		  5.15   	  10.17		
-34.79   	-78.13   	  5.76   	 -25.43		  5.19   	  10.17		
-36.93   	-68.05   	  5.66   	 -25.43		  5.23   	  20.35		
-37.54   	-58.59   	  5.55   	 -15.26		  5.31   	  40.69		
-36.62   	-55.54   	  5.49   	 -10.17		  5.47   	  50.86		
-36.01   	-57.98   	  5.45   	  -5.09		  5.68   	  66.12		
-36.01   	-61.65   	  5.43(D)	   0.00		  5.94   	  71.21		
-36.32   	-61.95   	  5.43   	   5.09		  6.23   	  61.04		
-36.62   	-59.20   	  5.45   	  10.17		  6.47   	  50.86		
-36.93   	-55.85   	  5.49   	  10.17		  6.67   	  30.52		
-38.76   	-54.93   	  5.53   	  10.17		  6.80   	   5.09		
-41.50   	-56.46   	  5.57   	  15.26		  6.82   	 -15.26		
-44.56   	-57.68   	  5.64   	   5.09		  6.75   	 -35.61		
-46.69   	-56.76   	  5.66   	  10.17		  6.61   	 -45.78		
-46.08   	-54.02   	  5.70   	   0.00		  6.43   	 -45.78		
-43.64   	-50.35   	  5.70   	  -5.09		  6.25   	 -35.61		
-41.50   	-47.91   	  5.68   	  -5.09		  6.10   	 -20.35		
-42.42   	-47.00   	  5.66   	 -10.17		  6.02   	  -5.09		
-45.78   	-46.69   	  5.62   	 -10.17		  6.00   	  15.26		
-50.35   	-44.56   	  5.57   	 -10.17		  6.06   	  35.61		
-52.80   	-39.37   	  5.53   	 -10.17		  6.21   	  40.69		
-51.88   	-32.96   	  5.49   	   0.00		  6.37   	  50.86		
-49.74   	-28.08   	  5.49   	   0.00		  6.57   	  50.86		
-49.13   	-26.55   	  5.49   	  10.17		  6.78   	  50.86		
-50.05   	-27.16   	  5.53   	  10.17		  6.98   	  40.69		
-50.35   	-27.16   	  5.57   	  15.26		  7.14   	  25.43		
-48.52   	-25.02   	  5.64   	  15.26		  7.24   	  20.35		
-46.39   	-21.67   	  5.70   	  15.26		  7.32   	   5.09		
-47.61   	-19.23   	  5.76   	  15.26		  7.34   	  -5.09		
-53.10   	-18.62   	  5.82   	  15.26		  7.32   	 -15.26		
-59.51   	-19.53   	  5.88   	  15.26		  7.26   	  -5.09		
-61.95   	-20.14   	  5.94   	  15.26		  7.24   	  10.17		
-58.90   	-20.45   	  6.00   	   5.09		  7.28   	  35.61		
-52.49   	-21.36   	  6.02   	  10.17		  7.43   	  66.12		
-46.69   	-23.19   	  6.06   	   5.09		  7.69   	  86.47		
-43.33   	-25.33   	  6.08   	   5.09		  8.04   	  96.64		
-41.20   	-26.25   	  6.10   	   5.09		  8.42   	  81.38		
-39.37   	-25.33   	  6.12   	   5.09		  8.75   	  55.95		
-38.15   	-23.50   	  6.14   	   0.00		  8.97   	  10.17		
-37.84   	-21.97   	  6.14   	   0.00		  9.01(V)	 -40.69		
-39.37   	-21.67   	  6.14   	   5.09		  8.85   	 -91.56		
-41.50   	-22.28   	  6.16   	   0.00		  8.48   	-132.25		
-42.42   	-23.19   	  6.16   	   0.00		  7.96   	-152.59		
-41.81   	-23.50   	  6.16   	   0.00		  7.34   	-157.68		
-40.59   	-23.50   	  6.16   	   0.00		  6.71   	-147.51		
-38.76   	-23.19   	  6.16   	   0.00		  6.12   	-122.07		
-38.45   	-22.89   	  6.16   	  10.17		  5.64   	 -86.47		
-39.67   	-21.67   	  6.21   	  10.17		  5.29   	 -50.86		
-41.81   	-20.45   	  6.25   	  10.17		  5.09   	 -15.26		
-43.33   	-18.92   	  6.29   	  20.35		  5.03   	  10.17		
-43.95   	-18.31   	  6.37   	  20.35		  5.07   	  30.52		
-43.03   	-18.62   	  6.45   	  25.43		  5.19   	  35.61		
-40.28   	-20.75   	  6.55   	  25.43		  5.33   	  15.26		
-36.62   	-23.50   	  6.65   	  20.35		  5.39   	  -5.09		
-33.26   	-25.63   	  6.73   	  20.35		  5.37   	 -40.69		
-32.04   	-25.63   	  6.82   	  15.26		  5.21   	 -76.30		
-33.87   	-23.50   	  6.88   	   5.09		  4.90   	-101.73		
-38.45   	-20.14   	  6.90   	   0.00		  4.50   	-122.07		
-43.33   	-17.70   	  6.90   	  -5.09		  4.01   	-122.07		
-45.78   	-17.09   	  6.88   	 -15.26		  3.52   	-101.73		
-44.25   	-17.70   	  6.82   	 -10.17		  3.11   	 -66.12		
-39.06   	-18.01   	  6.78   	 -20.35		  2.85   	 -25.43		
-32.65   	-16.78   	  6.69   	 -10.17		  2.75   	   5.09		
-28.08   	-14.04   	  6.65   	 -15.26		  2.77   	  40.69		
-27.77   	-11.60   	  6.59   	 -10.17		  2.93   	  50.86		
-30.52   	-11.60   	  6.55   	  -5.09		  3.13   	  55.95		
-35.10   	-14.04   	  6.53   	  -5.09		  3.36   	  40.69		
-39.06   	-18.01   	  6.51   	   0.00		  3.52   	  20.35		
-41.50   	-21.36   	  6.51   	   0.00		  3.60   	   0.00		
-43.03   	-22.89   	  6.51   	  -5.09		  3.60   	 -10.17		
-44.25   	-22.89   	  6.49   	   0.00		  3.56   	 -15.26		
-44.86   	-21.36   	  6.49   	  -5.09		  3.50   	  -5.09		
-43.95   	-19.84   	  6.47   	  -5.09		  3.48   	  20.35		
-40.59   	-18.92   	  6.45   	  -5.09		  3.56   	  45.78		
-36.62   	-18.31   	  6.43   	   0.00		  3.74   	  86.47		
-33.57   	-18.62   	  6.43   	   5.09		  4.09   	 106.82		
-33.57   	-18.92   	  6.45   	  10.17		  4.52   	 132.25		
-34.79   	-18.92   	  6.49   	  10.17		  5.05   	 132.25		
-35.10   	-18.31   	  6.53   	  10.17		  5.57   	 116.99		
-33.57   	-18.01   	  6.57   	  15.26		  6.04   	  96.64		
-31.13   	-18.31   	  6.63   	  10.17		  6.43   	  71.21		
-29.91   	-19.23   	  6.67   	  10.17		  6.71   	  50.86		
-30.82   	-20.14   	  6.71   	  10.17		  6.92   	  25.43		
-33.26   	-20.45   	  6.75   	  10.17		  7.02   	  20.35		
-35.40   	-20.14   	  6.80   	   5.09		  7.10   	  15.26		
-36.62   	-20.14   	  6.82   	   0.00		  7.16   	  10.17		
-37.23   	-21.36   	  6.82   	   0.00		  7.20   	   0.00		
-38.15   	-23.19   	  6.82   	  -5.09		  7.20   	 -15.26		
-39.37   	-23.80   	  6.80   	  -5.09		  7.14   	 -35.61		
-38.76   	-21.97   	  6.78   	 -15.26		  7.00   	 -71.21		
-36.32   	-17.70   	  6.71   	 -15.26		  6.71   	 -91.56		
-33.57   	-13.12   	  6.65   	 -20.35		  6.35   	-116.99		
-32.96   	-10.07   	  6.57   	 -15.26		  5.88   	-122.07		
-36.01   	 -9.46   	  6.51   	 -15.26		  5.39   	-122.07		
-41.50   	-10.99   	  6.45   	   0.00		  4.90   	-101.73		
-45.78   	-12.82   	  6.45   	   5.09		  4.50   	 -71.21		
-46.08   	-14.04   	  6.47   	  20.35		  4.21   	 -40.69		
-42.72   	-14.34   	  6.55   	  30.52		  4.05   	 -10.17		
-37.84   	-14.04   	  6.67   	  40.69		  4.01   	  25.43		
-34.79   	-14.34   	  6.84   	  45.78		  4.11   	  45.78		
-34.48   	-15.87   	  7.02   	  45.78		  4.29   	  55.95		
-35.71   	-18.62   	  7.20   	  45.78		  4.52   	  66.12		
-36.01   	-21.06   	  7.39   	  35.61		  4.78   	  66.12		
-34.79   	-22.28   	  7.53   	  25.43		  5.05   	  55.95		
-32.65   	-21.36   	  7.63   	  10.17		  5.27   	  50.86		
-30.82   	-18.31   	  7.67   	   0.00		  5.47   	  30.52		
-30.52   	-14.65   	  7.67   	 -10.17		  5.60   	  25.43		
-32.35   	-11.90   	  7.63   	 -20.35		  5.70   	   5.09		
-34.18   	-10.38   	  7.55   	 -25.43		  5.72   	   0.00		
-34.48   	 -9.46   	  7.45   	 -30.52		  5.72   	 -15.26		
-32.04   	 -8.54   	  7.32   	 -35.61		  5.66   	 -15.26		
-27.47   	 -7.32   	  7.18   	 -30.52		  5.60   	 -20.35		
-22.89   	 -6.71   	  7.06   	 -30.52		  5.51   	 -10.17		
-21.36   	 -6.71   	  6.94   	 -25.43		  5.47   	 -10.17		
-23.19   	 -7.63   	  6.84   	 -20.35		  5.43   	   5.09		
-28.38   	 -8.85   	  6.75   	 -20.35		  5.45   	  15.26		
-34.18   	 -9.46   	  6.67   	 -10.17		  5.51   	  30.52		
-37.84   	 -9.46   	  6.63   	 -10.17		  5.64   	  40.69		
-38.15   	 -9.46   	  6.59   	  -5.09		  5.80   	  50.86		
-35.40   	 -9.46   	  6.57   	   0.00		  6.00   	  50.86		
-30.82   	 -9.46   	  6.57   	   0.00		  6.21   	  61.04		
-26.55   	 -8.85   	  6.57   	  10.17		  6.45   	  55.95		
-23.80   	 -7.93   	  6.61   	  10.17		  6.67   	  61.04		
-22.58   	 -7.02   	  6.65   	  15.26		  6.92   	  55.95		
-23.19   	 -6.71   	  6.71   	  20.35		  7.14   	  55.95		
-24.11   	 -6.41   	  6.80   	  20.35		  7.37   	  45.78		
-25.02   	 -5.19   	  6.88   	  25.43		  7.55   	  45.78		
-25.94   	 -3.36   	  6.98   	  25.43		  7.73   	  40.69		
-26.25   	 -1.83   	  7.08   	  25.43		  7.89   	  30.52		
-25.94   	 -1.83   	  7.18   	  25.43		  8.02   	  25.43		
