  I     	  II     	  LV     	  LV'		  RV     	  RV'		
-11.90   	-38.76   	 15.08   	  20.35		 13.31   	  40.69		
-10.38   	-26.55   	 15.16   	  15.26		 13.47   	  35.61		
 -9.77   	-16.78   	 15.22   	  15.26		 13.61   	  30.52		
 -8.85   	-10.07   	 15.28   	  10.17		 13.73   	  20.35		
 -6.71   	 -6.10   	 15.32   	   5.09		 13.81   	  15.26		
 -3.05   	 -3.66   	 15.34   	   5.09		 13.88   	   5.09		
  1.53   	 -1.22   	 15.36   	   0.00		 13.90   	  -5.09		
  6.10   	  2.44   	 15.36   	   0.00		 13.88   	  -5.09		
  9.77   	  7.63   	 15.36   	  -5.09		 13.86   	 -10.17		
 12.51   	 13.73   	 15.34   	 -10.17		 13.81   	 -15.26		
 14.65   	 18.62   	 15.30   	 -10.17		 13.75   	 -20.35		
 16.78   	 19.84   	 15.26   	 -15.26		 13.67   	 -15.26		
 19.84   	 15.56   	 15.20   	 -15.26		 13.61   	 -20.35		
 25.02   	  7.63   	 15.14   	 -15.26		 13.53   	 -20.35		
 31.13   	 -0.31   	 15.08   	 -10.17		 13.45   	 -25.43		
 36.32   	 -7.02   	 15.04   	 -15.26		 13.35   	 -30.52		
 36.62   	-12.51   	 14.97   	  -5.09		 13.22   	 -35.61		
 30.21   	-19.23   	 14.95   	   0.00		 13.08   	 -35.61		
 17.70   	-27.47   	 14.95   	   5.09		 12.94   	 -30.52		
  2.14   	-35.10   	 14.97   	  20.35		 12.82   	 -15.26		
-12.51   	-39.67   	 15.06   	  30.52		 12.76   	   0.00		
-24.11   	-42.11   	 15.18   	  40.69		 12.76   	  25.43		
-32.65   	-45.47   	 15.34   	  50.86		 12.86   	  61.04		
-39.37   	-52.19   	 15.54   	  50.86		 13.10   	  91.56		
-43.95   	-61.65   	 15.75   	  61.04		 13.47   	 116.99		
-45.47   	-69.58   	 15.99   	  55.95		 13.94   	 137.33		
-43.95   	-73.55   	 16.22   	  55.95		 14.49   	 142.42		
-40.28   	-73.55   	 16.44   	  50.86		 15.06   	 132.25		
-36.93   	-72.33   	 16.64   	  40.69		 15.58   	 116.99		
-35.71   	-72.63   	 16.81   	  35.61		 16.05   	  91.56		
-36.32   	-74.46   	 16.95   	  25.43		 16.42   	  55.95		
-37.23   	-76.29   	 17.05   	  15.26		 16.64   	  15.26		
-37.54   	-76.29   	 17.11   	   5.09		 16.70   	 -20.35		
-37.23   	-73.85   	 17.13   	  -5.09		 16.62   	 -50.86		
-36.62   	-70.19   	 17.11   	 -10.17		 16.42   	 -81.38		
-36.32   	-67.14   	 17.07   	 -10.17		 16.09   	 -91.56		
-36.01   	-65.61   	 17.03   	 -20.35		 15.73   	 -91.56		
-35.71   	-66.22   	 16.95   	 -15.26		 15.36   	 -86.47		
-35.40   	-66.22   	 16.89   	 -15.26		 15.02   	 -61.04		
-34.48   	-64.39   	 16.83   	 -15.26		 14.77   	 -30.52		
-33.57   	-60.42   	 16.76   	 -10.17		 14.65   	   5.09		
-32.65   	-56.15   	 16.72   	   0.00		 14.67   	  45.78		
-32.04   	-53.71   	 16.72   	   0.00		 14.85   	  81.38		
-33.26   	-54.02   	 16.72(E)	   5.09		 15.18   	 106.82		
-34.79   	-55.24   	 16.74   	  15.26		 15.61   	 127.16		
-32.35   	-54.02   	 16.81   	  20.35		 16.11   	 132.25		
-16.48   	-47.30   	 16.89   	  30.52		 16.64   	 127.16		
 20.45   	-31.43   	 17.01   	  30.52		 17.15   	 106.82		
 81.48   	 -0.92   	 17.13   	  40.69		 17.58   	  86.47		
162.35   	 52.19   	 17.29   	  50.86		 17.92   	  61.04		
250.85   	135.50   	 17.50   	  55.95		 18.17   	  30.52		
331.73   	244.45   	 17.72   	  66.12		 18.29   	  10.17		
386.96   	350.65   	 17.99   	  76.30		 18.33   	 -10.17		
397.64   	411.68(R)	 18.29   	  86.47		 18.29   	 -20.35		
349.43   	393.98   	 18.64   	 101.73		 18.21   	 -15.26		
243.53   	295.72   	 19.04   	 127.16		 18.15(E)	 -10.17		
103.15   	152.28   	 19.55   	 152.59		 18.11   	  20.35		
-32.35   	 16.17   	 20.16   	 183.11		 18.19   	  45.78		
-124.51   	-75.99   	 20.90   	 223.80		 18.37   	  86.47		
-157.17   	-117.80   	 21.79   	 264.50		 18.72   	 116.99		
-141.30   	-121.46   	 22.85   	 320.45		 19.19   	 132.25		
-104.68   	-104.06   	 24.13   	 386.57		 19.72   	 127.16		
-72.63   	-78.43   	 25.68   	 457.78		 20.22   	 111.90		
-55.54   	-53.71   	 27.51   	 539.16		 20.67   	  81.38		
-49.74   	-37.84   	 29.66   	 620.55		 21.00   	  55.95		
-47.61   	-34.79   	 32.15   	 696.84		 21.22   	  40.69		
-44.25   	-40.59   	 34.93   	 778.23		 21.38   	  35.61		
-40.89   	-47.61   	 38.05   	 864.70		 21.53   	  55.95		
-39.37   	-50.05   	 41.51   	 940.99		 21.75   	  86.47		
-40.28   	-48.83   	 45.27   	1007.12		 22.10   	 132.25		
-41.81   	-47.00   	 49.30   	1047.81		 22.62   	 188.20		
-41.81   	-45.78   	 53.49   	1078.33		 23.38   	 244.15		
-39.67   	-43.64   	 57.80   	1098.67		 24.35   	 295.01		
-36.93   	-39.98   	 62.20   	1103.76		 25.53   	 330.62		
-35.40   	-36.32   	 66.61   	1108.85		 26.86   	 350.97		
-36.01   	-35.10   	 71.05   	1078.33		 28.26   	 345.88		
-37.84   	-36.62   	 75.36   	1022.38		 29.64   	 325.53		
-38.45   	-39.37   	 79.45   	 956.25		 30.95   	 284.84		
-37.54   	-41.81   	 83.28   	 874.87		 32.09   	 249.24		
-34.48   	-43.03   	 86.77   	 803.66		 33.08   	 198.37		
-31.13   	-42.42   	 89.99   	 717.19		 33.88   	 157.68		
-28.08   	-40.89   	 92.86   	 645.98		 34.51   	 116.99		
-26.25   	-37.84   	 95.44   	 569.68		 34.97   	  86.47		
-25.63   	-33.87   	 97.72   	 518.82		 35.32   	  55.95		
-25.63   	-30.21   	 99.80   	 467.95		 35.54   	  45.78		
-25.94   	-27.16   	101.67   	 437.43		 35.73   	  30.52		
-25.33   	-25.94   	103.42   	 401.83		 35.85   	  15.26		
-24.11   	-25.94   	105.03   	 376.40		 35.91   	  10.17		
-22.28   	-25.94   	106.53   	 356.05		 35.95   	   0.00		
-20.45   	-25.33   	107.95   	 340.79		 35.95   	 -10.17		
-18.62   	-23.19   	109.32   	 325.53		 35.91   	 -15.26		
-17.70   	-19.53   	110.62   	 300.10		 35.85   	 -25.43		
-16.78   	-15.56   	111.82   	 289.93		 35.75   	 -30.52		
-14.95   	-12.51   	112.98   	 274.67		 35.63   	 -30.52		
-11.90   	-10.68   	114.08   	 269.58		 35.50   	 -35.61		
 -7.02   	 -9.16   	115.16   	 259.41		 35.36   	 -35.61		
 -1.53   	 -6.10   	116.19   	 249.24		 35.22   	 -20.35		
  3.66   	 -0.92   	117.19   	 239.06		 35.14   	   0.00		
  7.93   	  6.10   	118.15   	 218.72		 35.14   	  20.35		
 10.68   	 12.82   	119.02   	 218.72		 35.22   	  40.69		
 12.82   	 17.70   	119.90   	 223.80		 35.38   	  66.12		
 15.26   	 21.06   	120.79   	 223.80		 35.65   	  81.38		
 18.92   	 24.72   	121.69   	 188.20		 35.97   	  91.56		
 24.11   	 30.21   	122.44   	 147.51		 36.34   	 101.73		
 30.52   	 39.06   	123.03   	 106.82		 36.74   	  96.64		
 37.23   	 49.74   	123.46   	  96.64		 37.13   	  96.64		
 43.95   	 60.42   	123.84   	 101.73		 37.52   	  91.56		
 50.66   	 69.58   	124.25   	 116.99		 37.88   	  91.56		
 57.07   	 77.21   	124.72   	 116.99		 38.25   	  86.47		
 62.87   	 83.01   	125.19   	 116.99		 38.60   	  86.47		
 68.36   	 88.50   	125.66   	 122.07		 38.94   	  86.47		
 73.24   	 94.30   	126.14   	 132.25		 39.29   	  86.47		
 77.82   	100.71   	126.67   	 142.42		 39.63   	  91.56		
 82.40   	107.12   	127.24   	 142.42		 40.00   	  86.47		
 86.67   	112.61   	127.81   	 137.33		 40.35   	  81.38		
 90.03   	116.58   	128.36   	 137.33		 40.67   	  76.30		
 92.16   	119.32   	128.91   	 132.25		 40.98   	  76.30		
 93.08   	121.77   	129.44   	 122.07		 41.28   	  61.04		
 92.77   	124.51   	129.93   	 111.90		 41.53   	  61.04		
 91.55   	126.95   	130.38   	  96.64		 41.77   	  45.78		
 89.72   	127.87   	130.76   	  96.64		 41.95   	  35.61		
 86.98   	125.12   	131.15   	  91.56		 42.10   	  30.52		
 83.01   	119.32   	131.52   	  81.38		 42.22   	  15.26		
 78.74   	110.78   	131.84   	  66.12		 42.28   	   5.09		
 73.55   	101.32   	132.11   	  45.78		 42.30   	   5.09		
 67.75   	 91.86   	132.29   	  40.69		 42.32(S)	  -5.09		
 60.73   	 83.31   	132.45   	  30.52		 42.30   	  -5.09		
 53.10   	 74.46   	132.57   	  25.43		 42.28   	 -10.17		
 44.86   	 64.39   	132.67   	  20.35		 42.24   	 -15.26		
 36.62   	 53.71   	132.76   	  15.26		 42.18   	 -10.17		
 28.38   	 42.42   	132.82   	   5.09		 42.14   	 -20.35		
 20.45   	 31.74   	132.84(S)	   0.00		 42.05   	 -25.43		
 12.51   	 21.06   	132.84   	 -15.26		 41.95   	 -25.43		
  5.19   	  9.77   	132.78   	 -20.35		 41.85   	 -30.52		
 -0.92   	 -1.83   	132.70   	 -45.78		 41.73   	 -35.61		
 -5.80   	-12.82   	132.51   	 -61.04		 41.59   	 -45.78		
 -9.16   	-21.67   	132.27   	 -91.56		 41.40   	 -45.78		
-11.90   	-28.08   	131.90   	-127.16		 41.22   	 -50.86		
-15.26   	-33.26   	131.39   	-172.94		 41.02   	 -55.95		
-18.92   	-37.84   	130.70   	-233.98		 40.79   	 -61.04		
-21.97   	-42.11   	129.77   	-295.01		 40.55   	 -66.12		
-23.80   	-45.47   	128.59   	-361.14		 40.28   	 -76.30		
-25.02   	-47.91   	127.14   	-417.09		 39.98   	 -81.38		
-26.25   	-49.74   	125.47   	-462.87		 39.65   	 -91.56		
-27.77   	-52.19   	123.62   	-534.08		 39.29   	 -96.64		
-29.60   	-54.93   	121.48   	-656.15		 38.90   	-111.90		
-30.82   	-57.37   	118.86   	-813.83		 38.45   	-116.99		
-31.13   	-58.59   	115.60   	-971.51		 37.99   	-132.25		
-31.13   	-59.51   	111.72   	-1108.85		 37.46   	-132.25		
-31.74   	-60.42   	107.28   	-1205.49		 36.93   	-147.51		
-33.57   	-61.65   	102.46   	-1291.96		 36.34   	-152.59		
-35.71   	-62.56   	 97.29   	-1363.17		 35.73   	-167.85		
-36.93   	-61.95   	 91.84   	-1408.95		 35.06   	-178.03		
-36.62   	-59.81   	 86.21   	-1408.95		 34.34   	-198.37		
-35.71   	-57.68   	 80.57   	-1378.43		 33.55   	-218.72		
-35.10   	-56.46   	 75.06   	-1332.65		 32.68   	-233.98		
-35.10   	-56.46   	 69.73   	-1276.70		 31.74   	-249.24		
-35.40   	-57.07   	 64.62   	-1215.66		 30.74   	-264.50		
-35.71   	-57.68   	 59.76   	-1144.45		 29.68   	-264.50		
-35.40   	-57.37   	 55.18   	-1052.90		 28.63   	-264.50		
-35.10   	-56.15   	 50.97   	-966.43		 27.57   	-264.50		
-34.18   	-54.02   	 47.10   	-874.87		 26.51   	-254.32		
-32.35   	-50.96   	 43.60   	-798.57		 25.49   	-244.15		
-30.82   	-48.22   	 40.41   	-727.36		 24.52   	-233.98		
-29.60   	-45.78   	 37.50   	-661.24		 23.58   	-228.89		
-29.30   	-42.72   	 34.85   	-595.11		 22.67   	-223.80		
-29.30   	-39.98   	 32.47   	-539.16		 21.77   	-213.63		
-28.99   	-37.84   	 30.32   	-493.39		 20.92   	-213.63		
-27.77   	-36.62   	 28.34   	-442.52		 20.06   	-208.54		
-26.25   	-37.23   	 26.57   	-406.92		 19.23   	-208.54		
-25.63   	-38.76   	 24.94   	-361.14		 18.39   	-198.37		
-26.25   	-40.28   	 23.50   	-325.53		 17.60   	-193.29		
-28.08   	-40.89   	 22.20   	-289.93		 16.83   	-188.20		
-29.30   	-40.28   	 21.04   	-259.41		 16.07   	-167.85		
-28.99   	-39.06   	 20.00   	-233.98		 15.40   	-152.59		
-27.16   	-38.76   	 19.06   	-203.46		 14.79   	-137.33		
-24.72   	-39.37   	 18.25   	-183.11		 14.24   	-111.90		
-23.19   	-40.89   	 17.52   	-157.68		 13.79   	 -86.47		
-23.50   	-42.72   	 16.89   	-142.42		 13.45   	 -66.12		
-25.33   	-44.25   	 16.32   	-122.07		 13.18   	 -40.69		
-28.08   	-45.78   	 15.83   	-106.82		 13.02   	 -30.52		
-30.52   	-47.00   	 15.40   	 -91.56		 12.90   	 -10.17		
-31.74   	-47.91   	 15.04   	 -81.38		 12.86   	  -5.09		
-31.13   	-48.22   	 14.71   	 -61.04		 12.84   	   0.00		
-29.30   	-48.52   	 14.47   	 -50.86		 12.84   	   0.00		
-26.55   	-49.44   	 14.26   	 -35.61		 12.84   	  -5.09		
-24.72   	-51.27   	 14.12   	 -30.52		 12.82   	  -5.09		
-24.72   	-54.32   	 14.00   	 -15.26		 12.80   	 -10.17		
-25.63   	-57.68   	 13.94   	 -10.17		 12.76   	 -15.26		
-27.16   	-60.12   	 13.90   	  -5.09		 12.70   	 -10.17		
-28.08   	-61.04   	 13.88(D)	   5.09		 12.66   	   0.00		
-27.77   	-60.42   	 13.90   	  10.17		 12.66   	   5.09		
-26.55   	-58.29   	 13.94   	  15.26		 12.68   	  10.17		
-25.94   	-55.85   	 14.00   	  25.43		 12.72   	  20.35		
-25.63   	-54.32   	 14.10   	  25.43		 12.80   	  20.35		
-25.63   	-54.02   	 14.20   	  30.52		 12.88   	  20.35		
-25.94   	-54.63   	 14.32   	  40.69		 12.96   	  10.17		
-25.94   	-55.85   	 14.49   	  35.61		 13.00   	   0.00		
-25.63   	-56.76   	 14.63   	  40.69		 13.00   	  -5.09		
-25.02   	-57.07   	 14.79   	  45.78		 12.98   	 -20.35		
-25.02   	-57.07   	 14.97   	  40.69		 12.90   	 -25.43		
-25.63   	-57.07   	 15.14   	  50.86		 12.80   	 -30.52		
-25.94   	-57.07   	 15.34   	  50.86		 12.68   	 -25.43		
-26.25   	-57.07   	 15.54   	  50.86		 12.57   	 -15.26		
-25.33   	-56.76   	 15.75   	  50.86		 12.51   	  -5.09		
-23.80   	-56.76   	 15.95   	  55.95		 12.49(D)	  10.17		
-22.58   	-57.07   	 16.17   	  50.86		 12.53   	  15.26		
-22.89   	-57.37   	 16.38   	  50.86		 12.59   	  25.43		
-24.41   	-57.37   	 16.58   	  50.86		 12.70   	  30.52		
-26.25   	-57.37   	 16.79   	  50.86		 12.82   	  25.43		
-26.86   	-57.07   	 16.99   	  40.69		 12.92   	  25.43		
-25.63   	-57.07   	 17.15   	  40.69		 13.02   	  25.43		
-23.80   	-57.37   	 17.31   	  30.52		 13.12   	  15.26		
-23.19   	-58.90   	 17.44   	  30.52		 13.18   	  15.26		
-24.11   	-61.04   	 17.56   	  25.43		 13.25   	  10.17		
-25.33   	-62.87   	 17.66   	  25.43		 13.29   	  15.26		
-25.33   	-63.48   	 17.76   	  15.26		 13.35   	  15.26		
-23.19   	-61.95   	 17.82   	  15.26		 13.41   	  15.26		
-20.14   	-59.51   	 17.88   	  10.17		 13.47   	  20.35		
-18.01   	-56.76   	 17.92   	  10.17		 13.55   	  15.26		
-18.01   	-54.32   	 17.97   	  10.17		 13.61   	  20.35		
-19.84   	-52.80   	 18.01   	   5.09		 13.69   	  15.26		
-21.67   	-51.57   	 18.03   	   5.09		 13.75   	  15.26		
-22.28   	-50.35   	 18.05   	   0.00		 13.81   	  10.17		
-21.97   	-49.44   	 18.05   	   0.00		 13.86   	  10.17		
-20.75   	-48.52   	 18.05   	   0.00		 13.90   	   5.09		
-20.14   	-48.22   	 18.05   	   0.00		 13.92   	   0.00		
-20.45   	-48.22   	 18.05   	   0.00		 13.92   	   5.09		
-20.75   	-47.61   	 18.05   	   5.09		 13.94   	   0.00		
-19.84   	-46.08   	 18.07   	   5.09		 13.94   	   0.00		
-17.40   	-43.33   	 18.09   	  15.26		 13.94   	  -5.09		
-13.73   	-39.37   	 18.15   	  10.17		 13.92   	   0.00		
-10.07   	-33.87   	 18.19   	  15.26		 13.92   	   0.00		
 -7.93   	-26.55   	 18.25   	  10.17		 13.92   	   0.00		
 -6.10   	-17.09   	 18.29   	  10.17		 13.92   	  -5.09		
 -3.97   	 -6.41   	 18.33   	  10.17		 13.90   	   5.09		
 -0.92   	  4.58   	 18.37   	  10.17		 13.92   	   0.00		
  2.14   	 12.82   	 18.41   	   5.09		 13.92   	   0.00		
  3.97   	 17.40   	 18.43   	   5.09		 13.92   	   5.09		
  5.49   	 18.01   	 18.45   	  10.17		 13.94   	   5.09		
  7.93   	 17.70   	 18.49   	   5.09		 13.96   	   5.09		
 13.12   	 18.92   	 18.51   	   5.09		 13.98   	   5.09		
 20.14   	 23.19   	 18.54   	   5.09		 14.00   	   0.00		
 27.77   	 31.43   	 18.56   	   5.09		 14.00   	   5.09		
 33.57   	 40.59   	 18.58   	   5.09		 14.02   	   0.00		
 35.71   	 46.69   	 18.60   	   0.00		 14.02   	   0.00		
 35.71   	 46.69   	 18.60   	   0.00		 14.02   	   0.00		
 34.79   	 40.28   	 18.60   	  -5.09		 14.02   	  -5.09		
 35.10   	 30.21   	 18.58   	   0.00		 14.00   	   0.00		
 37.23   	 20.75   	 18.58   	 -10.17		 14.00   	  -5.09		
 40.28   	 13.73   	 18.54   	  -5.09		 13.98   	  -5.09		
 41.20   	  8.24   	 18.51   	   0.00		 13.96   	  -5.09		
 38.15   	  1.83   	 18.51   	   0.00		 13.94   	 -10.17		
 30.21   	 -6.41   	 18.51   	   5.09		 13.90   	 -10.17		
 19.53   	-14.95   	 18.54   	  15.26		 13.86   	 -10.17		
  7.93   	-20.75   	 18.60   	  15.26		 13.81   	 -15.26		
 -3.05   	-24.11   	 18.66   	  25.43		 13.75   	 -10.17		
-14.04   	-27.77   	 18.76   	  30.52		 13.71   	 -20.35		
-23.80   	-34.48   	 18.88   	  35.61		 13.63   	 -10.17		
-31.43   	-44.25   	 19.02   	  40.69		 13.59   	 -10.17		
-35.40   	-54.32   	 19.19   	  40.69		 13.55   	   0.00		
-35.71   	-61.34   	 19.35   	  45.78		 13.55   	  10.17		
-33.87   	-64.39   	 19.53   	  45.78		 13.59   	  25.43		
-31.13   	-64.70   	 19.72   	  45.78		 13.69   	  35.61		
-28.69   	-63.78   	 19.90   	  45.78		 13.84   	  50.86		
-26.25   	-62.87   	 20.08   	  40.69		 14.04   	  50.86		
-23.80   	-61.95   	 20.24   	  40.69		 14.24   	  50.86		
-23.19   	-61.34   	 20.41   	  40.69		 14.45   	  45.78		
-24.72   	-60.73   	 20.57   	  40.69		 14.63   	  30.52		
-27.47   	-60.12   	 20.73   	  35.61		 14.75   	   5.09		
-29.60   	-58.90   	 20.87   	  40.69		 14.77   	 -20.35		
-30.21   	-56.76   	 21.04   	  40.69		 14.69   	 -45.78		
-29.30   	-53.10   	 21.20   	  45.78		 14.51   	 -61.04		
-27.16   	-49.74   	 21.38   	  50.86		 14.26   	 -71.21		
-25.02   	-47.30   	 21.59   	  55.95		 13.98   	 -71.21		
-23.80   	-46.69   	 21.81   	  66.12		 13.69   	 -50.86		
-23.19   	-47.61   	 22.08   	  71.21		 13.49   	 -25.43		
-24.41   	-48.83   	 22.36   	  76.30		 13.39   	  -5.09		
-26.86   	-49.13   	 22.67   	  76.30		 13.37   	  30.52		
-28.38   	-45.78   	 22.97   	  81.38		 13.49   	  45.78		
-24.11   	-36.32   	 23.30   	  71.21		 13.67   	  61.04		
 -7.93   	-19.84   	 23.58   	  71.21		 13.92   	  71.21		
 27.16   	  5.80   	 23.87   	  55.95		 14.20   	  66.12		
 85.14   	 44.25   	 24.09   	  50.86		 14.47   	  55.95		
163.57   	103.15   	 24.29   	  35.61		 14.69   	  45.78		
255.74   	188.90   	 24.44   	  30.52		 14.87   	  35.61		
348.21   	296.02   	 24.56   	  25.43		 15.02   	  15.26		
423.28   	394.90   	 24.66   	  25.43		 15.08   	  10.17		
460.21   	440.37(R)	 24.76(E)	  35.61		 15.12   	   0.00		
440.06   	397.95   	 24.90   	  50.86		 15.12   	  -5.09		
357.97   	270.69   	 25.11   	  71.21		 15.10   	 -15.26		
229.19   	103.76   	 25.39   	 101.73		 15.04   	 -10.17		
 89.11   	-39.98   	 25.80   	 142.42		 14.99   	 -10.17		
-24.41   	-117.49   	 26.37   	 193.29		 14.95   	 -10.17		
-87.28   	-126.95   	 27.14   	 259.41		 14.91(E)	   0.00		
-100.40   	-96.74   	 28.18   	 330.62		 14.91   	  10.17		
-83.92   	-59.20   	 29.50   	 412.00		 14.95   	  25.43		
-60.12   	-31.43   	 31.15   	 493.39		 15.06   	  35.61		
-42.72   	-17.40   	 33.12   	 584.94		 15.20   	  66.12		
-35.10   	-14.04   	 35.46   	 681.58		 15.46   	  91.56		
-35.40   	-18.92   	 38.19   	 783.31		 15.83   	 127.16		
-39.37   	-28.38   	 41.32   	 885.04		 16.34   	 157.68		
-42.42   	-36.93   	 44.86   	 986.77		 16.97   	 193.29		
-42.72   	-39.67   	 48.81   	1052.90		 17.74   	 213.63		
-39.67   	-36.62   	 53.02   	1098.67		 18.60   	 228.89		
-35.10   	-31.43   	 57.42   	1129.19		 19.51   	 233.98		
-32.35   	-28.38   	 61.93   	1149.54		 20.45   	 233.98		
-32.35   	-27.47   	 66.53   	1159.71		 21.38   	 218.72		
-33.57   	-26.86   	 71.17   	1144.45		 22.26   	 198.37		
-33.87   	-24.72   	 75.75   	1088.50		 23.05   	 178.03		
-32.65   	-20.75   	 80.10   	1017.29		 23.76   	 152.59		
-30.21   	-16.48   	 84.17   	 930.82		 24.37   	 142.42		
-27.77   	-12.82   	 87.89   	 839.26		 24.94   	 137.33		
-26.86   	-10.38   	 91.25   	 747.71		 25.49   	 147.51		
-27.16   	-10.07   	 94.24   	 661.24		 26.08   	 172.94		
-28.08   	-11.29   	 96.89   	 590.03		 26.78   	 203.46		
-28.69   	-12.51   	 99.25   	 518.82		 27.59   	 228.89		
-27.47   	-12.82   	101.32   	 462.87		 28.50   	 244.15		
-25.33   	-10.38   	103.17   	 427.26		 29.48   	 249.24		
-22.28   	 -5.80   	104.88   	 406.92		 30.48   	 228.89		
-19.84   	 -0.92   	106.51   	 391.66		 31.39   	 203.46		
-18.31   	  3.97   	108.08   	 361.14		 32.21   	 162.77		
-16.78   	  8.54   	109.52   	 335.71		 32.86   	 116.99		
-14.95   	 13.12   	110.86   	 320.45		 33.33   	  71.21		
-12.82   	 17.70   	112.15   	 310.27		 33.61   	  30.52		
-10.68   	 21.06   	113.39   	 289.93		 33.73   	   0.00		
 -9.46   	 21.97   	114.55   	 269.58		 33.73   	 -25.43		
