  I     	  LV     	  LV'		  RA     	  RA'		
-69.27   	 57.88   	-1164.80		 15.10   	  10.17		
-69.89   	 53.22   	-1119.02		 15.14   	   5.09		
-72.02   	 48.75   	-1052.90		 15.16   	   5.09		
-73.85   	 44.54   	-961.34		 15.18   	   0.00		
-74.16   	 40.69   	-874.87		 15.18   	   0.00		
-72.94   	 37.19   	-773.14		 15.18   	  -5.09		
-71.41   	 34.10   	-676.50		 15.16   	  -5.09		
-70.19   	 31.39   	-590.03		 15.14   	  -5.09		
-69.58   	 29.03   	-513.73		 15.12   	 -10.17		
-69.27   	 26.98   	-452.69		 15.08   	 -10.17		
-68.66   	 25.17   	-406.92		 15.04   	 -15.26		
-68.05   	 23.54   	-366.22		 14.97   	 -10.17		
-67.75   	 22.08   	-345.88		 14.93   	 -20.35		
-68.05   	 20.69   	-320.45		 14.85   	 -15.26		
-68.66   	 19.41   	-300.10		 14.79   	 -20.35		
-69.58   	 18.21   	-269.58		 14.71   	 -25.43		
-70.50   	 17.13   	-239.06		 14.61   	 -20.35		
-71.11   	 16.17   	-198.37		 14.53   	 -25.43		
-70.19   	 15.38   	-162.77		 14.43   	 -30.52		
-68.36   	 14.73   	-111.90		 14.30   	 -25.43		
-65.92   	 14.28   	 -66.12		 14.20   	 -30.52		
-64.09   	 14.02   	 -30.52		 14.08   	 -25.43		
-62.56   	 13.90   	   5.09		 13.98   	 -30.52		
-61.95   	 13.92   	  25.43		 13.86   	 -25.43		
-62.26   	 14.02   	  40.69		 13.75   	 -25.43		
-63.17   	 14.18   	  40.69		 13.65   	 -20.35		
-64.70   	 14.34   	  35.61		 13.57   	 -20.35		
-66.22   	 14.49   	  20.35		 13.49   	 -20.35		
-66.83   	 14.57   	   5.09		 13.41   	 -10.17		
-66.22   	 14.59   	   0.00		 13.37   	 -15.26		
-64.39   	 14.59   	 -10.17		 13.31   	  -5.09		
-62.26   	 14.55   	 -10.17		 13.29   	 -10.17		
-61.65   	 14.51   	  -5.09		 13.25   	  -5.09		
-61.65   	 14.49   	   0.00		 13.22   	  -5.09		
-62.26   	 14.49   	  20.35		 13.20   	   0.00		
-62.56   	 14.57   	  40.69		 13.20   	   0.00		
-62.26   	 14.73   	  55.95		 13.20   	   0.00		
-61.04   	 14.95   	  76.30		 13.20   	   0.00		
-60.12   	 15.26   	  91.56		 13.20   	   5.09		
-59.81   	 15.63   	 101.73		 13.22   	   5.09		
-59.81   	 16.03   	 106.82		 13.25   	   5.09		
-60.12   	 16.46   	 111.90		 13.27   	  15.26		
-60.73   	 16.91   	 111.90		 13.33   	  15.26		
-61.04   	 17.35   	 106.82		 13.39   	  15.26		
-61.65   	 17.78   	 101.73		 13.45   	  15.26		
-61.95   	 18.19   	  96.64		 13.51   	  20.35		
-61.95   	 18.58   	  81.38		 13.59   	  15.26		
-61.04   	 18.90   	  71.21		 13.65   	  20.35		
-58.90   	 19.19   	  55.95		 13.73   	  15.26		
-54.32   	 19.41   	  45.78		 13.79   	  15.26		
-47.00   	 19.59   	  25.43		 13.86   	  15.26		
-38.15   	 19.69   	  20.35		 13.92   	  15.26		
-29.60   	 19.78   	   0.00		 13.98   	  10.17		
-23.50   	 19.78   	   0.00		 14.02   	  15.26		
-21.06   	 19.78   	 -15.26		 14.08   	  15.26		
-20.14   	 19.72   	 -15.26		 14.14   	  15.26		
-18.01   	 19.65   	 -15.26		 14.20   	  10.17		
-12.21   	 19.59   	 -15.26		 14.24   	  20.35		
 -1.83   	 19.53   	 -10.17		 14.32   	  10.17		
  9.46   	 19.49   	  -5.09		 14.36   	  15.26		
 18.31   	 19.47   	  -5.09		 14.43   	  15.26		
 22.89   	 19.45   	   0.00		 14.49   	  15.26		
 24.11   	 19.45   	  10.17		 14.55   	  10.17		
 24.11   	 19.49   	  10.17		 14.59   	  15.26		
 24.72   	 19.53   	  15.26		 14.65   	  10.17		
 25.33   	 19.59   	  15.26		 14.69   	  10.17		
 23.50   	 19.65   	  20.35		 14.73   	  15.26		
 16.78   	 19.74   	  25.43		 14.79   	  15.26		
  4.88   	 19.84   	  30.52		 14.85   	  20.35		
-12.51   	 19.96   	  30.52		 14.93   	  20.35		
-32.96   	 20.08   	  40.69		 15.02   	  25.43		
-53.41   	 20.24   	  40.69		 15.12   	  25.43		
-69.89   	 20.41   	  45.78		 15.22   	  30.52		
-79.65   	 20.59   	  45.78		 15.34   	  30.52		
-83.01   	 20.77   	  45.78		 15.46   	  25.43		
-81.79   	 20.96   	  45.78		 15.56   	  30.52		
-79.96   	 21.14   	  45.78		 15.69   	  30.52		
-79.04   	 21.32   	  35.61		 15.81   	  30.52		
-78.74   	 21.46   	  35.61		 15.93   	  35.61		
-77.82   	 21.61   	  30.52		 16.07   	  30.52		
-76.60   	 21.73   	  30.52		 16.20   	  30.52		
-75.07   	 21.85   	  25.43		 16.32   	  30.52		
-73.24   	 21.95   	  30.52		 16.44   	  25.43		
-72.02   	 22.08   	  35.61		 16.54   	  25.43		
-70.80   	 22.22   	  45.78		 16.64   	  15.26		
-69.89   	 22.40   	  55.95		 16.70   	  10.17		
-69.58   	 22.62   	  71.21		 16.74   	  10.17		
-70.50   	 22.91   	  86.47		 16.79   	   0.00		
-74.46   	 23.26   	 106.82		 16.79   	   0.00		
-83.62   	 23.68   	 122.07		 16.79   	   0.00		
-98.27   	 24.17   	 132.25		 16.79   	   0.00		
-117.80   	 24.70   	 137.33		 16.79   	  -5.09		
-138.55   	 25.25   	 137.33		 16.76   	  -5.09		
-155.33   	 25.80   	 132.25		 16.74   	 -10.17		
-159.61   	 26.33   	 116.99		 16.70   	 -10.17		
-141.30   	 26.80   	 101.73		 16.66   	 -20.35		
-84.53   	 27.20   	  76.30		 16.58   	 -25.43		
 24.11   	 27.51   	  55.95		 16.48   	 -30.52		
190.12   	 27.73   	  30.52		 16.36   	 -35.61		
401.92   	 27.85   	  10.17		 16.22   	 -35.61		
621.03   	 27.89   	  -5.09		 16.07   	 -40.69		
783.39   	 27.87   	 -20.35		 15.91   	 -35.61		
828.55(R)	 27.79   	 -25.43		 15.77   	 -30.52		
739.75   	 27.69   	 -25.43		 15.65   	 -30.52		
562.13   	 27.59(E)	 -10.17		 15.52   	 -25.43		
383.30   	 27.55   	  10.17		 15.42   	 -25.43		
279.54   	 27.59   	  40.69		 15.32   	 -25.43		
264.89   	 27.75   	  81.38		 15.22   	 -25.43		
292.66   	 28.08   	 137.33		 15.12   	 -25.43		
299.99   	 28.63   	 208.54		 15.02   	 -30.52		
253.91   	 29.46   	 295.01		 14.89   	 -35.61		
165.41   	 30.64   	 386.57		 14.75   	 -35.61		
 67.14   	 32.19   	 488.30		 14.61   	 -40.69		
-13.12   	 34.14   	 590.03		 14.45   	 -40.69		
-62.56   	 36.50   	 707.02		 14.28   	 -35.61		
-81.18   	 39.33   	 818.92		 14.14   	 -35.61		
-75.68   	 42.60   	 930.82		 14.00   	 -35.61		
-59.20   	 46.33   	1042.72		 13.86   	 -30.52		
-45.17   	 50.50   	1159.71		 13.73   	 -25.43		
-41.81   	 55.14   	1256.35		 13.63   	 -25.43		
-47.30   	 60.16   	1342.82		 13.53   	 -20.35		
-53.71   	 65.53   	1393.69		 13.45   	 -20.35		
-55.24   	 71.11   	1414.03		 13.37   	 -15.26		
-51.88   	 76.76   	1388.60		 13.31   	 -15.26		
-47.61   	 82.32   	1322.48		 13.25   	 -15.26		
-45.47   	 87.61   	1225.83		 13.18   	 -15.26		
-44.56   	 92.51   	1108.85		 13.12   	 -10.17		
-43.33   	 96.95   	 971.51		 13.08   	 -15.26		
-40.59   	100.83   	 849.44		 13.02   	  -5.09		
-36.32   	104.23   	 737.54		 13.00   	 -10.17		
-30.82   	107.18   	 651.07		 12.96   	  -5.09		
-25.63   	109.79   	 590.03		 12.94   	   0.00		
-21.36   	112.15   	 559.51		 12.94   	  -5.09		
-18.62   	114.38   	 554.42		 12.92   	  -5.09		
-15.56   	116.60   	 564.60		 12.90   	  -5.09		
-11.90   	118.86   	 590.03		 12.88   	  -5.09		
 -7.32   	121.22   	 605.29		 12.86   	   0.00		
 -2.44   	123.64   	 620.55		 12.86   	  -5.09		
  2.14   	126.12   	 615.46		 12.84   	  -5.09		
  6.41   	128.59   	 600.20		 12.82   	  -5.09		
 11.29   	130.99   	 574.77		 12.80   	 -10.17		
 18.01   	133.29   	 523.90		 12.76   	  -5.09		
 26.25   	135.38   	 473.04		 12.74   	 -10.17		
 35.10   	137.27   	 417.09		 12.70   	 -15.26		
 43.64   	138.94   	 361.14		 12.63   	 -15.26		
 50.96   	140.39   	 325.53		 12.57   	 -15.26		
 58.29   	141.69   	 289.93		 12.51   	 -20.35		
 66.83   	142.85   	 274.67		 12.43   	 -25.43		
 76.90   	143.95   	 264.50		 12.33   	 -20.35		
 87.28   	145.00   	 274.67		 12.25   	 -20.35		
 96.74   	146.10   	 274.67		 12.17   	 -15.26		
104.98   	147.20   	 284.84		 12.11   	 -15.26		
113.22   	148.34   	 284.84		 12.04   	 -10.17		
122.07   	149.48   	 269.58		 12.00   	   0.00		
131.53   	150.56   	 249.24		 12.00   	   0.00		
140.38   	151.56   	 203.46		 12.00   	   5.09		
146.18   	152.37   	 147.51		 12.02   	   5.09		
148.62   	152.96   	  91.56		 12.04   	  15.26		
147.09   	153.33   	  30.52		 12.11   	  20.35		
142.82   	153.45(S)	 -35.61		 12.19   	  20.35		
136.11   	153.31   	 -86.47		 12.27   	  20.35		
126.65   	152.96   	-137.33		 12.35   	  25.43		
114.75   	152.41   	-172.94		 12.45   	  25.43		
100.10   	151.72   	-198.37		 12.55   	  30.52		
 83.92   	150.93   	-213.63		 12.68   	  25.43		
 66.53   	150.07   	-208.54		 12.78   	  25.43		
 50.05   	149.24   	-208.54		 12.88   	  15.26		
 34.79   	148.40   	-188.20		 12.94   	  10.17		
 21.36   	147.65   	-167.85		 12.98   	   0.00		
  8.85   	146.98   	-152.59		 12.98   	 -10.17		
 -4.27   	146.37   	-127.16		 12.94   	 -25.43		
-17.40   	145.86   	-127.16		 12.84   	 -30.52		
-30.52   	145.35   	-132.25		 12.72   	 -35.61		
-42.42   	144.82   	-162.77		 12.57   	 -30.52		
-52.49   	144.17   	-203.46		 12.45   	 -20.35		
-60.42   	143.36   	-249.24		 12.37   	   0.00		
-66.53   	142.36   	-289.93		 12.37   	  30.52		
-71.41   	141.20   	-320.45		 12.49   	  66.12		
-75.07   	139.92   	-335.71		 12.76   	 106.82		
-78.13   	138.58   	-340.79		 13.18   	 142.42		
-81.18   	137.21   	-340.79		 13.75   	 167.85		
-83.31   	135.85   	-340.79		 14.43   	 183.11		
-84.84   	134.49   	-345.88		 15.16   	 188.20		
-85.75   	133.10   	-361.14		 15.91   	 178.03		
-86.98   	131.66   	-381.48		 16.62   	 152.59		
-88.81   	130.13   	-401.83		 17.23   	 111.90		
-90.94   	128.52   	-427.26		 17.68   	  61.04		
-91.86   	126.82   	-437.43		 17.92   	   0.00		
-91.55   	125.07   	-452.69		 17.92   	 -55.95		
-90.03   	123.25   	-462.87		 17.70   	-106.82		
-88.81   	121.40   	-488.30		 17.27   	-147.51		
-87.89   	119.45   	-518.82		 16.68   	-188.20		
-87.59   	117.37   	-564.60		 15.93   	-213.63		
-86.36   	115.12   	-620.55		 15.08   	-228.89		
-83.92   	112.63   	-686.67		 14.16   	-244.15		
-80.87   	109.89   	-747.71		 13.18   	-249.24		
-78.13   	106.90   	-808.75		 12.19   	-228.89		
-76.60   	103.66   	-849.44		 11.27   	-193.29		
-75.38   	100.26   	-890.13		 10.50   	-137.33		
-75.07   	 96.70   	-935.91		  9.95   	 -66.12		
-74.77   	 92.96   	-976.60		  9.68   	  20.35		
-74.46   	 89.05   	-1032.55		  9.77   	 101.73		
-73.85   	 84.92   	-1083.41		 10.17   	 183.11		
-72.33   	 80.59   	-1139.36		 10.91   	 239.06		
-71.11   	 76.03   	-1180.06		 11.86   	 279.75		
-70.19   	 71.31   	-1215.66		 12.98   	 295.01		
-69.58   	 66.45   	-1225.83		 14.16   	 284.84		
-69.58   	 61.55   	-1215.66		 15.30   	 259.41		
-69.58   	 56.68   	-1190.23		 16.34   	 218.72		
-69.27   	 51.92   	-1139.36		 17.21   	 167.85		
-68.66   	 47.37   	-1068.15		 17.88   	 106.82		
-68.66   	 43.09   	-976.60		 18.31   	  55.95		
-69.58   	 39.19   	-885.04		 18.54   	   0.00		
-71.11   	 35.65   	-773.14		 18.54   	 -45.78		
-72.94   	 32.55   	-666.32		 18.35   	 -76.30		
-74.16   	 29.89   	-559.51		 18.05   	 -91.56		
-74.16   	 27.65   	-462.87		 17.68   	 -86.47		
-72.94   	 25.80   	-376.40		 17.33   	 -76.30		
-70.80   	 24.29   	-305.19		 17.03   	 -45.78		
-68.66   	 23.07   	-244.15		 16.85   	 -10.17		
-67.44   	 22.10   	-208.54		 16.81   	  25.43		
-67.44   	 21.26   	-178.03		 16.91   	  50.86		
-68.66   	 20.55   	-162.77		 17.11   	  71.21		
-70.80   	 19.90   	-152.59		 17.40   	  71.21		
-72.63   	 19.29   	-147.51		 17.68   	  55.95		
-73.85   	 18.70   	-142.42		 17.90   	  30.52		
-73.85   	 18.13   	-142.42		 18.03   	 -15.26		
-72.94   	 17.56   	-127.16		 17.97   	 -66.12		
-71.41   	 17.05   	-116.99		 17.70   	-122.07		
-69.58   	 16.58   	-101.73		 17.21   	-178.03		
-68.36   	 16.17   	 -81.38		 16.50   	-228.89		
-67.75   	 15.85   	 -61.04		 15.58   	-254.32		
-68.36   	 15.61   	 -40.69		 14.57   	-279.75		
-70.19   	 15.44   	 -25.43		 13.45   	-274.67		
-72.02   	 15.34   	 -10.17		 12.35   	-259.41		
-73.24   	 15.30(D)	   0.00		 11.31   	-228.89		
-72.63   	 15.30   	  10.17		 10.40   	-178.03		
-70.80   	 15.34   	  20.35		  9.68   	-127.16		
-69.27   	 15.42   	  25.43		  9.18   	 -66.12		
-68.97   	 15.52   	  30.52		  8.91   	  -5.09		
-69.89   	 15.65   	  30.52		  8.89   	  45.78		
-70.50   	 15.77   	  40.69		  9.07   	 101.73		
-69.27   	 15.93   	  40.69		  9.48   	 137.33		
-64.70   	 16.09   	  50.86		 10.03   	 167.85		
-56.76   	 16.30   	  50.86		 10.70   	 178.03		
-47.61   	 16.50   	  61.04		 11.41   	 188.20		
-38.45   	 16.74   	  71.21		 12.17   	 178.03		
-30.82   	 17.03   	  71.21		 12.88   	 162.77		
-24.72   	 17.31   	  76.30		 13.53   	 137.33		
-19.23   	 17.62   	  81.38		 14.08   	 106.82		
-14.04   	 17.94   	  81.38		 14.51   	  81.38		
 -9.16   	 18.27   	  71.21		 14.83   	  50.86		
 -4.88   	 18.56   	  71.21		 15.04   	  35.61		
 -0.31   	 18.84   	  55.95		 15.18   	  15.26		
  3.36   	 19.06   	  50.86		 15.24   	  10.17		
  6.10   	 19.27   	  35.61		 15.28   	  10.17		
  7.02   	 19.41   	  25.43		 15.32   	  15.26		
  7.63   	 19.51   	  15.26		 15.38   	  15.26		
  9.77   	 19.57   	  10.17		 15.44   	  15.26		
 14.95   	 19.61   	  10.17		 15.50   	  15.26		
 21.36   	 19.65   	   5.09		 15.56   	  10.17		
 23.80   	 19.67   	   5.09		 15.61   	  20.35		
 18.62   	 19.69   	  10.17		 15.69   	  25.43		
  3.97   	 19.74   	  10.17		 15.79   	  45.78		
-17.40   	 19.78   	  15.26		 15.97   	  66.12		
-40.89   	 19.84   	  20.35		 16.24   	  91.56		
-62.26   	 19.92   	  20.35		 16.60   	 122.07		
-77.82   	 20.00   	  30.52		 17.09   	 142.42		
-85.45   	 20.12   	  25.43		 17.66   	 157.68		
-86.67   	 20.22   	  35.61		 18.29   	 152.59		
-83.92   	 20.37   	  35.61		 18.90   	 147.51		
-81.18   	 20.51   	  45.78		 19.49   	 127.16		
-80.57   	 20.69   	  40.69		 20.00   	  96.64		
-82.09   	 20.85   	  50.86		 20.39   	  55.95		
-83.62   	 21.06   	  50.86		 20.61   	  20.35		
-83.31   	 21.26   	  45.78		 20.69(V)	 -15.26		
-81.48   	 21.44   	  50.86		 20.63   	 -40.69		
-78.43   	 21.65   	  45.78		 20.47   	 -55.95		
-75.99   	 21.83   	  45.78		 20.24   	 -66.12		
-74.77   	 22.01   	  45.78		 19.98   	 -66.12		
-74.77   	 22.20   	  40.69		 19.72   	 -61.04		
-74.77   	 22.36   	  45.78		 19.47   	 -50.86		
-75.07   	 22.54   	  50.86		 19.27   	 -40.69		
-77.21   	 22.75   	  55.95		 19.10   	 -30.52		
-83.92   	 22.97   	  61.04		 18.98   	 -30.52		
-97.35   	 23.21   	  71.21		 18.86   	 -35.61		
-116.88   	 23.50   	  81.38		 18.72   	 -35.61		
-139.47   	 23.82   	  86.47		 18.58   	 -40.69		
-160.22   	 24.17   	  86.47		 18.41   	 -45.78		
-171.20   	 24.52   	  96.64		 18.23   	 -50.86		
-163.27   	 24.90   	  91.56		 18.03   	 -50.86		
-121.46   	 25.27   	  86.47		 17.82   	 -45.78		
-31.13   	 25.62   	  76.30		 17.64   	 -45.78		
117.80   	 25.92   	  66.12		 17.46   	 -45.78		
320.13   	 26.19   	  55.95		 17.27   	 -40.69		
546.57   	 26.41   	  45.78		 17.11   	 -40.69		
739.14   	 26.59   	  30.52		 16.95   	 -40.69		
831.91(R)	 26.71(E)	  25.43		 16.79   	 -45.78		
790.10   	 26.82   	  20.35		 16.60   	 -50.86		
637.82   	 26.90   	  25.43		 16.40   	 -55.95		
452.88   	 27.00   	  35.61		 16.17   	 -55.95		
320.74   	 27.14   	  55.95		 15.95   	 -61.04		
278.32   	 27.37   	  86.47		 15.71   	 -61.04		
296.33   	 27.71   	 127.16		 15.46   	 -55.95		
311.28   	 28.22   	 183.11		 15.24   	 -50.86		
278.63   	 28.95   	 259.41		 15.04   	 -45.78		
196.53   	 29.99   	 340.79		 14.85   	 -40.69		
 93.99   	 31.35   	 442.52		 14.69   	 -35.61		
  3.66   	 33.12   	 544.25		 14.55   	 -25.43		
-56.15   	 35.30   	 651.07		 14.45   	 -20.35		
-83.01   	 37.90   	 762.97		 14.36   	 -10.17		
-83.01   	 40.96   	 869.78		 14.32   	   5.09		
-68.05   	 44.44   	 966.43		 14.34   	  20.35		
-51.88   	 48.30   	1073.24		 14.43   	  40.69		
-44.86   	 52.59   	1174.97		 14.59   	  50.86		
-47.30   	 57.29   	1271.61		 14.79   	  66.12		
-52.49   	 62.38   	1347.91		 15.06   	  71.21		
-54.63   	 67.77   	1403.86		 15.34   	  76.30		
-52.80   	 73.39   	1424.21		 15.65   	  76.30		
-50.05   	 79.08   	1398.77		 15.95   	  66.12		
-49.13   	 84.68   	1332.65		 16.22   	  55.95		
-48.83   	 90.01   	1236.01		 16.44   	  45.78		
-46.08   	 94.95   	1113.93		 16.62   	  35.61		
-41.20   	 99.41   	 976.60		 16.76   	  30.52		
-35.40   	103.32   	 849.44		 16.89   	  15.26		
-29.91   	106.71   	 732.45		 16.95   	  15.26		
-25.63   	109.64   	 640.89		 17.01   	  10.17		
-22.28   	112.21   	 579.86		 17.05   	   5.09		
-18.92   	114.53   	 544.25		 17.07   	   5.09		
-15.26   	116.70   	 534.08		 17.09   	   0.00		
-10.38   	118.84   	 544.25		 17.09   	   0.00		
 -5.19   	121.02   	 559.51		 17.09   	 -10.17		
 -0.31   	123.25   	 574.77		 17.05   	 -10.17		
  4.27   	125.55   	 584.94		 17.01   	 -20.35		
  8.85   	127.89   	 584.94		 16.93   	 -30.52		
 14.34   	130.23   	 564.60		 16.81   	 -35.61		
 21.67   	132.49   	 544.25		 16.66   	 -40.69		
 30.52   	134.67   	 518.82		 16.50   	 -45.78		
 39.67   	136.74   	 478.13		 16.32   	 -55.95		
 47.91   	138.66   	 447.61		 16.09   	 -55.95		
 55.54   	140.45   	 401.83		 15.87   	 -61.04		
 63.17   	142.05   	 361.14		 15.63   	 -66.12		
 72.33   	143.50   	 325.53		 15.36   	 -66.12		
 83.31   	144.80   	 305.19		 15.10   	 -66.12		
 95.21   	146.02   	 284.84		 14.83   	 -61.04		
107.42   	147.16   	 274.67		 14.59   	 -55.95		
119.63   	148.26   	 274.67		 14.36   	 -55.95		
130.92   	149.36   	 284.84		 14.14   	 -45.78		
141.60   	150.50   	 284.84		 13.96   	 -30.52		
151.06   	151.64   	 284.84		 13.84   	 -20.35		
159.30   	152.78   	 269.58		 13.75   	 -10.17		
165.10   	153.85   	 239.06		 13.71   	  10.17		
168.46   	154.81   	 178.03		 13.75   	  20.35		
168.76   	155.52   	 111.90		 13.84   	  30.52		
165.41   	155.97   	  25.43		 13.96   	  45.78		
158.39   	156.07(S)	 -66.12		 14.14   	  45.78		
147.71   	155.81   	-142.42		 14.32   	  50.86		
133.67   	155.24   	-213.63		 14.53   	  50.86		
117.19   	154.38   	-259.41		 14.73   	  50.86		
 99.79   	153.35   	-295.01		 14.93   	  45.78		
 81.79   	152.17   	-305.19		 15.12   	  45.78		
 64.09   	150.95   	-295.01		 15.30   	  35.61		
 47.00   	149.77   	-269.58		 15.44   	  40.69		
 30.52   	148.69   	-239.06		 15.61   	  35.61		
 15.26   	147.73   	-203.46		 15.75   	  30.52		
  0.61   	146.92   	-178.03		 15.87   	  30.52		
-12.82   	146.20   	-157.68		 15.99   	  30.52		
-25.02   	145.57   	-137.33		 16.11   	  30.52		
-35.71   	145.02   	-137.33		 16.24   	  25.43		
-44.86   	144.48   	-152.59		 16.34   	  30.52		
-52.80   	143.87   	-167.85		 16.46   	  25.43		
-60.12   	143.19   	-193.29		 16.56   	  25.43		
-66.83   	142.42   	-223.80		 16.66   	  30.52		
-72.94   	141.53   	-259.41		 16.79   	  30.52		
-77.82   	140.49   	-295.01		 16.91   	  35.61		
-81.18   	139.31   	-320.45		 17.05   	  40.69		
-83.31   	138.03   	-345.88		 17.21   	  45.78		
-84.84   	136.64   	-366.22		 17.40   	  45.78		
-86.06   	135.18   	-386.57		 17.58   	  45.78		
-86.98   	133.63   	-401.83		 17.76   	  45.78		
-87.28   	132.02   	-422.18		 17.94   	  35.61		
-86.06   	130.34   	-437.43		 18.09   	  20.35		
-83.92   	128.59   	-452.69		 18.17   	  15.26		
-82.09   	126.77   	-483.21		 18.23   	   5.09		
-80.87   	124.84   	-508.65		 18.25(V)	 -10.17		
-81.18   	122.81   	-539.16		 18.21   	 -15.26		
-82.40   	120.65   	-579.86		 18.15   	 -25.43		
-83.31   	118.33   	-620.55		 18.05   	 -30.52		
-83.01   	115.85   	-661.24		 17.92   	 -35.61		
-81.18   	113.20   	-696.84		 17.78   	 -30.52		
-77.82   	110.42   	-727.36		 17.66   	 -35.61		
-74.46   	107.51   	-747.71		 17.52   	 -30.52		
-72.02   	104.52   	-773.14		 17.40   	 -25.43		
-71.11   	101.42   	-808.75		 17.29   	 -25.43		
-71.11   	 98.19   	-864.70		 17.19   	 -25.43		
-71.41   	 94.73   	-940.99		 17.09   	 -25.43		
-70.50   	 90.97   	-1037.64		 16.99   	 -25.43		
-69.27   	 86.82   	-1139.36		 16.89   	 -30.52		
-68.66   	 82.26   	-1251.27		 16.76   	 -25.43		
-68.36   	 77.25   	-1358.08		 16.66   	 -30.52		
-68.66   	 71.82   	-1444.55		 16.54   	 -35.61		
-68.97   	 66.04   	-1505.59		 16.40   	 -35.61		
-68.97   	 60.02   	-1520.85		 16.26   	 -40.69		
-68.66   	 53.94   	-1485.24		 16.09   	 -40.69		
-68.05   	 48.00   	-1403.86		 15.93   	 -45.78		
-67.14   	 42.38   	-1271.61		 15.75   	 -45.78		
-66.22   	 37.29   	-1098.67		 15.56   	 -50.86		
-65.31   	 32.90   	-910.47		 15.36   	 -50.86		
-65.00   	 29.26   	-712.10		 15.16   	 -55.95		
-65.61   	 26.41   	-539.16		 14.93   	 -61.04		
-67.14   	 24.25   	-381.48		 14.69   	 -55.95		
-68.36   	 22.73   	-264.50		 14.47   	 -61.04		
-69.27   	 21.67   	-193.29		 14.22   	 -55.95		
-69.27   	 20.90   	-157.68		 14.00   	 -55.95		
-68.36   	 20.26   	-157.68		 13.77   	 -50.86		
-67.44   	 19.63   	-178.03		 13.57   	 -45.78		
-67.44   	 18.92   	-213.63		 13.39   	 -35.61		
-68.66   	 18.07   	-254.32		 13.25   	 -35.61		
-70.80   	 17.05   	-279.75		 13.10   	 -30.52		
-72.02   	 15.93   	-300.10		 12.98   	 -25.43		
-70.80   	 14.73   	-300.10		 12.88   	 -20.35		
-67.44   	 13.53   	-284.84		 12.80   	 -25.43		
-63.17   	 12.39   	-254.32		 12.70   	 -20.35		
-60.12   	 11.37   	-208.54		 12.61   	 -20.35		
-59.81   	 10.54   	-157.68		 12.53   	 -25.43		
-61.65   	  9.91   	-101.73		 12.43   	 -25.43		
-64.09   	  9.50   	 -45.78		 12.33   	 -25.43		
-65.61   	  9.32(D)	   0.00		 12.23   	 -30.52		
-65.61   	  9.32   	  40.69		 12.11   	 -25.43		
-64.39   	  9.48   	  71.21		 12.00   	 -30.52		
-63.17   	  9.77   	  81.38		 11.88   	 -30.52		
-62.56   	 10.09   	  91.56		 11.76   	 -30.52		
-62.56   	 10.46   	  81.38		 11.64   	 -30.52		
-63.48   	 10.78   	  71.21		 11.52   	 -20.35		
-64.39   	 11.07   	  55.95		 11.43   	 -25.43		
-64.39   	 11.29   	  40.69		 11.33   	 -15.26		
-63.17   	 11.45   	  25.43		 11.27   	 -15.26		
-61.34   	 11.56   	  15.26		 11.21   	 -10.17		
-59.51   	 11.62   	  10.17		 11.17   	  -5.09		
-58.59   	 11.66   	   5.09		 11.15   	  -5.09		
-58.29   	 11.68   	  15.26		 11.13   	  -5.09		
